Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	99	23.57142857142857	3.444330827627633E-8	B2060, B1808, B0712, B0439, B3706, B1484, B0033, B3026, B0794, B3668, B3940, B1522, B4232, B1513, B3813, B0143, B4069, B1114, B3931, B0026, B0148, B3053, B0060, B3450, B3693, B0063, B1701, B2514, B2078, B2231, B0330, B2234, B2750, B3168, B3326, B1941, B0059, B0335, B3281, B2070, B4096, B3162, B3440, B3559, B0448, B0449, B2508, B2507, B0726, B2067, B4005, B2069, B3430, B1413, B4287, B2819, B1207, B0879, B4399, B3469, B0478, B0470, B2526, B0107, B1714, B1956, B3857, B2928, B0188, B0981, B0586, B3732, B3251, B2836, B0933, B1507, B3409, B3926, B3806, B0098, B0890, B3486, B4058, B3525, B2799, B2557, B2556, B0091, B2306, B0886, B1854, B2547, B3911, B0526, B0924, B3916, B2388, B0366, B2422	378	520	3299	1.6615842490842492	1.9563608090855666E-5	1.9598242409201234E-5	1.9357139251267297E-5
GOTERM_MF_DIRECT	GO:0005524~ATP binding	86	20.476190476190474	1.6739252140605828E-7	B2060, B4287, B1808, B2819, B0712, B0955, B1207, B0879, B0439, B1484, B0033, B3026, B4399, B3469, B0794, B3668, B3940, B0470, B2526, B1513, B0107, B1714, B3813, B2928, B0143, B4069, B0188, B1114, B3931, B0981, B0586, B0026, B3732, B0148, B3053, B3450, B3693, B3251, B0063, B1701, B2514, B2836, B0933, B1507, B3926, B3806, B2078, B2231, B0098, B0890, B2234, B0330, B3486, B2750, B4058, B3326, B1941, B0059, B2557, B0335, B2556, B2070, B4096, B0091, B3162, B2306, B0886, B1854, B2547, B3911, B0448, B3559, B0526, B0449, B2508, B0924, B2507, B3916, B2584, B4005, B2388, B2069, B3430, B0366, B2422, B1413	378	443	3299	1.694280220239588	9.507444025169676E-5	4.762317234002358E-5	4.703729851510238E-5
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	34	8.095238095238095	1.7886556709804112E-6	B2060, B3450, B4287, B1808, B0933, B0879, B0439, B1484, B0890, B4058, B3486, B3469, B0794, B2557, B1941, B0059, B4096, B3162, B0470, B2306, B0886, B2526, B1513, B2547, B0448, B0449, B3813, B4005, B2069, B3931, B2422, B0366, B1413, B0148	378	125	3299	2.373883597883598	0.0010154414198195738	3.392483589292846E-4	3.3507482903033037E-4
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	70	16.666666666666664	1.5180508191724796E-5	B3073, B3396, B3591, B2383, B2416, B1249, B2935, B3428, B1207, B2938, B0870, B2379, B3225, B3940, B1687, B4117, B3380, B4232, B1281, B1680, B0149, B1316, B3617, B0823, B3857, B0945, B0824, B0903, B3212, B0186, B3211, B3772, B0586, B3137, B0344, B3338, B4381, B1190, B3053, B1393, B0184, B0776, B2955, B0414, B2836, B2519, B3926, B4015, B1464, B2234, B3288, B3081, B0600, B0369, B1854, B2508, B2903, B3916, B3674, B3432, B1131, B2143, B3430, B3431, B0320, B0167, B1014, B4006, B2304, B1335	378	375	3299	1.6291358024691358	0.008585526153358725	0.0021594272902728524	0.002132861400937334
GOTERM_BP_DIRECT	GO:0042908~xenobiotic transport	11	2.619047619047619	1.669545645616897E-5	B0448, B0449, B2074, B4044, B2076, B3265, B0462, B3673, B3513, B3514, B1663	379	20	3407	4.9441952506596305	0.010297879400383625	0.010334487546368593	0.010334487546368593
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	109	25.952380952380956	1.2001810993587063E-4	B1808, B3706, B0033, B2453, B0431, B1763, B1489, B1522, B3380, B4071, B1084, B4232, B2293, B4471, B2206, B0824, B3498, B4069, B1474, B2048, B0421, B3137, B0026, B4260, B2481, B0062, B0183, B2878, B3847, B0733, B4015, B4019, B3326, B0214, B0973, B3041, B3164, B0724, B2508, B1814, B2584, B2067, B4005, B2583, B3158, B2020, B2383, B2779, B2416, B0997, B3903, B3988, B2935, B0118, B1207, B2937, B2938, B2011, B0472, B3469, B0475, B2533, B1687, B3064, B3617, B1714, B1956, B3857, B3212, B1274, B2487, B2883, B3211, B0344, B2283, B2284, B2955, B2712, B3925, B0414, B0932, B3527, B3926, B1629, B0098, B4214, B4058, B3365, B2431, B2797, B1224, B1587, B2312, B0894, B3247, B1468, B2799, B2557, B0895, B1501, B3081, B0369, B1854, B0526, B3916, B3994, B2143, B2788, B2787	378	694	3299	1.3707477547535185	0.06590242632352805	0.013658060910702078	0.01349003555679186
GOTERM_MF_DIRECT	GO:0051539~4 iron, 4 sulfur cluster binding	28	6.666666666666667	2.7622598053958806E-4	B2481, B2283, B2284, B2878, B2955, B0118, B1629, B3365, B1683, B1587, B2797, B1224, B0894, B1468, B1501, B0895, B1687, B3081, B4471, B2206, B0724, B0824, B1814, B3994, B2487, B3158, B3211, B1474	378	119	3299	2.053532524120759	0.14522587852919544	0.0261954304878376	0.02587316684387475
GOTERM_BP_DIRECT	GO:0006164~purine nucleotide biosynthetic process	9	2.142857142857143	3.416860004448796E-4	B1207, B2508, B2507, B1131, B4005, B2500, B2312, B2557, B4006	379	18	3407	4.494722955145118	0.19093945127521084	0.10575181713769023	0.10575181713769023
GOTERM_MF_DIRECT	GO:0043546~molybdopterin cofactor binding	9	2.142857142857143	4.193234611936336E-4	B0997, B2206, B2283, B0283, B1474, B1224, B1587, B0894, B1468	378	18	3299	4.363756613756614	0.2119751674692799	0.03408500705988251	0.03366568359868887
GOTERM_MF_DIRECT	GO:0016740~transferase activity	91	21.666666666666668	5.092951423774187E-4	B4040, B4481, B4041, B3073, B2060, B3396, B3591, B2383, B3790, B2416, B3429, B1249, B3988, B2935, B3428, B1207, B2254, B3026, B4399, B2379, B3668, B3940, B1522, B1049, B3064, B1680, B0470, B0149, B1316, B3617, B1956, B3416, B3857, B2928, B0903, B2045, B0143, B1991, B0981, B0421, B0586, B3533, B1511, B3897, B2160, B0060, B3053, B3693, B0184, B0063, B0776, B3845, B2836, B1427, B1507, B2519, B3926, B2078, B0175, B2750, B3288, B4019, B3888, B2312, B0731, B2556, B2070, B4096, B3164, B0600, B1854, B3911, B2429, B0405, B3916, B2067, B2342, B3432, B2584, B2583, B2388, B2421, B3430, B3794, B2387, B2500, B0167, B0640, B4006, B1335, B0885	378	577	3299	1.3764362282559854	0.25125239651778586	0.036223617001593905	0.03577798375201366
