Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	165	23.4375	1.1324642634152401E-13	B2060, B4242, B2184, B3030, B1808, B2218, B0712, B2737, B0713, B0439, B3706, B1484, B4233, B0033, B0794, B2731, B3822, B2576, B2697, B3668, B2733, B2216, B3940, B4238, B1522, B4232, B3418, B1513, B2569, B3813, B3652, B4069, B1114, B2566, B2049, B0026, B0423, B0148, B3053, B0060, B4143, B3450, B3693, B0063, B0619, B1701, B2514, B2078, B4258, B4016, B2231, B2234, B3169, B2750, B3168, B0695, B3326, B1941, B0059, B3281, B2070, B4096, B3162, B3440, B3559, B0448, B0449, B2508, B2507, B0726, B4004, B0680, B2067, B4005, B2069, B3430, B1653, B0047, B1413, B2501, B0962, B4161, B2380, B2260, B4287, B0480, B0085, B2819, B1208, B1207, B3868, B0879, B3904, B3222, B4399, B3469, B3744, B2016, B1201, B0993, B0478, B3183, B4155, B3580, B0470, B2526, B0107, B1714, B1956, B3857, B2928, B0581, B0188, B0981, B0586, B2400, B3699, B3251, B0930, B3924, B1866, B3526, B2836, B1507, B3409, B3926, B3806, B4213, B0098, B0890, B1068, B1222, B1860, B3486, B4058, B0650, B0892, B3525, B2315, B2799, B2557, B2556, B4170, B0091, B2306, B0886, B2822, B1854, B2547, B3911, B0526, B0924, B3916, B2784, B3232, B2388, B0484, B0088, B0882, B2026, B0366, B3115, B2422, B0642, B2820	635	520	3299	1.6485009085402786	9.263256828262456E-11	9.274882317370816E-11	9.105012677858531E-11
GOTERM_MF_DIRECT	GO:0005524~ATP binding	143	20.3125	2.2403820276349178E-12	B2060, B4242, B2184, B3030, B1808, B2218, B0712, B2737, B0713, B0955, B0439, B1484, B4233, B0033, B0794, B2731, B3822, B2576, B2697, B3668, B2733, B2216, B3940, B4238, B3418, B1513, B3813, B3652, B4069, B1114, B3019, B0026, B0423, B0148, B3053, B4143, B3450, B3693, B0063, B0619, B1701, B2514, B2078, B4258, B4016, B2231, B2234, B2750, B0695, B3326, B1941, B0059, B2070, B4096, B3162, B3559, B0448, B0449, B2508, B2507, B4004, B2584, B0680, B4005, B2069, B3430, B1653, B1413, B2501, B0962, B2380, B2260, B4287, B0085, B2819, B1208, B1207, B3868, B0879, B3904, B3222, B4399, B3469, B3744, B2016, B1201, B0993, B4155, B3580, B0470, B2526, B0107, B1714, B2928, B0581, B0188, B0981, B0586, B2400, B3699, B3251, B0930, B1866, B3526, B2836, B1507, B3926, B3806, B0098, B0890, B1222, B1860, B3486, B4058, B0650, B0892, B2315, B2557, B0015, B2556, B4170, B0091, B2306, B0886, B2822, B1854, B2547, B3911, B0526, B0924, B3916, B2784, B3232, B2388, B0484, B0088, B0882, B2026, B0366, B3115, B2422, B0642, B2820	635	443	3299	1.67703026963616	1.832671792101337E-9	9.174364403164988E-10	9.00633575109237E-10
GOTERM_MF_DIRECT	GO:0016740~transferase activity	156	22.15909090909091	4.412238969118722E-7	B2060, B1095, B3396, B3671, B3790, B2218, B3429, B1249, B0679, B2737, B3428, B3829, B2297, B3146, B3546, B3668, B2216, B3940, B1522, B2290, B0149, B3416, B1757, B0948, B1990, B2045, B2044, B2564, B1992, B3650, B1991, B2324, B4349, B2049, B1113, B2323, B0421, B3899, B3533, B1511, B0423, B3897, B3930, B3053, B0060, B4385, B3693, B3295, B0063, B0184, B0619, B1428, B3845, B0459, B1427, B2519, B2078, B4016, B0175, B2750, B4014, B3288, B4019, B0695, B3447, B0731, B2070, B4096, B3164, B0600, B2747, B2584, B2067, B3432, B1099, B2583, B2465, B3430, B2222, B2585, B0166, B2500, B0167, B4006, B2501, B4040, B4041, B2380, B3073, B3591, B2383, B2416, B0754, B3988, B1208, B3900, B2935, B1207, B0758, B3904, B0231, B3222, B4399, B2379, B3987, B2378, B0993, B3863, B3621, B1049, B3064, B1680, B3580, B0470, B1316, B3617, B1956, B3857, B0903, B2928, B3177, B0981, B0586, B2920, B2160, B4100, B4340, B0776, B3526, B2836, B2715, B1507, B3926, B1222, B1101, B1463, B2312, B2556, B0090, B1855, B1854, B3911, B2429, B0405, B2829, B3916, B2386, B2784, B2388, B3114, B2421, B2387, B2662, B0640, B3115, B0885	635	577	3299	1.4046152376533523	3.6085610302660776E-4	1.2045412385694111E-4	1.1824800437238174E-4
GOTERM_BP_DIRECT	GO:0042908~xenobiotic transport	14	1.9886363636363635	5.798296589511971E-6	B4044, B2470, B2076, B2075, B0448, B0449, B3265, B0462, B3673, B3513, B0575, B3514, B1663, B1985	632	20	3407	3.7735759493670886	0.004933750203436005	0.004940148694264199	0.004928552101085175
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	105	14.914772727272727	1.2700247359260096E-5	B3396, B3671, B1249, B2979, B0713, B3428, B1241, B3546, B3940, B4238, B4117, B2290, B3380, B3260, B2052, B4232, B0149, B0823, B0945, B2564, B2324, B3656, B4381, B3053, B1393, B0184, B3605, B2519, B4015, B4379, B2234, B4014, B3288, B1424, B0600, B2747, B2508, B2903, B3674, B3432, B1131, B2465, B3430, B2585, B3431, B0167, B1014, B4006, B2501, B3073, B3591, B3076, B2383, B2416, B0754, B2935, B1207, B2938, B0870, B2016, B2379, B3863, B0114, B1687, B1281, B1680, B1316, B3617, B3857, B0903, B3212, B0581, B0186, B0980, B3211, B4146, B3612, B0586, B0344, B3338, B1190, B4340, B0776, B2955, B0414, B2836, B3926, B4213, B1464, B1982, B3081, B4297, B3919, B0369, B1854, B0403, B2829, B3916, B0120, B4049, B3114, B2024, B2662, B1851, B2026	635	375	3299	1.454677165354331	0.010335090409818615	0.0026003756468085046	0.0025527497192112795
GOTERM_BP_DIRECT	GO:0032508~DNA duplex unwinding	12	1.7045454545454544	1.4348086221565497E-5	B2822, B3813, B2184, B3652, B1808, B0890, B2819, B1860, B0892, B3822, B2820, B0962	632	16	3407	4.0431170886075956	0.012164413345157388	0.006112284730386902	0.0060979366441653365
GOTERM_MF_DIRECT	GO:0004386~helicase activity	16	2.272727272727273	2.6768596924541238E-5	B2184, B3162, B1808, B2819, B2822, B3813, B3652, B1860, B1653, B2576, B3822, B0059, B1413, B0148, B2820, B0962	635	27	3299	3.078681831437737	0.02165900626081907	0.004346871903650528	0.00426725886512213
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	44	6.25	3.184521541135918E-5	B2060, B2184, B4143, B3450, B4287, B1808, B0879, B0439, B1484, B0890, B4058, B0650, B3486, B0892, B3469, B0794, B3822, B2576, B2733, B2557, B1941, B0059, B4096, B4170, B3162, B0470, B2306, B0886, B2526, B1513, B2547, B0448, B0449, B3813, B4005, B3232, B2069, B0484, B0882, B2422, B0366, B1413, B0148, B0962	635	125	3299	1.828737007874016	0.02571343203452814	0.004346871903650528	0.00426725886512213
GOTERM_BP_DIRECT	GO:0016310~phosphorylation	52	7.386363636363637	1.3321800166803707E-4	B2380, B2060, B2383, B2218, B2416, B0679, B3900, B1208, B2737, B1207, B3904, B4399, B3222, B0993, B3668, B2216, B3940, B3580, B2928, B3650, B0981, B3899, B1511, B3897, B2160, B4385, B3693, B0063, B0619, B3526, B2715, B1507, B3926, B2078, B4016, B1222, B1101, B2750, B0695, B0731, B2556, B2070, B1854, B3911, B2429, B2829, B3916, B2784, B2388, B2387, B3115, B2501	632	170	3407	1.6489575577066269	0.10742302737173037	0.03783391247372253	0.0377451004726105
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	169	24.005681818181817	1.3978152514962513E-4	B4242, B2184, B3030, B3671, B1808, B0710, B0679, B3829, B3706, B1241, B0033, B2453, B0431, B1763, B2697, B0675, B0312, B4238, B1489, B1522, B3380, B1084, B4198, B4232, B4075, B4471, B2206, B0307, B3498, B3894, B4069, B1474, B3898, B0421, B1872, B1479, B0026, B4260, B3292, B2481, B0062, B0183, B3176, B2878, B3847, B0733, B4015, B4379, B1386, B4019, B3326, B3327, B2873, B0972, B2997, B0214, B0973, B3041, B2472, B3164, B1019, B2866, B0724, B2508, B1814, B0284, B2584, B2067, B4005, B2583, B3158, B0286, B2465, B2501, B2468, B4161, B0480, B2020, B2383, B2416, B0997, B3903, B3988, B2935, B0118, B1207, B2937, B0758, B2938, B2011, B0472, B0231, B3222, B3469, B0475, B2533, B0114, B1687, B1280, B3183, B3064, B2494, B3617, B1714, B1956, B3857, B3212, B2881, B2122, B1274, B3177, B2487, B3211, B1276, B4146, B3612, B1432, B0344, B2400, B1313, B3699, B4063, B2283, B2284, B2955, B2712, B3925, B0414, B0932, B3527, B3926, B1629, B4334, B4213, B0098, B4214, B4058, B3365, B2431, B2797, B1224, B2159, B2312, B0894, B2315, B3247, B1468, B2799, B2557, B0895, B0015, B1501, B1588, B3081, B0369, B1854, B0526, B2829, B3916, B3994, B0484, B1851, B0487, B3115, B2788, B1732, B2787, B2820, B0368	635	694	3299	1.2651319521659214	0.1080536373040929	0.016354438442506142	0.0160549066028998
