Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005524~ATP binding	186	21.653084982537834	9.713441764692951E-21	B2060, B4242, B3030, B1808, B2218, B1888, B0712, B2737, B3702, B0713, B0955, B0439, B1484, B0032, B0033, B3026, B0397, B0794, B3822, B2576, B2697, B3668, B2216, B3940, B4238, B4350, B0151, B0820, B3418, B1513, B3813, B1636, B3652, B0660, B0143, B4069, B1114, B3931, B3778, B3019, B0026, B0148, B3053, B4143, B3450, B3693, B0063, B1701, B2514, B1706, B0570, B2078, B4258, B2231, B0330, B2234, B2750, B0695, B3326, B1941, B0059, B0697, B0852, B0335, B2070, B4096, B3560, B0171, B3162, B2592, B2988, B3559, B0448, B0449, B2508, B2507, B2584, B4005, B2066, B2069, B3430, B1653, B1413, B2501, B0962, B2380, B4287, B3352, B2780, B0085, B2819, B2812, B3749, B1208, B0910, B1207, B3868, B0879, B3463, B4035, B1321, B0199, B3222, B1441, B4399, B3469, B3744, B2016, B1201, B0993, B4391, B2491, B0194, B0470, B0864, B2526, B0107, B1714, B1713, B2928, B0581, B3178, B0185, B3210, B0188, B2126, B0981, B0586, B2400, B3973, B3732, B3699, B3251, B1866, B3526, B2836, B0933, B1900, B1507, B0417, B3926, B3806, B3883, B0098, B0890, B1222, B1860, B3486, B4058, B0650, B0892, B0014, B0652, B2675, B2557, B0015, B2556, B3480, B4170, B0091, B2306, B0886, B2822, B1854, B2547, B3911, B0526, B0924, B3916, B2781, B2784, B3232, B2388, B0484, B0088, B3992, B0760, B2786, B0882, B0002, B2026, B0366, B2422, B0642, B2942, B2820	774	443	3299	1.7895777556127181	9.111208375281989E-18	9.120921817046681E-18	9.023787399399752E-18
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	206	23.981373690337602	1.7117245031644308E-19	B1808, B2218, B0712, B0713, B3421, B1484, B0032, B0033, B0397, B2576, B2697, B3668, B2216, B0151, B3418, B0820, B2569, B3652, B0143, B4069, B1114, B2566, B3778, B3536, B0026, B0148, B0060, B3450, B3693, B0063, B1701, B1706, B2231, B2234, B3326, B1941, B0059, B0852, B4096, B3560, B3440, B0171, B2592, B3559, B0726, B3430, B0047, B0962, B4287, B2780, B3749, B1208, B0910, B1207, B3868, B1321, B4035, B1441, B4399, B3744, B1201, B0478, B3183, B4391, B4154, B0470, B2526, B0107, B3857, B0581, B3178, B0586, B2400, B3973, B3732, B3526, B0933, B1900, B3409, B3883, B1222, B4058, B0014, B3525, B2675, B2799, B2557, B2556, B4170, B2306, B2547, B0924, B2781, B2784, B0484, B3992, B2786, B0002, B2422, B0366, B2060, B4242, B3030, B1888, B2737, B3702, B0439, B3706, B3026, B0794, B3822, B3940, B4238, B4232, B4350, B1513, B3813, B1636, B0660, B3931, B3053, B4143, B2514, B0570, B2078, B4258, B0330, B2750, B3168, B0695, B0697, B0335, B2070, B3162, B2988, B0448, B0449, B2508, B2507, B2067, B4005, B2066, B2069, B1653, B1413, B2501, B2380, B3352, B0085, B2819, B2812, B0879, B3463, B3222, B0199, B3469, B2016, B0993, B3340, B2491, B0194, B0864, B1714, B1956, B1713, B2928, B0185, B3210, B0188, B0981, B2126, B3699, B3251, B3924, B1866, B2836, B0417, B1507, B3926, B3806, B4213, B0098, B0890, B1068, B1860, B0650, B3486, B0892, B0652, B3480, B0091, B0886, B2822, B1854, B3911, B0526, B3916, B3232, B2388, B0088, B0760, B0882, B2026, B2942, B0642, B2820	774	520	3299	1.6885161995627112	1.605597583968236E-16	8.036546542357003E-17	7.95096031719878E-17
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	141	16.41443538998836	8.166674872474778E-11	B1090, B3791, B4122, B3396, B3671, B1493, B1249, B3947, B0713, B3428, B0714, B3708, B1241, B0154, B3546, B4119, B3940, B4238, B4117, B4359, B2290, B3380, B3260, B2052, B2172, B4232, B4350, B0149, B2965, B0823, B0824, B0945, B3939, B2564, B3772, B4469, B4381, B3053, B1393, B0184, B3605, B2519, B4015, B1263, B1387, B2234, B3288, B0454, B1424, B1302, B3600, B0171, B2988, B0600, B3955, B2747, B3956, B2508, B2903, B3674, B3432, B1131, B2465, B3430, B2585, B3431, B1378, B0167, B1014, B4006, B2501, B3073, B3591, B3076, B2383, B2416, B0754, B2935, B1207, B2938, B2133, B0199, B0870, B2016, B2379, B3225, B3863, B0114, B1687, B1281, B1680, B1316, B3617, B3857, B0868, B0903, B3212, B0581, B4301, B3730, B0186, B3211, B3612, B0586, B0344, B3338, B1190, B3132, B0776, B0414, B2836, B3926, B0130, B4213, B1464, B1982, B2675, B3081, B4297, B3919, B3517, B0369, B3639, B1854, B0403, B3878, B2829, B3916, B2264, B4049, B2143, B3991, B3114, B2024, B2662, B0002, B3359, B1851, B2026, B2304, B1335	774	375	3299	1.6026149870801034	7.66034409238614E-8	2.5561692350846058E-8	2.52894698550969E-8
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	61	7.1012805587892895	7.918233642190072E-10	B2060, B3352, B4287, B1808, B3749, B0879, B0439, B1484, B3463, B4035, B0199, B1441, B3469, B0794, B3822, B2576, B4391, B0470, B0151, B0864, B2526, B1513, B3813, B2729, B3178, B3931, B3778, B0148, B4143, B3450, B0933, B1900, B0890, B3486, B4058, B0650, B0892, B0014, B0652, B1941, B0059, B2557, B4096, B3480, B4170, B3162, B2592, B2306, B0886, B2547, B0448, B0449, B4005, B2069, B0484, B3232, B0882, B0366, B2422, B1413, B0962	774	125	3299	2.0799896640826874	7.427300592333097E-7	1.8588053475041195E-7	1.8390097633986445E-7
GOTERM_BP_DIRECT	GO:0008152~metabolic process	48	5.587892898719441	1.4893785483616084E-5	B3053, B3396, B3076, B0414, B2836, B3428, B1207, B2519, B0714, B3926, B4213, B1263, B1241, B2132, B1387, B2234, B0199, B1982, B4119, B2675, B3940, B2052, B0171, B4232, B0030, B0149, B2988, B1316, B0369, B0403, B1854, B3639, B3878, B3956, B3519, B3916, B3730, B3430, B3431, B3772, B0002, B0167, B1014, B2026, B0344, B0586, B3338, B4006	765	119	3407	1.7964079749546875	0.014534046238229625	0.014625697344910994	0.01456612220297653
GOTERM_MF_DIRECT	GO:0016874~ligase activity	41	4.772991850989523	1.796555516464128E-5	B2780, B0085, B2812, B1866, B1701, B2712, B2514, B3647, B2836, B3421, B0032, B4258, B0033, B3744, B2411, B2697, B2557, B0852, B0335, B0091, B3560, B0194, B2988, B3617, B3639, B1714, B3559, B0526, B1713, B2507, B0581, B0185, B4005, B0088, B4069, B0188, B2400, B0586, B0642, B0026, B3973	774	93	3299	1.8790669889694647	0.01671064409135159	0.0033739312599196324	0.00333800014959035
GOTERM_BP_DIRECT	GO:0042908~xenobiotic transport	14	1.629802095459837	5.219152930618937E-5	B2074, B4044, B2076, B2075, B0448, B0449, B3265, B0462, B3266, B3673, B3513, B0575, B3514, B1663	765	20	3407	3.1175163398692813	0.05001170182967907	0.02562604088933898	0.025521657830726602
GOTERM_MF_DIRECT	GO:0004386~helicase activity	17	1.979045401629802	6.550298911213417E-5	B3162, B4350, B1808, B2819, B2822, B3813, B3652, B1860, B1653, B2576, B3778, B3822, B0059, B1413, B0148, B2820, B0962	774	27	3299	2.683653938175902	0.059594220161330425	0.010251217796048998	0.010142046147528774
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	110	12.805587892898721	1.3702951021097296E-4	B3270, B2062, B1492, B0832, B1645, B1528, B2298, B1484, B3542, B4115, B0153, B3265, B0793, B3266, B1125, B3547, B1487, B1245, B0830, B2292, B2170, B0270, B0709, B1514, B0427, B4464, B2685, B1596, B2841, B1630, B3258, B3654, B0940, B4261, B2240, B3726, B0612, B1828, B2077, B0575, B1663, B2074, B2076, B2075, B0448, B3714, B0449, B1252, B3673, B1015, B0960, B0047, B3679, B4044, B3473, B4287, B1053, B1206, B1729, B3586, B2133, B3224, B4159, B3463, B2014, B0199, B1441, B0478, B4033, B3063, B2801, B2888, B2008, B0462, B2882, B0067, B3453, B3216, B1312, B0861, B0465, B3457, B3370, B1191, B4067, B4460, B1592, B1469, B0810, B0933, B3089, B1065, B3486, B3006, B1223, B3523, B3240, B0886, B0402, B2307, B1296, B3474, B1453, B4288, B4289, B0760, B3513, B3514, B2389, B2546	765	359	3407	1.3646112112440147	0.12603000826791022	0.044854326342391816	0.04467162032877719
GOTERM_MF_DIRECT	GO:0016740~transferase activity	170	19.79045401629802	2.0426219227792804E-4	B4481, B1090, B1092, B2060, B3791, B1095, B3396, B3671, B3790, B2581, B2218, B3429, B1888, B1249, B3947, B0679, B2737, B3428, B3829, B0838, B2297, B2330, B3026, B3546, B3789, B3668, B2216, B3940, B0038, B4359, B2290, B2050, B0149, B1912, B3416, B1636, B3939, B2045, B2044, B2564, B1992, B0143, B2047, B3650, B1991, B4349, B2323, B0421, B3899, B3533, B1511, B3897, B3930, B3053, B0060, B3693, B0063, B0184, B3845, B1427, B2519, B1706, B0570, B2078, B1263, B0175, B2750, B3288, B4019, B0695, B1302, B2070, B4096, B4012, B0171, B3164, B0600, B3955, B2747, B2221, B2584, B2067, B3432, B1099, B2583, B2066, B2465, B3430, B3794, B2585, B0166, B2500, B0167, B4006, B2501, B4041, B2380, B3073, B3591, B2383, B2416, B0754, B3988, B1208, B0910, B2935, B1207, B3620, B0231, B3222, B4399, B2379, B3987, B0993, B3863, B3621, B1049, B3064, B1680, B0470, B1316, B3617, B1956, B4307, B3857, B0903, B2928, B0185, B3730, B3210, B2126, B0981, B0586, B2920, B4100, B2042, B0776, B0657, B3526, B2836, B1507, B0417, B3926, B3883, B1222, B2312, B3888, B2556, B1854, B3911, B2429, B0405, B2829, B0925, B3916, B2264, B3991, B2784, B2388, B3114, B3992, B2387, B2662, B2786, B0640, B0002, B3359, B2942, B0885, B1335	774	577	3299	1.255782605385604	0.17437739713558775	0.027400314078424918	0.027108510946599308
