Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	275	20.66115702479339	1.8885898040233284E-17	B1808, B2218, B0712, B0713, B3421, B1484, B0032, B0033, B0397, B2576, B2697, B3668, B2216, B1247, B1126, B2699, B0151, B0949, B3418, B2569, B0826, B3652, B0143, B4069, B1114, B2566, B3778, B0388, B0026, B0148, B0060, B3450, B3693, B0063, B1709, B0619, B1701, B0855, B2912, B1706, B0618, B2474, B2231, B2234, B2113, B3201, B3326, B1941, B0059, B0852, B4096, B3440, B0171, B2592, B3559, B0726, B2220, B3430, B1133, B0047, B0962, B4161, B4287, B0480, B2780, B3869, B3749, B3746, B1208, B2418, B1207, B3868, B0914, B1321, B0594, B0473, B1441, B4399, B3744, B1201, B0478, B3183, B4391, B4154, B4155, B2890, B4394, B0470, B2526, B0107, B3857, B0581, B4389, B3178, B4024, B3734, B0586, B2400, B3973, B3732, B3526, B0933, B1900, B3409, B3883, B1343, B4058, B0014, B3525, B2554, B2675, B2799, B2315, B2557, B2556, B2677, B4052, B4170, B4177, B0809, B2306, B2547, B0924, B2781, B2784, B0484, B4167, B3992, B2786, B0002, B2422, B0003, B0366, B3271, B2060, B4242, B2184, B3030, B1888, B2737, B3702, B0438, B0439, B3706, B4112, B3026, B0794, B2731, B3700, B3822, B2733, B3940, B4238, B1522, B0797, B3384, B4232, B4350, B3935, B1513, B1876, B3813, B1636, B2727, B0781, B0660, B0782, B3931, B2049, B0423, B3053, B4143, B4386, B2514, B0570, B2078, B4258, B4016, B2751, B0330, B2750, B3168, B0695, B2511, B0697, B0335, B3281, B2070, B4375, B3162, B0448, B0449, B2508, B2507, B3959, B4004, B2067, B4005, B2069, B1653, B1413, B2501, B1291, B2260, B3352, B0085, B2819, B1609, B2812, B0876, B1603, B0879, B3904, B1849, B3463, B3222, B3464, B3469, B0871, B2499, B0993, B3340, B2491, B3580, B0864, B1714, B3339, B1956, B1713, B2928, B0185, B3210, B0188, B0981, B2126, B3699, B3374, B3251, B3924, B1866, B2836, B0779, B0417, B1507, B3926, B3806, B4213, B0098, B0890, B1068, B1860, B0650, B3486, B0892, B0652, B3480, B0091, B2153, B0765, B0886, B2822, B0887, B1854, B3911, B0526, B3916, B3232, B2388, B0088, B0760, B0882, B3115, B2942, B0642, B2820	1194	520	3299	1.4611921788429327	2.3569600754211137E-14	2.358848665225137E-14	2.330519818164787E-14
GOTERM_MF_DIRECT	GO:0005524~ATP binding	240	18.031555221637866	2.0315073535093007E-16	B1808, B2218, B0712, B0713, B0955, B1484, B0032, B0033, B0397, B2576, B2697, B3668, B2216, B1247, B1126, B2699, B0151, B0949, B3418, B0826, B3652, B0143, B4069, B1114, B3778, B0388, B0026, B0148, B3450, B3693, B0063, B1709, B0619, B1701, B0855, B2912, B1706, B0618, B2474, B2231, B2234, B2113, B3201, B3326, B1941, B0059, B0852, B4096, B0171, B2592, B3559, B2584, B2220, B3430, B1133, B0962, B4287, B2780, B3869, B3749, B3746, B1208, B2418, B1207, B3868, B0914, B1321, B0594, B0473, B1441, B4399, B3744, B1201, B4391, B4155, B2890, B0470, B2526, B0107, B0581, B4389, B3178, B4024, B3734, B0586, B2400, B3973, B3732, B3526, B0933, B1900, B3883, B1343, B4058, B0014, B2554, B2675, B0015, B2315, B2557, B2556, B2677, B4052, B4170, B0809, B2306, B2547, B0924, B2781, B2784, B0484, B4167, B3992, B2786, B0002, B2422, B0003, B0366, B3271, B2060, B4242, B2184, B3030, B1888, B2737, B3702, B0438, B0439, B4112, B3026, B0794, B2731, B3700, B3822, B2733, B3940, B4238, B0797, B3384, B4350, B3935, B1513, B1876, B3813, B1636, B0660, B3931, B3019, B0423, B3053, B4143, B4386, B2514, B0570, B2078, B4258, B4016, B2751, B0330, B2750, B0695, B0697, B0335, B2070, B3162, B0448, B0449, B2508, B2507, B3959, B4004, B4005, B2069, B1653, B1413, B2501, B1291, B2260, B3352, B0085, B2819, B1609, B2812, B0876, B0879, B3904, B1849, B3463, B3222, B3469, B2499, B0993, B2491, B3580, B0864, B1714, B1713, B2928, B0185, B3210, B0188, B0981, B2126, B3699, B3374, B3251, B1866, B2836, B0779, B0417, B1507, B3926, B3806, B0098, B0890, B1860, B0650, B3486, B0892, B0652, B3480, B0091, B0094, B0765, B0886, B2822, B0887, B1854, B3911, B0526, B3916, B3232, B2388, B0088, B0760, B0882, B3115, B2942, B0642, B2820	1194	443	3299	1.496874893655637	2.7711166694643907E-13	1.2686763422665582E-13	1.2534400371152385E-13
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	199	14.951164537941397	2.047785719339085E-12	B3791, B1491, B3671, B1249, B0713, B3428, B0714, B1241, B0154, B3546, B0271, B0149, B0823, B0824, B0945, B3771, B2564, B3772, B2324, B3656, B0269, B3571, B0184, B1393, B0732, B0616, B2917, B0618, B1263, B1387, B2234, B0171, B1262, B0600, B2903, B3432, B3674, B1131, B2465, B3430, B3431, B2585, B0167, B1378, B1498, B1014, B3073, B3076, B2416, B1207, B0350, B3189, B3863, B0114, B1687, B1680, B1316, B3617, B3857, B0109, B0903, B0581, B3730, B4024, B3612, B0586, B0344, B0104, B2551, B0130, B1464, B2675, B3081, B4297, B3517, B0369, B3639, B3878, B3993, B0120, B4049, B0121, B3991, B4167, B2662, B0002, B3635, B2304, B1335, B1090, B3396, B4122, B1096, B3947, B2979, B3708, B4114, B4239, B4119, B3940, B4238, B4359, B4117, B2290, B3380, B3260, B2052, B2172, B4232, B4350, B2965, B0789, B3939, B0781, B0661, B3376, B2961, B3137, B2601, B4468, B4469, B4381, B3053, B3605, B2517, B3846, B2519, B4015, B4379, B0693, B3288, B4014, B0454, B1424, B3600, B4131, B3955, B2747, B3956, B2508, B0320, B4006, B2501, B2021, B3591, B2383, B0754, B2935, B0518, B2938, B2133, B1046, B2256, B0870, B2255, B2379, B0871, B3225, B2810, B1281, B0868, B0507, B3212, B4301, B0186, B2245, B0980, B3211, B3338, B1190, B3132, B4340, B0776, B2955, B0414, B2836, B3801, B3926, B4213, B3800, B1982, B0774, B1622, B1180, B2153, B3919, B1734, B1612, B1854, B0403, B0529, B2829, B3916, B4323, B2264, B2143, B2024, B3359, B1851	1194	375	3299	1.466222222222222	2.5556623484135343E-9	8.52561454484839E-10	8.423225258881435E-10
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	81	6.08564988730278	1.0823687244120477E-10	B3271, B2060, B2184, B3352, B4287, B1808, B3749, B3746, B0438, B0879, B0439, B0914, B1484, B3463, B0473, B1441, B3469, B0794, B3822, B2576, B2733, B1247, B1126, B0797, B4391, B0470, B0151, B0949, B0864, B2526, B1513, B3813, B2729, B3178, B3931, B3778, B0148, B4143, B3450, B1709, B0855, B0933, B1900, B0779, B0890, B2113, B1343, B3201, B3486, B4058, B0650, B0892, B0014, B0652, B1941, B0059, B2557, B2677, B4096, B3480, B4052, B4170, B3162, B2592, B0809, B0765, B2306, B0886, B0887, B2547, B0448, B0449, B4005, B2069, B0484, B3232, B0882, B0366, B2422, B1413, B0962	1194	125	3299	1.7904120603015077	1.3507959706338113E-7	3.379696341976619E-8	3.339107514811167E-8
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	169	12.697220135236664	3.2979756637093464E-7	B3270, B4082, B0040, B1492, B0718, B4080, B1645, B1528, B2298, B1484, B3542, B2177, B4115, B0153, B0396, B3265, B2179, B0793, B3266, B2178, B1125, B3667, B3547, B1487, B1245, B0830, B1126, B2292, B0270, B1918, B0709, B1514, B1755, B1634, B1515, B0427, B3653, B3496, B4464, B2685, B1596, B2841, B2686, B1630, B0940, B4261, B4262, B2240, B1709, B3726, B0612, B0855, B0857, B1828, B3685, B2077, B0572, B3201, B0575, B1663, B3040, B2470, B2074, B2076, B2075, B1657, B0448, B3714, B0449, B3035, B3795, B1252, B3673, B1015, B0960, B2587, B0047, B3679, B3710, B1293, B4044, B3473, B4287, B1691, B1053, B3350, B1206, B1601, B3746, B0878, B1729, B0914, B3586, B2133, B3224, B4159, B3463, B2014, B2497, B1441, B0353, B0752, B0478, B4033, B3063, B0590, B2130, B2801, B0589, B2888, B2008, B1711, B0462, B2882, B0067, B0463, B3216, B1312, B0861, B0465, B1311, B3457, B3370, B1191, B4067, B4064, B4460, B1592, B4065, B0898, B0933, B3927, B3089, B1065, B3364, B3486, B2156, B1342, B3006, B1223, B1985, B0654, B3523, B3241, B3240, B0808, B0886, B0402, B0887, B2789, B1216, B2307, B1616, B3915, B1296, B3078, B3474, B1453, B4288, B4289, B0760, B3513, B0365, B2423, B3514, B3877, B2389, B2546, B3358	1181	359	3407	1.358046035298918	3.9633817740791777E-4	3.960868772114925E-4	3.954272820787506E-4
GOTERM_BP_DIRECT	GO:0008152~metabolic process	68	5.108940646130729	7.048662780015052E-7	B1491, B3396, B3076, B3428, B1207, B0714, B1241, B2132, B2255, B4239, B4119, B3940, B1081, B2052, B4232, B0271, B0030, B0149, B1316, B3730, B4024, B0980, B3772, B3656, B2324, B0586, B0344, B3338, B2961, B3053, B3571, B0732, B0414, B2836, B3846, B2519, B2716, B3926, B4213, B1263, B1387, B2234, B1982, B2675, B3721, B0171, B2153, B1262, B3080, B1734, B0369, B0403, B3639, B1854, B3878, B3956, B0529, B3519, B3916, B0120, B4167, B3430, B3431, B0002, B0167, B3635, B1014, B4006	1181	119	3407	1.6484819160517719	8.468907501988365E-4	4.2327219993990386E-4	4.2256733366190236E-4
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	169	12.697220135236664	4.027035001539899E-6	B1525, B1007, B1406, B2979, B1802, B2210, B1241, B2212, B4079, B2453, B2574, B1521, B3942, B0311, B2455, B0312, B3940, B4238, B3260, B4071, B2052, B2172, B2206, B2723, B0425, B0824, B0945, B3894, B3012, B3774, B4467, B1474, B4465, B3017, B0662, B2324, B1872, B1479, B4468, B1478, B2481, B1271, B2483, B2482, B2878, B3605, B3846, B3608, B1781, B4136, B4379, B1387, B2234, B1386, B1301, B2994, B1300, B2997, B3600, B0973, B3281, B3160, B2195, B3440, B0608, B2907, B1415, B1019, B2866, B0723, B0724, B2508, B0726, B2903, B0606, B2906, B0284, B3553, B3674, B0285, B0043, B3433, B0286, B3551, B3039, B0046, B1378, B1014, B4249, B1412, B2468, B3070, B2020, B0997, B1603, B0517, B2133, B3102, B2255, B0596, B1444, B0871, B3588, B0114, B1687, B0599, B4154, B0073, B0509, B3212, B2881, B1395, B2880, B2487, B4266, B0221, B2489, B2763, B2766, B1313, B0104, B2283, B4187, B2285, B3924, B0414, B1109, B1746, B0935, B0419, B3001, B1068, B1189, B4211, B3003, B3365, B2431, B1224, B1587, B3800, B0894, B2675, B1468, B2799, B1501, B2711, B0896, B1588, B3081, B0888, B0801, B0529, B2661, B4323, B4049, B2660, B2542, B1210, B2541, B0243, B0123, B1059, B0002, B1971, B0124, B1699, B1732, B2545, B0368	1194	356	3299	1.311640129486383	0.005013141851184844	0.0010059533433846668	9.93872238380047E-4
GOTERM_BP_DIRECT	GO:0042908~xenobiotic transport	18	1.35236664162284	4.855590323500366E-6	B2074, B4044, B2470, B2076, B2075, B0448, B0449, B0914, B3265, B0462, B0463, B3266, B3673, B3513, B0575, B3514, B1663, B1985	1181	20	3407	2.596359017781541	0.0058194348461592105	0.00194385465950798	0.0019406175992923132
GOTERM_MF_DIRECT	GO:0004386~helicase activity	22	1.6528925619834711	1.149742747076849E-5	B4052, B2184, B3162, B4350, B1808, B2819, B3935, B2822, B3813, B3652, B1860, B1343, B1653, B2576, B3778, B3822, B0059, B1413, B0148, B2820, B0962, B0797	1194	27	3299	2.251318319995037	0.014246417528412159	0.0023933811518316406	0.002364637583154719
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	298	22.389181066867017	2.894419091010733E-5	B3671, B1808, B0710, B1802, B0714, B3421, B1241, B2212, B0033, B4079, B2453, B3789, B2697, B1489, B4071, B2690, B4198, B4075, B2206, B0824, B0826, B3894, B3774, B3771, B4069, B1474, B3898, B0388, B0026, B1479, B2205, B1478, B2481, B3571, B0061, B0183, B0062, B1822, B0732, B0733, B0734, B3449, B0616, B2917, B1706, B2113, B1386, B3326, B3327, B0852, B0973, B2472, B4098, B0608, B1019, B1813, B0724, B1814, B0284, B2584, B0285, B0164, B2583, B0286, B2465, B3551, B1378, B1498, B2468, B4161, B4162, B0480, B2780, B2416, B0237, B2779, B2418, B0118, B3988, B1207, B0472, B0231, B2533, B0475, B2411, B0114, B1687, B0599, B3183, B3064, B2890, B4394, B0909, B3617, B3857, B1317, B4389, B2881, B3178, B3730, B2883, B4388, B3612, B2763, B2400, B1432, B0344, B2523, B0104, B1313, B2644, B4063, B0261, B0932, B3527, B2431, B4058, B1100, B2797, B1224, B1587, B2312, B2799, B0015, B2315, B1468, B2557, B1588, B3081, B4177, B3080, B0369, B3639, B3993, B2781, B3994, B0484, B4167, B3992, B0123, B3635, B2788, B2787, B0126, B2545, B0368, B4242, B2184, B3030, B4122, B3947, B0679, B0438, B3829, B3706, B3942, B0431, B1763, B4119, B0675, B0312, B4238, B1522, B3380, B1084, B4232, B2051, B4471, B3935, B0307, B0549, B2727, B2729, B3498, B4467, B0781, B0661, B1872, B2961, B2048, B0421, B3137, B4469, B4260, B3292, B3176, B3054, B3847, B2878, B0337, B2517, B2879, B4015, B0570, B4378, B4379, B4019, B2994, B2873, B2997, B0697, B0214, B3041, B2194, B3164, B0688, B2746, B0446, B2866, B2508, B3399, B2067, B4005, B3158, B3039, B2501, B2261, B2383, B2020, B0997, B3903, B2935, B2937, B0758, B1849, B2938, B2011, B3222, B3469, B0871, B1960, B1280, B3583, B0073, B2494, B1714, B1956, B1713, B1955, B3212, B4301, B2122, B1274, B2487, B2245, B3211, B1276, B2489, B3699, B2283, B2285, B2284, B2955, B1623, B3925, B2712, B0414, B3801, B0417, B3926, B3927, B1629, B4334, B4213, B0098, B4214, B3365, B0771, B2159, B3800, B0894, B3247, B0895, B1501, B3128, B1180, B2153, B0096, B1734, B1612, B0766, B1854, B1856, B0526, B0406, B2829, B3916, B2265, B2264, B0087, B2143, B1851, B1971, B3115, B1732, B2821, B2942, B2820	1194	694	3299	1.18640995563794	0.035478227512916294	0.005164470635246293	0.005102447369010349
