Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0016740~transferase activity	13	30.23255813953488	0.00956021399725164	B1680, B0184, B3617, B1854, B3988, B2519, B3916, B2045, B3432, B0981, B4006, B2556, B1049	35	577	3299	2.123644466452092	0.6523929774694477	1.0	1.0
GOTERM_CC_DIRECT	GO:0005829~cytosol	19	44.18604651162791	0.02571561961987929	B3162, B4232, B1086, B2230, B0062, B0184, B2020, B2526, B2514, B3617, B1854, B3988, B0726, B3916, B3432, B4179, B2533, B2557, B4006	35	1051	2976	1.5371482941416337	0.47863304545270946	0.6428904904969822	0.6428904904969822
GOTERM_BP_DIRECT	GO:0070417~cellular response to cold	2	4.651162790697675	0.03051225000636111	B2526, B3162	36	3	3407	63.09259259259259	0.9771879791413264	1.0	1.0
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	11	25.581395348837212	0.03200134697566412	B2526, B1854, B2514, B3162, B0726, B4232, B3916, B2819, B0981, B2557, B2556	35	520	3299	1.993901098901099	0.9720602298888478	1.0	1.0
GOTERM_BP_DIRECT	GO:0008152~metabolic process	5	11.627906976744185	0.032132992464875984	B1854, B2519, B4232, B3916, B4006	36	119	3407	3.976423902894491	0.981399968163446	1.0	1.0
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	9	20.930232558139537	0.03290447476837906	B1854, B3617, B2519, B4232, B1680, B3916, B0184, B3432, B4006	35	375	3299	2.2621714285714285	0.9747866171338633	1.0	1.0
GOTERM_BP_DIRECT	GO:0030388~fructose 1,6-bisphosphate metabolic process	2	4.651162790697675	0.04048054355801302	B4232, B3916	36	4	3407	47.31944444444444	0.993535099764121	1.0	1.0
GOTERM_BP_DIRECT	GO:0006002~fructose 6-phosphate metabolic process	2	4.651162790697675	0.04048054355801302	B4232, B3916	36	4	3407	47.31944444444444	0.993535099764121	1.0	1.0
GOTERM_MF_DIRECT	GO:0000287~magnesium ion binding	6	13.953488372093023	0.042861126395895684	B1854, B3988, B0726, B4232, B3916, B2533	35	190	3299	2.9765413533834586	0.991923093212335	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	9	20.930232558139537	0.07594192812411717	B2526, B1854, B2514, B3162, B3916, B2819, B0981, B2557, B2556	35	443	3299	1.914930667526604	0.9998313760897679	1.0	1.0
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	15	34.883720930232556	0.08321876930945332	B3162, B4232, B1680, B0062, B0184, B2020, B2514, B3617, B1854, B3988, B3916, B3432, B4179, B2533, B2557	35	859	2976	1.4847829702311657	0.8860687572812965	1.0	1.0
