Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	345	10.087719298245613	8.787933993477304E-15	B4082, B0040, B4086, B1492, B0718, B4080, B4081, B0831, B0832, B1801, B1484, B3542, B0153, B3543, B1483, B3664, B1244, B0396, B1486, B0155, B2211, B1243, B1485, B3662, B1125, B3667, B1124, B1245, B3547, B1487, B3544, B1006, B1126, B0830, B3666, B4077, B0270, B1918, B0829, B0709, B1117, B3659, B0262, B3653, B2201, B2322, B2685, B1596, B3657, B2686, B3654, B1599, B0940, B3451, B2240, B3691, B1709, B0612, B0855, B0856, B0857, B0738, B1828, B3685, B3201, B3568, B2470, B0842, B0845, B2109, B0847, B3795, B1252, B2344, B0045, B3673, B1015, B0047, B0960, B2587, B3679, B1256, B2347, B3196, B4044, B4287, B1691, B1206, B0479, B2536, B3746, B1329, B0914, B2771, B4159, B2410, B1442, B4156, B1441, B0353, B2775, B0112, B1443, B0478, B4033, B4034, B3063, B0590, B4031, B2098, B0591, B4032, B0589, B2888, B2406, B0904, B1791, B4148, B0341, B0462, B2882, B0463, B1312, B1311, B0465, B3093, B3095, B4067, B0260, B4064, B1592, B4065, B0818, B1469, B0139, B2679, B0810, B0933, B0934, B0813, B0936, B3089, B1342, B1223, B0377, B2678, B3523, B0808, B2789, B0007, B1216, B0128, B2308, B2307, B1330, B3078, B4288, B2663, B1453, B3750, B4289, B3876, B0486, B3513, B0365, B2423, B3877, B3514, B3874, B2546, B0367, B3754, B2424, B2180, B3270, B2182, B2062, B4485, B4120, B0314, B1645, B1769, B1528, B2298, B4356, B2177, B4115, B3144, B0792, B3265, B2179, B3266, B0793, B2178, B3943, B3269, B0433, B1644, B2292, B2170, B4231, B3020, B4111, B4230, B1514, B1755, B1634, B1515, B0427, B3816, B4464, B3496, B2841, B1630, B3258, B4105, B4261, B4262, B4141, B3726, B0336, B3727, B1429, B3849, B0692, B2077, B0572, B0574, B1543, B0575, B1663, B0576, B0577, B3040, B4132, B2074, B4130, B2076, B2075, B1657, B0448, B3714, B0449, B3035, B0681, B1534, B1775, B3710, B1293, B1292, B3473, B3110, B1053, B3350, B1294, B3471, B1601, B0513, B0878, B1605, B1729, B3586, B2133, B3224, B0198, B3463, B2014, B4311, B0199, B2497, B2258, B4317, B0752, B0070, B2492, B2131, B2493, B2372, B2130, B2801, B1711, B2008, B2924, B4544, B3452, B0067, B3453, B3216, B0068, B2246, B0861, B3456, B2128, B0862, B0983, B3457, B3370, B1191, B4460, B3009, B0898, B0899, B2835, B3927, B3367, B1065, B3364, B0770, B3485, B1981, B3486, B2156, B3006, B3127, B3005, B0532, B0411, B0653, B1985, B4337, B0654, B3241, B2392, B3240, B0886, B0402, B2943, B0887, B4208, B1859, B1858, B1616, B3915, B3476, B3597, B1296, B3477, B3474, B0760, B2148, B2389, B3478, B3358, B0764, B3479	2833	359	3407	1.1557135510944923	1.561195617227895E-11	1.5633734574396126E-11	1.5633734574396126E-11
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	497	14.532163742690058	1.6057991118701975E-14	B1490, B2461, B1129, B2218, B2459, B2219, B3421, B0394, B1484, B3422, B0032, B1483, B0033, B3540, B3783, B2211, B0397, B3541, B1004, B1246, B2576, B2697, B3668, B2216, B1126, B1247, B2699, B3780, B0151, B3418, B1117, B2569, B1119, B0262, B3652, B0142, B0143, B2201, B0385, B0144, B1114, B2566, B3778, B3536, B0025, B0388, B0026, B0148, B2688, B2567, B0060, B3450, B1270, B3693, B0063, B3570, B2474, B3564, B2231, B3323, B2234, B2113, B2476, B3201, B3326, B2114, B0059, B3205, B3567, B3560, B3440, B0171, B1020, B2592, B3559, B2220, B3430, B1133, B2104, B2103, B0047, B3437, B2469, B0480, B2780, B3869, B3749, B3746, B1208, B2418, B3868, B1207, B1682, B0594, B3980, B1321, B0473, B1441, B0474, B3744, B3865, B1323, B1201, B0477, B0478, B1203, B2890, B0470, B2526, B3859, B1315, B3856, B0107, B3857, B0581, B3850, B1794, B2761, B3734, B0586, B2400, B3973, B0103, B1676, B3732, B0588, B3974, B0381, B1106, B3526, B3409, B3883, B1341, B1222, B0253, B1343, B0495, B1221, B0133, B1103, B3403, B3404, B0014, B1344, B3525, B2554, B2675, B2799, B2315, B2557, B2556, B2677, B2790, B2306, B0127, B2547, B0009, B3752, B2781, B2784, B3870, B0242, B0484, B3992, B2786, B3634, B0002, B0003, B2422, B0366, B0125, B1888, B0799, B2616, B2737, B3702, B2615, B0438, B0439, B3706, B1640, B0794, B2610, B2731, B3700, B3822, B0674, B2733, B3940, B1522, B0797, B1764, B3935, B1756, B1876, B1513, B1637, B0426, B3813, B2604, B1636, B2727, B0781, B0660, B0782, B3931, B1993, B0423, B2514, B3725, B2518, B0570, B2751, B0330, B2750, B0695, B2511, B2632, B2752, B0696, B0697, B1303, B1786, B0335, B2988, B2503, B1535, B2869, B0448, B3835, B1779, B0449, B2508, B2507, B2628, B3959, B0680, B2984, B1653, B2744, B1413, B2986, B0444, B2985, B2501, B2819, B1609, B1723, B2812, B0876, B1725, B0514, B0757, B1603, B0879, B0639, B3904, B1849, B0871, B0993, B1719, B0864, B1714, B1956, B2803, B1713, B2926, B2928, B0981, B3924, B1866, B0413, B1624, B2954, B2836, B0778, B0779, B0417, B1507, B3926, B3806, B0890, B1860, B0650, B0892, B0893, B0652, B1861, B2950, B1740, B2709, B0765, B0886, B2822, B1854, B0887, B3911, B0526, B1858, B2947, B2708, B3916, B0760, B0882, B2942, B0642, B0521, B0400, B0522, B2820, B4084, B4087, B1808, B0711, B0712, B0713, B1804, B1805, B0949, B1917, B0829, B0708, B0820, B0826, B4069, B0619, B1709, B2918, B1701, B1703, B0613, B0855, B2912, B1702, B1706, B0618, B1941, B0852, B4096, B4094, B4097, B0729, B0726, B0728, B0849, B0962, B4161, B3195, B4287, B4042, B0910, B0914, B0915, B4035, B4399, B3183, B4390, B4391, B4154, B4155, B4394, B3178, B4389, B4024, B4186, B0930, B0933, B1900, B4058, B4052, B4173, B4170, B4171, B3085, B4177, B3087, B0809, B0924, B4167, B4168, B2180, B3271, B3390, B2060, B2184, B4242, B3030, B4485, B2065, B4361, B3032, B3389, B4112, B4233, B3026, B4475, B4238, B2291, B2173, B4352, B3384, B4232, B2296, B4350, B2166, B3256, B2168, B1199, B2049, B4106, B3172, B3053, B4143, B3052, B4386, B2086, B2078, B4258, B4016, B3169, B3168, B3281, B2070, B3282, B2193, B4374, B3162, B4375, B4004, B4125, B2067, B4005, B2066, B1098, B2069, B4003, B4129, B3038, B3590, B1291, B2380, B1290, B2260, B3352, B0085, B2019, B2496, B3463, B2498, B3222, B3464, B0199, B2016, B3469, B2499, B3340, B2370, B2491, B2373, B0194, B3580, B2129, B3339, B0185, B3454, B3455, B1277, B0066, B3210, B1398, B0188, B2126, B3699, B1194, B3374, B3251, B4213, B0098, B1068, B3124, B3486, B3480, B0091, B0095, B2153, B3361, B1297, B0086, B1175, B3232, B2388, B0088, B2026, B3115, B3357, B3117, B3479	2828	520	3299	1.1149514470677837	3.277600413298387E-11	3.2710127908795924E-11	3.25656059887276E-11
GOTERM_MF_DIRECT	GO:0005524~ATP binding	422	12.339181286549708	1.7798904737973032E-11	B2461, B1129, B2218, B2459, B2219, B0394, B1484, B3422, B0032, B1483, B0033, B3540, B3783, B2211, B0397, B3541, B1246, B2576, B2697, B3668, B2216, B1126, B1247, B2699, B3780, B0151, B1360, B3418, B1117, B1119, B0262, B3652, B0142, B1593, B0143, B2201, B0144, B1114, B3778, B0025, B0388, B0026, B0148, B2688, B2567, B3534, B3450, B1270, B3693, B0063, B3570, B2119, B2474, B3564, B2231, B3323, B2234, B2113, B2476, B3201, B3326, B2114, B0059, B3205, B3567, B3560, B0171, B1020, B2592, B3559, B2584, B2220, B3430, B1133, B2104, B2103, B3437, B2469, B2780, B3869, B3749, B3746, B1208, B2418, B3868, B1207, B1682, B0594, B1321, B0473, B1441, B0474, B3744, B1323, B1201, B0477, B1203, B2890, B0470, B2526, B3859, B0107, B0581, B2761, B3733, B3734, B0586, B2400, B3973, B0103, B1676, B3732, B0588, B3974, B0381, B1106, B3526, B3883, B1222, B1343, B0495, B1221, B0133, B3403, B3404, B0014, B0377, B1344, B2554, B2675, B2315, B0015, B2557, B2556, B2677, B2306, B0127, B2547, B0009, B3752, B2781, B2784, B3870, B0242, B0484, B3992, B2786, B3634, B0002, B0003, B2422, B0366, B1888, B0799, B2616, B2737, B3702, B2615, B0438, B0439, B1640, B0794, B2731, B3700, B3822, B0674, B2733, B3940, B0797, B1764, B3935, B1756, B1876, B1513, B1637, B0426, B3813, B1636, B0660, B3931, B3932, B1993, B0423, B2514, B3725, B2518, B0570, B2751, B0330, B2750, B0695, B2752, B0696, B0697, B1303, B0335, B2988, B2869, B0448, B3835, B0449, B2508, B2507, B3959, B0680, B2984, B1653, B1413, B2986, B0444, B2985, B3831, B2501, B2819, B1609, B1723, B2812, B0876, B1725, B0514, B0757, B0879, B0639, B3904, B1849, B0993, B1719, B0864, B1714, B2803, B1713, B2926, B2928, B0981, B1866, B0413, B2836, B0778, B0779, B0417, B1507, B3926, B3806, B0890, B1860, B0650, B0892, B0893, B0652, B1861, B2950, B1740, B2709, B0765, B0886, B2822, B1854, B0887, B3911, B0526, B1858, B2947, B2708, B3916, B0760, B0882, B2942, B0642, B0521, B0400, B0522, B2820, B4084, B4087, B1808, B0711, B0712, B0713, B0955, B1805, B0949, B1917, B0829, B0820, B0826, B4069, B0619, B1709, B2918, B1701, B1703, B0613, B0855, B2912, B1702, B1706, B0618, B1941, B0852, B4096, B4094, B4097, B0728, B0962, B3195, B4287, B4042, B0910, B0914, B0915, B4035, B4399, B4390, B4391, B4155, B3178, B4389, B4024, B4186, B0930, B0933, B1900, B4058, B4052, B4173, B4170, B4171, B0809, B0924, B4167, B4168, B2180, B3271, B3390, B2060, B2184, B4242, B3030, B4485, B4361, B4112, B4233, B3026, B4475, B4238, B3384, B2296, B4350, B2166, B3256, B2168, B1199, B3019, B4106, B3172, B3053, B4143, B3052, B4386, B4142, B2086, B2078, B4258, B4016, B2070, B3282, B2193, B3162, B4004, B4125, B4005, B2066, B1098, B2069, B4003, B4129, B3038, B1291, B2380, B1290, B2260, B3352, B0085, B2019, B3463, B3222, B0199, B2016, B3469, B2499, B2370, B2491, B0194, B3580, B2129, B0185, B3454, B3455, B0066, B3210, B1398, B0188, B2126, B3699, B3374, B3251, B0098, B3124, B3486, B3480, B0091, B0094, B3361, B1297, B0086, B1175, B3232, B2388, B0088, B2026, B3115, B3479	2828	443	3299	1.1112496447967917	3.6238505751740036E-8	1.812818447562553E-8	1.8048089404304654E-8
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	360	10.526315789473683	2.6767074246546312E-11	B4085, B3791, B1491, B3671, B1493, B1249, B0713, B3428, B0714, B0835, B1927, B0837, B1241, B0154, B3546, B2213, B0036, B3786, B2579, B0159, B0271, B4196, B1919, B0149, B3417, B0823, B3538, B0824, B0945, B0825, B0947, B2441, B0383, B3895, B3771, B2564, B3772, B2324, B3656, B0025, B2688, B0269, B3571, B3572, B1394, B0184, B1393, B2919, B0732, B1702, B1704, B0616, B2917, B0618, B1264, B3564, B1263, B1387, B2234, B1023, B2478, B2599, B1260, B0171, B1262, B0729, B0600, B0602, B2903, B0728, B3432, B2463, B3674, B1131, B2341, B2465, B3430, B3431, B2464, B2585, B0167, B1378, B3678, B1498, B1014, B0720, B3073, B3990, B3076, B2416, B3867, B1207, B0350, B3189, B0352, B0595, B2530, B3863, B0114, B2777, B1687, B4390, B2096, B2095, B1680, B4395, B2097, B0907, B0908, B1316, B2768, B3617, B2407, B0349, B1439, B3614, B3857, B0109, B0902, B0903, B3619, B0581, B3730, B2762, B4024, B4146, B3612, B0586, B0344, B1676, B0104, B3770, B2559, B0815, B2551, B0130, B1464, B3881, B2311, B0133, B3403, B0134, B1103, B2675, B2798, B3081, B4297, B4054, B0928, B3517, B0369, B3639, B0008, B3878, B3879, B1693, B3993, B0120, B4049, B0121, B3870, B3991, B4167, B2662, B0002, B3634, B2544, B3635, B2304, B1215, B1335, B1091, B1090, B3396, B4122, B1096, B1767, B3946, B0556, B2976, B0678, B3947, B2979, B3708, B4477, B0790, B4114, B3386, B4475, B1881, B4239, B4119, B3940, B4238, B4359, B3029, B0555, B4117, B2290, B3380, B3260, B2052, B2172, B4232, B4350, B2965, B0789, B3939, B1518, B1517, B2286, B0781, B0661, B3376, B0420, B3932, B2961, B3137, B2601, B1633, B4468, B4469, B2600, B4381, B3053, B3052, B4383, B4384, B3605, B2517, B3846, B2519, B1309, B3960, B4015, B4379, B1780, B0693, B3288, B4014, B0331, B2752, B1542, B0454, B1424, B1302, B3600, B4254, B4131, B2988, B1535, B3955, B2747, B3956, B2508, B0209, B0320, B2068, B1650, B1897, B3951, B4006, B1896, B3952, B3831, B2501, B2140, B2021, B3591, B2262, B2383, B0754, B2935, B0756, B0638, B0639, B0518, B2938, B3223, B2133, B2253, B0077, B1046, B2256, B2498, B0199, B0870, B2255, B2379, B1048, B2016, B0871, B3225, B2810, B0873, B1281, B2373, B0074, B3581, B0868, B2925, B0628, B0507, B3212, B4301, B0186, B2245, B0980, B3211, B1034, B3338, B4303, B1190, B3132, B4340, B0776, B2955, B0414, B2836, B3801, B2838, B1748, B3926, B4213, B3800, B1982, B3126, B3008, B3368, B0774, B1622, B0775, B1180, B2153, B3919, B1734, B1733, B1612, B1854, B0403, B0529, B2829, B3916, B1297, B4323, B2264, B2022, B2143, B2025, B3114, B2024, B3359, B1851, B1850, B3910, B2147, B2026, B3236, B1611, B3117	2828	375	3299	1.11988684582744	5.449767781495751E-8	1.8174843413404947E-8	1.8094542190665307E-8
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	335	9.7953216374269	3.3619283163852117E-7	B2582, B1800, B0039, B1008, B1128, B1007, B1802, B1803, B0837, B2210, B0031, B1241, B2212, B4079, B2453, B2574, B1004, B3426, B2455, B3787, B4071, B1482, B4070, B0029, B2206, B0824, B0945, B2320, B3894, B3774, B1474, B0386, B2324, B2326, B1479, B1478, B1271, B2481, B1392, B2480, B2241, B2483, B2482, B2913, B1385, B1387, B2234, B1386, B2235, B1388, B0851, B0972, B0973, B1380, B3440, B0052, B0173, B0608, B2907, B1019, B2902, B0723, B0724, B3439, B0605, B0726, B2903, B2906, B0606, B2463, B0284, B3553, B3674, B0285, B0043, B3433, B2341, B1010, B0286, B3551, B1012, B1136, B0046, B1378, B1014, B0048, B2468, B3070, B4166, B0116, B3867, B2539, B2538, B1449, B2659, B0351, B3860, B0596, B1444, B3503, B0114, B3500, B0356, B1687, B0599, B1324, B2091, B4154, B4153, B0347, B3616, B1315, B0348, B0901, B0902, B3850, B2881, B4269, B3972, B2880, B2762, B1673, B4266, B4267, B0221, B2764, B2763, B2887, B2766, B0104, B1313, B1590, B4187, B1227, B1109, B0935, B1905, B0937, B0493, B2794, B3882, B2431, B2552, B1224, B2676, B1587, B1465, B2675, B2799, B2436, B1468, B1588, B1225, B1467, B4051, B3081, B3087, B1580, B2426, B3518, B0801, B0804, B2661, B1692, B4049, B2660, B2542, B1695, B1210, B2541, B0243, B0123, B2302, B0002, B2301, B0124, B1699, B2545, B0368, B1093, B1646, B1525, B2979, B1406, B2736, B3945, B1647, B1761, B0430, B3942, B3028, B1521, B0311, B4358, B0312, B3940, B1765, B4238, B3941, B3029, B3260, B2052, B2172, B2723, B0425, B1518, B1638, B0429, B3012, B4467, B4465, B0662, B3017, B1872, B4468, B2842, B2721, B2600, B0578, B2515, B2878, B3605, B2638, B3846, B3608, B1781, B4136, B4379, B1301, B2994, B3844, B1542, B1300, B2997, B3962, B2996, B3600, B3281, B3160, B2195, B1415, B2867, B0325, B3958, B2866, B3713, B0207, B2989, B1779, B2868, B2508, B1539, B1771, B1650, B1774, B3039, B1776, B4249, B3952, B1412, B3351, B2140, B2020, B0997, B1603, B1606, B0517, B2133, B1288, B3102, B2255, B2137, B0871, B0872, B3588, B0873, B3589, B0073, B0509, B2927, B3212, B2485, B1033, B3575, B3213, B2242, B2484, B1395, B2487, B2486, B2489, B1710, B2283, B3253, B2040, B2285, B3011, B2834, B3924, B1624, B0414, B4219, B1746, B0419, B2719, B3366, B3001, B1068, B1189, B3125, B4211, B3365, B3003, B3800, B0894, B3368, B1501, B2711, B2710, B0896, B1185, B0888, B2705, B0529, B4323, B1055, B2146, B1059, B2147, B1971, B1732, B3236, B2029, B1852, B2028	2828	356	3299	1.0977355259603006	6.842545114069676E-4	1.4365743380894E-4	1.430227176065441E-4
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	635	18.567251461988306	3.5262011244216986E-7	B1490, B3671, B2582, B1129, B1128, B2459, B0273, B3421, B1120, B1241, B2212, B0033, B2453, B1488, B2214, B3789, B2213, B2697, B1127, B1489, B2690, B2328, B0029, B2206, B1119, B2208, B3894, B1594, B3410, B2562, B0383, B3774, B3771, B3892, B1475, B0385, B3893, B0144, B2563, B1474, B3898, B2203, B3414, B0145, B2687, B2202, B1476, B0388, B2205, B0026, B2326, B1479, B2688, B2204, B2567, B1478, B2481, B1392, B3571, B0061, B0062, B0183, B2239, B3449, B1264, B0174, B3565, B2113, B0176, B1386, B3326, B2114, B2235, B3327, B2472, B0052, B0173, B1019, B3439, B2463, B0284, B2584, B0285, B0164, B2583, B1494, B0286, B0044, B2465, B3551, B1378, B1136, B2467, B3678, B2104, B1498, B2468, B2105, B3990, B0480, B2780, B2416, B0237, B2779, B0238, B3867, B3988, B2418, B0118, B1207, B2417, B2538, B2659, B0593, B0472, B2531, B0110, B0231, B0352, B0595, B2530, B2533, B3865, B0475, B2411, B2777, B0114, B0356, B1325, B1687, B0599, B1203, B2890, B2889, B3616, B3859, B3617, B2767, B3857, B1317, B1671, B2881, B3730, B1670, B0583, B2883, B1673, B1794, B2761, B0101, B0222, B3612, B2763, B1674, B2400, B1432, B0344, B1314, B2887, B1676, B2523, B0104, B2886, B1313, B2644, B2765, B0381, B2560, B0261, B2559, B1227, B3527, B1341, B3640, B1100, B2431, B2552, B1584, B2797, B3403, B1224, B0134, B2676, B1587, B2312, B1344, B1465, B2799, B3885, B2315, B1589, B0015, B2436, B1468, B2557, B2798, B1588, B1225, B1467, B1580, B3638, B0369, B3639, B3518, B3993, B2540, B3752, B2781, B3994, B3870, B2300, B0484, B3992, B0123, B2785, B0487, B3998, B3635, B2788, B0125, B2787, B3996, B0126, B0247, B2545, B0368, B0677, B1646, B3826, B3947, B0799, B2976, B2734, B0679, B1768, B3945, B2615, B0438, B2739, B3829, B2738, B3706, B0550, B3821, B3942, B0431, B1763, B0675, B0312, B1522, B1764, B3935, B2724, B3812, B2726, B2604, B0307, B0549, B2727, B2729, B0781, B0661, B1873, B2720, B0420, B3932, B1872, B2961, B0421, B2843, B1633, B2721, B3847, B0215, B2515, B2878, B0337, B2517, B3966, B0339, B2879, B2518, B3849, B2991, B0570, B2872, B0331, B3843, B2995, B2994, B2873, B2755, B0697, B2997, B1786, B2996, B0214, B3715, B0688, B3957, B2988, B0325, B2746, B0446, B1535, B2866, B1538, B2868, B2508, B1418, B1891, B1651, B0683, B1774, B0200, B1652, B2744, B1776, B1897, B0444, B3952, B2501, B1654, B1723, B0996, B3902, B0512, B0997, B3903, B2935, B1967, B0757, B0515, B0758, B1727, B2937, B0516, B2936, B1849, B2938, B0992, B0750, B0871, B1960, B0872, B0873, B1841, B2930, B1719, B1714, B1956, B2802, B1713, B1955, B0867, B2925, B0628, B1838, B0413, B2955, B2713, B1744, B3925, B2954, B0414, B1623, B2712, B0778, B3801, B1749, B0417, B2717, B0659, B1628, B0418, B3926, B2719, B3927, B1629, B0771, B0894, B1740, B3800, B0895, B1501, B1863, B0775, B2710, B1734, B2944, B1613, B1733, B0766, B1854, B1612, B0524, B1857, B1856, B0526, B0406, B2947, B2829, B2708, B3916, B1851, B0761, B1972, B1971, B1732, B2821, B0763, B2942, B0522, B2820, B4085, B1808, B0710, B1802, B0714, B0835, B1803, B1927, B0837, B4079, B4071, B4198, B4075, B4196, B4070, B0822, B0824, B0826, B0827, B4069, B1829, B1822, B0732, B0974, B1700, B0733, B0975, B0734, B1702, B0978, B0616, B0979, B0859, B2917, B1706, B0972, B0852, B0973, B4098, B2908, B0608, B4092, B1813, B0844, B0724, B1814, B0728, B4161, B4162, B4166, B4042, B3198, B3197, B2091, B3183, B3064, B2096, B3187, B3066, B4394, B4153, B0909, B0902, B3178, B4389, B3177, B4269, B4146, B4267, B4388, B4063, B4186, B0932, B1905, B4178, B4058, B3081, B4173, B4055, B4177, B0927, B3080, B0804, B4167, B4168, B1093, B3390, B2184, B4242, B3030, B4122, B4483, B3032, B4478, B3389, B3386, B2299, B4119, B4358, B4238, B3380, B2291, B1084, B2173, B4352, B4474, B2051, B4232, B2293, B3385, B2296, B4471, B2287, B3256, B3498, B2165, B4467, B1199, B2048, B3137, B4226, B3379, B4469, B4260, B3292, B3176, B4383, B3054, B4142, B2086, B4015, B4378, B4379, B3287, B4019, B4374, B3041, B2194, B4254, B2197, B3164, B2067, B4367, B3399, B4005, B3158, B3039, B4129, B3038, B2261, B2384, B2020, B2383, B2019, B2011, B0077, B3222, B3469, B3349, B3589, B1280, B3583, B0072, B0073, B2373, B2494, B3581, B2122, B3212, B2243, B4301, B3213, B1274, B3697, B1277, B0187, B2487, B2245, B1034, B2002, B3211, B1276, B4305, B2247, B2489, B2004, B2488, B3699, B2162, B2283, B2040, B3011, B2285, B2284, B4213, B4334, B4214, B0098, B3365, B2159, B3126, B3247, B3128, B1180, B1062, B2392, B2150, B3481, B2153, B0096, B4209, B2265, B2022, B2143, B2264, B0087, B1057, B3115, B2268, B4328, B2147	2828	694	3299	1.0673753408687925	7.176770220762574E-4	1.4365743380894E-4	1.430227176065441E-4
GOTERM_MF_DIRECT	GO:0022857~transmembrane transporter activity	205	5.994152046783626	8.042375050048205E-7	B0040, B4086, B1492, B4080, B4081, B1801, B0153, B3664, B0396, B3662, B3667, B3547, B1006, B1126, B3666, B4077, B0270, B1918, B0709, B1117, B3659, B0262, B2201, B2322, B1596, B3657, B2686, B3654, B1599, B2240, B3691, B0612, B0855, B0738, B1828, B3685, B3568, B2470, B0842, B0845, B0847, B0045, B3673, B1015, B0960, B2587, B3679, B2347, B3196, B1691, B0479, B2771, B4156, B1441, B0353, B2775, B3063, B0590, B4031, B2098, B0591, B0589, B2888, B2406, B0904, B1791, B4148, B0341, B0462, B2882, B0463, B3093, B3095, B4067, B4064, B3528, B1469, B2679, B0810, B0933, B0934, B0936, B3089, B1223, B3523, B2789, B2308, B2307, B3078, B4288, B3750, B4289, B3876, B0486, B3513, B0365, B3877, B3514, B3874, B2546, B0367, B3754, B2180, B3270, B2182, B4120, B0314, B1645, B1769, B1528, B4356, B4115, B0792, B3265, B3266, B0793, B3943, B3269, B0433, B1644, B2170, B4231, B4111, B4230, B1514, B1634, B1515, B0427, B4464, B3496, B2841, B3258, B2964, B4141, B0336, B0692, B2077, B0572, B0574, B1543, B0575, B1663, B4132, B2074, B4130, B2076, B2075, B1657, B3714, B1534, B1775, B3710, B3473, B1053, B3471, B0513, B0878, B0879, B1605, B1729, B3224, B3463, B2014, B2497, B2258, B0070, B2492, B2131, B2801, B1711, B2008, B4544, B0067, B2246, B0861, B3456, B0862, B3457, B3578, B3370, B4460, B3009, B0898, B0899, B2835, B3367, B1065, B3364, B0770, B3485, B1981, B3006, B3127, B3005, B0653, B4337, B0654, B3241, B3240, B2943, B1616, B3915, B2148, B3358, B3479	2828	213	3299	1.1227347583852954	0.0016360883645142321	2.730386329491366E-4	2.7183227669162936E-4
GOTERM_BP_DIRECT	GO:0008152~metabolic process	115	3.3625730994152043	1.7310494404471426E-5	B1091, B1491, B3396, B0556, B0798, B1767, B0678, B3428, B0714, B1927, B1241, B4239, B2213, B4119, B3786, B3940, B0555, B1081, B2052, B4232, B0271, B0030, B0149, B3417, B3531, B2165, B2286, B1197, B3772, B2324, B3656, B0025, B3932, B2961, B1633, B2600, B3053, B3571, B3052, B0732, B3846, B2519, B3564, B1264, B1263, B1387, B2234, B2478, B2599, B3721, B4254, B0171, B1262, B2988, B1535, B2901, B3956, B2463, B2341, B2102, B3430, B3431, B0167, B1014, B4006, B0720, B3076, B1207, B2132, B2498, B0595, B0199, B2255, B4390, B1316, B3730, B4024, B0980, B0586, B0344, B3338, B1676, B2162, B1107, B0414, B2836, B2716, B3926, B4213, B3403, B0651, B1982, B2675, B3368, B2153, B3080, B1734, B0369, B3639, B1854, B0403, B3878, B1617, B0529, B3519, B3916, B0120, B2022, B4167, B0002, B3635, B2026, B1850, B1611, B3117	2833	119	3407	1.1621881368149094	0.03034306639056983	0.012505533999361641	0.012505533999361641
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	148	4.3274853801169595	2.1088590218147792E-5	B4084, B4085, B0677, B3946, B0678, B2737, B2736, B0713, B3428, B2739, B2738, B1927, B0394, B1640, B3386, B4239, B4119, B0675, B0676, B3141, B4198, B4232, B2293, B3385, B0271, B4196, B4197, B3418, B3416, B1119, B3417, B0825, B3531, B1594, B1197, B2168, B3656, B2048, B3137, B1511, B3571, B3052, B0061, B0062, B3176, B0063, B0732, B1309, B3729, B3608, B3564, B1780, B3565, B1023, B0333, B1424, B3721, B4090, B0688, B2901, B3719, B3432, B3430, B2464, B3431, B2863, B0200, B3437, B3952, B3197, B3076, B1723, B0756, B3901, B0757, B0758, B1727, B0759, B3904, B3223, B2132, B2256, B3222, B1048, B3225, B2776, B2930, B3582, B2096, B3583, B2095, B3580, B3581, B2801, B4309, B1316, B1315, B2803, B3614, B2802, B1317, B2805, B0902, B2804, B2925, B0903, B3619, B4301, B0064, B4266, B0222, B0344, B3338, B1314, B1313, B2040, B3132, B1107, B3925, B3526, B2716, B2837, B3926, B0130, B2038, B2799, B0090, B3880, B3080, B1734, B2427, B1613, B1733, B0403, B0008, B3878, B0767, B3879, B2428, B1617, B3519, B2708, B3752, B3114, B2544, B1851, B3236, B1852	2833	156	3407	1.1409396580593192	0.036842266190650674	0.012505533999361641	0.012505533999361641
GOTERM_CC_DIRECT	GO:0043190~ATP-binding cassette (ABC) transporter complex	99	2.8947368421052633	9.594039941197357E-5	B2180, B3270, B4485, B4086, B4087, B0831, B0832, B1484, B2177, B1483, B0153, B1486, B0792, B2179, B0793, B2211, B1485, B1243, B2178, B1125, B1124, B1487, B3269, B3544, B0830, B1126, B4231, B3020, B4230, B0151, B1918, B0829, B1917, B1516, B0262, B2201, B2200, B4105, B4261, B3450, B4262, B1709, B0855, B0856, B0857, B3728, B3201, B3568, B1291, B3194, B1290, B1293, B1292, B1294, B3749, B1329, B0914, B4035, B1441, B4033, B4034, B0590, B2131, B4032, B1711, B0066, B0067, B0861, B0862, B0588, B2679, B0810, B1900, B3485, B3486, B0653, B2678, B0654, B2677, B2306, B0886, B0765, B0887, B0128, B2308, B2307, B1859, B1858, B3476, B3750, B0760, B2148, B0365, B2423, B0366, B2422, B0367, B2424, B0764	2497	102	2976	1.156776366934439	0.01881780253065901	0.018996199083570767	0.018996199083570767
