Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005524~ATP binding	198	18.148487626031166	5.0715428126550316E-14	B1808, B2218, B2459, B0713, B0955, B1484, B0032, B1483, B0033, B3783, B0397, B3541, B2697, B1247, B1126, B3780, B0151, B0949, B1917, B3418, B0820, B3652, B2201, B0143, B4069, B1114, B3778, B0026, B0148, B3450, B3693, B1701, B2119, B1702, B2474, B2231, B2234, B3326, B2114, B1941, B0059, B3205, B4096, B3560, B0171, B2592, B3559, B2584, B3430, B0962, B4287, B2780, B3869, B3749, B3746, B1207, B3868, B0594, B4035, B1441, B1201, B0477, B0470, B2526, B4389, B3178, B4024, B3734, B0586, B3973, B3732, B0381, B0930, B0933, B1900, B1222, B4058, B0014, B2554, B2675, B0015, B2315, B2557, B2556, B4052, B4173, B4170, B0809, B2547, B0924, B3870, B3992, B2786, B2422, B0003, B3271, B2060, B3030, B4361, B2737, B3702, B0439, B4233, B4112, B3026, B2731, B4238, B1764, B0797, B1513, B1876, B3813, B1636, B0660, B2168, B1199, B4106, B3172, B3053, B2514, B3725, B0570, B4258, B0330, B0695, B0696, B0697, B0335, B2070, B3282, B2193, B3162, B2988, B0448, B0449, B2508, B2507, B4005, B1098, B2069, B4003, B4129, B1653, B1413, B3831, B2501, B2380, B1290, B3352, B2819, B2812, B0879, B3463, B0199, B3469, B2016, B2499, B0993, B2370, B0194, B0864, B1714, B1713, B2928, B0185, B3454, B3210, B1398, B0188, B0981, B2126, B3251, B2836, B0417, B3926, B3806, B0098, B0890, B0892, B0893, B0652, B0091, B0094, B0886, B2822, B1854, B3911, B1858, B2947, B3916, B0086, B2388, B0088, B0882, B2026, B2942, B0400, B3479	956	443	3299	1.542360474890675	5.596312302458273E-11	5.598983265171155E-11	5.588840179545845E-11
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	222	20.348304307974335	3.8548719567510495E-13	B1808, B2218, B2459, B0713, B3421, B1484, B0032, B1483, B0033, B3783, B0397, B3541, B2697, B1247, B1126, B3780, B0151, B0949, B1917, B3418, B0820, B2569, B3652, B2201, B0143, B4069, B1114, B2566, B3778, B0026, B0148, B3450, B3693, B1701, B1702, B2474, B2231, B2234, B3326, B2114, B1941, B0059, B3205, B4096, B3560, B3440, B0171, B2592, B3559, B0726, B3430, B0962, B4287, B0480, B2780, B3869, B3749, B3746, B1207, B3868, B0594, B4035, B1441, B1201, B0477, B0478, B3183, B4154, B0470, B2526, B3857, B4389, B3178, B1794, B4024, B3734, B0586, B3973, B3732, B0381, B0930, B0933, B1900, B3409, B1222, B4058, B0014, B3525, B2554, B2675, B2799, B2315, B2557, B2556, B4052, B4173, B4170, B3087, B0809, B2547, B0924, B3870, B3992, B2786, B2422, B0003, B3271, B2060, B3030, B4361, B2737, B3702, B0439, B3706, B4233, B4112, B3026, B2731, B4238, B1764, B1522, B0797, B4232, B1513, B1876, B3813, B1636, B0660, B2168, B1199, B2049, B4106, B3172, B3053, B2514, B3725, B0570, B4258, B0330, B3169, B3168, B0695, B2511, B0696, B0697, B0335, B2070, B3282, B2193, B3162, B2988, B0448, B0449, B2508, B2507, B2067, B4005, B1098, B2069, B4003, B4129, B1653, B1413, B2501, B2380, B1290, B3352, B2819, B2812, B0879, B3463, B0199, B3469, B2016, B0871, B2499, B0993, B3340, B2370, B2373, B0194, B0864, B1714, B1956, B1713, B2928, B0185, B3454, B3210, B1398, B0188, B0981, B2126, B3251, B3924, B2836, B0417, B3926, B3806, B4213, B0098, B0890, B0892, B0893, B0652, B0091, B0886, B2822, B1854, B3911, B1858, B2947, B3916, B0086, B2388, B0088, B0882, B2026, B3357, B2942, B0400, B3479	956	520	3299	1.473241873189572	4.2517278586728935E-10	2.1278893201265793E-10	2.1240344481698283E-10
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	68	6.232813932172319	3.372005509460748E-9	B3271, B2060, B1290, B3352, B4287, B1808, B3749, B3746, B0879, B0439, B1484, B1483, B3463, B4035, B0199, B1441, B3541, B3469, B1247, B1126, B0797, B3780, B0470, B0151, B0949, B1917, B0864, B2526, B1513, B3813, B2729, B3178, B3454, B2201, B3778, B4106, B0148, B3450, B2119, B0933, B3725, B1900, B0890, B4058, B0892, B0014, B0652, B1941, B0059, B2557, B4096, B4052, B4173, B4170, B3162, B2592, B0809, B0886, B2547, B0448, B0449, B4005, B2069, B0882, B2422, B1413, B3479, B0962	956	125	3299	1.8772552301255234	3.7193152263581553E-6	1.2408980274815552E-6	1.2386500238085814E-6
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	147	13.473877176901924	6.318037656372696E-6	B1491, B4122, B3396, B1096, B1249, B3947, B0713, B3428, B3708, B0154, B3546, B3786, B4238, B4117, B4359, B2290, B3380, B3260, B2052, B2172, B4232, B0271, B0149, B0789, B0823, B0824, B0945, B2441, B2564, B3137, B1633, B4469, B4381, B3053, B1393, B0184, B3605, B0732, B1702, B2519, B2917, B4015, B1264, B1263, B1387, B2234, B4014, B3288, B2478, B1424, B1302, B3600, B1260, B0171, B2988, B0600, B2508, B0209, B2903, B2463, B3432, B1131, B3430, B0320, B3431, B1378, B0167, B1014, B4006, B2501, B1896, B3831, B3073, B3591, B2383, B2416, B2935, B1207, B2938, B0350, B2133, B3189, B0199, B0870, B2016, B2379, B0871, B3863, B0114, B1687, B1281, B1680, B2373, B1316, B3617, B3614, B3857, B0109, B0628, B0903, B0507, B3212, B4301, B3730, B0186, B4024, B0980, B3211, B3612, B0586, B0344, B3338, B0104, B3132, B0776, B0414, B3801, B2836, B3926, B2551, B4213, B1464, B1982, B2675, B3081, B0369, B1854, B3878, B2829, B3916, B3993, B2022, B2143, B0121, B3991, B3870, B3114, B2024, B3359, B1851, B3635, B2026, B1850, B3910, B2304, B3236, B1335	956	375	3299	1.3527280334728033	0.0069445916485801895	0.001743778393158864	0.0017406193743306777
GOTERM_MF_DIRECT	GO:0016874~ligase activity	46	4.216315307057745	4.615664652399722E-5	B3172, B2780, B0381, B2812, B0930, B1701, B2712, B2514, B2836, B3421, B0032, B4258, B0033, B4233, B0594, B0893, B2411, B2499, B2114, B2697, B2557, B2315, B0335, B0091, B3560, B0194, B2988, B1876, B3617, B1714, B3559, B1713, B2507, B2947, B0086, B0185, B4005, B3870, B1398, B0088, B4069, B0188, B4129, B0586, B0026, B3973	956	93	3299	1.706865523912359	0.04963765953224397	0.010191387552498586	0.010172924893888987
GOTERM_BP_DIRECT	GO:0008152~metabolic process	54	4.949587534372136	6.0017729029365906E-5	B1491, B3396, B3428, B1207, B0199, B3786, B1081, B2052, B4232, B0271, B0149, B1316, B3531, B3730, B4024, B0980, B0586, B0344, B3338, B1633, B2162, B3053, B0732, B0414, B2836, B2519, B2716, B3926, B1264, B4213, B1263, B1387, B2234, B2478, B1982, B2675, B0171, B2988, B0369, B1854, B3878, B2901, B3519, B3916, B2463, B2022, B3430, B3431, B0167, B1850, B3635, B1014, B2026, B4006	953	119	3407	1.6222808115901135	0.06557327781368738	0.0677600160741541	0.06763998061609537
GOTERM_CC_DIRECT	GO:0005829~cytosol	348	31.897341888175983	4.4391715640957984E-4	B2581, B3308, B0710, B2218, B0954, B1922, B2330, B0032, B0033, B0154, B2453, B3783, B2332, B3304, B3305, B0399, B2697, B3786, B3303, B3787, B3780, B4198, B2569, B0823, B0945, B2320, B2441, B3652, B3774, B2201, B0143, B2564, B3650, B4069, B1114, B1235, B0145, B2566, B3778, B0026, B1479, B3655, B0061, B2241, B1273, B0062, B0184, B2913, B1702, B1264, B2231, B2234, B2478, B2114, B1260, B3560, B3440, B0171, B2472, B2230, B1261, B2592, B2900, B0963, B3559, B2901, B1814, B0726, B2903, B0727, B1938, B0606, B2342, B3432, B2463, B1131, B3433, B1136, B1014, B0962, B3070, B4162, B3073, B2780, B2416, B2779, B0238, B3746, B0118, B3988, B1207, B3868, B3982, B3189, B3067, B2531, B0594, B2533, B0354, B2411, B3987, B3863, B0114, B0356, B2091, B3183, B4154, B0905, B2526, B3617, B2525, B0109, B2409, B0903, B3730, B3972, B4024, B4025, B3179, B3612, B0586, B3610, B2523, B0104, B3891, B0381, B3407, B2319, B1900, B2551, B2672, B3642, B1101, B2794, B4058, B4179, B0014, B3764, B2799, B0015, B2557, B3643, B3401, B3644, B4051, B4052, B4173, B4295, B4053, B0492, B0927, B0369, B3999, B0801, B0924, B2661, B0121, B3870, B3991, B1211, B3871, B3992, B0003, B0004, B2303, B0126, B3996, B1093, B1092, B1095, B3030, B4122, B4483, B1096, B1887, B0437, B3702, B3829, B0439, B3708, B3706, B4235, B2299, B1089, B1521, B2731, B1883, B0312, B1764, B3941, B0797, B4117, B3380, B3141, B4232, B3385, B1086, B3261, B1876, B3813, B3934, B1636, B3498, B0660, B2168, B1199, B4349, B0421, B3137, B0785, B4381, B2081, B3051, B3172, B3296, B3053, B3294, B3176, B3295, B3847, B0457, B1304, B2514, B3607, B3608, B3289, B4015, B0570, B4378, B4258, B3166, B1541, B3287, B3169, B3288, B2079, B3168, B0695, B3843, B4019, B2511, B4018, B1302, B3600, B3282, B3160, B3041, B3162, B3165, B3164, B1415, B0688, B2988, B2508, B2507, B1098, B2069, B0320, B2500, B4129, B3712, B2620, B4006, B1896, B3831, B2501, B1412, B3231, B3352, B3591, B2020, B2935, B2937, B0637, B1608, B1286, B3345, B3342, B0870, B0750, B2016, B0871, B2499, B3340, B2370, B0072, B1281, B0073, B0194, B1832, B1714, B1713, B1955, B0628, B3212, B4301, B0064, B0185, B1274, B2366, B3210, B1035, B0188, B2162, B3250, B2042, B3924, B1623, B3922, B1867, B2716, B3926, B0419, B1187, B0098, B4211, B1067, B0893, B1982, B1062, B0094, B1613, B1854, B3911, B0767, B0888, B3912, B0405, B2947, B3916, B1176, B0086, B2143, B2388, B3114, B2024, B3113, B0882, B1851, B1059, B1850, B3910, B2026, B3236, B3357, B2942, B0400, B1852	870	1051	2976	1.1326355851569934	0.0623535114924757	0.06436798767938907	0.06436798767938907
GOTERM_BP_DIRECT	GO:0008360~regulation of cell shape	26	2.383134738771769	4.841048298454063E-4	B3396, B3250, B0084, B0381, B3251, B0839, B3208, B0635, B2516, B2519, B3189, B3147, B4233, B0376, B0091, B3182, B2010, B4053, B0149, B0925, B0086, B3730, B3972, B0088, B1113, B0841	953	49	3407	1.8969526950339424	0.4214156370407751	0.26154419351687014	0.26108087342206615
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	128	11.732355637030247	6.949801422060323E-4	B3270, B2062, B0040, B1492, B0718, B4080, B0832, B1645, B1528, B1484, B3542, B2177, B1483, B4115, B3144, B0396, B3265, B0793, B3266, B3662, B3547, B1487, B1245, B3544, B0830, B1126, B0270, B1514, B0427, B2201, B3496, B4464, B2685, B3657, B3258, B3654, B0940, B4261, B4262, B2240, B0612, B1828, B3685, B2077, B0575, B1663, B2074, B2076, B2075, B1657, B0448, B3714, B0449, B1252, B3673, B1015, B0960, B2587, B1256, B2347, B4287, B1292, B1053, B1206, B0479, B1601, B3746, B0878, B3586, B2133, B3224, B4159, B3463, B2014, B0199, B1441, B0112, B0478, B4033, B4034, B3063, B2098, B4032, B2493, B2801, B2008, B4544, B0462, B2882, B3453, B1312, B0861, B0465, B1311, B0983, B3456, B3093, B3370, B1191, B4067, B0260, B4460, B0810, B0933, B3089, B1342, B3006, B1223, B3523, B3241, B3240, B0886, B0402, B2789, B2943, B1858, B3477, B3078, B3474, B4288, B4289, B3513, B3514, B2389, B2546, B3479, B3754, B3358	953	359	3407	1.2746611638368208	0.5441541526717892	0.26154419351687014	0.26108087342206615
GOTERM_BP_DIRECT	GO:0007165~signal transduction	22	2.016498625114574	0.0012752228804084706	B2380, B2370, B3869, B2218, B1887, B3911, B0570, B3210, B3026, B1222, B4112, B4003, B4355, B2126, B0695, B2786, B2533, B1421, B1883, B0993, B0400, B2556	953	41	3407	1.9183067591431424	0.7635270457624921	0.3599316579952908	0.3592940465550866
