	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_LEVO_1	featureCounts on 30min_LEVO_3	featureCounts on 30min_LEVO_2
gene-b0001	1488.85570782434	2563.70073752944	1277.6913135577	1482.94642360638	1125.97259361661	1863.07422130603
gene-b0002	1054.88431316702	707.721002527095	928.840921413803	1116.90268613392	661.935403520069	768.465625467324
gene-b0003	2732.90703917532	1554.46884710276	2642.41687628013	2928.34989977969	917.155858073167	1686.70506136271
gene-b0004	1628.32001926977	932.566882877256	1254.14926255412	1723.8470029686	957.417908390367	1056.81520442228
gene-b0005	65.2811670595624	151.041507410795	59.9252207363744	25.0286316220486	153.541717311356	69.98776188227
gene-b0006	210.680130055861	224.27375342815	244.694651340196	131.400316015755	144.670418088922	120.378950437504
gene-b0007	154.300940322602	69.2273575632809	140.538910536497	162.686105543316	71.6528014119662	141.375279002185
gene-b0008	8476.1660775291	6551.42538394322	12068.5114190148	22797.9548287335	15034.804959128	21385.4605207464
gene-b0009	393.170665245092	352.430183958521	298.199312711958	284.700684700803	734.953020197025	438.12338938301
gene-b0010	470.321135406393	517.774864419581	594.258438969046	1088.74547555911	742.459504154469	729.272478813253
gene-b0011	337.533306955692	337.554883986246	238.274091975584	700.801685417361	201.310251586	120.378950437504
gene-b0012	257.415511018956	277.481557175134	177.635475754253	575.658527307118	156.271347841336	93.7836009222417
gene-b0013	22.9967747596186	10.2982845961906	32.1027968230577	0	26.6138976673017	16.7970628517448
gene-b0014	456554.969302708	685234.125984391	639422.080330694	405279.246118975	601055.7714023	511417.373136598
gene-b0015	23381.7852789812	37339.2914380989	25732.8885378781	15189.2508156307	30478.3720901204	23270.9308258548
gene-b0016	318.245689415367	651.080437248047	266.809911373858	209.614789834657	539.102029670984	190.366712319774
gene-b4412	865.717294983061	731.178206329529	398.074680605916	1755.13279249616	771.80303235175	705.476639773281
gene-b0018	934.707619261917	788.963025452598	500.090234954744	1902.17600327569	848.915094823676	775.464401655551
gene-b4413	306.376386313628	246.014576464552	203.317713212699	779.016159236263	369.864936812244	235.158879924427
gene-b0019	13342.5803492419	13811.7160242576	16666.3453195617	16784.8260815363	12708.4773399528	15208.3406570173
gene-b0020	1069.72094204419	1457.20727036096	1260.56982191873	625.715790551215	1182.61242711369	895.843352093056
