	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_LEVO_1	featureCounts on 30min_LEVO_3	featureCounts on 30min_LEVO_2
gene-b0001	10.5883923809227	11.3524166160964	10.3754998704568	10.5828430405241	10.2004590827981	10.9023433739768
gene-b0002	10.1105059210277	9.56621018766672	9.93575073016599	10.1892899173592	9.47622116771979	9.67752750029407
gene-b0003	11.4428905438071	10.6486151842838	11.3952126465772	11.5407848722414	9.91842255338975	10.7628420430338
gene-b0004	10.7135203458603	9.94123254727558	10.3496936152287	10.7933625233852	9.97727063186961	10.1130248758715
gene-b0005	6.78887650492485	7.6364128386804	6.71283764430901	6.05247280849814	7.6547261571942	6.85219854719334
gene-b0006	8.01890834513686	8.09327485491188	8.19813702814316	7.48350092603487	7.58862970293382	7.38968089579507
gene-b0007	7.66024004499244	6.84217427774552	7.55674356896818	7.71973390600577	6.87388384682406	7.56325775813884
gene-b0008	13.057875933382	12.6888081432331	13.5650644301019	14.479853037922	13.880921554087	14.3877922740781
gene-b0009	8.79088905109482	8.65114064061195	8.44102724385848	8.38354324245208	9.61718111043434	8.93075359950937
gene-b0010	9.0231628939021	9.14935588966558	9.33196249843072	10.154053700497	9.63091961399023	9.60669662884594
gene-b0011	8.59643144974701	8.59651222458919	8.16599434665107	9.5529663434107	7.96527411516531	7.38968089579507
gene-b0012	8.25975052127847	8.35182228896323	7.81991439749849	9.28964246575594	7.67444951953013	7.13273364424154
gene-b0013	5.99926516634911	5.57894284549915	6.2196815547038	4.67881656271648	6.09221744328099	5.81735372115
gene-b0014	18.8005909056711	19.3863453229708	19.2865246107416	18.6287391092682	19.1972622872273	18.9642861425896
gene-b0015	14.5162530434946	15.1903841557445	14.6541934824478	13.8956163857193	14.8979199817758	14.509411881033
gene-b0016	8.52233789577192	9.45403501544992	8.30359819294764	8.01291172224624	9.20265048412467	7.89993966977188
gene-b4412	9.83956238488327	9.6102225168271	8.80682737586313	10.8185789595099	9.6834009957923	9.56192772757922
gene-b0018	9.94437269478746	9.71322825205989	9.10361341118564	10.9315253839714	9.81283851904196	9.68981719124813
gene-b4413	8.47475551403606	8.20465568368473	7.97693757759397	9.69601410243479	8.71262198313362	8.1501328491346
gene-b0019	13.7092731648925	13.7589409617644	14.0290743025323	14.0392629553972	13.6393014024873	13.8974223488956
gene-b0020	10.129749006973	10.5584194373525	10.3567776231497	9.40081907072135	10.2683161666422	9.88627055697239
gene-b0021	6.56600640141834	5.67052259908515	5.78113163014704	4.67881656271648	5.94856450305592	5.55748657901914
gene-b0022	5.69909453298649	5.7532625198601	5.39379606022226	4.67881656271648	4.91404155757442	5.15363241079037
gene-b0023	9.80045925974318	9.8075125806749	9.41735080187522	8.66629379302823	10.3084804732199	9.78453209693231
gene-b0024	9.43609810954097	9.27347048370258	9.40219793411032	9.71226261344485	9.1976195671056	9.298482481545
gene-b0025	11.0370913864657	10.812746451478	11.282792533713	10.7780182627353	10.6257880503933	10.6019020895611
gene-b0026	14.36012326757	14.4460924125406	14.2299019436568	13.8354430364178	14.1949059044306	14.0727844630354
gene-b0027	11.1992838561663	11.13179045695	11.0875491048394	11.9485126632684	11.2458286701289	11.4491031417768
gene-b0028	9.64724896291637	9.88730685389583	9.4442301582351	9.42074083633413	9.59441321522564	9.54849098104653
gene-b0029	10.0602404691955	9.59320671199166	10.7931319844716	9.81111945649572	9.945651654726	10.4029203998452
gene-b0030	8.44419068665488	7.89034516348375	7.60060046029501	7.48350092603487	8.57682768552305	8.68217359348253
gene-b0031	9.74286780867555	9.72986377246879	9.75683282496168	10.0683224587739	9.45811500346116	9.95913569626182
gene-b0032	5.77722901406409	6.42507665359449	7.05897315330203	5.53933030230194	6.86503962474959	6.73694624710381
gene-b0033	8.78115828755376	8.47357905962426	9.06754040357013	8.3560901870104	8.87079914774282	8.31250129285643
gene-b0034	6.90616742358565	6.42507665359449	5.43163718508153	9.24563056773397	7.49159837283495	7.13273364424154
gene-b0035	6.79906400719742	7.13321439454795	5.7569159270374	7.31965941457417	7.20045674055624	5.81735372115
gene-b0036	5.75192609258943	6.3711742368257	6.38026349522651	4.67881656271648	7.84914962379843	5.72243191409973
gene-b0037	8.20234599408928	7.93537679628852	8.53047194852381	9.38061754110322	9.07310332778724	9.62984592678486
gene-b0038	8.74406778220843	8.1675268585298	8.45583817717248	8.32809789753133	9.12527233148822	9.10996454453325
gene-b0039	8.48079073244312	8.22425341708955	8.66389003329082	9.45334275547715	9.20097546772075	9.54036830794762
gene-b0040	5.64287761450621	6.14019459945092	5.95551581468691	4.67881656271648	6.07528792901318	5.01531613932142
gene-b0041	5.02520821118301	5.81070998448758	5.35365604028255	5.38481895324255	5.65893972812288	5.15363241079037
gene-b0042	5.80185879202398	5.57894284549915	6.25057902191113	4.67881656271648	5.63230048846329	6.49410215183559
gene-b0043	5.95862840013291	6.2056383906385	6.32438772415316	5.53933030230194	5.65893972812288	5.90362324636282
gene-b0044	5.99926516634911	5.88226191563617	5.15815459194574	6.45173350956221	5.25186167282747	5.25905433660949
gene-b0045	6.35367023013646	6.65514632812055	6.87904221087571	6.5596282004474	6.92573421917387	7.36479729393216
gene-b0046	8.59086630209784	9.59747955622969	8.56364586081283	7.78346078154144	9.10032374140716	8.06902045927564
gene-b0047	8.98555846614805	9.332369236944	9.32875988691101	9.06320569450251	8.89173879930041	8.74020647759221
gene-b0048	11.8440694943415	11.0839143640174	11.9703029588277	12.3686001866089	10.325466633351	11.0974743721047
gene-b0049	10.388060262289	10.0284348050133	10.406931761498	9.5529663434107	9.2093310967663	9.35517265333966
gene-b0050	12.4466191733605	12.6161240954893	11.521725578624	11.7905665369214	11.520751185358	11.1526328538617
gene-b0051	12.5473207406526	12.5809903951878	11.9180667557851	12.1546171356134	11.8936725504675	11.7903610344835
gene-b0052	7.98943574851369	8.43093391718339	7.93078588976354	8.80441697535625	8.4238886268433	8.76370959907941
gene-b0053	12.9278063562988	13.5585036043682	12.8454653603574	12.5970398407718	12.6848576234898	12.510146727614
gene-b0054	14.1192489834492	14.4159747903842	14.0926646439159	13.3693194116903	13.6357477584306	13.4343728670981
gene-b0055	8.06804714087655	8.21028266319898	7.59519331146765	7.95895216603013	9.02086875199447	9.07661712462453
gene-b0056	10.1534470798936	10.6439789495267	11.1937549032927	10.8940601767658	11.0155221814995	10.785906069055
gene-b0057	9.72778695865742	10.5507338642478	10.6422058387205	10.2123110726056	10.660881888805	10.1842157971405
gene-b0058	11.109608057744	11.177059104329	10.9553771761158	11.0765382984886	10.9104755592943	11.2896359664738
gene-b0059	13.0826382876349	13.5572031296058	13.5209161692596	12.4238602927514	12.9667375636568	12.9254043711709
gene-b0060	11.83443020983	12.0964571565289	11.8558370871269	10.1461050484337	10.8207739456175	11.7381116783051
gene-b0061	8.58807558561123	7.81069737461376	7.52861360467634	10.0892020404476	9.01515780358875	8.5692538679089
gene-b0062	11.1754165957398	10.4715371524631	10.7302865610324	12.1062973183476	11.0950968707734	11.3199721981848
gene-b0063	11.3184913203016	10.2908729371137	10.9475798669399	12.6457476963171	11.1209699325674	11.4734558532008
gene-b0064	11.1581903743569	10.901739296986	10.1772321839548	11.8795082464524	11.8015209982595	11.516832203729
gene-b0065	11.2441012106745	11.2601831730023	11.2628244811909	13.2404628258717	11.8780632052843	12.2111789004374
gene-b0066	8.98131873166574	8.75834483179618	8.47922060296373	11.4597683354275	10.1665797892296	9.83408688847175
gene-b0067	6.09448057847411	6.42507665359449	6.76397391409389	5.87897949664688	6.82905240437136	5.4246267554537
gene-b0068	6.65989280595295	6.36009574421241	7.69450840006484	7.78346078154144	7.49717069252777	7.99901807185007
gene-b0069	8.13870064478399	8.4547827798911	7.92651449857054	8.892794781195	9.06206904893721	8.95543730025795
gene-b4577	6.82915572402319	7.02562731152514	6.47217844720493	8.3970740466641	6.942574132656	7.44999221977909
gene-b4662	6.29415140842653	6.54544083213075	6.32438772415316	7.78346078154144	6.57803925807696	6.95810516273001
gene-b0070	9.7048653599695	9.64366239691833	9.10922723786011	10.2199037997999	9.56608769776845	9.73321134127086
gene-b0071	10.4868619130228	10.8619270797664	10.9302759369404	10.4885735443167	10.0385001638782	10.7628420430338
gene-b0072	10.3343408592994	10.4744418033456	11.1581640778391	9.09664186055262	9.51984306373607	9.58053090650466
gene-b0073	10.0811507675704	10.0948878134021	11.0192618024456	8.59775317509051	9.17048646364285	9.42155711194699
gene-b0074	10.1383252718995	10.3072583146057	10.5387359527515	9.4403905019275	9.26489659715297	8.76836430500168
gene-b0075	6.07610300511513	7.4026920599358	5.21412510089514	4.67881656271648	6.46172153918294	4.67881656271648
gene-b0076	6.64853235606163	6.70662112229322	7.93929008402845	9.45977541998789	7.96924975221557	7.94207039722426
gene-b4726	4.67881656271648	4.98318425058263	4.67881656271648	4.67881656271648	4.67881656271648	4.67881656271648
gene-b0077	10.0732206750649	9.75398388604241	10.1484887465455	7.60661759955463	9.08949740129005	8.55853223387713
gene-b0078	7.71816994902985	6.84217427774552	8.94309722738507	9.36699049701849	7.04711500804668	7.78411148630215
gene-b0080	11.5064451929871	10.2568578724967	11.7299852490489	12.2950618831682	10.7146108349557	11.7915009047312
