	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_LEVO_1	featureCounts on 30min_LEVO_3	featureCounts on 30min_LEVO_2
gene-b0001	10.5775840105645	11.047969934013	10.4529329502921	10.5745124592799	10.3527268295585	10.7665568805293
gene-b0002	9.91708399957963	9.59227477096242	9.81103733767477	9.96386047445808	9.54105432396384	9.65720514190032
gene-b0003	11.22225524611	10.7439924173216	11.1924612785692	11.2830931314782	10.3424813753114	10.8104337964195
gene-b0004	10.4996796473203	10.0425780592647	10.2795565506798	10.5471378826153	10.0628053455068	10.1404006192125
gene-b0005	6.20932327787099	6.73524395500546	6.16400612285983	5.84042243223723	6.74624746591922	6.24844659209444
gene-b0006	7.58335776432501	7.62981206056905	7.69505571782948	7.26519470559837	7.32127556294907	7.20594310067619
gene-b0007	7.06528534599478	6.57229166202603	7.00120615653569	7.09591985734412	6.59140750610581	7.00409092353494
gene-b0008	13.3277904062849	13.1309774482387	13.6153824716774	14.1778665504011	13.8036378975886	14.1190245741775
gene-b0009	8.62931773519615	8.54516515136259	8.42089904784326	8.39185987320052	9.14701636310789	8.71422534116268
gene-b0010	9.11006635152409	9.18281024759654	9.29020515003148	9.7943322776056	9.47011741945943	9.45517532775983
gene-b0011	8.29137499630643	8.29157253152694	8.02758314836881	8.90095435115609	7.90768021715215	7.58280216972739
gene-b0012	7.91900477171421	7.97684930315805	7.6490366563222	8.57529203718605	7.56171692477291	7.25454186805871
gene-b0013	4.20647579735371	4.01087092238825	4.32258696096702	3.85280715417035	4.25474644304966	4.1175020123232
gene-b0014	18.9031505454784	19.2528124619424	19.191570662603	18.8052680719651	19.1373804212473	18.9984777470092
gene-b0015	14.5557156739996	14.9664642609951	14.6373638330848	14.2055375643092	14.7847222145477	14.5517049145981
gene-b0016	8.34654316084141	8.93247158558975	8.2151090652087	8.05239707742669	8.77059050682298	7.98271117498916
gene-b4412	9.71085779245323	9.57282367588274	9.1155271122897	10.3299632711939	9.61655160293163	9.54443900771587
gene-b0018	9.83925952799884	9.7008934940495	9.35244357269764	10.4618754085409	9.7601466297068	9.68734666283284
gene-b4413	8.29857235615995	8.13617612149864	8.00282111974427	9.0694765778338	8.44446720201808	8.10564353251458
gene-b0019	13.7608593832486	13.7899163187258	13.9510329759948	13.9571385277889	13.7203159584815	13.8719674324083
gene-b0020	10.0534968418317	10.3165570125533	10.1914540994444	9.63614436719183	10.1373420152095	9.90928114484106
gene-b0021	4.48076213684745	4.00106590950876	4.05304497122775	3.79591425656205	4.13643016849098	3.95666016081942
gene-b0022	2.7415537699425	2.7666827251597	2.62227677593298	2.50944225859234	2.50723270315123	2.5544247650788
gene-b0023	9.64575740226291	9.65011668343754	9.41600154093793	9.00019652644795	9.96331420834797	9.63587007404045
gene-b0024	9.30436320395697	9.20676046418325	9.28390147381272	9.47204556443343	9.16181887702082	9.22185427400945
gene-b0025	10.9265500999946	10.7916082582998	11.0780592356659	10.7711837052364	10.6816629206217	10.6679637444639
gene-b0026	14.2888475185459	14.3407704154668	14.210764699162	13.9823975041303	14.1899430487869	14.1180043505392
gene-b0027	11.2315536384915	11.1920893991399	11.1664240561754	11.6882280822918	11.2589267919795	11.3801218419282
gene-b0028	9.52773469079537	9.67356050738577	9.40653816957484	9.39361987548012	9.49593256425415	9.46848428819349
gene-b0029	10.0121735939451	9.7403499043803	10.4651182321317	9.86664640202291	9.94419626946066	10.2199485153989
gene-b0030	8.04469915175981	7.70512662419832	7.53409093569553	7.4788002804469	8.12817221284689	8.1932481943948
gene-b0031	9.67596324772613	9.66819635942346	9.68429690608972	9.87165968838679	9.50970763972648	9.80608133669497
gene-b0032	5.08367729125148	5.4325355013016	5.81717450364304	5.02986305192612	5.69703507841875	5.61546897769253
gene-b0033	8.53857710283926	8.35356516084422	8.71323192430369	8.28819725066506	8.59329539021249	8.26106621326344
gene-b0034	6.40932446723654	6.09328410924416	5.53711430764455	8.00610209462868	6.80256211336072	6.56041518528113
gene-b0035	5.9464440492882	6.15599253172453	5.35894169109354	6.25786978574913	6.19804400526639	5.40394692160105
gene-b0036	4.80384856391673	5.17909814862213	5.1846298804246	4.56489714349435	6.17436493331166	4.79974862899638
gene-b0037	8.27933802267043	8.12747708361779	8.47093020486296	8.99116745554915	8.80100432334684	9.15382704764999
gene-b0038	8.52332716938395	8.17977176603034	8.34945246342523	8.27757836237834	8.75986811646146	8.74926336411989
gene-b0039	8.51170891123467	8.36460973223089	8.6188280565813	9.09922328217083	8.94417379552154	9.1564545620145
gene-b0040	3.77592696612049	4.02037137629968	3.92317177412575	3.58121984218297	3.98509025009264	3.58557190247377
gene-b0041	2.75433330613659	3.01284047368586	2.83525639674932	2.84737187745948	2.94736105583935	2.78343030516683
gene-b0042	4.14487944660219	4.04198068255064	4.38165577375294	3.87958608600456	4.06593935064723	4.51452099558825
gene-b0043	4.4195293292066	4.54559164182918	4.60718956934766	4.25556128500834	4.28324715400598	4.39361895638894
gene-b0044	3.9504406582937	3.88946475504476	3.59186752780974	4.17839725849474	3.6187791372963	3.62935076722518
gene-b0045	5.7864694340587	5.95761124053517	6.09036787845666	5.91144058185673	6.11846189089689	6.3836484313032
gene-b0046	8.41713439269299	9.05214658289533	8.40062300648375	7.95878973865185	8.73294016873702	8.11001532554952
gene-b0047	8.87319865091388	9.08338272864052	9.0810858058112	8.91974604959568	8.81749878945939	8.73011805495824
gene-b0048	11.6731765959444	11.2202543216834	11.7519157409058	12.0056929160689	10.8094475984011	11.2281997443389
