	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MMC_1	featureCounts on 30min_MMC_3	featureCounts on 30min_MMC_2
gene-b0001	2114.81642956559	3666.64248427521	1824.77120617429	918.334243786313	2313.31018945353	2812.56274812433
gene-b0002	1498.39011601508	1012.19298215765	1326.5505920932	1301.65074967352	1047.50758161984	1231.20631500705
gene-b0003	3881.90519507705	2223.22419767368	3773.84285185346	2148.19780331134	1762.55878056063	2681.38556523347
gene-b0004	2312.91582605704	1333.77086573724	1791.14895614427	1386.98269268021	1396.16253514868	1721.82963684291
gene-b0005	92.7273770811021	216.021784389345	85.5839091673032	177.436262442488	280.77522806305	40.282756950734
gene-b0006	299.256535125375	320.759619244785	349.467629099821	209.943669302181	114.932716981853	207.61113197686
gene-b0007	219.173800373514	99.0099845117832	200.714644118556	227.551848017847	148.101219198092	166.295483822261
gene-b0008	12039.8069378258	9369.94489788785	17235.987992658	15720.040167233	15796.6920206132	16461.1871159961
gene-b0009	558.47170287482	504.050830241805	425.881833713485	814.039646778132	586.233992659115	588.747986203036
gene-b0010	668.058603061577	740.529223001354	848.707099242423	704.32714862667	643.314670891713	909.977150605043
gene-b0011	479.442688317062	482.775957536794	340.297924546182	452.394745464054	290.031554262931	385.268419041636
gene-b0012	365.640907353891	396.858202381941	253.695159317363	387.379931744669	236.807678613616	284.045081062868
gene-b0013	32.6653260172064	14.7287580265463	45.8485227681981	8.12685171492312	21.5980944663884	2.06578240772995
gene-b0014	648504.717419599	980031.920742353	913208.838784848	1194182.61707066	968412.274241858	943273.431452834
gene-b0015	33212.2067979461	53403.2035469175	36751.1569949261	50015.3544042085	47765.7286334514	46983.1221902061
gene-b0016	452.045963270373	931.184813011647	381.052167006802	681.301068767722	840.011602639179	474.097062574023
gene-b4412	1229.69146651871	1045.74181988478	568.521682325657	1102.5428826579	979.627856154047	886.220652916148
gene-b0018	1327.68744457033	1128.38651770041	714.218099122375	1202.77405380862	1028.99492922008	1014.29916219541
gene-b4413	435.186440164718	351.853663967494	290.373977531922	415.8239127469	359.454000762036	398.69600469188
gene-b0019	18952.2114111443	19753.719306603	23802.5153091254	19979.8649411385	23171.6699203682	29709.0496967683
gene-b0020	1519.46451989715	2084.1192607563	1800.31866069791	1736.43731642191	2324.88059720338	1307.64026409306
gene-b0021	71.6529731990335	18.0018153657788	22.4148333533413	40.6342585746156	76.3646911490163	44.4143217661939
gene-b0022	18.9669634938618	21.2748727050113	9.16970455363963	35.2163574313335	3.85680258328365	6.19734722318985
gene-b0023	1194.91870011329	1209.39468684641	904.744182625777	1112.02420965865	869.323302272135	1749.71769934727
gene-b0024	912.521688093573	813.354748799277	894.555622010621	930.524521358697	845.411126255776	852.135243188604
gene-b0025	2912.48261650189	2499.79754283882	3485.50658644457	2822.72649564996	2774.58377841426	3373.42267182301
gene-b0026	29798.153369051	31850.1209680715	27368.5115244297	32241.9297036717	27862.3132221578	25670.4450896562
gene-b0027	3267.58632191475	3136.40719531955	3035.17220725472	3533.82602070574	3056.90172751062	4030.34147748113
gene-b0028	1067.41855662678	1282.22021264433	923.083591733056	1091.70708037134	1261.17444473375	846.970787169279
gene-b0029	1444.65038611581	1032.64959052785	2461.55624462148	1563.06447983688	1327.51144916623	2112.26251190387
gene-b0030	424.649238223684	270.027230486681	208.86549261068	552.625916614772	337.855906295648	179.723069472506
gene-b0031	1145.39385099043	1142.29701139214	1163.53362225072	1005.02066207883	944.145272387838	1382.00843077134
gene-b0032	22.1281240761721	60.5515607758013	124.300439504893	111.066973437283	86.3923778655538	191.08487271502
gene-b0033	554.256822098406	437.771419122347	694.859833953581	631.185483192362	545.351885276308	663.116152881314
gene-b0034	105.372019410343	60.5515607758013	10.1885606151551	20.3171292873078	106.447751298629	195.21643753048
gene-b0035	93.7810972752056	134.195350908533	21.3959772918258	89.3953688641543	51.6811546160009	59.9076898241685
gene-b0036	21.0744038820687	56.4602391017607	57.0559394448688	71.7871901484876	82.5355752822701	84.6970787169279
gene-b0037	348.781384248236	280.664666839187	457.466371620466	241.096600876053	630.201542108549	396.63022228415
gene-b0038	538.451019186854	341.216227614988	430.976114021062	659.629464194593	737.420653923834	447.241891273534
gene-b0039	437.293880552925	357.581514311151	508.409174696242	570.234095330439	593.176237309026	526.774513971137
gene-b0040	16.8595231056549	40.9132167404063	30.5656818454654	46.0521597178977	37.7966653161798	37.1840833391391
gene-b0041	2.10744038820687	23.7296657094356	8.15084849212411	10.8358022865642	49.3670730660307	72.3023842705482
gene-b0042	23.1818442702755	14.7287580265463	47.8862348912292	56.8879620044618	51.6811546160009	79.5326226976031
gene-b0043	30.5578856289996	45.0045384144469	52.9805151988067	25.7350304305899	33.1685022162394	27.8880625043543
gene-b0044	32.6653260172064	27.0027230486681	4.07542424606206	63.6603384335644	22.3694549830452	25.8222800966244
gene-b0045	54.7934500933785	80.1899048111963	102.904462213067	176.081787156668	188.211966064242	80.565513901468
gene-b0046	477.335247928855	1035.92264786709	469.692644358652	316.947216882002	620.945215908668	458.603694516049
gene-b0047	649.091639567715	850.176643865642	846.669387119392	766.633011774414	802.214937322999	939.930995517127
gene-b0048	5149.53058858348	3031.66936046411	5657.70770959565	2745.52140435819	3139.43730279289	4621.1552460919
gene-b0049	1831.36569735177	1421.32514956171	1866.54430469642	1434.38932768393	1089.93241003596	1517.31717847765
gene-b0050	7856.5377672352	8905.98902005164	4126.36704913783	6402.6046760736	6846.59594584514	5318.35680870076
gene-b0051	8429.76155282747	8689.96723566229	5453.93649729255	7147.56608327488	7702.03475881745	7780.76943871485
gene-b0052	291.880493766651	423.042661095801	279.166560855251	266.831631306642	467.444473093978	377.005289410716
gene-b0053	10995.5702254693	17181.914502301	10438.1803502264	10409.1425715307	11761.7051579818	10132.6627099154
gene-b0054	25204.9870429541	31190.5999142161	24878.4273100858	23077.54991981	25655.4507840028	17830.8008523211
gene-b0055	311.901177454616	353.49019263711	207.846636549165	279.021908879027	533.781477526457	535.037643602057
gene-b0056	1545.80752474974	2215.8598186604	3272.56566958783	1594.21741141075	4099.78114603052	1477.03442152691
gene-b0057	1132.74920866119	2072.66356006898	2209.89879742715	952.196125931826	2810.83772269712	1208.48270852202
gene-b0058	3066.32576484099	3238.69023717056	2763.13763883007	3284.60256811476	2958.93894189522	3923.95368348304
gene-b0059	12249.4972564524	17166.3674799397	16714.333689162	19779.4025988371	12671.9105676368	14107.2280623878
gene-b0060	5114.75782217806	6190.16969282347	5220.61845920549	9043.83148342361	4858.79989442074	8859.10785554989
gene-b0061	476.281527734752	252.025415120903	195.620363810979	293.921137023053	257.634412563348	228.268956054159
gene-b0062	3212.79287182137	1958.10655319584	2353.55750210084	2526.09640805527	1942.28578094165	1729.05987526997
gene-b0063	3555.25193490498	1719.17336743187	2747.85479790734	3055.69624481109	2399.70256731909	2118.45985912706
gene-b0064	3173.80522463954	2663.45040980045	1581.26460747208	2727.91322564253	2597.94222009987	2311.61051424981
gene-b0065	3372.95834132509	3435.07367752451	3436.60149549183	3754.60549229448	4271.02318072831	4873.18069983495
gene-b0066	646.984199179508	548.237104321444	439.126962513187	755.79720948785	1076.04792073614	886.220652916148
gene-b0067	37.9339269877236	60.5515607758013	90.6781894748808	8.12685171492312	104.905030265315	26.8551713004893
gene-b0068	80.0827347518609	55.6419747669525	227.20490171796	246.514502019335	176.641558314391	108.453576405822
gene-b0069	330.868140948478	431.225304443882	278.147704793735	400.924684602874	499.841614793561	334.656750052252
gene-b4577	96.9422578575159	120.284857216794	64.1879318754774	33.861882145513	94.1059830321211	68.1708194550883
gene-b4662	50.5785693169648	70.3707327934988	52.9805151988067	13.5447528582052	55.5379571992846	34.0854097275442
gene-b0070	1113.78224516733	1071.92627859864	717.274667306922	1300.2962743877	1213.35009270104	1186.79199324086
