	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MMC_1	featureCounts on 30min_MMC_3	featureCounts on 30min_MMC_2
gene-b0001	11.1126830406382	11.8790745598084	10.9100099480796	9.98945481861503	11.236589331599	11.5079900669427
gene-b0002	10.6416050518081	10.1171397991826	10.4772263206916	10.4517703615293	10.1623882634534	10.3772130922905
gene-b0003	11.9592669089233	11.1816709577504	11.9195675138994	11.134280086265	10.8625593914878	11.4414794495437
gene-b0004	11.2363534221243	10.4845244125221	10.8845598866475	10.5371978409293	10.5460929945321	10.8306259262103
gene-b0005	7.48614419861307	8.26915587920299	7.42209636630567	8.06987092690983	8.54963695948783	6.90481697968663
gene-b0006	8.620279414958	8.6982119534061	8.79592879864727	8.23963795159109	7.66644189007619	8.22813853321609
gene-b0007	8.28421612726525	7.53984430548229	8.19355994743366	8.32345960204628	7.89577693376726	8.00640068285416
gene-b0008	13.5675164931366	13.2092065132062	14.0815287081266	13.9495150674836	13.9564882194518	14.015566307312
gene-b0009	9.35602306525884	9.23009590247743	9.02714502104731	9.83282974687855	9.41621810095744	9.42154566738402
gene-b0010	9.5801619731446	9.71116252650006	9.8868114421521	9.64722045453232	9.5325383869419	9.97751560522171
gene-b0011	9.16927739044393	9.17766945100989	8.7654497747474	9.09928111314981	8.58546553965568	8.90898269354076
gene-b0012	8.84812786319147	8.94372161349308	8.43917930553782	8.9153756923466	8.36554936412831	8.56239918060359
gene-b0013	6.78665370849315	6.42502610575672	6.98312060326082	6.22972679703094	6.5827128277663	5.94567620914506
gene-b0014	19.3069815445415	19.9026174459456	19.8007443747402	20.187713693874	19.8854118492304	19.8474705145783
gene-b0015	15.0237904258217	15.7073553138823	15.1694470935354	15.6129838245658	15.5467250195744	15.522942238997
gene-b0016	9.09835558520241	10.0076219978067	8.8961298978123	9.60501232797644	9.87346112398596	9.15571452804188
gene-b4412	10.3755665885443	10.1601593209322	9.37810820475807	10.2301818947422	10.0741123527038	9.94302366751613
gene-b0018	10.4783778836314	10.260946088243	9.66497581004689	10.3459910751638	10.1388458404356	10.1198787676005
gene-b4413	9.05288116446952	8.80375252775728	8.58677344987693	8.9987888630685	8.82838764691027	8.94915255046145
gene-b0019	14.2177139410405	14.2771634295272	14.5449108063945	14.2935033275973	14.5063238985799	14.8634926332162
gene-b0020	10.6605311791778	11.0925328541131	10.8915455183759	10.8421605827192	11.2434936591755	10.4579349042448
gene-b0021	7.28647229496351	6.50422932060518	6.59951829277824	6.90994339058898	7.33409219183484	6.9635041353863
gene-b0022	6.52607188823098	6.57596592942798	6.26504283106577	6.82784087771334	6.05197403244968	6.15753407500403
gene-b0023	10.3372441192803	10.3533220828337	9.96998874483044	10.2415450370801	9.9179760078299	10.8525676105894
gene-b0024	9.98116133897996	9.8317425348126	9.95521977946853	10.0066941077861	9.88176569948028	9.89204076148672
gene-b0025	11.5566704493426	11.3440320421818	11.8079593031927	11.5130175504184	11.4890471376998	11.7621307727001
gene-b0026	14.8677985535242	14.963561898935	14.7455231495368	14.9811459684151	14.771227647412	14.6534636394258
gene-b0027	11.7174775296	11.6601412523404	11.6142799949566	11.8272754431541	11.6242475388855	12.0120762378616
gene-b0028	10.1872857407905	10.4315882442114	9.99619590328361	10.2170845073983	10.4094042530844	9.8841555670812
gene-b0029	10.5921863398019	10.1435241057993	11.322642865673	10.6989143062492	10.4781996711834	11.1110173050741
gene-b0030	9.02370036564233	8.50684285196615	8.23433458116611	9.34301763063759	8.75722005137974	8.08253603019614
gene-b0031	10.2808382774139	10.2772365708868	10.3017560357343	10.1077732399546	10.0257146289915	10.5323547802534
gene-b0032	6.59365779460711	7.16589997770738	7.73542799835446	7.63685180949728	7.4295159956094	8.1437560270454
gene-b0033	9.34665794281314	9.05994889812874	9.63001675545362	9.50860137144877	9.32666723559263	9.5707753719638
gene-b0034	7.5919622165923	7.16589997770738	6.29757382673436	6.55563804645721	7.60056463964977	8.16534822716277
gene-b0035	7.49531501899351	7.80449989386537	6.57850039237093	7.45668644425827	7.05934530675883	7.1585001264199
gene-b0036	6.57175311349389	7.11802525684894	7.12512501676647	7.28785580146113	7.39370475032621	7.41390507149408
gene-b0037	8.79367054107615	8.54920338753609	9.11267139448191	8.38462470174747	9.50664186234406	8.94304644587048
gene-b0038	9.31098028150649	8.76853206800444	9.04129346823264	9.56411626508069	9.70578268890752	9.08554567620338
gene-b0039	9.05864588518229	8.82235823835357	9.24060147340865	9.38183741719947	9.43088176640114	9.284037550548
gene-b0040	6.47754242930039	6.91399340482291	6.7513565283439	6.98587627117147	6.86779209578195	6.85845354319394
gene-b0041	5.94859286185635	6.62587929229231	6.23056511571143	6.31736016091812	7.02975165551426	7.29315129749086
gene-b0042	6.61499649516399	6.42502610575672	7.01037572332133	7.12312760016472	7.05934530675883	7.36506621199975
gene-b0043	6.75122294365751	6.9716216127378	7.07561370589719	6.66457354398952	6.79491946562671	6.70429148084003
gene-b0044	6.78665370849315	6.68817427469124	6.0630264642626	7.2009622410728	6.59859349048776	6.66621837133271
gene-b0045	7.0979142205436	7.37139325838219	7.57200449675616	8.06231276408825	8.12853624111044	7.37499395420867
gene-b0046	9.16394586737112	10.1477009977581	9.14444154912121	8.68470766030753	9.48807522339485	9.11565692596771
gene-b0047	9.54379985095537	9.88905543240059	9.88369404219702	9.75555912206155	9.81394237830961	10.0198565289773
gene-b0048	12.3580329782347	11.6126667363709	12.4913444678426	11.4743816005249	11.6614917133749	12.2049747078416
gene-b0049	10.9149492821325	10.5701971275796	10.941016031028	10.5825543676903	10.2149280202332	10.658614075792
gene-b0050	12.9579946292976	13.1367364018547	12.0452373021068	12.6668713058137	12.7621605173387	12.4037020843907
gene-b0051	13.0583581998919	13.1017099918313	12.4393588090009	12.8233510236509	12.9297044772628	12.9441904428346
gene-b0052	8.59251316680059	9.01919795111769	8.54331512460505	8.49386081374517	9.13865273891843	8.88368230704676
gene-b0053	13.4377577905174	14.0770218045012	13.3634013568098	13.3594206312278	13.5340832109328	13.3209580632073
gene-b0054	14.627168439042	14.9334703398851	14.6084297214383	14.5004773498064	14.6526239922437	14.1301974297216
gene-b0055	8.66663089682864	8.80909359959906	8.22930398154242	8.54274525253419	9.30026671010166	9.30315672850534
gene-b0056	10.6838442897501	11.1770875683268	11.7196096453751	10.7257262811758	12.0361323015939	10.6221691121867
gene-b0057	10.2660750980657	11.084940340999	11.1733668874079	10.0368397999882	11.5071350426927	10.3523144680431
gene-b0058	11.6285491080495	11.7050418453592	11.4832889477378	11.7247507627967	11.5787558874384	11.9744238733962
gene-b0059	13.5922227449067	14.0757233849212	14.037451304559	14.2790284896086	13.6407436362671	13.7943906694603
gene-b0060	12.3484443203265	12.6189518461972	12.3774394511225	13.1586501521624	12.2758308595319	13.1292068750027
gene-b0061	9.16127258386237	8.43207158014538	8.16744087267163	8.60025038527295	8.45580452587122	8.32676702173824
gene-b0062	11.6938048233334	11.0067304549572	11.2604646122522	11.3585595301592	10.9955879097959	10.8363466810103
gene-b0063	11.8357585447172	10.8285184962916	11.4755646075536	11.6236963736292	11.287360585186	11.115056058449
gene-b0064	11.6767209663479	11.4321426283403	10.7146389295541	11.4654229930558	11.3975167087614	11.2355723048217
gene-b0065	11.7619378568574	11.7875184737569	11.7881419842169	11.9123841620624	12.0937956602577	12.2800089714002
gene-b0066	9.53970193578927	9.33317502476131	9.06364112387757	9.73729661131087	10.1979437057811	9.94302366751613
gene-b0067	6.86987255607844	7.16589997770738	7.46811150632111	6.22972679703094	7.58820941981288	6.6854595554703
gene-b0068	7.37036390930019	7.10819808928096	8.3218565649563	8.40835004550153	8.0654415197245	7.61644981586713
gene-b0069	8.73340084392137	9.04198193738004	8.53929625312896	8.95571069799222	9.2198756168274	8.74636522724152
gene-b4577	7.52242608697714	7.70630917070329	7.20680678445228	6.80619330243529	7.498128894884	7.24999264682255
gene-b4662	7.04534631899515	7.2731718091093	7.07561370589719	6.39407416194688	7.10694257624938	6.80979952225462
gene-b0070	10.2436421655312	10.1928630008815	9.67041844474287	10.4503726362302	10.3576841294542	10.3281386792344
gene-b0071	11.0124267843714	11.3927186621362	11.4584239713396	11.2758293387556	11.2250081154856	11.2806128082755
gene-b0072	10.8619865412149	11.0095979989927	11.6843055167087	10.5306000751241	10.9320340682851	10.2383194165271
gene-b0073	10.6127410612453	10.6355407752412	11.5465897938189	10.8109318778787	10.5682752196653	10.288114321191
