	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MMC_1	featureCounts on 30min_MMC_3	featureCounts on 30min_MMC_2
gene-b0001	11.0527130477592	11.5172467339791	10.936155469847	10.4452128666755	11.1253537429011	11.287759216742
gene-b0002	10.419489868337	10.114780822349	10.3223659889996	10.3073404426972	10.1402207843943	10.2637790474858
gene-b0003	11.6918766642412	11.2325506924392	11.6675280730517	11.2060736743689	11.0559145473614	11.3816715993788
gene-b0004	10.9583090104867	10.5153636606214	10.7466709739009	10.5454760949272	10.5502605959848	10.7148915538038
gene-b0005	6.89182587102583	7.3491093927901	6.85660780076455	7.22664652062286	7.52252803248571	6.59489691974675
gene-b0006	8.05120432368831	8.09859071506176	8.15714018172455	7.82838495972994	7.50796646043572	7.8212680145077
gene-b0007	7.57324791523628	7.15299159680991	7.52015574698086	7.59550666083234	7.34881333009189	7.41205306643002
gene-b0008	13.6583597092009	13.4619800051948	13.9565315703784	13.8781886098552	13.8823154556539	13.9172448547964
gene-b0009	9.14119882404587	9.0678876073103	8.95225729187599	9.42577364687759	9.17652864535653	9.17961928008125
gene-b0010	9.46331806443424	9.53930070067162	9.64287594667088	9.50218093290554	9.43572274344441	9.69707560416555
gene-b0011	8.77195111647708	8.77728844018517	8.53522006483252	8.72997913481129	8.43211755072413	8.6182921089756
gene-b0012	8.40215092855694	8.459597590828	8.16418218977423	8.44169183797506	8.12166777888371	8.23484240887868
gene-b0013	4.40672820016123	4.26901426788231	4.49336964502637	4.21459242236562	4.3251541284646	4.15735716462607
gene-b0014	19.5363123805237	19.8704469007216	19.8113769934999	20.039672003248	19.8604185483555	19.8383785633974
gene-b0015	15.200025947398	15.591589009403	15.2804942974652	15.5355076422295	15.4965192540675	15.4825959542472
gene-b0016	9.03049548612277	9.57022366496347	8.91734433075644	9.32496615892193	9.4877791631095	9.06302375312955
gene-b4412	10.094475480399	9.96553568006028	9.521494954602	10.006918860712	9.91471100823882	9.83819479006925
gene-b0018	10.224939611638	10.0953497708092	9.75518096170003	10.1455252959811	10.0237207161014	10.0127150913959
gene-b4413	8.65000898681685	8.50345495411127	8.37906620193232	8.61764751940177	8.51780177808667	8.58860883980334
gene-b0019	14.3126497017726	14.346132757041	14.5002014414835	14.3553989808183	14.4776840623309	14.6901426627327
gene-b0020	10.6700732568916	10.9219164010548	10.8031910239866	10.7744496162279	11.0127562700922	10.5563151808355
gene-b0021	5.61685718918853	5.25612720271711	5.29436182060622	5.42884601997676	5.64414349877635	5.45386716645346
gene-b0022	3.95142673893133	3.97034419261648	3.86868865483869	4.06917209643388	3.81862196031099	3.84196106670513
gene-b0023	10.1960951813148	10.2055919227033	9.98459965001249	10.1401915050855	9.95506974249873	10.5067803299084
gene-b0024	9.80439361221972	9.7172360243984	9.78917949567555	9.81932318317562	9.74625775276602	9.75227496526655
gene-b0025	11.51876375603	11.3976371818857	11.6659420725642	11.4936066963363	11.4797934614455	11.6388925847997
gene-b0026	14.8474675516389	14.9033384847084	14.7770182519595	14.9136404558784	14.7917292445977	14.7248166845416
gene-b0027	11.6858259946014	11.6527388241594	11.6264693489655	11.7497523531494	11.6321395150794	11.859250576125
gene-b0028	10.0612155374984	10.2058461326512	9.95081622375803	10.0786161678536	10.1925857727148	9.88724628251034
gene-b0029	10.5647892605769	10.3139270353053	11.0008871640301	10.6264411730975	10.4996456096396	10.8712235556014
gene-b0030	8.498703801615	8.19159589452479	8.03660982476437	8.69378178676522	8.33889241839924	7.95256745643163
gene-b0031	10.148991432455	10.1469003479784	10.161235186399	10.0490255866649	10.0021485543383	10.2973398543459
gene-b0032	6.08869048334211	6.35027564851494	6.66517268821979	6.60762683916724	6.49208335064827	6.90721608373809
gene-b0033	9.15047044733797	8.98583727849803	9.31774781766456	9.24532790610549	9.13873178487738	9.2823696100887
gene-b0034	6.34033944798628	6.10016719009144	5.71645963909118	5.81600978688095	6.34697250023031	6.6870318008179
gene-b0035	6.26688868840029	6.4441664064992	5.82320315641628	6.24463585255677	6.03591801028047	6.08710916458721
gene-b0036	5.65370931008986	5.89615708688042	5.89990872734538	5.98263336806378	6.04064672297344	6.05044284567317
gene-b0037	8.50913155140612	8.3680660206888	8.69770230847641	8.27796137376354	8.9387215656393	8.59669959345388
gene-b0038	9.03738478449372	8.72531439381832	8.88028789803661	9.18816886006382	9.27530056808847	8.90578163286708
gene-b0039	8.86272423671186	8.7277177307453	8.96868013032328	9.05198958622895	9.0818927389598	8.99426627838357
gene-b0040	4.9749791818682	5.15312316686081	5.08074650643398	5.18518847479796	5.13195018431505	5.12747545883846
gene-b0041	4.43649219326923	4.6369332887972	4.49739883552872	4.52589009363432	4.82734885710729	4.9642541975969
gene-b0042	5.30230831306694	5.2294934696097	5.47806735498881	5.53294190290863	5.50267088387232	5.66052743121108
gene-b0043	5.11621884329451	5.21553831424061	5.26498314766763	5.08160119712706	5.13469525043443	5.09658686914523
gene-b0044	4.83392381312938	4.79142222971766	4.59257259710874	5.03154770420014	4.75442281550642	4.78235837486346
gene-b0045	6.48289490831329	6.62205705236766	6.73212036385301	7.01212754579261	7.05500352051065	6.62496652218482
gene-b0046	8.98093422077183	9.57998212329121	8.96958625853829	8.71130697680449	9.17250585675362	8.952937927943
gene-b0047	9.49491726774032	9.69458544622575	9.69137750878408	9.61652191830272	9.65045544260805	9.77209338574855
gene-b0048	12.1664826782348	11.7335777624148	12.2477375492018	11.6578666911087	11.7607385787794	12.0745671918133
gene-b0049	10.714912585377	10.511918121845	10.7305771602179	10.5191460168437	10.3106777369424	10.5632885045693
gene-b0050	12.8173129375203	12.9254182378164	12.299773492784	12.645783502836	12.7013097419317	12.495781276106
gene-b0051	12.96750575878	12.993218431977	12.6153218654292	12.8305006060622	12.8920279409039	12.9004651371491
gene-b0052	8.32274970156181	8.57138784224175	8.29496403827797	8.26821843171829	8.64207384453279	8.49117865843171
gene-b0053	13.4599963584315	13.8402673045704	13.4175827596842	13.4153397554414	13.5155271164775	13.393553785144
gene-b0054	14.6010073277819	14.78253603146	14.5901171339505	14.5278691748385	14.615843621391	14.3210583864362
gene-b0055	8.38740934599912	8.47043465003489	8.14059118982499	8.31694255574404	8.76617870663392	8.76721861338707
gene-b0056	10.8348332939705	11.1138862885069	11.4393967941717	10.8581062195037	11.637744130109	10.8011376918922
gene-b0057	10.3915335693271	10.8651344140995	10.9187057833107	10.2680513132946	11.1254606492574	10.4392272117363
gene-b0058	11.6073382832896	11.6516653588691	11.5242830549291	11.6631325832497	11.5786713930751	11.8108994306475
gene-b0059	13.7203684104693	13.9958891599438	13.9734437207009	14.1158179239011	13.7469791211464	13.8330586319379
gene-b0060	12.4599956474298	12.6133879306036	12.4761771360374	12.9343812978779	12.419667030291	12.9164474431091
gene-b0061	8.48658959851008	8.04925991309986	7.89850568524392	8.14748407809866	8.06303591807157	7.98885365921928
gene-b0062	11.4310522637715	11.0246303236346	11.1712206565851	11.228941415215	11.0182770762522	10.9287873500207
gene-b0063	11.5911966165927	11.0084186069397	11.3750889855959	11.4628938034945	11.2654584523613	11.1672549292823
gene-b0064	11.4766069059137	11.3308031533444	10.9262965258104	11.3503412336705	11.3104620417009	11.2163817622353
gene-b0065	11.8003175138552	11.81483183245	11.8152147617465	11.8865478663045	11.9926258068497	12.1037886900608
gene-b0066	9.39506631685333	9.2761875961971	9.1260262900231	9.51079691169663	9.79010151672508	9.63396960840112
gene-b0067	5.58031548892503	5.72744066293603	5.89024432319741	5.34420631183542	5.96008110739887	5.49797056346167
gene-b0068	6.854377283499	6.71635104694963	7.40059738690382	7.45122367852964	7.24754743956055	6.9881860675525
gene-b0069	8.46625657119044	8.64636553555724	8.35720108766549	8.59514565374891	8.75171266709599	8.47365703776163
gene-b4577	6.37046834424937	6.47438652108275	6.2028356579967	6.01606770895883	6.35791540857527	6.2250620700836
gene-b4662	5.52746363146985	5.6440515204366	5.54237963246321	5.2616316657249	5.55860148263904	5.41778413654614
gene-b0070	10.1046966449391	10.0750030479295	9.77936544630725	10.226994936301	10.1720480953125	10.1544483068409
gene-b0071	11.0656734941589	11.2848405591892	11.323660364503	11.2164036304763	11.1869284798974	11.2191853814728
gene-b0072	10.7948088852014	10.8813690174994	11.2934567540383	10.6061007893444	10.8357089430254	10.4457113998812
gene-b0073	10.5858683828437	10.5989190892526	11.1494131875399	10.7009132543081	10.5602945775258	10.4030600454153
gene-b0074	10.6085019952167	10.7111939692957	10.8464199804826	10.4767818746569	10.587591350556	10.6386404093121
gene-b0075	5.26552787752057	5.97358312314019	4.97002700836133	5.00987287217616	5.26644255499836	5.20080145158441
gene-b0076	6.95959223851745	6.98739710021076	7.6448747771172	7.09817152863135	7.53716688045002	7.45834445665358
gene-b4726	0.0478508179787252	0.0635769546444317	0.0478278898907857	0.0480443011955888	0.0918613664836513	0.0478371327152661
gene-b0077	10.4208650561955	10.2427830841814	10.469538678749	10.2646012279748	10.1322265894576	10.3408826062389
gene-b0078	7.95371870591797	7.50539646202055	8.67646516952937	8.24350118401381	7.72818123900787	8.09868332219879
gene-b0080	11.8037169045656	11.10756424566	11.9451240283911	11.5154392926044	11.3145300790506	11.624086310103
gene-b0081	12.5227146243111	12.0458641268105	13.2473342589405	12.2041200028156	12.0901410400984	12.7473600440068
gene-b0082	13.483510556277	13.1819685220811	13.5609470971524	13.137969424762	13.3878672980731	13.7016051451381
gene-b0083	11.7974244852737	11.5982738546606	11.6788636653051	11.3255842649962	11.6520687706886	12.1320516625925
gene-b0084	9.58917491014017	9.54159738264896	9.41995359802779	9.23805955020173	9.24831271968457	9.28297890133829
gene-b0085	9.16994965368824	8.96647563301618	9.07989143854012	9.01332160644059	8.42523145103589	8.88452475756294
gene-b0086	8.78675835289578	8.81084431174653	8.65689676136431	8.36819478400266	8.4568979892675	8.6261069064982
gene-b0087	8.7738043884092	8.20916991549254	8.5783705131001	8.31006453358231	8.12213826478141	8.78332230065588
gene-b0088	9.4179012579393	9.23860129803264	9.38898030085812	9.21461186255218	9.18206820114171	9.22381976014215
gene-b0089	9.21196968915308	9.03494045560688	9.37312294235227	9.1165210796495	8.97174280230156	9.37203773224006
gene-b0090	9.69488945754893	9.65763889838701	9.50832006477034	9.39422759361671	9.0716604204141	9.70733318724007
gene-b0091	10.4067673765838	10.2628607374596	10.1783892166522	10.0367167614731	10.0441571203507	9.9846224803366
gene-b0092	11.616880730868	11.4430930817057	11.0661537454471	11.4818126200279	11.5353455088891	11.3321118027343
gene-b0093	12.907026939865	12.7379637585665	12.4872733816403	12.6360695094232	12.7680846659921	12.6976924524603
gene-b0094	13.2594325164698	13.0340239162203	13.0935310842795	13.0771565444717	13.1351780069622	13.002307547114
gene-b0095	14.3994242007832	14.1096992292302	14.2774384326944	14.204474619924	14.239914321191	14.0151405491519
gene-b0096	17.7930802409618	17.3074776713559	17.8121397663831	17.7577802556805	17.6671260429489	18.3134009401218
gene-b0097	11.1905274071201	11.234861729161	11.3805523800262	11.5507750742902	11.7687515794065	11.211999232894
gene-b0098	13.498315297951	13.4338477013505	13.5642128571368	13.6387427027842	13.7845047661899	13.4120403236309
gene-b0099	7.78508764879755	7.84616498538781	7.36546963478549	7.86401673703924	7.49443591926915	7.64294596219154
gene-b0101	9.65330697350407	9.8621625488531	9.38961296847505	9.33823151965401	9.77545582928806	9.3367858988061
gene-b0102	11.1562522172853	11.1845657895219	11.2175728806656	11.1075755433604	10.9531193829896	11.0269006119244
gene-b0103	11.6712250646977	11.5416321531032	11.5158576233066	11.2876921710656	11.4325380674636	11.4846584938894
gene-b4727	3.51015683837017	3.90529239474941	3.56033515610256	3.47921787831301	3.59304099699753	3.54103816958923
gene-b0104	9.17479177189848	9.15543309268641	9.43652397551667	9.58150415315924	9.46080356660844	9.52846766569372
gene-b0106	7.41685504027451	7.61413062568909	7.60570625893746	7.78712873543345	7.3877298182558	7.736186087592
gene-b0107	6.95938555053302	6.91981255721951	7.17486809180665	7.06026058390375	7.14442337873953	7.27317830970695
