	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MOXI_1	featureCounts on 30min_MOXI_3	featureCounts on 30min_MOXI_2
gene-b0001	10.8754507599243	11.6577194822169	10.6741395092342	10.5358908033239	10.7409250200929	10.7447786225315
gene-b0002	10.3939487204729	9.85771839285735	10.2304575179354	9.97914106294843	9.58107538202851	9.95449143076534
gene-b0003	11.7341045283408	10.9503325100171	11.6995099954425	11.5096446682421	10.5841804207524	11.1309399638869
gene-b0004	11.0013478793802	10.2371378803906	10.6481331714439	10.213517721573	9.88143494778495	10.2093808599861
gene-b0005	6.97264364655516	7.87759709592809	6.90022287615047	8.0872663694391	7.37825678831227	7.78650911590542
gene-b0006	8.26284453921837	8.35221958652798	8.4594886937243	6.0577120350587	7.84367767155408	7.75114683236132
gene-b0007	7.89062817712363	7.03934905821512	7.79337157237688	7.21869697034196	8.20238113040441	8.11244438586755
gene-b0008	13.3525867697903	12.9975840253554	13.8736955493941	14.5404292301191	14.2324589884664	13.9862462325199
gene-b0009	9.0556947956582	8.92607185917909	8.70952035126287	9.67336545299459	9.35286990706744	9.24290994565852
gene-b0010	9.29250848716723	9.43451290067028	9.61899935346137	10.0128535694084	9.90507375142816	10.8659514887924
gene-b0011	8.85688408942289	8.87011159460884	8.42631867794674	9.17882670703259	8.1132064629057	8.62010725660878
gene-b0012	8.51129102979426	8.61886314640999	8.06782291488382	8.92965411985821	8.0015487565331	8.50209318035098
gene-b0013	6.12059585175291	5.66397690782017	6.36762250170954	5.04593665980691	5.22112261586351	5.95958550360374
gene-b0014	19.0969757884325	19.6973916460579	19.5963785544172	19.2171206642703	19.6945341582709	19.3379900962479
gene-b0015	14.8120482097451	15.5010468971212	14.9634847265541	14.745302080342	15.055354797115	15.1838720364648
gene-b0016	8.78098629080618	9.74400122850059	8.56818227381227	9.35918370632619	8.74004808487155	8.89330379540535
gene-b4412	10.1203771012025	9.90230521327922	9.08422584676953	10.7782433176712	9.15491194378155	9.55799283759332
gene-b0018	10.2262608154143	10.006591805071	9.38685794420552	11.0293805743558	9.22710386185871	9.80786599190813
gene-b4413	8.73220032155732	8.46724545590661	8.23079789356463	9.85308736411099	7.45388803223218	8.26145941152065
gene-b0019	14.0046030090515	14.0689159942508	14.3380478799356	14.2451726558259	14.2795321531219	14.5481182012061
gene-b0020	10.4133609584152	10.859540537687	10.6552724507247	9.92840513993059	11.0968771680709	10.9701601518477
gene-b0021	6.73420395713707	5.7654057490372	5.88711330272584	5.04593665980691	6.04806157943285	6.23754778428473
gene-b0022	5.79151456550397	5.85683984775227	5.45793137913512	5.20489999623173	5.44938358783279	5.03782791115677
gene-b0023	10.0808539103973	10.1019741942386	9.70566652368653	9.8616531142053	11.4014751398074	10.6642102844402
gene-b0024	9.71200783467759	9.56070286052664	9.6902919096636	9.4146041397059	9.66137188167314	9.75155425592358
gene-b0025	11.3266298239282	11.1154594668951	11.5866408710438	11.1727193509381	11.2043273346546	11.4265149797657
gene-b0026	14.6558474448041	14.7564814427234	14.5389928893688	14.5808413505907	13.7154499058783	13.8750889825139
gene-b0027	11.4895481038571	11.4361481209826	11.390530801099	11.9511433653537	10.8323332730226	11.1677936889803
gene-b0028	9.92588846362047	10.1826454212079	9.73293383818085	9.95266077434345	9.3312032950182	9.54275322311499
gene-b0029	10.3432309877175	9.8850692821608	11.094568072939	10.3435073947293	10.1385947993949	10.672783592747
gene-b0030	8.70084330955365	8.1419870282098	7.83922833622628	8.42625856230304	9.35716433832324	8.51956059907102
gene-b0031	10.0226235461991	10.0234261000547	10.0495773056744	10.5125211864114	9.27783158560439	9.628657160207
gene-b0032	5.87742757483345	6.59115333269533	7.26917927273325	5.42684430911879	7.04761674142971	7.16628393478169
gene-b0033	9.04575872416912	8.74400858177044	9.35013264394317	7.5138367782162	9.02048601932857	9.01626459322043
gene-b0034	7.09749511580714	6.59115333269533	5.50002953999675	7.85294143779795	6.55993485406469	6.74082483709153
gene-b0035	6.98350492282531	7.34869161727321	5.86040312286659	8.05750804129272	6.83294846739974	6.37992728073405
gene-b0036	5.84962442748087	6.53279823343133	6.54196218584421	6.95712764859125	7.01416063432396	7.61327179933839
gene-b0037	8.45217352515889	8.1887163164233	8.80133553018799	9.42620719986521	8.50026901006376	8.43738049718652
gene-b0038	9.00787389112542	8.42892885288913	8.72473300694942	9.4828591833239	8.82946298287691	8.7821176294681
gene-b0039	8.73839018649141	8.48745937172094	8.93805122693288	10.1473514887916	8.94823958021832	9.38076328233614
gene-b0040	5.72959726145494	6.28160748137419	6.07892863267686	5.04593665980691	6.42456413399544	5.53735500858287
gene-b0041	5.04463136829631	5.92020451459617	5.4132407589237	4.65824235253084	6.12012471524639	5.19353138300028
gene-b0042	5.90447349670452	5.66397690782017	6.40123560442172	5.20489999623173	6.66741573552804	5.1224745054427
gene-b0043	6.07620292675045	6.35296298155075	6.48139948849301	6.47923825029993	6.07261585071538	5.03782791115677
gene-b0044	6.12059585175291	5.99898488660796	5.19511658013173	4.65824235253084	4.65824235253084	5.49758423703861
gene-b0045	6.50553349684779	6.83910555511326	7.07786948619883	6.6308382095564	6.35078892256449	6.9914327414958
gene-b0046	8.85118632106155	9.88939763557872	8.83535542392755	8.4644203503863	8.99588693566729	8.0267279180388
gene-b0047	9.2542142282966	9.62052916991679	9.61574736900318	8.4868372764574	9.12498822260652	8.48440956736485
gene-b0048	12.136540333095	11.3880474358824	12.2764267400003	11.9750081354728	10.7110771315285	11.2197721276783
gene-b0049	10.6737432380483	10.3252145008209	10.7058104410862	10.1403300867492	10.3524514282542	10.1547764600813
gene-b0050	12.7404328602638	12.9247818503636	11.8264886066536	12.1241573782785	11.3513013178829	10.7863111866581
gene-b0051	12.8413094034314	12.8895888933699	12.2240527641579	12.7331473957692	11.5977206600329	11.8172753404558
gene-b0052	8.23236335047214	8.70020563502479	8.18295387241551	9.16503514889812	8.88710945546523	8.99648876155908
gene-b0053	13.222356612403	13.8683159028871	13.1532922909009	12.504484171912	13.0412410554364	13.0661495172084
gene-b0054	14.4148474311048	14.7263494991413	14.4016771634147	13.4526796628862	13.9530045365089	13.9317784858614
gene-b0055	8.3136258896179	8.47305011168221	7.83357729890825	9.2327065072367	8.48065350321606	8.53681709436649
gene-b0056	10.4372643655398	10.9456665082575	11.4972223154163	10.4495471812201	10.0177780835396	11.4060964199758
gene-b0057	10.0073713130452	10.8518024564579	10.9427212754175	10.1379819973577	9.74890393107029	10.9877562757692
gene-b0058	11.3994809452873	11.4816224868432	11.2577031569347	11.795298635129	11.2757265192536	11.5437299806846
gene-b0059	13.3773780951093	13.86701429694	13.8295086134699	12.8982515102974	14.0322375229992	13.324338017544
gene-b0060	12.1268747259282	12.4040737898368	12.1616523813437	11.5132711476744	13.8158356748908	12.8369701617442
gene-b0061	8.84832892527546	8.05922396702905	7.7639325658701	9.24149335709287	7.57892282580552	7.67132617070241
gene-b0062	11.4655790096816	10.7720484668245	11.0313507128956	11.2798607021819	10.4690083845295	11.0608273651382
gene-b0063	11.6092400703431	10.5899956851279	11.2498652897884	12.1598770845219	10.5282196464597	10.8245842346674
gene-b0064	11.4482782523457	11.2049475286162	10.4742414735082	11.8313341362316	10.6238805955234	10.8034469505288
gene-b0065	11.5345522542004	11.5651081417377	11.5665893939159	12.5506520419977	11.5352257095598	12.4448163247234
gene-b0066	9.24989566460313	9.03575957163264	8.74874213949266	9.77058395467877	8.51961885245837	9.67908147168986
