	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MOXI_1	featureCounts on 30min_MOXI_3	featureCounts on 30min_MOXI_2
gene-b0001	1828.44946130007	3180.59424367128	1583.82938173925	1434.56156056617	1661.22847002148	1665.80481579808
gene-b0002	1295.49334029333	878.01720138839	1151.3935538942	959.431836542336	716.264882211954	942.344465717965
gene-b0003	3356.25700818608	1928.51474225728	3275.5466387282	2865.45416573447	1485.08180741229	2192.35736707146
gene-b0004	1999.72424890566	1156.96688622722	1554.64659581106	1137.37617333891	893.38473080241	1133.97794848524
gene-b0005	80.1711771770835	187.386047830667	74.2834550899483	223.806279269914	119.701875695748	173.173376629141
gene-b0006	258.734253616951	278.239889203112	303.324108283955	25.6826877850721	181.985778496787	167.899060589675
gene-b0007	189.495509691288	85.885271922389	174.212388722855	102.730751140288	246.216053260359	228.553695043536
gene-b0008	10409.4985275609	8127.86982465518	14960.1572590078	23778.4999335789	19198.0398524392	16178.0853983894
gene-b0009	482.849135271071	437.23411160489	369.648621757124	766.811678154295	604.348494366336	556.440342163686
gene-b0010	577.596890116715	642.365050328612	736.64426297532	983.280046628474	908.95570650267	1816.12282292287
gene-b0011	414.521427449693	418.779425076112	295.365166667175	530.164054991845	228.698705597567	344.588647911793
gene-b0012	316.129528186909	344.250883325278	220.197384730918	438.440170045159	208.261799990976	313.82180434824
gene-b0013	28.2421192328362	12.776321443	39.7947080839009	1.83447769893372	3.89274392506497	21.9763168311093
gene-b0014	560690.793129497	850119.393721964	792629.226961445	609387.808897997	848437.163071648	662646.607092398
gene-b0015	28714.9469709602	46324.1023697752	31898.5536732086	27414.4347328655	33999.2254415174	37171.6213408114
gene-b0016	390.834488738282	807.74743345189	330.738240519532	607.212118347061	378.569346712568	426.34054652352
gene-b4412	1063.17913370064	907.118822453001	493.454380240371	1706.06426000836	520.65449997744	704.121191268741
gene-b0018	1147.90549139915	978.808181660946	619.913119262545	2039.9392012143	549.850079415427	846.527724334328
gene-b4413	376.257911069721	305.212123360556	252.033151198039	875.045862391385	128.460549527144	258.441485933845
gene-b0019	16385.8953716707	17135.1764419702	20659.6437834687	19368.4155453422	19836.4498561498	23905.8374488806
gene-b0020	1313.71406237903	1807.8494841845	1562.60553742784	924.576760262595	2140.03597280447	1955.89219796872
gene-b0021	61.9504550913827	15.6155039858889	19.455190618796	1.83447769893372	25.3028355129223	33.4040015832861
gene-b0022	16.3986498771307	18.4546865287778	7.95894161678017	3.66895539786744	7.78548785012994	1.75810534648874
gene-b0023	1033.11494225923	1049.07794959745	785.28223952231	880.549295488186	2654.85135689431	1572.62523243418
gene-b0024	788.957266310844	705.53686190789	776.438971059221	632.894806132134	760.058251368935	812.244670077798
gene-b0025	2518.10379224385	2168.42566713139	3025.28214122277	2258.24204738741	2309.37033354479	2702.20791755319
gene-b0026	25763.1899930766	27628.0853248518	23754.7877455499	24455.4222044854	13400.7709620362	14974.6622887178
gene-b0027	2825.12295938791	2720.64667172328	2634.40967515424	3909.27197642776	1773.14485786709	2250.37484350559
gene-b0028	922.879573640745	1112.24976117672	801.200122755871	941.087059552999	594.616634553674	696.209717209541
gene-b0029	1249.03049897479	895.762092281446	2136.53366068232	1249.27931297386	1077.31688126173	1582.29481183987
gene-b0030	367.147550026871	234.232559788334	181.287003493326	295.350909528329	606.294866328869	318.217067714462
gene-b0031	990.296245357838	990.874707468224	1009.90125848477	1410.71335048003	571.260171003284	741.920456218248
gene-b0032	19.1317581899858	52.5248770434445	107.887875249687	7.33791079573488	86.6135523326955	97.5748467301251
gene-b0033	479.204990853931	379.740665111389	603.110909182675	135.751349721095	470.048828951595	468.535074839249
gene-b0034	91.1036104285039	52.5248770434445	8.84326846308908	183.447769893372	50.6056710258446	62.4127398003503
gene-b0035	81.0822132813685	116.406484258445	18.5708637724871	218.302846173113	69.0962046699032	40.436422969241
gene-b0036	18.2207220857008	48.9758988648334	49.5223033932989	78.88254105415	83.6939943888968	148.559901778299
gene-b0037	301.552950518348	243.459903052723	397.0627539927	638.398239228935	313.36588596773	297.998856229841
gene-b0038	465.539449289655	295.984780096167	374.070255988668	665.91540471294	405.818554188023	391.178439593745
gene-b0039	378.079983278291	310.180692810612	441.279096308145	1084.17632006983	444.745993438673	617.094976617548
gene-b0040	14.5765776685606	35.4897817861112	26.5298053892672	1.83447769893372	42.8201831757147	9.66957940568807
gene-b0041	1.82207220857008	20.5840734359445	7.07461477047126	0	28.222393456721	3.51621069297748
gene-b0042	20.0427942942709	12.776321443	41.5633617765187	3.66895539786744	57.4179728947083	2.63715801973311
gene-b0043	26.4200470242661	39.0387599647223	45.9849960080632	45.861942473343	26.2760214941885	1.75810534648874
gene-b0044	28.2421192328362	23.4232559788334	3.53730738523563	0	0	8.7905267324437
gene-b0045	47.373877422822	69.5599723007779	89.3170114771997	55.0343309680116	38.9274392506497	81.7518986117264
gene-b0046	412.699355241123	898.601274824335	407.674676148407	304.523298022998	461.290155120199	212.730746925138
gene-b0047	561.198240239584	737.47766551539	734.875609282703	310.026731119799	508.976268202245	309.426540982018
gene-b0048	4452.23344164099	2629.79283035084	4910.66697755337	3975.31317358937	1626.19377469589	2334.76390013705
gene-b0049	1583.3807492474	1232.9150192495	1620.08678243792	1078.67288697303	1257.35628779598	1090.02531482302
gene-b0050	6792.68519354925	7725.41569920068	3581.52372755108	4413.75334363453	2562.39868867402	1715.91081817301
gene-b0051	7288.28883428031	7538.02965137001	4733.80160829159	6758.21584287183	3048.99167930714	3558.40522129321
gene-b0052	252.357000886956	366.964343668389	242.305555888641	524.660621895044	424.309087832082	461.502653453294
gene-b0053	9506.66174821438	14904.2887588952	9059.92854043476	5760.25997465188	8379.13129870234	8525.93187779715
gene-b0054	21791.9836144981	27055.9900424597	21593.4929331709	11160.9623203128	15808.4330796888	15576.8133698902
gene-b0055	269.666686868372	306.631714632	180.402676647017	552.17778737905	308.499956061399	322.612331080684
gene-b0056	1336.48996498615	1922.12658153578	2840.45783034421	1348.34110871628	986.810585003969	2663.52959993044
gene-b0057	979.363812106417	1797.91234528439	1918.10492964402	1076.83840927409	810.66392239478	1980.50567281957
gene-b0058	2651.11506346946	2809.37112618856	2398.29440718976	3503.85240496341	2429.07220924054	2935.15687596295
gene-b0059	10590.7947123136	14890.8026418165	14507.3819136976	7583.730807392	16703.7641824538	10206.6805890404
gene-b0060	4422.16925019958	5369.60398423862	4531.29076048685	2872.79207653021	14370.0641993773	7266.24939703796
gene-b0061	411.788319136838	218.617055802445	169.79075449131	555.846742776917	144.031525227404	156.471375837498
gene-b0062	2777.74908196508	1698.54095628328	2042.79501497358	2436.18638418398	1367.32630367907	2085.99199360889
gene-b0063	3073.83581585772	1491.28063065239	2385.02950449513	4525.65648326949	1426.69064853631	1763.37966252821
gene-b0064	2744.04074610654	2310.38479427584	1372.47526547143	3593.74181221116	1527.901990588	1737.00808233088
gene-b0065	2916.22656981641	2979.72207876189	2982.83445259995	5949.21117764206	2917.61157183619	5524.84605134087
gene-b0066	559.376168031014	475.56307593389	381.144870759139	823.68048682124	318.231815874061	770.050141762068
gene-b0067	32.7972997542614	52.5248770434445	78.7050893214928	36.6895539786744	91.4794822390268	70.3242138595496
gene-b0068	69.238743925663	48.2661032291112	197.204886726887	58.7032863658791	473.94157287666	327.007594446906
