	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MOXI_1	featureCounts on 30min_MOXI_3	featureCounts on 30min_MOXI_2
gene-b0001	10.8380383182944	11.3110374450668	10.7227387761613	10.6455573975442	10.7606875054742	10.7628741054098
gene-b0002	10.1613892989889	9.84793538868916	10.0646931653774	9.91761215031601	9.69521522859348	9.9033467605092
gene-b0003	11.5199545604087	11.062731840809	11.4989263953262	11.3846932790186	10.8644933146176	11.1643639259202
gene-b0004	10.6949013619849	10.2390159909382	10.4796694718075	10.2257632025718	10.0402308160801	10.2232027971717
gene-b0005	6.77335103909876	7.30007128008932	6.73352340063037	7.42430253945802	7.00293380226372	7.24447383042058
gene-b0006	7.75709536238563	7.81300808446945	7.87941424440114	6.59069845422028	7.50288604712544	7.44799550614943
gene-b0007	7.45311114464692	6.96518892520372	7.39528061052907	7.0698495173376	7.64163992011716	7.58697437121181
gene-b0008	13.5657123859735	13.3792457010131	13.8576692364672	14.2588172569526	14.0699883210557	13.9233343858992
gene-b0009	8.97214542359341	8.89856583560721	8.78035259552844	9.33401809157066	9.14541304601037	9.08073594311457
gene-b0010	9.46531614266165	9.54299852111216	9.6464883260021	9.87452382779563	9.81127016347403	10.4019583074584
gene-b0011	8.60298712495706	8.61101357121572	8.35181824888977	8.79634357714787	8.17681435949139	8.46348797379906
gene-b0012	8.26599569695173	8.32998100658181	8.01003986092116	8.51617130735141	7.97309182152328	8.26057724019685
gene-b0013	4.21770005123682	4.001477840645	4.34914085223574	3.8213340758011	3.84786009345368	4.13704638074905
gene-b0014	19.2494915449658	19.5917050002678	19.5323733984326	19.3153264477243	19.5900218921302	19.38318021867
gene-b0015	14.9114026417326	15.3145972678253	14.9970722142548	14.8742236381167	15.049874006967	15.1247521695579
gene-b0016	8.73937614407023	9.31645213905395	8.61950494628642	9.07855698728143	8.71615534125557	8.80380458225762
gene-b4412	9.90045678614139	9.77009963079325	9.30872828762628	10.3099392734592	9.34687232223554	9.57031928705563
gene-b0018	10.0463945329577	9.91620246010811	9.56615373702873	10.5463086312075	9.48053489164177	9.80107935652584
gene-b4413	8.44356673908859	8.28526801330407	8.14747596353549	9.15059895881402	7.72077648258103	8.16515483528472
gene-b0019	14.1070121019251	14.1428629113896	14.2970362202577	14.2431920218148	14.2630453096914	14.4203753089169
gene-b0020	10.4752103488535	10.7332851017193	10.6134339677332	10.2120545815687	10.8758227856394	10.7992793980671
gene-b0021	4.9841167425638	4.4692807901824	4.52680175190161	4.24997313915511	4.60601076317956	4.70497874217804
gene-b0022	3.28505917410074	3.31420483622556	3.15732263462173	3.088434420289	3.15455836277037	3.048550846762
gene-b0023	10.125768192905	10.1376650442478	9.91861060631302	10.0041903065719	10.9287245500794	10.4671321635821
gene-b0024	9.58574917045394	9.49767822376008	9.57303097078666	9.41485981738768	9.55612232469766	9.60898086383473
gene-b0025	11.2894196879711	11.1687193593254	11.4418819804711	11.2011610319497	11.2190622173768	11.3476422477303
gene-b0026	14.5320943687935	14.5925757358228	14.4627151928069	14.4874416394094	14.0018109683985	14.0870563575262
gene-b0027	11.4183716030757	11.3873066934318	11.3609054667524	11.6901445171253	11.0551312948035	11.2345476202936
gene-b0028	9.78272649654759	9.93687217820929	9.66981974574502	9.79831651771901	9.44308362315883	9.56096117291653
gene-b0029	10.3226003911808	10.0661589700944	10.7731518908271	10.3228483667725	10.2062938339375	10.5158952868099
gene-b0030	8.41536991595847	8.08915118145215	7.92115225060602	8.25333172121843	8.82016527263166	8.30766446087646
gene-b0031	9.90727849178329	9.90778149326663	9.92316097881295	10.2021416879236	9.48813789583957	9.68064686995902
gene-b0032	5.36980316960819	5.74840846155303	6.15433573832799	5.21249020518938	6.01810118920828	6.09103079353354
gene-b0033	8.77971030956572	8.60084014842323	8.96537115322983	7.94234527071448	8.76448545170477	8.76202074761104
gene-b0034	6.19909584678875	5.89912450269741	5.36925617296309	6.65862419608747	5.88217460763343	5.98627758975349
gene-b0035	6.30002100535108	6.52305607015798	5.68874363899807	6.96258922183586	6.21086675609883	5.9528746873334
gene-b0036	5.53331479903032	5.87893649855904	5.8847796175495	6.12085771879516	6.15670901453454	6.5209256130033
gene-b0037	8.34288459666406	8.19304418972625	8.54745945651078	8.92821159647822	8.37066715409768	8.33434985319504
gene-b0038	8.79676276126229	8.46350158261234	8.63131604548852	9.08326767286695	8.69196462969046	8.66445211170465
gene-b0039	8.76728839178193	8.62789679335984	8.8807828269567	9.617879208559	8.88669552688957	9.14143596588649
gene-b0040	4.26225039752921	4.53463077497157	4.42764991588608	4.05765019024472	4.61030811825041	4.18330963704209
gene-b0041	3.06964627021231	3.38801073953622	3.17142152838406	3.04221295979162	3.48629736196214	3.10371807306534
gene-b0042	4.34667604815991	4.24359403709634	4.5905536432402	4.11270951654728	4.72320690038161	4.08229086830147
gene-b0043	4.82213856352229	4.9683137557853	5.03839532553973	5.0315877825027	4.82041365670325	4.4348127162978
gene-b0044	3.51965820385246	3.46588199850261	3.16958605610644	3.11377936088424	3.10513420557429	3.2589679737061
gene-b0045	5.83201068689036	6.01720418403013	6.15486857995153	5.90181027368527	5.75053344967763	6.10450899933342
gene-b0046	8.69387742654259	9.33411071083807	8.68458492057202	8.47295352745402	8.77945337138455	8.23122565115667
gene-b0047	9.06022211051088	9.28190531434706	9.27876456419517	8.6255609377519	8.98396761248896	8.62179109302602
gene-b0048	11.9115898152004	11.4720367811411	11.9977347216186	11.813458203218	11.1103916795696	11.378689794735
gene-b0049	10.50387571292	10.3001138614871	10.5228460535063	10.1959200112972	10.3157991801146	10.2036333994773
gene-b0050	12.4263440239707	12.5429862534458	11.8796897644811	12.0516002181914	11.6186558500879	11.3317836928839
gene-b0051	12.6348923311296	12.6644292770358	12.2710095234212	12.5692139531039	11.9303074685889	12.0461368033495
gene-b0052	8.25243056479948	8.51978149894372	8.22496485562896	8.7970677635996	8.63029793192765	8.69600278183478
gene-b0053	13.1849727515627	13.5751425887641	13.1448913158824	12.7857795688382	13.0805839631133	13.0947997368353
gene-b0054	14.304485987685	14.4930938045649	14.2966512900778	13.7652777409481	14.0369404364422	14.0250120254991
gene-b0055	8.17498548185129	8.2677326713489	7.9053958404115	8.72686469645829	8.27220829481876	8.30527494311692
gene-b0056	10.5574570577884	10.848283565502	11.1828922234937	10.5646261600608	10.3321017747821	11.1263680459221
gene-b0057	10.152292858831	10.6407977988393	10.6960849277475	10.2250134409658	10.0131254263139	10.7236847807941
gene-b0058	11.3994835117033	11.4468535259672	11.3190814111799	11.6308315740875	11.3292040640087	11.4829739269956
gene-b0059	13.4515755831065	13.7363775918754	13.7139717276369	13.1902543070985	13.8361347551529	13.4217555084046
gene-b0060	12.2797435913587	12.4352589864358	12.298938535064	11.95717440281	13.3062484226694	12.6890635273647
gene-b0061	8.34284995463867	7.86459882005884	7.69474873412766	8.58950703037642	7.59149227829372	7.64252835850828
gene-b0062	11.2492666268085	10.8427843558336	10.9909969650772	11.1371475167729	10.6759070925511	11.0081365753075
gene-b0063	11.4035555515642	10.8186840527721	11.1891696055894	11.7473390552451	10.7858258309288	10.9468114221559
gene-b0064	11.2612015408772	11.1181227923142	10.7183499013923	11.4862265683144	10.7947370124159	10.890580752077
gene-b0065	11.6639975522603	11.6809224307993	11.6817737117321	12.2625314039672	11.6643813869241	12.1972687924918
gene-b0066	9.09162700675706	8.96675169916213	8.80418981790484	9.40528143150961	8.67871655787187	9.35003420909497
gene-b0067	5.62223539643245	5.81660256806159	6.02327113756165	5.67058609811082	6.10869365297967	5.96219480637549
gene-b0068	6.77444087004778	6.59918311394188	7.43101281220407	6.70594128443706	8.13814369545182	7.82416512694054
gene-b0069	8.27433753327396	8.47169179509616	8.15663322248673	8.41032441222101	8.50959725983565	8.51607512463901
gene-b4577	5.74311017596529	5.88108977859609	5.51727121806951	4.830405904996	5.30550196639397	4.99098395148169
gene-b4662	4.9789414690983	5.14178786470635	5.00180140383238	4.4123176800852	4.70217181791163	4.56429900655279
gene-b0070	9.86653916833187	9.83837923999729	9.53012973309631	10.1556035844074	9.52249998928668	9.94967191276889
gene-b0071	10.7513422061042	10.9806979046006	11.0206024212223	10.5586272522087	10.6509777565442	10.6984478180169
gene-b0072	10.5661146344269	10.6573115351647	11.0778065005374	10.2131180559427	10.5675546518298	10.2620953195903
gene-b0073	10.3070295846565	10.3233348741808	10.8919719824598	9.87747363085685	10.5600875597433	9.87087969884582
gene-b0074	10.3108909547186	10.4208850010231	10.5620946319496	9.80608897904766	10.4971953268046	9.82242708341119
gene-b0075	4.9725417567822	5.8838332096494	4.51182382000391	4.78532569764867	5.024304092475	4.60401862031293
gene-b0076	6.89867523834178	6.93432500759902	7.68776680679618	7.99859429636175	7.54076028576153	7.62771013188814
gene-b4726	-1.51134582276739	-1.49353795757198	-1.51148725833311	-1.50801889611501	-1.51103214569009	-1.51151569160936
gene-b0077	10.0953027420098	9.90964891733705	10.149910223656	9.4759445585643	10.0465682289356	9.25902974262849
gene-b0078	7.89497238572464	7.40464894398422	8.6633214540128	8.27136753780047	8.0563639805463	8.52171673406327
gene-b0080	11.6370951217648	10.9441306269203	11.7818097289976	11.9754715146486	10.9284441686238	11.3869385891687
gene-b0081	12.4280909056121	11.9708254366472	13.1380698334244	12.5183482095775	12.4456183725874	12.7001346796332
gene-b0082	13.3157644689063	13.0201341101136	13.3957261296974	13.8072915695027	12.9257140526395	13.3306226981839
gene-b0083	11.6564800957264	11.4619535276032	11.5422243843641	12.2388696140973	11.2278811760661	11.760764477885
gene-b0084	9.51077957611401	9.46497643910492	9.34245354739527	9.60376017641255	9.34216513217938	9.4494100068115
gene-b0085	9.13013381947851	8.9245367598051	9.04120757891033	8.85071209090499	9.37339226401488	9.02350788900926
gene-b0086	8.7183595299835	8.74562725961438	8.58536543480073	8.52616678166812	8.98900175822573	8.5256140682341
gene-b0087	8.74108337782434	8.15144439648489	8.54040492264335	8.34620813284302	8.75552138178963	8.97780000050891
