	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_LEVO_1	featureCounts on ROC_LEVO_3	featureCounts on ROC_LEVO_2
gene-b0001	279.003847076717	541.050407889047	402.096562859798	233.248460120701	263.573791237692	159.589187214108
gene-b0002	2328.16693365889	2307.87966096527	1914.92574877231	1924.29979599578	2151.24335006033	1590.42648901731
gene-b0003	3275.94404713673	2852.21413809795	2581.93298833974	2906.55731986615	2696.98327465622	1932.55947256536
gene-b0004	2421.1682160178	1808.70113593258	1984.9378561879	2261.10252935973	2139.21301104118	1445.04729792501
gene-b0005	213.171478665357	403.94051696724	164.6230633826	198.060114843871	206.70309769263	240.476857445916
gene-b0006	997.935108457919	669.129108390855	1173.17585399094	1260.74814220413	1058.669833685	1067.93586238482
gene-b0007	87.7764912151468	120.689544703627	137.185886152166	128.688805583835	97.336379336741	87.4461299803332
gene-b0008	47821.468380595	25251.208414318	58464.8402398146	75562.4472661709	67834.70706024	43453.0750638523
gene-b0009	2630.15986176815	3588.66666598335	2985.92177031888	3886.80408114927	3410.05427833661	4142.76040781828
gene-b0010	535.018613120895	652.708762172675	794.732030122895	765.095164447644	803.845379915783	834.017464687428
gene-b0011	44.9332038363252	73.8915579818122	43.5210397448252	76.4089783154021	85.3060403175933	81.9807468565624
gene-b0012	28.2138721762972	67.32341949454	31.2216154691137	56.3013524429278	67.807365380651	49.1884481139374
gene-b0013	19.8542063462832	27.0935712599978	23.6527389917528	28.1506762214639	22.9670108547366	20.7684558703291
gene-b0014	172467.22078079	109513.036050222	165253.17234934	157454.775156997	124056.855965452	110796.432838332
gene-b0015	11539.4737201056	9876.01723292466	11642.8242413004	10594.7080722067	9314.76340237105	9074.72213870908
gene-b0016	655.188809427346	697.043696961762	573.342393160088	607.250301348722	597.142282223153	567.306768247412
gene-b4412	289.453429364234	417.897811252694	310.323935571797	260.393755048541	284.353467725311	474.395255143308
gene-b0018	296.768136965496	440.886295958146	333.03056500388	275.474474452897	309.507812947165	489.698327889866
gene-b4413	61.6525354963531	131.362769745444	101.233722884702	61.3282589110464	67.807365380651	90.7253598545957
gene-b0019	1421.14319110238	2360.42476886345	1763.54821922509	1952.45047221725	2870.87635684208	2704.2715696418
gene-b0020	788.94346270757	1211.00053359081	919.61849199935	861.611768635521	1111.16585849583	839.482847811199
gene-b0021	83.5966583001398	134.64683898908	64.3354500575677	97.5219854815	90.7743762353877	127.889965096237
gene-b0022	99.271031731416	94.4169907545379	114.479256720084	102.548891949619	106.085716805212	186.916102832962
gene-b0023	20234.5711415488	15732.3337116387	27040.7573249315	28522.6673001047	33012.343935725	54237.3690436769
gene-b0024	6279.15399656925	2613.29810062343	8319.1413581793	8590.98315401462	10136.1074572238	22609.1969064151
gene-b0025	4436.89263927992	3999.17532143786	5468.51325489325	5546.68859692202	5855.49410077429	5092.64399472965
gene-b0026	44131.7208748726	28454.817961485	44762.3354871124	44086.9751066934	49502.6577294259	40998.0249646545
gene-b0027	4716.94144458539	3968.79768093423	4743.79333218595	4581.52255504325	4535.43781021871	4057.50043108746
gene-b0028	2365.78542989396	1619.0461371126	2101.30933202732	1971.5527167961	2516.528189369	2705.36464626656
gene-b0029	2555.96782752678	1203.61137779263	3169.46702489488	2497.3671333613	3005.39742041982	2527.19315643163
gene-b0030	3911.27865021779	1319.3748186308	3546.96473920325	4875.09389278138	3781.90112074663	4003.93967647451
gene-b0031	987.485526170402	1328.4060090508	1168.44530619259	1359.27550897926	1068.51283833703	982.675885653994
gene-b0032	1870.47522946563	770.935254943574	1757.87156186707	1893.13297589345	2155.61801879457	1803.57643084437
gene-b0033	6170.47834077907	1934.31678450166	6437.32944399545	5545.68321562839	5683.78835295554	4418.21571725633
gene-b0034	83.5966583001398	80.4596964690844	66.2276691769079	86.4627912516392	60.1516950957388	69.9569039842665
gene-b0035	53.2928696663391	43.5139174781783	31.2216154691137	34.1829639832062	29.52901395609	38.2576818663958
gene-b0036	67.9222848688636	27.0935712599978	20.8144103127425	54.2905898556804	40.4656857916789	16.3961493713125
gene-b0037	189.137439404066	243.021124029071	169.35361118095	229.226934946206	232.951110098043	243.756087320179
gene-b0038	300.947969880503	149.425150585443	208.144103127425	313.678963610598	336.849492536137	299.502995182641
gene-b0039	329.161842056801	247.947227894525	273.425662744663	303.625150674361	297.477473928018	235.011474322145
gene-b0040	34.4836215488077	46.7979867218144	31.2216154691137	22.1183884597217	73.2757012984455	67.7707507347582
gene-b0041	21.9441228037867	35.3037443690881	54.8743544608665	49.2636833875619	45.9340217094733	36.0715286168874
gene-b0042	28.2138721762972	23.8095020163617	34.0599441481241	43.2313956258196	43.7466873423555	20.7684558703291
gene-b0043	32.3937050913042	29.5566231927249	25.544958111093	55.2959711493041	39.37201860812	31.6992221178708
gene-b0044	7.31470760126223	7.38915579818122	10.4072051563712	3.01614388087113	15.3113405698244	0
gene-b0045	90.911365901402	105.911233107264	72.8504360945987	83.446647370768	122.490724558595	54.6538312377082
gene-b0046	500.534991572087	695.401662339944	397.366015061447	374.001841228021	492.1502326015	407.717581033303
gene-b0047	478.5908687683	467.979867218144	390.743248143757	443.373150488057	473.557890480998	391.321431661991
gene-b0048	1606.10079759144	1164.202546869	2434.3398970312	2416.9366298714	2261.70373559978	2530.47238630589
gene-b0049	1252.90491627335	726.600320154487	1716.24274124158	1325.09254499605	1759.71049834625	1248.29350546926
gene-b0050	3214.29151164038	2361.24578617436	3450.4615641169	2977.93939171343	3798.30612850002	4301.25651840764
gene-b0051	4088.92154910559	3051.72134464885	5167.65041491816	4239.69291521119	5187.2634516198	5328.74854567655
gene-b0052	3092.03139887642	3316.08891876155	3643.4679142896	2667.27657198371	3676.90907112498	2780.7869333746
gene-b0053	32365.4912191279	25857.9402070797	26338.7440316563	22775.9078257516	28719.7002402564	29943.7410585156
gene-b0054	24169.8838310279	19741.3612408075	23040.6061066463	24374.4640826133	23857.2559421536	23221.3198162775
gene-b0055	1594.60625707517	1693.75871240532	1200.61303122137	1903.18678882969	1513.6353820455	2023.28483241996
gene-b0056	1033.46368823548	784.071531918119	731.342689624997	955.112228942526	814.782051751371	1208.94274697811
gene-b0057	519.344239689619	339.080149405427	348.168317958602	500.679884224608	344.50516282105	566.213691622657
