	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_LEVO_1	featureCounts on ROC_LEVO_3	featureCounts on ROC_LEVO_2
gene-b0001	8.20526102660618	9.12229574405043	8.70839625588228	7.96199397606826	8.12772881241101	7.45591868803173
gene-b0002	11.1950660764614	11.1825277756637	10.9153230748873	10.9223089027427	11.0818672251554	10.649928771767
gene-b0003	11.6848747376812	11.4861084036201	11.3433363641876	11.5131840134636	11.405844914357	10.9284363568364
gene-b0004	11.2511893623805	10.833703304265	10.9666990120791	11.153195565476	11.0738376568865	10.5131014039815
gene-b0005	7.84073719808825	8.71474438547972	7.49678581181896	7.74221865121154	7.7993895007577	8.00326502532971
gene-b0006	9.98617366351903	9.42079293645078	10.2161197280601	10.3186103667393	10.0700828782178	10.0824660226536
gene-b0007	6.69339930462	7.09342713824475	7.25845045622151	7.17582277062386	6.82156464595697	6.68875757461551
gene-b0008	15.5458643596032	14.6249992965912	15.8356853727048	16.2056941916405	16.050083949677	15.4077138100431
gene-b0009	11.3698691998834	11.815788416397	11.5518349128254	11.9304235647436	11.7424773697991	12.0220585682621
gene-b0010	9.10659238567027	9.38580367532421	9.66358223197416	9.60986864032803	9.67970498492267	9.731832898824
gene-b0011	5.91133083360608	6.48393995586031	5.87640716460452	6.5242791670892	6.65831629706508	6.60968586833414
gene-b0012	5.42699812972046	6.37294779395968	5.52777716872753	6.16454811429296	6.38142932022786	6.01155930734563
gene-b0013	5.09864234985057	5.38744208379255	5.2580438840054	5.4247975856833	5.23067027046163	5.13883151443186
gene-b0014	17.3960995393526	16.7409586396604	17.334461292966	17.2647279112409	16.9208322260305	16.7577649633301
gene-b0015	13.4963335153883	13.2721011486652	13.5091790247459	13.3732819564439	13.1878345880586	13.1502357963241
gene-b0016	9.39114300687183	9.47839332571165	9.20357540578726	9.28426197147667	9.26067782240163	9.18872761200115
gene-b4412	8.2554933869835	8.76190912141909	8.35086389989117	8.11121773891023	8.2311960310704	8.93847071535554
gene-b0018	8.28964211094054	8.83637837665291	8.44792186955793	8.18789133606517	8.34725074410403	8.98279422022853
gene-b4413	6.2695730567622	7.20234207157939	6.87068209861668	6.26342668304527	6.38142932022786	6.73417589380025
gene-b0019	10.4893067960363	11.2147809285427	10.7975599546244	10.9430865931763	11.4954639520391	11.4097149978851
gene-b0020	9.65324708382726	10.2612840601453	9.8702275968882	9.77791213184937	10.1388740483689	9.74107709937179
gene-b0021	6.63352520490478	7.23425500780818	6.319423804415	6.82394251607012	6.73484392684843	7.16780407393432
gene-b0022	6.84615783938116	6.78363252644573	7.02602175560749	6.8868829680887	6.9295615661325	7.66498279757754
gene-b0023	14.3057006795409	13.9429445318549	14.7237206073679	14.800648631232	15.0114328277843	15.7274347575167
gene-b0024	12.6201069539693	11.3606477928008	13.0250525766727	13.071351651458	13.3095424250064	14.4656657541661
gene-b0025	12.1206401961691	11.9713720903508	12.4212404301753	12.4416579301957	12.5195986073143	12.3188238000836
gene-b0026	15.4300631883131	14.7972146512194	15.4505249623702	15.4286002202431	15.5956951562085	15.3238424601607
gene-b0027	12.2086280213532	11.960416488404	12.216789304304	12.1667506113318	12.1522173908298	11.9921764646344
gene-b0028	11.2180312271055	10.6754007296952	11.0482428605913	10.957017218263	11.3065549461545	11.4102945271683
gene-b0029	11.3288464929285	10.2525715119226	11.6374445533763	11.2955993934913	11.561163503646	11.3126169142653
gene-b0030	11.9394417273029	10.383368175439	11.7990022972701	12.2560447939913	11.8911182298119	11.9730828179159
gene-b0031	9.97123157582669	10.3930904142449	10.210370451595	10.4258357838784	10.0832335904268	9.96430180342834
gene-b0032	10.8817287172081	9.6206126041856	10.7929512327755	10.8989504901419	11.0847760230881	10.8296464165146
gene-b0033	12.5949850500807	10.9297366706174	12.6559070336233	12.4413971748064	12.4767818121008	12.1145767801537
gene-b0034	6.63352520490478	6.58687502099886	6.35355391231994	6.67485101501822	6.24089828164252	6.41849934727745
gene-b0035	6.1018650027825	5.87622878162706	5.52777716872753	5.62017490367988	5.47199342138526	5.73788485500792
gene-b0036	6.38343592612958	5.38744208379255	5.14081899791119	6.12296468817423	5.79769453934533	4.93406046397158
gene-b0037	7.68071277867514	8.01751471063046	7.53415903154729	7.93850999140708	7.96027063469381	8.02160490523097
gene-b0038	8.30879830173869	7.36967970348356	7.80870421870484	8.36562289865227	8.4636221967481	8.30220474298117
gene-b0039	8.43184047558588	8.04470983802765	8.17771124857218	8.32093536031874	8.29291100197785	7.97216965614002
gene-b0040	5.62921460629746	5.95614384096921	5.52777716872753	5.1959833592682	6.47389438251734	6.38078939481232
gene-b0041	5.18874502660133	5.65357299788572	6.1351645508417	6.01326819245354	5.93556092897108	5.67599047998217
gene-b0042	5.42699812972046	5.26422251489665	5.61645880916826	5.86913423085268	5.88204685586192	5.13883151443186
gene-b0043	5.56510201695826	5.47292208868618	5.33075939593545	6.14391028461229	5.76839378374342	5.54311057634774
gene-b0044	4.35025544403392	4.35651243109554	4.58372915625317	3.89546648176712	4.87765661868335	3.03246050504127
