	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_LEVO_1	featureCounts on ROC_LEVO_3	featureCounts on ROC_LEVO_2
gene-b0001	8.16243862391996	8.70424615373732	8.45264277438831	8.02887390897099	8.11945982163006	7.76762219463509
gene-b0002	11.0965195490263	11.0893459853323	10.9383159969592	10.9422004394252	11.0317995158002	10.7938514130983
gene-b0003	11.5529376459382	11.4387041794272	11.3584350632152	11.4540825853188	11.393385612051	11.1344388162572
gene-b0004	11.1185888721135	10.8821179335798	10.9560534654048	11.0619317217962	11.0165535313149	10.7099226645403
gene-b0005	7.78776974684243	8.30245249515333	7.60051550976872	7.73323927135566	7.76489237837343	7.87918625208813
gene-b0006	9.97879797324762	9.67507233133595	10.1092845740859	10.1686427721099	10.0259443309199	10.0329459991879
gene-b0007	6.61691505612291	6.8397487099708	6.93455809269883	6.88663506416081	6.686600010863	6.61469100853449
gene-b0008	15.5828006790882	15.1071253043831	15.7465261263346	15.9642836889063	15.8715502831288	15.5069933050397
gene-b0009	11.5319095506882	11.7767282427751	11.6298806866885	11.8421214315227	11.7354065003836	11.895089287425
gene-b0010	9.26852570901255	9.41891185369681	9.57489782535337	9.54428480364256	9.5840645584603	9.61400700180445
gene-b0011	5.80741132431897	6.12291800016602	5.78758971411202	6.14553609376971	6.22302250155299	6.1946185179638
gene-b0012	5.29434984354453	5.81761250726154	5.34356834799977	5.69373858821223	5.81960863928166	5.60643892491992
gene-b0013	4.4809712933813	4.63627415268323	4.56458197921973	4.65565016410376	4.55005496678518	4.50203556231506
gene-b0014	17.2582957114601	16.8916081003044	17.2224104029172	17.1821557652658	16.9889660765465	16.9005915474993
gene-b0015	13.4230039523866	13.2966625721919	13.4303346274296	13.3532546094586	13.2502051655129	13.2296982110971
gene-b0016	9.31462329707357	9.36447461871447	9.20935495135826	9.25432594953924	9.2411435859823	9.20120344874658
gene-b4412	8.27235359444097	8.56006534041201	8.32494650660021	8.19395027078304	8.25912492641722	8.66400331670198
gene-b0018	8.32776811387203	8.63748822612997	8.41499644895544	8.27260770196168	8.35936373913055	8.72347303055537
gene-b4413	6.18259790443103	6.718161466654	6.51938771361532	6.17892727613797	6.24321976165717	6.43991839143648
gene-b0019	10.744823971156	11.1395707718418	10.907422649118	10.986892292412	11.302821698481	11.2523555569157
gene-b0020	9.74390764874163	10.0874957121328	9.86324426862868	9.81201173642043	10.0159535559294	9.79178845220261
gene-b0021	6.50265452661271	6.84804506309674	6.33313650661827	6.60871131325694	6.55881592496331	6.80697430423506
gene-b0022	6.73982952326662	6.70450949441305	6.84012604100824	6.76221355557749	6.78610832375107	7.21506019092278
gene-b0023	14.5186931887436	14.3346596430996	14.7445086949995	14.787551961657	14.9077288313393	15.3380811575042
gene-b0024	12.8056270065528	12.2104799534702	13.02603077599	13.0520359456849	13.1883033243824	13.9027234579048
gene-b0025	12.1966367775385	12.1159092098891	12.3644560300248	12.3760980366445	12.4208272471953	12.3065071410606
gene-b0026	15.3911768217183	15.0482323549696	15.402794218538	15.3903476080612	15.486104578817	15.3313741744707
gene-b0027	12.1632800051602	12.0248863541549	12.1679109759258	12.1396057967171	12.1314143288391	12.0423177485989
gene-b0028	11.1588506608887	10.8612791714177	11.0632765172318	11.0128336263217	11.2095200018858	11.2696472216461
gene-b0029	11.2829700870109	10.7183408486345	11.461425840121	11.264159001748	11.4166531810274	11.2737736200341
gene-b0030	11.8436159680019	11.0438507250115	11.7634525176339	12.0294779408274	11.8158649559068	11.8630244976998
gene-b0031	10.0430599424434	10.2792207642179	10.1752886786199	10.2979283807816	10.1043449765015	10.03933293151
gene-b0032	10.789530208336	10.1273597249549	10.738834883189	10.7994420700852	10.9075999578684	10.7597054489321
gene-b0033	12.4335764734719	11.5641057503764	12.4694934372837	12.3442211548658	12.3646519616197	12.1597730115255
gene-b0034	6.29400372170449	6.26792369394268	6.13636457978127	6.31783357041349	6.07588968904059	6.17268531103332
gene-b0035	5.45676489851509	5.32776139492607	5.13344246420916	5.18391909665878	5.10530931927331	5.2487431447421
gene-b0036	5.56995582199759	4.99161855672965	4.86481846270376	5.41243830770756	5.22086980599845	4.76960822071829
gene-b0037	7.65730190456527	7.84709002915329	7.57727617056639	7.80159902208984	7.81393401217436	7.8490668697925
gene-b0038	8.13812240594541	7.62749601109109	7.85807625377615	8.17114797596921	8.2283253861454	8.13424720241824
gene-b0039	8.25468667459301	8.036236891632	8.11021293858981	8.19123089480107	8.17522283306253	7.99717547998618
gene-b0040	5.30828990036808	5.48969710460597	5.25285093615072	5.08519071788919	5.7929864314596	5.73684922758436
gene-b0041	5.00099836379135	5.24070319290383	5.51596902012837	5.4441277649773	5.39889477951571	5.25431185244946
gene-b0042	4.92044372222464	4.83110122323631	5.02462747219203	5.1687757178891	5.17510799876727	4.77144329100041
gene-b0043	5.08382380944237	5.03221773402264	4.9575715049248	5.41554239185777	5.19642806658805	5.07208231000737
gene-b0044	2.78410865979092	2.78793647282362	2.89811261877393	2.6034355039801	3.04916732229589	2.46089687419334
gene-b0045	6.46912282089936	6.58017901761169	6.31794383365053	6.40953161073409	6.68778917932613	6.14008422249045
gene-b0046	8.92518598579215	9.19579988777126	8.74603530010828	8.70064271344948	8.911758654456	8.76568392778661
gene-b0047	8.84725229422708	8.82954983157571	8.68929936600671	8.7869014007578	8.83883153093009	8.69054557904867
gene-b0048	10.7974208499009	10.5601432542842	11.1300165993722	11.1240326433026	11.0691632565823	11.1623276961676
gene-b0049	10.3141843539507	9.9071033291015	10.5718784976133	10.3589126431775	10.5929199896251	10.3112627639269
gene-b0050	11.6680047931267	11.4291315144951	11.7251708301719	11.6073327235321	11.8038606715923	11.9079105854652
gene-b0051	12.0514912968928	11.8267111451861	12.2413928126056	12.0802923588503	12.2445205493737	12.266900476867
gene-b0052	11.6117325062998	11.6680636734375	11.7449013291525	11.4957778379233	11.7523875347166	11.5280161443933
gene-b0053	14.8810032397168	14.6984062338453	14.7131111445704	14.5990319374289	14.7829541671675	14.8170236020778
gene-b0054	14.5302458236641	14.3687521249618	14.4914197915786	14.5371181684616	14.5196493910095	14.4977360908248
