	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MMC_1	featureCounts on ROC_MMC_3	featureCounts on ROC_MMC_2
gene-b0001	349.905243209469	699.467511252286	512.84251359315	70.381515728254	110.01311793612	69.741256140629
gene-b0002	2919.8085463322	2983.61634921119	2442.33705297067	1220.61657277286	1292.97026539866	1207.27769075873
gene-b0003	4108.43796802129	3687.32949027381	3293.05228140166	905.910652445098	777.046677836161	1010.30576463181
gene-b0004	3036.44362740202	2338.28061804065	2531.63198474924	940.095960084536	820.040310133035	846.319567760606
gene-b0005	267.343331890381	522.212466670903	209.963758506372	323.754972349969	340.78776188258	131.942917022812
gene-b0006	1251.53373507507	865.047073855255	1496.29345142472	411.229141897941	479.884807548939	334.569539593558
gene-b0007	110.082548425451	156.026895529721	174.96979875531	302.640517631492	277.561832034235	330.799741964335
gene-b0008	59974.0207874087	32644.6476116469	74567.301476444	20670.0457191635	15175.4876821998	20957.247470259
gene-b0009	3298.5449331769	4639.41197524089	3808.30817152937	1803.77770309268	1668.53228869783	1550.32927501804
gene-b0010	670.9793427837	843.818924803593	1013.61814451352	1158.27865884212	1346.08004647127	1419.32880740253
gene-b0011	56.3517807415998	95.5266707324822	55.507660294788	626.395489981461	512.130031771595	439.181423804502
gene-b0012	35.3836762796092	87.0354111118171	39.820712820174	513.785064816254	402.116913835475	360.015673590815
gene-b0013	24.8996240486139	35.0264459352435	30.16720668195	94.5123211207983	108.11634004067	280.849923377128
gene-b0014	216295.171071135	141577.955877707	210767.412892379	31836.5759145634	34788.1711211564	32987.6141545175
gene-b0015	14471.9235983602	12767.6702471225	14849.5058171231	3124.93929833448	3169.51586329754	3011.12585634202
gene-b0016	821.687593604258	901.134927243082	731.253089970468	197.068244039111	177.032603575366	129.115568800894
gene-b4412	363.010308498213	540.256393364816	395.793751667184	336.82582527093	359.755540837083	291.216866857491
gene-b0018	372.183854200334	569.975802037144	424.754270081856	363.972981337542	391.368505761256	325.1450455205
gene-b4413	77.3198852035904	169.825192413302	129.115644598746	51.2779614591565	89.78082038465	84.8204466575218
gene-b0019	1782.2888792692	3051.54642617651	2249.26693020619	47551.7629264578	53401.8848685092	51480.3564246719
gene-b0020	989.432429300183	1565.57599256012	1172.90099579422	5337.93524287572	7076.87832792526	6413.36821671595
gene-b0021	104.840522309953	174.070822223634	82.054802174904	224.215400105724	352.168429255282	203.569071978052
gene-b0022	124.498120243069	122.061857047061	146.009280340638	233.264452127928	251.639200796413	262.943384638317
gene-b0023	25376.6484251242	20338.689606398	34488.3573670725	15637.7673445934	19272.5279363725	21350.2488731055
gene-b0024	7874.83373200636	3378.45992157212	10610.4099341754	3700.05682685678	4097.04025417276	3950.7479154259
gene-b0025	5564.41072160076	5170.11570153245	6974.65818486684	2352.75352577306	2394.99822265531	2432.46192025626
gene-b0026	55346.6222339531	36786.2594916263	57090.8353014567	12284.5908452544	13028.33510455	13192.4068034666
gene-b0027	5915.62647133911	5130.84362578688	6050.33497213189	1248.76917906416	1494.02872231639	1435.35044732673
gene-b0028	2966.98678137167	2093.09549649394	2680.05464162444	1515.21348860684	1400.45434614084	1489.07006354316
gene-b0029	3205.49896962682	1556.02332548688	4042.4056953813	1692.17272815216	1148.81514534443	2513.51256928456
gene-b0030	4905.22593757693	1705.6817763011	4523.87431402522	521.828666613769	532.994588621549	547.563105644668
gene-b0031	1238.42866978632	1717.35725827951	1490.26001008833	644.493594025869	478.620288951972	477.821849504039
gene-b0032	2345.8066866852	996.661597975564	2242.02680060252	1010.47747581279	989.4858021266	1138.4788840254
gene-b0033	7738.54105300342	2500.67595828587	8210.30697055951	2921.83835294723	2588.46956799125	3062.01812433654
gene-b0034	104.840522309953	104.017930353147	84.46817870946	240.302603700753	215.600420782857	289.33196804288
gene-b0035	66.8358329725951	56.2545949869062	39.820712820174	556.013974253207	486.207400533774	514.577376388965
gene-b0036	85.1829243768369	35.0264459352435	26.547141880116	697.782455934404	531.730070024582	641.808046375248
gene-b0037	237.201681726269	314.176605964608	215.997199842762	1601.68220793012	1390.33819736511	1723.7399659623
gene-b0038	377.425880315831	193.176156370131	265.47141880116	2086.30921623039	1691.92588274171	1830.23674898786
gene-b0039	412.809556595441	320.545050680107	348.732909243342	1245.7528283901	887.692055070765	1460.79658132399
gene-b0040	43.2467154528557	60.5002247972387	39.820712820174	428.32179571766	522.24618054733	501.383084686684
gene-b0041	27.5206371063627	45.6405204610748	69.987919502124	678.678901665307	580.414036007808	595.628025417264
gene-b0042	35.3836762796092	30.7808161249109	43.440777622008	927.025107163575	549.433330382119	933.024913232739
gene-b0043	40.6257023951068	38.2106682929929	32.580583216506	852.621790536563	694.852969033312	742.650132956968
gene-b0044	9.1735457021209	9.55266707324822	13.273570940058	123.670377636789	219.393976573757	182.835185017325
gene-b0045	114.014068012074	136.921561383224	92.914996580406	1394.55946164412	1219.62818677458	1447.6022896217
gene-b0046	627.732627330844	899.012112337916	506.80907225676	476.583406502749	350.271651359832	343.994033666616
gene-b0047	600.211990224482	605.002247972387	498.362254385814	919.986955590749	735.949823434736	990.514327078393
gene-b0048	2014.24853487997	1505.07576776289	3104.80891170629	1828.91395870992	1332.80260120311	1655.88360863629
gene-b0049	1571.29732812042	939.345595536075	2188.93251684229	1765.57059455449	1596.45472867071	2071.50379725814
gene-b0050	4031.1180828177	3052.6078336291	4400.79211076286	3150.07555395171	3309.24516826238	3237.31371409541
gene-b0051	5128.01204748558	3945.25150125151	6590.93131587243	4513.46605863046	4736.88666423801	5447.35757422751
gene-b0052	3877.78881893939	4287.02470098328	4646.95651728758	687.727953687511	1097.60214216727	1015.01801166834
gene-b0053	40590.3187188272	33429.0277191058	33592.9946727522	3653.80611652107	4886.73211797859	3614.29347701773
gene-b0054	30312.0160128652	25521.5421973615	29386.4793730211	5124.77979524158	5557.55923366953	5088.284350044
gene-b0055	1999.83296306236	2189.68357467901	1531.28741117578	904.905202220409	1008.4535810811	849.146915982523
gene-b0056	1296.0909570568	1013.64411721689	932.770030605894	1485.04998186616	1518.05457565876	1243.09076823635
gene-b0057	651.321744850584	438.361277916835	444.061282358304	784.251175257688	768.195047657392	565.469644383478
gene-b0058	449.503739403924	327.974902848189	815.721268679928	2364.81892846934	2810.39258175894	3423.91869674196
gene-b0059	2423.12657188879	1610.15510556862	3944.66394573178	25830.0162722692	23317.0906687712	32293.0289413331
gene-b0060	1317.05906151879	1485.97043361639	1964.48849912858	4797.00302199286	5102.33253876145	6361.53349931413
gene-b0061	305.348021227739	147.535635909056	102.56850271863	373.022033359746	638.581891468285	410.907941585328
gene-b0062	942.254194260704	583.774098920724	587.657186164386	937.079609410468	800.440271880048	923.600419159681
gene-b0063	837.413671950751	658.072620601544	608.170886708112	705.826057731919	578.517258112357	759.614222288473
gene-b0064	5586.68933259163	5608.47697944929	3533.18324658998	1209.55662030128	1227.21529835638	875.535499387086
gene-b0065	1753.45773563397	1878.69119107215	2237.20004753341	1370.42865625157	1592.02891358133	1394.82512281258
gene-b0066	452.124752461673	463.83505677883	587.657186164386	748.054967168871	641.743187960702	724.743594218158
gene-b0067	260.790799246008	196.36037872788	234.097523851932	705.826057731919	797.278975387631	780.3481092492
gene-b0068	448.19323287505	208.035860706295	306.498819888612	671.640750092481	656.285151825822	863.28365709211
gene-b0069	615.938068570975	646.397138623129	670.918676606568	1158.27865884212	1200.02814852159	977.320035376112
gene-b4577	110.082548425451	869.292703665588	115.842073658688	225.220850330413	195.368123231386	257.288688194483
gene-b4662	58.9727937993487	485.063205830493	65.161166433012	121.659477187411	115.071192323988	183.77763442463
gene-b0070	884.59190699023	1074.14434201413	783.140685463422	626.395489981461	801.072531178532	459.915310765229
gene-b0071	487.508428741282	440.484092822001	285.985119344886	712.864209304744	888.956573667732	693.642763777067
gene-b0072	597.590977166733	465.957871683996	415.100763943632	1107.00069738297	938.272798949441	1335.45081015231
gene-b0073	292.242955938994	325.852087943023	230.477459050098	1045.66823367692	715.717525883266	668.19662977981
gene-b0074	260.790799246008	253.676381167369	258.231289197492	560.035775151964	671.459374989425	708.72195429396
gene-b0075	13.1050652887441	237.755269378622	18.10032400917	38.2071085381951	91.6775982801003	16.9640893315044
gene-b0076	154.639770407181	193.176156370131	79.641425640348	663.597148294967	658.814189019756	758.671772881167
gene-b4726	2.62101305774883	22.2895565042458	3.620064801834	13.0708529209615	44.2581508938415	32.9857292557029
gene-b0077	1315.74855498991	813.038108678682	1211.51502034711	576.122978746994	613.291519528947	621.074159414521
gene-b0078	140.224198589562	83.8511887540677	182.209928358978	114.621325614585	128.980896890624	180.950286202713
gene-b0080	5000.89291418477	3959.04979813509	6193.93087593797	1072.81538974353	918.04050139797	872.708151165168
gene-b0081	4198.86291851362	3578.00452265775	4492.50041907599	2905.7511493522	1661.57743641451	2794.36249266169
gene-b0082	17438.9103797318	11593.7536045656	13128.7683479846	3466.79237472886	3130.94804609005	3133.64427929178
gene-b0083	6092.54485273715	7014.84185412194	5461.47109770023	859.659942109389	1198.76362992462	884.959993460144
gene-b0084	3555.40421283629	7113.55274721217	3632.13168450678	915.965154691992	825.730643819387	914.175925086623
gene-b0085	8904.89186370164	8532.65451131583	8661.60838252148	1330.210647264	1589.49987638739	1697.35138255774
gene-b0086	8066.16768522202	6895.96421943263	8847.43837568229	1239.72012704196	1158.29903482168	1319.42917022812
gene-b0087	3948.55617149861	3900.67238824302	4248.74938908584	753.082218292318	610.13022303653	838.77997250216
