	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MMC_1	featureCounts on ROC_MMC_3	featureCounts on ROC_MMC_2
gene-b0001	8.52211348440549	9.48643226590142	9.05157670023211	6.44964303588503	6.99237546307771	6.43892186128659
gene-b0002	11.5204839233965	11.551484280392	11.2645884885287	10.2743735105723	10.3562905190043	10.2587502451207
gene-b0003	12.0106549915916	11.8553560301521	11.6930392729764	9.85138668117606	9.63461113771627	10.0058657875913
gene-b0004	11.5766552076392	11.202240712218	11.316024002211	9.90381613492738	9.71061476443132	9.75517276438067
gene-b0005	8.15484503351446	9.07683652626886	7.83006788930362	8.41558824224696	8.48586012755726	7.22253743290504
gene-b0006	10.3099478071807	9.78610678296929	10.5643255065971	8.74478651631078	8.95903834180567	8.46060116233339
gene-b0007	6.9931658718409	7.43885317221086	7.5886849942878	8.32343157016612	8.2057131333013	8.44506948550971
gene-b0008	15.8724816396327	14.9953515561478	16.1866026306048	14.3365056022278	13.8911596809097	14.3563961261142
gene-b0009	11.6954306290246	12.185290222604	11.9017084763915	10.8310522182758	10.7197558611711	10.6149144411181
gene-b0010	9.42795581264026	9.75099154698372	10.0105064847386	10.1998620606125	10.413591403519	10.4890624272413
gene-b0011	6.1937013953735	6.8170755072068	6.17670731015203	9.33139837788725	9.0496377422872	8.8358915376695
gene-b0012	5.69413485074956	6.70331317498004	5.81599084412232	9.05413777247387	8.71379761622193	8.56127651242419
gene-b0013	5.35313301395385	5.68383321396321	5.53530065680919	6.80395425642575	6.97061125713216	8.22170650449142
gene-b0014	17.7227616134909	17.1114199637524	17.6854151223036	14.9592103795241	15.0870530988169	15.010421287776
gene-b0015	13.822756282532	13.6422331910748	13.8598691029947	11.6178614320506	11.6381802284435	11.5646466864692
gene-b0016	9.71344863266415	9.84390813275457	9.54899537918075	7.74575922178677	7.60409574264876	7.19486080122573
gene-b4412	8.57267490944472	9.12426759548893	8.69189539110291	8.46981766039399	8.56028210706221	8.27099934585732
gene-b0018	8.60704115810002	9.1991405253813	8.78958840072847	8.57632003784509	8.67636678054551	8.42145344915567
gene-b4413	6.56089327868706	7.54951461148452	7.19486155041955	6.08829534357129	6.74109919646929	6.67207840849202
gene-b0019	10.8139323471045	11.5837713350111	11.1466805891567	15.5377554785718	15.705087705025	15.6522371685608
gene-b0020	9.97627333868728	10.6288734502141	10.2176885547302	12.386903787707	12.7925486230391	12.6508947043516
gene-b0021	6.93222420685137	7.58191686948931	6.63208848074786	7.91783125104116	8.53097291930696	7.78887818296496
gene-b0022	7.14847816089938	7.12338620002597	7.35280481613287	7.9708998268806	8.07298844348972	8.13237602236811
gene-b0023	14.6322335438397	14.3132111319515	15.074572144082	13.9344010076362	14.235600539371	14.3831770580993
gene-b0024	12.9463156230301	11.7297824472267	13.3756295880612	11.8603031451302	12.0066644906369	11.954440643199
gene-b0025	12.4466544726628	12.340975173768	12.7716114317137	11.2110754908695	11.236557971435	11.258785959387
gene-b0026	15.7566752883709	15.1675828602438	15.8014249024247	13.586667266576	13.6713501440628	13.6893805402988
gene-b0027	12.5346815875622	12.3300127910601	12.567068646475	10.3068022941168	10.5621660115763	10.5050567632916
gene-b0028	11.5434689392345	11.0437120955813	11.3976581870672	10.5822411889672	10.4699897615312	10.5574264464088
gene-b0029	11.6543757634372	10.6201433983926	11.9873813807318	10.7398397456294	10.1882062849631	11.3057341451937
gene-b0030	12.2653671613264	10.7511921385002	12.1490487896467	9.07581051075494	9.10536608628274	9.14303916851473
gene-b0031	10.294975673757	10.7609322262461	10.5585652371323	9.37137696848549	8.9553667487483	8.95304361474826
gene-b0032	11.2068416443301	9.98659110494981	11.142065959218	10.0061067249702	9.97634978563858	10.1753670453019
gene-b0033	12.9211854616204	11.2983996744172	13.0063684448042	11.5214804112979	11.3478334515441	11.5886848575106
gene-b0034	6.93222420685137	6.92242044315348	6.66704692668801	8.01086344410589	7.86542187690463	8.26216158961218
gene-b0035	6.38922041094462	6.19175530076444	5.81599084412232	9.16444972870656	8.97725735203887	9.05628710441802
gene-b0036	6.67723718086172	5.68383321396321	5.41284863276187	9.48303861748688	9.10204923416892	9.36551418301842
gene-b0037	7.99339258020468	8.37451129763782	7.86787810037755	10.6614012946311	10.4596626292639	10.7662292285098
gene-b0038	8.62631723025724	7.71931080390692	8.14532864207037	11.0390666795547	10.7396314745402	10.8518564835984
gene-b0039	8.7500940500396	8.40195252327189	8.51750277786242	10.3033624464659	9.82264666520871	10.530100579261
gene-b0040	5.90318352166728	6.27434864480019	5.81599084412232	8.8011773363518	9.07692661894935	9.02007007178438
gene-b0041	5.44690325531344	5.9609903218595	6.44306189274321	9.44399562542988	9.22454176403441	9.26078134286837
gene-b0042	5.69413485074956	5.55498620236935	5.9079610208356	9.88399395178696	9.14780491362793	9.89312659903498
gene-b0043	5.83698065349833	5.77301978798958	5.61111490310659	9.76565698533854	9.47711964705877	9.57078303798983
gene-b0044	4.56832978407603	4.59490337681368	4.82688632184372	7.14000219346102	7.88873563781092	7.64657945206576
gene-b0045	7.03722423760816	7.2700096686024	6.78304361258661	10.463980924514	10.2732216426517	10.5171691794908
gene-b0046	9.33439032153697	9.84057142118516	9.03507416535165	8.94943282698382	8.5235515209176	8.49871329267973
gene-b0047	9.27152413363164	9.28266552326691	9.0116486264153	9.87320655619353	9.5580140013248	9.9778221714448
gene-b0048	10.9887935676728	10.5726692981058	11.6085909987644	10.850823491647	10.3994781486024	10.7088941588726
gene-b0049	10.634076915826	9.90268553381582	11.1077666334513	10.8004711502763	10.6567370588958	11.028879701071
gene-b0050	11.9833651212698	11.5842701306733	12.1094122554963	11.6293541535507	11.7000778778536	11.6685452839342
gene-b0051	12.3292191572058	11.9524411869247	12.6901864996943	12.1457388187248	12.2151732440418	12.4160816184498
gene-b0052	11.9276715317965	12.071780914227	12.1876253987309	9.4626214849052	10.1234417088157	10.0124632417584
gene-b0053	15.3094856327374	15.0295878902452	15.0366431298649	11.8422437216772	12.2599374570607	11.8266341862689
gene-b0054	14.8884558701593	14.6404417276127	14.8437454660588	12.3283126886445	12.4448826882765	12.3180380112158
gene-b0055	10.9785227871506	11.1082575529283	10.5972889618526	9.84981541515812	10.0032643257513	9.75988569806514
gene-b0056	10.3597211589637	10.0105428139828	9.8927398013985	10.553572525847	10.5849123483124	10.3003198029248
gene-b0057	9.38617695924186	8.83329882008764	8.85122250277304	9.64762976357072	9.61845355089847	9.18803507592967
gene-b0058	8.86813083099341	8.43332033310603	9.703158049959	11.2183995139078	11.4657238069609	11.7489642118854
gene-b0059	11.2532790588568	10.6689293809449	11.9522272850691	14.6577626686324	14.5102098042072	14.9797364813645
gene-b0060	10.3825626423577	10.5544558420243	10.9530267966319	12.2332993315834	12.3220017091214	12.6392197978362
gene-b0061	8.33558359490281	7.36625374986544	6.90498034385465	8.61014069448845	9.35843954509865	8.74370543011878
gene-b0062	9.90706309226187	9.2326241251924	9.24190850062091	9.89926590273814	9.67646194977033	9.87875499881229
gene-b0063	9.74022598544897	9.40066164790909	9.28998826196355	9.49916673791926	9.21995913358001	9.60261558309937
gene-b0064	12.45240069261	12.457998230767	11.7940523108824	10.261431471708	10.2820402058576	9.80314602591897
gene-b0065	10.7906390677194	10.88919454296	11.138981318302	10.4391193448293	10.6527762876124	10.4642522603561
gene-b0066	8.87620344106139	8.91172857391261	9.24190850062091	9.58100149280237	9.36537229625115	9.53640192608895
gene-b0067	8.12125444498191	7.740985031158	7.97568844242445	9.49916673791926	9.67087689738886	9.64059145926981
gene-b0068	8.86407751108285	7.81777358693572	8.3407178109501	9.42934068960682	9.39684059012375	9.78322210805509
gene-b0069	9.30778252328522	9.37551818598302	9.4278287211422	10.1998620606125	10.2501876546448	9.95881887970333
gene-b4577	6.9931658718409	9.79302839726411	7.05725608974826	7.92382534642169	7.73426597220427	8.10297476301267
