	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MMC_1	featureCounts on ROC_MMC_3	featureCounts on ROC_MMC_2
gene-b0001	8.2097101254762	8.90882281384518	8.59022301733401	6.80943164656393	7.15994888083343	6.80215561300283
gene-b0002	11.3039719074377	11.3255827997802	11.1273510728645	10.4735605853019	10.525578836405	10.4636593750891
gene-b0003	11.6503593226757	11.5394612425392	11.4245828908634	10.2095095086846	10.0791412389683	10.304196969477
gene-b0004	11.2567292659724	10.9940328132619	11.0733084208606	10.1322514659614	10.0120033669886	10.0396057082392
gene-b0005	8.08286924525603	8.72176034478289	7.86544078225854	8.26048859339237	8.30894690207387	7.47094739254161
gene-b0006	10.0190503441193	9.65534559547294	10.1992273419939	8.96911676650197	9.10550231868264	8.79250087965777
gene-b0007	7.16193567675729	7.45424871197792	7.55470795516572	8.05839589374179	7.97668008172704	8.1435833445976
gene-b0008	15.5872358757528	14.9851407710793	15.8102634299409	14.5586595966596	14.2864665196104	14.5711505583524
gene-b0009	11.5695724212201	11.9093801163806	11.7114463340831	10.9976453696951	10.9269121732026	10.8610938656769
gene-b0010	9.62232843523488	9.82949690273857	10.0005644197633	10.1275301094802	10.2729841589532	10.3248453103833
gene-b0011	6.60495061634614	7.00735979030274	6.59314213467024	8.7693216776217	8.56287778913804	8.4069938395888
gene-b0012	6.12309139046859	6.7890360992141	6.20012058393191	8.45863997734633	8.20848733028019	8.09657107881361
gene-b0013	5.34318434363413	5.57698773014725	5.47173329994124	6.38728091669909	6.50952503855916	7.43105114309378
gene-b0014	17.2991231202509	16.8625728297254	17.2720405375284	15.4721397387465	15.5468193333977	15.5019107642457
gene-b0015	13.4832646495928	13.3549794775812	13.5098056027895	12.024051198373	12.0361901956989	11.9922475585902
gene-b0016	9.32612127837453	9.42024633123971	9.20858217604636	7.98787166060603	7.89712376262876	7.64405128592733
gene-b4412	8.52054605417911	8.89792499850087	8.6009566369181	8.45161467459559	8.51217461040359	8.31976344740247
gene-b0018	8.5797810897114	8.98344570754863	8.70254754848703	8.55921481084874	8.62620011584886	8.4563845845748
gene-b4413	6.39439507545052	7.08713817352311	6.83608616210278	6.07004089688428	6.51878283702046	6.47093611581598
gene-b0019	12.0046550973614	12.3882751968347	12.1639766717805	14.9747474440644	15.0998939901812	15.060264547087
gene-b0020	10.5412544049553	10.9301006855436	10.6816341330714	12.0997141465692	12.3897507106744	12.2877276190101
gene-b0021	7.0021567701895	7.44021897749544	6.80521635104606	7.67250523728891	8.10523231364315	7.58295204975326
gene-b0022	7.17506849950693	7.15794915775512	7.31171675978657	7.73446867577351	7.80580632108317	7.84702186208339
gene-b0023	14.564921561372	14.3532213833932	14.860950057212	14.1132883100628	14.3027603608022	14.3991447525401
gene-b0024	12.736535185468	11.9506720744139	13.0202485082947	12.0278044964831	12.1173990334326	12.08508281098
gene-b0025	12.2623706862055	12.1895424915953	12.4892339700549	11.4455050520443	11.4614474673252	11.4754627770602
gene-b0026	15.4138999059965	14.9997938185474	15.4459766277206	13.9749035433325	14.0259821675667	14.0369345692297
gene-b0027	12.2076292389122	12.0626264667083	12.2307508353629	10.7395592699718	10.8934106621391	10.8586655203351
gene-b0028	11.3310313187538	10.9959162860839	11.2335539878689	10.6950175299298	10.6252173291313	10.6794452911143
gene-b0029	11.4640168986263	10.7735005644802	11.6967184283193	10.8505892105026	10.5024830101568	11.225403893629
gene-b0030	11.725320486303	10.6468389131789	11.6395530615814	9.57943340841741	9.59641474825642	9.61892443340935
gene-b0031	10.119434395996	10.4451572129521	10.3026930349809	9.50190638300856	9.23823593227057	9.23702842033916
gene-b0032	10.9421221012195	10.1187185138625	10.8967846306708	10.1312992891969	10.1120341836387	10.2413685953609
gene-b0033	12.6164268901744	11.5278106616893	12.6767567812086	11.6692853304188	11.5588472765829	11.7124957066047
gene-b0034	6.94772418148558	6.94063877556989	6.77128156021342	7.68928146568366	7.58754577699071	7.86698495750648
gene-b0035	6.66433310762211	6.5333183477393	6.29374835336024	8.6042126060067	8.46688026935003	8.52452186260522
gene-b0036	6.86894103231957	6.21971705442072	6.05367992092979	8.85846710983183	8.5757850306232	8.7707819027453
gene-b0037	8.47043364931203	8.70180300613239	8.3959292803281	10.2470384320811	10.1020351472681	10.3230472710529
gene-b0038	8.93083930260011	8.3902053323963	8.6377947730474	10.573952074635	10.3569440681741	10.4378355495199
gene-b0039	8.94130029135021	8.72353419249693	8.79497658990769	9.98950029572348	9.65381956596057	10.1505698191778
gene-b0040	6.28771637050021	6.52874750284174	6.22997728165563	8.29627878585672	8.50018573805621	8.45760370143648
gene-b0041	6.08354663631734	6.40189375312964	6.71717717884364	8.83123351849893	8.66847491443361	8.6949044555605
gene-b0042	6.26435002702866	6.17258796582382	6.39782215556438	9.18992961559284	8.639220229016	9.19693764392878
gene-b0043	6.35000728130694	6.3054949625484	6.20631214860543	9.09576734237645	8.87945409541525	8.94917405943497
gene-b0044	4.53790315712372	4.54663471100548	4.72733599007822	6.48577326587781	7.0548608631184	6.86948736876179
gene-b0045	7.62325453291504	7.76137203791651	7.47444920759496	9.92937944795725	9.78916546431778	9.96878589122126
gene-b0046	9.18799598613206	9.5266869638738	8.98655950426974	8.92964669546754	8.65726196812652	8.64230031846719
gene-b0047	9.31357821809527	9.32078280111993	9.14862318497211	9.71538591706813	9.50306817444843	9.78574463868602
gene-b0048	10.932559577279	10.6569531361417	11.3599198298875	10.8401844080498	10.5450962610105	10.7461585506903
gene-b0049	10.6386083490031	10.1675427135573	10.9584389420124	10.7497390817781	10.6536533067277	10.9044660684957
gene-b0050	11.9087899900735	11.6439391919626	11.9934685458763	11.6733558607606	11.719835286997	11.699066350852
gene-b0051	12.3120963922636	12.0662673455384	12.5540574884115	12.1908899768374	12.2364895642575	12.3701100729124
gene-b0052	11.6297561742226	11.7322591095197	11.8152017867832	10.033978209938	10.4278463940282	10.3597541715118
gene-b0053	14.8147846161172	14.6101564225155	14.6152751738498	12.5453531610577	12.7807206036836	12.5368130534886
gene-b0054	14.5033665247336	14.3258300767846	14.4711861981675	12.8139552372738	12.8825962837605	12.8079431767292
gene-b0055	10.7725919110925	10.8629899022181	10.5111763883306	10.018821637953	10.1174515012063	9.96159294318316
gene-b0056	10.314649244096	10.0845578715059	10.0094884435698	10.4449440635531	10.4660768403565	10.2749491518894
gene-b0057	9.30173639252491	8.93502437191491	8.94671625396046	9.48026139523923	9.46026300583623	9.16859200688322
gene-b0058	9.37851146560504	9.12945156609885	9.89057160526116	10.9140523050807	11.0907417014354	11.2957938643167
gene-b0059	11.9850056010278	11.6817170478431	12.3835727675328	14.1971306514546	14.0896361132238	14.4344175942739
gene-b0060	10.8005756408601	10.904097253214	11.1518263376574	12.0064806999554	12.0686188142466	12.2934861612195
gene-b0061	8.21827976134324	7.57441640498502	7.28290077603308	8.40738459087177	8.93661314103831	8.50039275541071
