	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MOXI_1	featureCounts on ROC_MOXI_3	featureCounts on ROC_MOXI_2
gene-b0001	294.755443576506	568.361037156286	426.697718554864	265.799581139471	323.054720505594	213.321027498853
gene-b0002	2459.60722205414	2424.3746213146	2032.08513495305	2383.19993673975	2419.90803650101	2129.08812952961
gene-b0003	3460.8925678365	2996.18549784665	2739.90135043817	2652.2708973394	2956.73130812183	1846.72116559393
gene-b0004	2557.85903657964	1899.99903619924	2106.38073771319	2197.54915237464	2502.77337373107	1551.98776528151
gene-b0005	225.206406328117	424.33024321835	174.695065949521	166.840352469083	244.993170941045	271.031063923663
gene-b0006	1054.2750884478	702.904772810885	1244.95334354831	1309.36962893629	1254.98952761467	1090.30747388303
gene-b0007	92.7320496645187	126.781597059141	145.579221624601	109.591211915967	103.28143480848	102.023100108147
gene-b0008	50521.3038196075	26525.8149602105	62041.8482778772	68125.659413344	84096.3078193466	53621.8986659314
gene-b0009	2778.64963101897	3769.81197786059	3168.60705825682	4108.8526019837	3690.50987402859	3834.62581315571
gene-b0010	565.223921764685	685.655575932091	843.35549079079	732.788999079896	964.360373851272	1224.27720129776
gene-b0011	47.469977804456	77.6213859545763	46.1837530671147	77.69526217923	81.6643903136818	100.992563743418
gene-b0012	29.8067302493096	70.7217072030584	33.1318228524953	48.2528470376271	61.2482927352614	57.7100364248104
gene-b0013	20.9751064717364	28.4611748500113	25.0998657973449	31.078104871692	28.8227259930642	28.8550182124052
gene-b0014	182204.126202141	115040.93120359	175363.726374362	113135.75156107	147573.558031405	139053.363301945
gene-b0015	12190.9526719676	10374.5294627511	12355.1579400851	10033.3208043663	11350.1493066854	11231.8158391787
gene-b0016	692.1785135673	732.228407504836	608.420746927641	612.56580391835	623.291449600013	754.35261898145
gene-b4412	305.794973298472	438.992060565326	329.310239261166	319.77734223241	335.064189669371	419.428300444604
gene-b0018	313.522644103849	463.140936195639	353.406110426617	350.037602239057	365.087862578813	450.344391386467
gene-b4413	65.1332253596024	137.993575030358	107.427425612636	84.2380210995862	98.4776471429693	99.9620273786894
gene-b0019	1501.37604218745	2479.57205132674	1871.44599385004	2604.83589516682	2794.60347441085	3783.09899491927
gene-b0020	833.484494008471	1272.12826981111	975.882782200771	1041.93435806673	1217.76017320696	1211.91076492102
gene-b0021	88.3162377757321	141.443414406117	68.2716349687782	100.594918400477	75.6596557317934	87.5955910019444
gene-b0022	104.875532358682	99.1828820530697	121.48335045915	154.572679493416	189.749612787672	258.664627546918
gene-b0023	21376.9453536159	16526.4555295732	28695.1705741566	30590.6693321255	30084.9212021771	65964.6327062878
gene-b0024	6633.65340992968	2745.20968326018	8828.12479824216	9320.97792691247	9637.59900393083	27431.8474927148
gene-b0025	4687.38431994698	4201.04189983046	5803.08897234615	5813.24130073649	6183.67567242864	6159.51585198378
gene-b0026	46623.2458747812	29891.1332712634	47500.9940241594	46438.8671269583	46587.1327801227	51034.2218540975
gene-b0027	4983.24371649568	4169.13088560469	5034.0290843155	5322.53438170978	4191.30473815808	5101.15500540735
gene-b0028	2499.34952905322	1700.77081224916	2229.87207743612	2627.73555138806	2264.98588428829	3175.0825397293
gene-b0029	2700.26896999301	1264.36613121565	3363.38201684422	2727.5126249235	2553.21314421893	3155.50234879945
gene-b0030	4132.09597493206	1385.97296921116	3763.97587496985	4088.40648035759	3862.2452830706	2883.44074851106
gene-b0031	1043.23555872584	1395.46002749449	1239.93337038884	1313.45885326151	1258.5923683638	1052.17762838806
gene-b0032	1976.07582023201	809.849793459413	1865.42202605868	1557.99446790982	1132.49294214415	1629.27799263617
gene-b0033	6518.84230082122	2031.95539232202	6831.1794754054	3572.34637051449	3272.58034712916	4561.15395028948
gene-b0034	88.3162377757321	84.5210647060942	70.2796242325658	76.8774173141855	57.6454519861284	92.7482728255881
gene-b0035	56.3016015820292	45.710371728806	33.1318228524953	40.0743983871818	30.0236729094418	58.7405727895392
gene-b0036	71.7569431927823	28.4611748500113	22.0878819016635	56.4312956880723	50.4397704878623	49.4657455069803
gene-b0037	199.815487967594	255.288113806162	179.71503910899	279.702943845228	297.834835261663	311.221982148085
gene-b0038	317.938455992635	156.967691597032	220.878819016635	396.654759546595	362.685968746058	474.046727775228
gene-b0039	347.745186241945	260.4628728698	290.154448617307	355.762516294369	195.754347369561	356.56558219615
gene-b0040	36.4304480824895	49.160211104565	33.1318228524953	40.0743983871818	33.6265136585749	39.1603818596928
gene-b0041	23.1830124161297	37.0857732894087	58.2316886498403	52.3420713628497	46.8369297387293	47.4046727775228
gene-b0042	29.8067302493096	25.0113354742524	36.1438067481767	59.7026751482504	32.4255667421972	29.885554577134
gene-b0043	34.2225421380962	31.0485543818305	27.1078550611325	16.3568973008905	56.4445050697507	38.129845494964
gene-b0044	7.72767080537656	7.76213859545763	11.0439409508318	7.36060378540074	18.0142037456651	7.2137545531013
gene-b0045	96.0439085811086	111.257319868226	77.3075866558224	81.7844865044526	108.085222473991	105.114709202333
gene-b0046	528.793473682196	730.503487816957	421.677745395395	493.978298486894	397.51342932101	434.886345915536
gene-b0047	505.610461266066	491.60211104565	414.649782972138	505.428126597517	387.905853989989	312.252518512813
gene-b0048	1696.77571826625	1222.96805870655	2583.27818786274	2236.80570589678	2376.67394751142	2714.43278469555
gene-b0049	1323.63961366378	763.276961886667	1821.24626225535	1500.74532735671	2004.38040343434	1928.1335384075
gene-b0050	3395.7593424769	2480.43451117068	3661.56842251668	3554.35378348351	4140.86496767022	5578.29334227676
gene-b0051	4319.76798020549	3205.763239924	5483.81867940392	5060.00618003049	6301.36847023365	6956.12046191911
gene-b0052	3266.59684472989	3483.4753096726	3866.38332742301	3241.11920017146	4026.77501061434	3786.19060401345
gene-b0053	34192.7354078469	27163.172784882	27950.2065572914	30234.0889709661	28846.7449313917	30216.3567502119
gene-b0054	25534.4322469085	20737.846947531	24450.2812705097	27494.3086730669	24941.2655593315	25477.9505451891
gene-b0055	1684.63223557209	1779.25465804768	1274.06918787323	2054.42630099185	1389.49558224897	2254.81356602652
gene-b0056	1091.80948950249	823.649150962449	776.087850453906	1151.52556998269	813.041062387685	1254.1627558749
gene-b0057	548.664627181735	356.195915547111	369.470024536917	552.045283905055	351.877446498658	559.581246047715
gene-b0058	378.655869463451	266.500091777379	678.700371160207	1341.26557867302	1732.96640033298	3836.68688588516
gene-b0059	2041.20904559161	1308.35158325658	3282.05845166082	8191.53416828598	11018.6879577652	19162.8237021312
gene-b0060	1109.47273705763	1207.44378151563	1634.5032607231	3740.82241271366	5477.51888559857	5613.33157867754
gene-b0061	257.22104252182	119.881918307623	85.3395437109728	151.301300033237	105.683328641235	97.9009546492319
gene-b0062	793.742187009392	474.352914166855	488.945385732279	456.357434694846	566.846944530262	142.214018332568
gene-b0063	705.42594923366	534.725103242637	506.013294474474	441.636227124044	535.622324704443	205.076736581023
gene-b0064	4706.15152047432	4557.23781537757	2939.69628218504	5095.99135409244	3449.11954383668	3225.57882160101
gene-b0065	1477.08907679912	1526.55392377333	1861.4060475311	1741.1917176798	1945.53400453183	1463.36163791484
gene-b0066	380.863775407845	376.894951801665	488.945385732279	405.651053062085	419.130473815808	579.161436977561
gene-b0067	219.686641467134	159.555071128851	194.774958587397	272.342340059827	234.184648693646	341.107536725219
gene-b0068	377.551916491255	169.042129412188	255.014636501025	414.647346577575	411.924792317542	460.649755033754
gene-b0069	518.857896932426	525.2380449593	558.221015332951	752.417275840964	515.206227126022	794.543537205872
gene-b4577	92.7320496645187	706.354612186644	96.3834846618046	150.483455168193	85.2672310628148	140.152945603111
gene-b4662	49.6778837488493	394.14414868046	54.2157101222651	89.9629351548979	48.037876655107	73.1680818957418
