	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MOXI_1	featureCounts on ROC_MOXI_3	featureCounts on ROC_MOXI_2
gene-b0001	8.26421702776918	9.1826936766574	8.77950401101732	8.12144098220111	8.39129724829685	7.81998259589396
gene-b0002	11.2717086585404	11.2510018697672	10.9978112958721	11.226420079378	11.2483554278746	11.0646749072832
gene-b0003	11.7622620407945	11.5550694260768	11.4266404446758	11.3799662606765	11.5360275336826	10.8607218202363
gene-b0004	11.327930594581	10.9014762468796	11.049298352585	11.110066212724	11.2966795713601	10.6117550021546
gene-b0005	7.89399147499163	8.77170872964937	7.54925088219658	7.48736850931046	8.00934597991977	8.14830546514791
gene-b0006	10.0594348570526	9.4831660275217	10.2966305758103	10.3686907042682	10.3080971233938	10.1073485253402
gene-b0007	6.71659420914744	7.12222265940613	7.30514367146914	6.93173566329688	6.85494622934126	6.83912808117765
gene-b0008	15.6249705668079	14.6958070234425	15.9212523506442	16.0561823380689	16.3599749238036	15.7108798210885
gene-b0009	11.4468068685956	11.8851744974224	11.6354571511024	12.0090143194648	11.8546070458459	11.9096851579831
gene-b0010	9.17488338869646	9.44796549907192	9.74169914446868	9.54218865607941	9.93243415844902	10.2727164037539
gene-b0011	5.89748053724471	6.49176371084167	5.86562894880962	6.49295356889965	6.55546619177388	6.82604224939652
gene-b0012	5.38020794067359	6.37602197432834	5.49341052613514	5.91652062042211	6.2000422950833	6.12829445222057
gene-b0013	5.02417516846181	5.33161705308049	5.20211400723898	5.42459478986878	5.34484328383455	5.34601841644755
gene-b0014	17.4752976907195	16.8119486214214	17.4200963823408	16.7878589730882	17.1712001420363	17.08541222125
gene-b0015	13.5750404141566	13.3425408341139	13.5943228483778	13.2943546765197	13.4720531131847	13.4569501760455
gene-b0016	9.46137809047415	9.54110340153847	9.27887879444535	9.28847468068577	9.31301243959752	9.58332597203671
gene-b4412	8.31513187813797	8.8193210515404	8.41793793213727	8.37714067633682	8.44201535876882	8.75543311528225
gene-b0018	8.34973162356276	8.89446854595934	8.51618870380345	8.50284966084905	8.561514293827	8.85513589233297
gene-b4413	6.27485935231837	7.2341041985345	6.90586309600771	6.59458612479133	6.79359698591803	6.81283586104125
gene-b0019	10.5643202403104	11.2833117315382	10.8797781151704	11.3540567768355	11.4550287615141	11.8902332984832
gene-b0020	9.724967737555	10.327470210067	9.94934742539206	10.0426521018414	10.2650958487609	10.2582215111737
gene-b0021	6.65446484815862	7.26684768365731	6.3325525040179	6.82096080573457	6.45979960441346	6.64406455657668
gene-b0022	6.87473780417319	6.80276966042058	7.06616003816405	7.38505836126966	7.6608986385517	8.08397545384189
gene-b0023	14.384633603194	14.0136091056896	14.8091651791388	14.9014089581959	14.8773680281055	16.0096856705682
gene-b0024	12.6983742403559	11.4294198705852	13.1099857651401	13.1882494348208	13.2363767755078	14.7442387045042
gene-b0025	12.1985082428384	12.0409275138741	12.5057897827434	12.5083059766108	12.597237698493	12.5916017070653
gene-b0026	15.5091587628433	14.8680490316772	15.5360596864011	15.5034436693871	15.5080411652377	15.6395400091208
gene-b0027	12.2865767673216	12.029960574399	12.3011678551132	12.3813690942198	12.0375899481373	12.3202300400905
gene-b0028	11.294714638399	10.7427954177886	11.1310106813017	11.3666229100868	11.1534241936725	11.6383906446752
gene-b0029	11.4057180740233	10.3187283545032	11.7211847242579	11.420132840345	11.3253208846662	11.6295022014495
gene-b0030	12.0171272827837	10.4499470508897	11.8829468833708	12.0018398063799	11.9200047949468	11.4999738490501
gene-b0031	10.0444309037142	10.4596991700366	10.2908607756403	10.3731459124383	10.3121913123156	10.0565961568266
gene-b0032	10.957744482296	9.68410005603763	10.8751583720584	10.6172825071305	10.1614938920885	10.6813115706568
gene-b0033	12.6732353790539	10.9977197572849	12.7406248454311	11.8078238943315	11.6818525063062	12.1592328566093
gene-b0034	6.65446484815862	6.59882386085422	6.36827588425658	6.47972568547154	6.1269505251578	6.71681756570735
gene-b0035	6.09869368421014	5.8537225761388	5.49341052613514	5.70362822200309	5.38788388029858	6.14956827579577
gene-b0036	6.39399817607543	5.33161705308049	5.07454434450857	6.10144541434759	5.96838627062675	5.94552106527563
gene-b0037	7.73099388891506	8.06590006607728	7.58745050626365	8.19176264748479	8.27860112728002	8.3395172118392
gene-b0038	8.36913633486023	7.40561215116597	7.86748219290805	8.67731291509914	8.55231051146815	8.92716319922104
gene-b0039	8.4937007752154	8.09351021212463	8.24245433803757	8.52544707564101	7.70312281746062	8.5285888054572
gene-b0040	5.59725332523256	5.93827168838601	5.49341052613514	5.70362822200309	5.50948745473189	5.67769748688429
gene-b0041	5.12233449870058	5.61699139446648	6.13910301169964	6.01200317799986	5.88189394511336	5.89588058008137
gene-b0042	5.38020794067359	5.19853105705549	5.58853113453537	6.16914563402358	5.47012967751785	5.38300188472313
gene-b0043	5.52861338515316	5.42357916856896	5.28094467116392	4.79189753737968	6.10172537938246	5.6478723437833
gene-b0044	4.19459246068158	4.19768397141809	4.45969134718669	4.16113035529476	4.88004701855122	4.1474574903699
gene-b0045	6.7614837512667	6.95134428993035	6.48669854901703	6.55731569809798	6.91377790569262	6.87768388681221
gene-b0046	9.08094491890987	9.5377589826428	8.76292461999477	8.98506608731769	8.68033648843653	8.8061459776354
gene-b0047	9.01781449617803	8.97828387791542	8.73938850323209	9.01730685822647	8.64613913568852	8.34410150806309
gene-b0048	10.7394278934229	10.2711888119711	11.3421261688556	11.1354641669986	11.2224852405956	11.413230198068
gene-b0049	10.3841784432991	9.60001373244886	10.8408205277922	10.5637191654385	10.9781315055249	10.9225417920336
gene-b0050	11.7349541151889	11.283810875574	11.8432880887846	11.8005653013927	12.0201762343109	12.4489206441315
gene-b0051	12.0810136098395	11.6522089675957	12.4243346799321	12.3085746448421	12.6243824812337	12.7667245316379
