	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MOXI_1	featureCounts on ROC_MOXI_3	featureCounts on ROC_MOXI_2
gene-b0001	8.29007406221948	8.81807066964128	8.57873632807459	8.21322517352917	8.35937165563496	8.05807890065017
gene-b0002	11.2218328047309	11.2102904536935	11.0716545048877	11.196604989023	11.2087965286936	11.1077104773803
gene-b0003	11.6090862734165	11.4910394467405	11.4194347330716	11.3937217788128	11.4803205317572	11.1195377175331
gene-b0004	11.1993749182647	10.9617807531579	11.0425742198566	11.0762810736282	11.1814757603109	10.8087456154958
gene-b0005	7.8627990967152	8.37182754406811	7.67870769748316	7.64585808474641	7.92639074602238	8.00446077694894
gene-b0006	10.0654580294805	9.76233023687924	10.1978077341009	10.238918760339	10.2042536321458	10.0918417618532
gene-b0007	6.6776249280883	6.90132512139632	7.00614928530201	6.79418065288561	6.75239206854849	6.74346708495484
gene-b0008	15.680189826193	15.2121521834887	15.8443617185734	15.9213088551906	16.0992930549275	15.7270992249639
gene-b0009	11.6011992869872	11.8388978357629	11.7015813792112	11.9087765346573	11.821818980807	11.8526256206433
gene-b0010	9.39521226954282	9.53766693210535	9.69796464661063	9.58834043118808	9.80542865245643	10.0038236257458
gene-b0011	5.88177505538767	6.20244265983416	5.86412376818663	6.20324398580555	6.2374859697052	6.39518652499738
gene-b0012	5.31875609897775	5.86412943525039	5.3739813187932	5.59970612823608	5.75851953174897	5.71865825640691
gene-b0013	4.62691565366407	4.78882796635063	4.71859536096964	4.84093493092396	4.79517258404608	4.79630011709793
gene-b0014	17.3237850057708	16.9598535971528	17.2924894567186	16.947426761498	17.1528487561492	17.105623361832
gene-b0015	13.5208856748794	13.3925908024188	13.531694636499	13.3665803406212	13.4635512587538	13.4552054603804
gene-b0016	9.41211210353171	9.45673861632072	9.31188764780646	9.31701817065138	9.33046923051231	9.48042765382013
gene-b4412	8.35929352334211	8.64028558825383	8.41485799460013	8.39251135396571	8.42810541243675	8.60340306295545
gene-b0018	8.42463349389787	8.7249444211491	8.5136539200112	8.50629725405735	8.53847109617176	8.70245688774781
gene-b4413	6.33475367501249	6.86525451244094	6.67467429374935	6.5016702725338	6.6115648960371	6.62234321556525
gene-b0019	10.882772900723	11.2609712809556	11.043375119637	11.3004380070134	11.3573595607866	11.6111686509418
gene-b0020	9.88039351713023	10.2099076254866	9.99965957698648	10.0504851556483	10.1743819098963	10.1705403215174
gene-b0021	6.49305784199881	6.84621201485212	6.31955983816701	6.58634839956997	6.38801950378872	6.48725997227733
gene-b0022	6.9660682239035	6.92717856307894	7.06636770675428	7.24133758634142	7.39804318786113	7.65014598545985
gene-b0023	14.604964442959	14.4201188241207	14.8306146212364	14.8815346673467	14.8682002486389	15.5403586402109
gene-b0024	12.8990841540513	12.3156019535503	13.1188887510055	13.1621986362272	13.1890555988258	14.1093186288268
gene-b0025	12.2916567051398	12.2082955216865	12.4599592582036	12.4613735548521	12.5114422751365	12.508260219887
