Geneid	1714__ROC_LEVO_library-read-1.fastq.gz
gene-b0001	232
gene-b0002	1914
gene-b0003	2891
gene-b0004	2249
gene-b0005	197
gene-b0006	1254
gene-b0007	128
gene-b0008	75158
gene-b0009	3866
gene-b0010	761
gene-b0011	76
gene-b0012	56
gene-b0013	28
gene-b0014	156612
gene-b0015	10538
gene-b0016	604
gene-b4412	259
gene-b0018	274
gene-b4413	61
gene-b0019	1942
gene-b0020	857
gene-b0021	97
gene-b0022	102
gene-b0023	28370
gene-b0024	8545
gene-b0025	5517
gene-b0026	43851
gene-b0027	4557
gene-b0028	1961
gene-b0029	2484
gene-b0030	4849
gene-b0031	1352
gene-b0032	1883
gene-b0033	5516
gene-b0034	86
gene-b0035	34
gene-b0036	54
gene-b0037	228
gene-b0038	312
gene-b0039	302
gene-b0040	22
gene-b0041	49
gene-b0042	43
gene-b0043	55
gene-b0044	3
gene-b0045	83
gene-b0046	372
gene-b0047	441
gene-b0048	2404
gene-b0049	1318
gene-b0050	2962
gene-b0051	4217
gene-b0052	2653
gene-b0053	22654
gene-b0054	24244
gene-b0055	1893
gene-b0056	950
gene-b0057	498
gene-b0058	832
gene-b0059	4806
gene-b0060	3435
gene-b0061	151
gene-b0062	476
gene-b0063	577
gene-b0064	4719
gene-b0065	1633
gene-b0066	274
gene-b0067	210
gene-b0068	346
gene-b0069	715
gene-b4577	122
gene-b4662	69
gene-b0070	770
gene-b0071	339
gene-b0072	341
gene-b0073	217
gene-b0074	203
gene-b0075	16
gene-b0076	96
gene-b4726	0
gene-b0077	967
gene-b0078	151
gene-b0080	4502
gene-b0081	4793
gene-b0082	14696
gene-b0083	5030
gene-b0084	2933
gene-b0085	6743
gene-b0086	6050
gene-b0087	2879
gene-b0088	4708
gene-b0089	2011
gene-b0090	2910
gene-b0091	4540
gene-b0092	4940
gene-b0093	6998
gene-b0094	12065
gene-b0095	31308
gene-b0096	30301
gene-b0097	3474
gene-b0098	26633
gene-b0099	641
gene-b0101	2118
gene-b0102	2325
gene-b0103	1870
gene-b4727	8
gene-b0104	10004
gene-b0106	937
gene-b0107	185
gene-b0108	28
gene-b0109	953
gene-b0110	480
gene-b0111	1390
gene-b0112	806
gene-b0113	2460
gene-b0114	416485
gene-b0115	146207
gene-b0116	205498
gene-b0117	308
gene-b0118	114355
gene-b0119	1168
gene-b0120	4542
gene-b0121	3337
gene-b0122	1451
gene-b0123	1040
gene-b0124	667
gene-b0125	3649
gene-b0126	4309
gene-b0127	2078
gene-b0128	1757
gene-b0129	537
gene-b0130	807
gene-b0131	1005
gene-b0132	1247
gene-b0133	7909
gene-b0134	1078
gene-b0135	44
gene-b0136	46
gene-b0137	73
gene-b0138	20
gene-b0139	64
gene-b0140	18
gene-b0141	5
gene-b0142	782
gene-b0143	7819
gene-b0144	2641
gene-b0145	20314
gene-b0146	9427
gene-b0147	542
gene-b0148	5375
gene-b0149	4021
gene-b0150	6396
gene-b0151	1336
gene-b0152	457
gene-b0153	1950
gene-b0154	4358
gene-b0155	1755
gene-b4728	1958
gene-b0156	9070
gene-b0157	689
gene-b0158	769
gene-b0159	3818
gene-b0160	1254
gene-b0161	8370
gene-b0162	3135
gene-b0163	1384
gene-b0164	282
gene-b0166	2497
gene-b0167	3598
gene-b0168	4223
gene-b4414	6777
gene-b0169	175108
gene-b0170	89742
gene-b0171	55460
gene-b0172	29376
gene-b0173	2615
gene-b0174	3962
gene-b0175	3727
gene-b0176	9947
gene-b0177	51394
gene-b0178	13692
gene-b0179	21898
gene-b0180	22553
gene-b0181	13323
gene-b0182	8687
gene-b0183	1359
gene-b0184	18084
gene-b0185	12758
gene-b0186	593
gene-b0187	405
gene-b0188	2583
gene-b0189	1833
gene-b4406	1240
gene-b0190	407
gene-b0191	468
gene-b0192	830
gene-b0193	205
gene-b0194	34480
gene-b0195	2078
gene-b0196	1475
gene-b0197	1745
gene-b0198	219
gene-b0199	271
gene-b0200	807
gene-b0201	9117
gene-b0202	34
gene-b0203	300
gene-b0204	11789
gene-b0205	512
gene-b0206	535
gene-b0207	1180
gene-b0208	889
gene-b0209	1589
gene-b0210	543
gene-b0211	13192
gene-b0212	799
gene-b0213	760
gene-b0214	468
gene-b0215	3381
gene-b0216	120
gene-b0217	170
gene-b4586	28
gene-b0219	352
gene-b0220	377
gene-b0221	5303
gene-b0222	3329
gene-b0223	4619
gene-b0224	3646
gene-b0225	1543
gene-b0226	649
gene-b0227	20
gene-b0228	425
gene-b0231	3088
gene-b0232	827
gene-b0233	1020
gene-b0234	137
gene-b0237	9710
gene-b0238	7701
gene-b0239	4102
gene-b4710	1808
gene-b4709	12
gene-b0241	31
gene-b0242	4236
gene-b0243	3194
gene-b0244	158
gene-b0245	56
gene-b0246	58
gene-b4504	55
gene-b0247	119
gene-b0248	204
gene-b0249	355
gene-b0250	527
gene-b0251	89
gene-b0252	98
gene-b0253	393
gene-b0254	135
gene-b0256	598
gene-b4690	51
gene-b0258	321
gene-b0259	86
gene-b0260	160
gene-b0261	966
gene-b0262	224
gene-b0264	3
gene-b0265	102
gene-b0266	354
gene-b0267	10
gene-b0268	831
gene-b0269	1190
gene-b0270	96
gene-b0271	269
gene-b0272	233
gene-b0273	143
gene-b4688	62
gene-b0274	70
gene-b0275	0
gene-b0276	263
gene-b0277	421
gene-b0278	192
gene-b0279	65
gene-b4729	391
gene-b0280	3929
gene-b0281	2067
gene-b0282	63
gene-b0283	128
gene-b0284	121
gene-b0285	51
gene-b0286	28
gene-b0287	648
gene-b0288	553
gene-b0289	149
gene-b0290	374
gene-b0291	131
gene-b0292	24
gene-b0293	77
gene-b0294	8
gene-b0295	89
gene-b4506	153
gene-b0296	104
gene-b4671	27
gene-b0298	12
gene-b0299	31
gene-b0301	21
gene-b0303	19
gene-b0304	130
gene-b0305	115
gene-b0306	4228
gene-b0307	10519
gene-b0308	6085
gene-b0310	155
gene-b0311	4168
gene-b0312	5642
gene-b0313	1436
gene-b0314	2893
gene-b4730	9
gene-b0315	928
gene-b0316	549
gene-b0317	37
gene-b0318	14
gene-b0319	89
gene-b0320	71
gene-b0321	31
gene-b0322	59
gene-b0323	58
gene-b0324	1676
gene-b0325	1001
gene-b0326	10
gene-b0327	96
gene-b0328	199
gene-b0329	198
gene-b0330	188
gene-b0331	11959
gene-b0333	4488
gene-b0334	1996
gene-b0335	1233
gene-b0336	579
gene-b0337	1363
gene-b0338	419
gene-b0339	83
gene-b0340	121
gene-b0341	139
gene-b0342	165
gene-b0343	711
gene-b0344	3102
gene-b0345	1676
gene-b0346	4880
gene-b0347	43
gene-b0348	35
gene-b0349	52
gene-b0350	22
gene-b0351	244
gene-b0352	161
gene-b0353	128
gene-b0354	1488
gene-b0355	1370
gene-b0356	2187
gene-b0357	527
gene-b0358	21
gene-b0360	9
gene-b0361	13
gene-b0363	60
gene-b4731	0
gene-b0364	18
gene-b0365	25
gene-b0366	48
gene-b0367	75
gene-b0368	251
gene-b0369	7932
gene-b0372	87
gene-b0373	19
gene-b0375	175
gene-b0376	1112
gene-b0377	662
gene-b0378	623
gene-b0379	130
gene-b0380	11623
gene-b0381	9835
gene-b0382	964
gene-b0383	655
gene-b0384	151
gene-b0385	635
gene-b0386	1237
gene-b0387	306
gene-b0388	534
gene-b0389	586
gene-b0390	624
gene-b0391	1463
gene-b4732	171
gene-b0393	6280
gene-b0394	1036
gene-b0396	637
gene-b0397	2450
gene-b0398	1381
gene-b0399	526
gene-b0400	424
gene-b0401	1789
gene-b0402	1702
gene-b0403	792
gene-b0404	772
gene-b0405	1492
gene-b0406	7840
gene-b0407	5202
gene-b0408	16791
gene-b0409	6565
gene-b0410	525
gene-b0411	62037
gene-b0412	158
gene-b0413	1996
gene-b0414	4009
gene-b0415	7361
gene-b0416	18642
gene-b0417	2701
gene-b0418	1319
gene-b0419	2200
gene-b0420	8775
gene-b0421	13159
gene-b0422	3255
gene-b0423	10877
gene-b0424	1204
gene-b0425	1179
gene-b0426	17392
gene-b0427	1315
gene-b0428	24919
gene-b0429	23225
gene-b0430	66913
gene-b0431	140998
gene-b0432	53235
gene-b0433	2048
gene-b0434	4720
gene-b0435	1164
gene-b0436	34657
gene-b0437	10043
gene-b0438	19370
gene-b0439	32970
gene-b0440	6469
gene-b0441	5542
gene-b0442	289
gene-b0443	134
gene-b0444	969
gene-b0445	3141
gene-b0446	489
gene-b0447	482
gene-b0448	598
gene-b0449	523
gene-b0450	8
gene-b0451	246
gene-b0452	832
gene-b0453	274
gene-b0454	63
gene-b0455	22
gene-b0456	78
gene-b0457	1225
gene-b0458	5470
gene-b0459	1977
gene-b0460	935
gene-b0461	733
gene-b0462	14278
gene-b0463	7300
gene-b0464	1351
gene-b0465	5152
gene-b0466	257
gene-b0467	501
gene-b0468	526
gene-b0469	939
gene-b0470	5821
gene-b0471	5968
gene-b0472	4516
gene-b0473	47828
gene-b0474	2998
gene-b0475	310
gene-b0476	1017
gene-b0477	2195
gene-b0478	2698
gene-b0479	594
gene-b0480	1656
gene-b0481	632
gene-b4585	187
gene-b0482	336
gene-b0483	1514
gene-b0484	2594
gene-b0485	54
gene-b0486	138
gene-b0487	762
gene-b0488	1187
gene-b0489	753
gene-b0490	269
gene-b0491	550
gene-b0492	6639
gene-b0493	520
gene-b0494	965
gene-b0495	613
gene-b0496	369
gene-b0497	375
gene-b0498	175
gene-b0502	359
gene-b0503	660
gene-b0504	32
gene-b0505	125
gene-b0506	5182
gene-b0507	135
gene-b0508	55
gene-b0509	21
gene-b0511	7
gene-b0512	21
gene-b0513	65
gene-b0514	115
gene-b0515	188
gene-b0516	135
gene-b0517	62
gene-b0518	52
gene-b4572	60
gene-b0520	35
gene-b0521	70
gene-b0522	502
gene-b0523	119
gene-b0524	12503
gene-b0525	40854
gene-b0526	4906
gene-b0527	176
gene-b0528	669
gene-b0529	3362
gene-b0530	17
gene-b0531	10
gene-b0532	46
gene-b0533	24
gene-b0534	9
gene-b0535	33
gene-b0536	379
gene-b0537	1311
gene-b0540	12
gene-b0541	21
gene-b0543	1134
gene-b4733	329
gene-b0544	108
gene-b0545	197
gene-b0546	429
gene-b4588	76
gene-b0547	23
gene-b0548	3
gene-b0549	5
gene-b0550	9
gene-b4509	8
gene-b0551	46
gene-b0552	12433
gene-b0554	36
gene-b0555	110
gene-b0556	875
gene-b4510	310
gene-b0557	3261
gene-b0558	30
gene-b0559	78
gene-b4589	26
gene-b0560	20
gene-b0561	32
gene-b0563	27
gene-b0564	397
gene-b0565	48781
gene-b0566	181
gene-b0567	897
gene-b0568	1466
gene-b0569	844
gene-b0570	742
gene-b0571	496
gene-b0572	23
gene-b0573	7
gene-b0574	96
gene-b0575	142
gene-b0576	1034
gene-b0577	1374
gene-b0578	9517
gene-b0579	715
gene-b0580	148
gene-b0581	156
gene-b4700	12
gene-b4415	18
gene-b0582	115
