Geneid	1714__ROC_LEVO_N=2_library-read-1.fastq.gz
gene-b0001	146
gene-b0002	1455
gene-b0003	1768
gene-b0004	1322
gene-b0005	220
gene-b0006	977
gene-b0007	80
gene-b0008	39753
gene-b0009	3790
gene-b0010	763
gene-b0011	75
gene-b0012	45
gene-b0013	19
gene-b0014	101362
gene-b0015	8302
gene-b0016	519
gene-b4412	434
gene-b0018	448
gene-b4413	83
gene-b0019	2474
gene-b0020	768
gene-b0021	117
gene-b0022	171
gene-b0023	49619
gene-b0024	20684
gene-b0025	4659
gene-b0026	37507
gene-b0027	3712
gene-b0028	2475
gene-b0029	2312
gene-b0030	3663
gene-b0031	899
gene-b0032	1650
gene-b0033	4042
gene-b0034	64
gene-b0035	35
gene-b0036	15
gene-b0037	223
gene-b0038	274
gene-b0039	215
gene-b0040	62
gene-b0041	33
gene-b0042	19
gene-b0043	29
gene-b0044	0
gene-b0045	50
gene-b0046	373
gene-b0047	358
gene-b0048	2315
gene-b0049	1142
gene-b0050	3935
gene-b0051	4875
gene-b0052	2544
gene-b0053	27394
gene-b0054	21244
gene-b0055	1851
gene-b0056	1106
gene-b0057	518
gene-b0058	2143
gene-b0059	9372
gene-b0060	3409
gene-b0061	78
gene-b0062	196
gene-b0063	392
gene-b0064	3353
gene-b0065	1398
gene-b0066	419
gene-b0067	219
gene-b0068	366
gene-b0069	646
gene-b4577	131
gene-b4662	74
gene-b0070	672
gene-b0071	238
gene-b0072	284
gene-b0073	199
gene-b0074	211
gene-b0075	14
gene-b0076	71
gene-b4726	5
gene-b0077	483
gene-b0078	64
gene-b0080	2755
gene-b0081	2906
gene-b0082	11753
gene-b0083	4149
gene-b0084	2536
gene-b0085	5674
gene-b0086	5559
gene-b0087	2908
gene-b0088	4558
gene-b0089	1784
gene-b0090	3083
gene-b0091	3469
gene-b0092	4087
gene-b0093	6429
gene-b0094	10361
gene-b0095	24380
gene-b0096	21137
gene-b0097	3174
gene-b0098	21742
gene-b0099	931
gene-b0101	2870
gene-b0102	2473
gene-b0103	2025
gene-b4727	26
gene-b0104	7664
gene-b0106	735
gene-b0107	226
gene-b0108	17
gene-b0109	604
gene-b0110	210
gene-b0111	871
gene-b0112	995
gene-b0113	2415
gene-b0114	569604
gene-b0115	164001
gene-b0116	252346
gene-b0117	421
gene-b0118	59892
gene-b0119	766
gene-b0120	6005
gene-b0121	3950
gene-b0122	2353
gene-b0123	961
gene-b0124	576
gene-b0125	4002
gene-b0126	3907
gene-b0127	2214
gene-b0128	1793
gene-b0129	481
gene-b0130	865
gene-b0131	869
gene-b0132	1311
gene-b0133	6701
gene-b0134	738
gene-b0135	51
gene-b0136	44
gene-b0137	112
gene-b0138	58
gene-b0139	61
gene-b0140	11
gene-b0141	7
gene-b0142	966
gene-b0143	8978
gene-b0144	3058
gene-b0145	19204
gene-b0146	7919
gene-b0147	619
gene-b0148	5168
gene-b0149	3511
gene-b0150	11630
gene-b0151	2162
gene-b0152	896
gene-b0153	3552
gene-b0154	3512
gene-b0155	1717
gene-b4728	1884
gene-b0156	9746
gene-b0157	870
gene-b0158	856
gene-b0159	2793
gene-b0160	905
gene-b0161	10086
gene-b0162	2414
gene-b0163	1156
gene-b0164	228
gene-b0166	1071
gene-b0167	3525
gene-b0168	4545
gene-b4414	9176
gene-b0169	219867
gene-b0170	80071
gene-b0171	85819
gene-b0172	34556
gene-b0173	3033
gene-b0174	2605
gene-b0175	3424
gene-b0176	9240
gene-b0177	50116
gene-b0178	10745
gene-b0179	22552
gene-b0180	39309
gene-b0181	13918
gene-b0182	10000
gene-b0183	1677
gene-b0184	23709
gene-b0185	10540
gene-b0186	584
gene-b0187	350
gene-b0188	2669
gene-b0189	1384
gene-b4406	825
gene-b0190	341
gene-b0191	347
gene-b0192	756
gene-b0193	210
gene-b0194	38987
gene-b0195	1953
gene-b0196	1142
gene-b0197	1110
gene-b0198	131
gene-b0199	191
gene-b0200	606
gene-b0201	4414
gene-b0202	167
gene-b0203	462
gene-b0204	6962
gene-b0205	886
gene-b0206	855
gene-b0207	1065
gene-b0208	641
gene-b0209	1330
gene-b0210	606
gene-b0211	16071
gene-b0212	670
gene-b0213	776
gene-b0214	335
gene-b0215	4287
gene-b0216	161
gene-b0217	324
gene-b4586	93
gene-b0219	210
gene-b0220	287
gene-b0221	2407
gene-b0222	2138
gene-b0223	3921
gene-b0224	3846
gene-b0225	2436
gene-b0226	974
gene-b0227	55
gene-b0228	242
gene-b0231	3438
gene-b0232	941
gene-b0233	1704
gene-b0234	191
gene-b0237	6109
gene-b0238	13784
gene-b0239	5514
gene-b4710	1048
gene-b4709	5
gene-b0241	25
gene-b0242	2796
gene-b0243	1917
gene-b0244	195
gene-b0245	45
gene-b0246	92
gene-b4504	59
gene-b0247	86
gene-b0248	155
gene-b0249	426
gene-b0250	558
gene-b0251	104
gene-b0252	102
gene-b0253	470
gene-b0254	96
gene-b0256	519
gene-b4690	12
gene-b0258	225
gene-b0259	54
gene-b0260	106
gene-b0261	737
gene-b0262	173
gene-b0264	17
gene-b0265	105
gene-b0266	310
gene-b0267	33
gene-b0268	582
gene-b0269	637
gene-b0270	65
gene-b0271	205
gene-b0272	183
gene-b0273	129
gene-b4688	33
gene-b0274	38
gene-b0275	1
gene-b0276	320
gene-b0277	413
gene-b0278	208
gene-b0279	59
gene-b4729	211
gene-b0280	2798
gene-b0281	2294
gene-b0282	48
gene-b0283	155
gene-b0284	148
gene-b0285	68
gene-b0286	20
gene-b0287	325
gene-b0288	547
gene-b0289	123
gene-b0290	330
gene-b0291	172
gene-b0292	11
gene-b0293	65
gene-b0294	28
gene-b0295	255
gene-b4506	345
gene-b0296	347
gene-b4671	11
gene-b0298	9
gene-b0299	40
gene-b0301	20
gene-b0303	22
gene-b0304	98
gene-b0305	48
gene-b0306	3149
gene-b0307	9225
gene-b0308	6140
gene-b0310	208
gene-b0311	3283
gene-b0312	3598
gene-b0313	696
gene-b0314	1726
gene-b4730	27
