Geneid	1714__ROC_MMC_library-read-1.fastq.gz
gene-b0001	70
gene-b0002	1214
gene-b0003	901
gene-b0004	935
gene-b0005	322
gene-b0006	409
gene-b0007	301
gene-b0008	20558
gene-b0009	1794
gene-b0010	1152
gene-b0011	623
gene-b0012	511
gene-b0013	94
gene-b0014	31664
gene-b0015	3108
gene-b0016	196
gene-b4412	335
gene-b0018	362
gene-b4413	51
gene-b0019	47294
gene-b0020	5309
gene-b0021	223
gene-b0022	232
gene-b0023	15553
gene-b0024	3680
gene-b0025	2340
gene-b0026	12218
gene-b0027	1242
gene-b0028	1507
gene-b0029	1683
gene-b0030	519
gene-b0031	641
gene-b0032	1005
gene-b0033	2906
gene-b0034	239
gene-b0035	553
gene-b0036	694
gene-b0037	1593
gene-b0038	2075
gene-b0039	1239
gene-b0040	426
gene-b0041	675
gene-b0042	922
gene-b0043	848
gene-b0044	123
gene-b0045	1387
gene-b0046	474
gene-b0047	915
gene-b0048	1819
gene-b0049	1756
gene-b0050	3133
gene-b0051	4489
gene-b0052	684
gene-b0053	3634
gene-b0054	5097
gene-b0055	900
gene-b0056	1477
gene-b0057	780
gene-b0058	2352
gene-b0059	25690
gene-b0060	4771
gene-b0061	371
gene-b0062	932
gene-b0063	702
gene-b0064	1203
gene-b0065	1363
gene-b0066	744
gene-b0067	702
gene-b0068	668
gene-b0069	1152
gene-b4577	224
gene-b4662	121
gene-b0070	623
gene-b0071	709
gene-b0072	1101
gene-b0073	1040
gene-b0074	557
gene-b0075	38
gene-b0076	660
gene-b4726	13
gene-b0077	573
gene-b0078	114
gene-b0080	1067
gene-b0081	2890
gene-b0082	3448
gene-b0083	855
gene-b0084	911
gene-b0085	1323
gene-b0086	1233
gene-b0087	749
gene-b0088	1570
gene-b0089	963
gene-b0090	1440
gene-b0091	1618
gene-b0092	1888
gene-b0093	2546
gene-b0094	4423
gene-b0095	9789
gene-b0096	133508
gene-b0097	5967
gene-b0098	16504
gene-b0099	404
gene-b0101	927
gene-b0102	1954
gene-b0103	1170
gene-b4727	66
gene-b0104	3461
gene-b0106	861
gene-b0107	679
gene-b0108	118
gene-b0109	528
gene-b0110	73
gene-b0111	406
gene-b0112	1399
gene-b0113	1514
gene-b0114	34529
gene-b0115	9976
gene-b0116	24351
gene-b0117	739
gene-b0118	9894
gene-b0119	1502
gene-b0120	16495
gene-b0121	13001
gene-b0122	1389
gene-b0123	2171
gene-b0124	2091
gene-b0125	3334
gene-b0126	1839
gene-b0127	2622
gene-b0128	1438
gene-b0129	805
gene-b0130	1152
gene-b0131	684
gene-b0132	900
gene-b0133	2884
gene-b0134	1215
gene-b0135	1445
gene-b0136	835
gene-b0137	848
gene-b0138	648
gene-b0139	2397
gene-b0140	588
gene-b0141	267
gene-b0142	522
gene-b0143	4419
gene-b0144	930
gene-b0145	2287
gene-b0146	2706
gene-b0147	315
gene-b0148	4719
gene-b0149	3491
gene-b0150	5078
gene-b0151	1052
gene-b0152	621
gene-b0153	2351
gene-b0154	2710
gene-b0155	1760
gene-b4728	2809
gene-b0156	18043
gene-b0157	1361
gene-b0158	1321
gene-b0159	7546
gene-b0160	1124
gene-b0161	18401
gene-b0162	1719
gene-b0163	635
gene-b0164	320
gene-b0166	897
gene-b0167	1750
gene-b0168	2039
gene-b4414	4361
gene-b0169	157091
gene-b0170	66630
gene-b0171	15308
gene-b0172	6817
gene-b0173	1605
gene-b0174	1219
gene-b0175	1309
gene-b0176	2582
gene-b0177	9562
gene-b0178	2301
gene-b0179	5043
gene-b0180	10392
gene-b0181	7689
gene-b0182	4820
gene-b0183	1168
gene-b0184	9397
gene-b0185	5970
gene-b0186	1164
gene-b0187	477
gene-b0188	1620
gene-b0189	651
gene-b4406	517
gene-b0190	415
gene-b0191	370
gene-b0192	563
gene-b0193	435
gene-b0194	14445
gene-b0195	839
gene-b0196	568
gene-b0197	831
gene-b0198	240
gene-b0199	357
gene-b0200	408
gene-b0201	69186
gene-b0202	43
gene-b0203	239
gene-b0204	114609
gene-b0205	94
gene-b0206	127
gene-b0207	560
gene-b0208	893
gene-b0209	867
gene-b0210	775
gene-b0211	26257
gene-b0212	1048
gene-b0213	759
gene-b0214	545
gene-b0215	2189
gene-b0216	163
gene-b0217	903
gene-b4586	546
gene-b0219	231
gene-b0220	239
gene-b0221	1437
gene-b0222	967
gene-b0223	1995
gene-b0224	5567
gene-b0225	10901
gene-b0226	2921
gene-b0227	375
gene-b0228	506
gene-b0231	4859
gene-b0232	1005
gene-b0233	1049
gene-b0234	396
gene-b0237	2646
gene-b0238	3201
gene-b0239	2124
gene-b4710	379
gene-b4709	26
gene-b0241	392
