Geneid	1714__ROC_MMC_N=2_library-read-1.fastq.gz
gene-b0001	74
gene-b0002	1281
gene-b0003	1072
gene-b0004	898
gene-b0005	140
gene-b0006	355
gene-b0007	351
gene-b0008	22237
gene-b0009	1645
gene-b0010	1506
gene-b0011	466
gene-b0012	382
gene-b0013	298
gene-b0014	35002
gene-b0015	3195
gene-b0016	137
gene-b4412	309
gene-b0018	345
gene-b4413	90
gene-b0019	54624
gene-b0020	6805
gene-b0021	216
gene-b0022	279
gene-b0023	22654
gene-b0024	4192
gene-b0025	2581
gene-b0026	13998
gene-b0027	1523
gene-b0028	1580
gene-b0029	2667
gene-b0030	581
gene-b0031	507
gene-b0032	1208
gene-b0033	3249
gene-b0034	307
gene-b0035	546
gene-b0036	681
gene-b0037	1829
gene-b0038	1942
gene-b0039	1550
gene-b0040	532
gene-b0041	632
gene-b0042	990
gene-b0043	788
gene-b0044	194
gene-b0045	1536
gene-b0046	365
gene-b0047	1051
gene-b0048	1757
gene-b0049	2198
gene-b0050	3435
gene-b0051	5780
gene-b0052	1077
gene-b0053	3835
gene-b0054	5399
gene-b0055	901
gene-b0056	1319
gene-b0057	600
gene-b0058	3633
gene-b0059	34265
gene-b0060	6750
gene-b0061	436
gene-b0062	980
gene-b0063	806
gene-b0064	929
gene-b0065	1480
gene-b0066	769
gene-b0067	828
gene-b0068	916
gene-b0069	1037
gene-b4577	273
gene-b4662	195
gene-b0070	488
gene-b0071	736
gene-b0072	1417
gene-b0073	709
gene-b0074	752
gene-b0075	18
gene-b0076	805
gene-b4726	35
gene-b0077	659
gene-b0078	192
gene-b0080	926
gene-b0081	2965
gene-b0082	3325
gene-b0083	939
gene-b0084	970
gene-b0085	1801
gene-b0086	1400
gene-b0087	890
gene-b0088	1588
gene-b0089	1272
gene-b0090	1276
gene-b0091	1846
gene-b0092	1897
gene-b0093	2709
gene-b0094	4266
gene-b0095	10069
gene-b0096	176283
gene-b0097	6151
gene-b0098	19876
gene-b0099	523
gene-b0101	1039
gene-b0102	2024
gene-b0103	1392
gene-b4727	37
gene-b0104	3176
gene-b0106	819
gene-b0107	785
gene-b0108	117
gene-b0109	427
gene-b0110	115
gene-b0111	489
gene-b0112	1193
gene-b0113	2221
gene-b0114	42104
gene-b0115	11808
gene-b0116	25156
gene-b0117	814
gene-b0118	6270
gene-b0119	1553
gene-b0120	19523
gene-b0121	15650
gene-b0122	1367
gene-b0123	1813
gene-b0124	2004
gene-b0125	4213
gene-b0126	2177
gene-b0127	3095
gene-b0128	2180
gene-b0129	583
gene-b0130	889
gene-b0131	840
gene-b0132	673
gene-b0133	2879
gene-b0134	1513
gene-b0135	1331
gene-b0136	667
gene-b0137	990
gene-b0138	781
gene-b0139	2201
gene-b0140	554
gene-b0141	252
gene-b0142	346
gene-b0143	4653
gene-b0144	672
gene-b0145	1629
gene-b0146	2238
gene-b0147	339
gene-b0148	5276
gene-b0149	4202
gene-b0150	5585
gene-b0151	1166
gene-b0152	678
gene-b0153	2516
gene-b0154	4195
gene-b0155	1639
gene-b4728	2561
gene-b0156	16669
gene-b0157	1469
gene-b0158	1524
gene-b0159	8805
gene-b0160	1116
gene-b0161	20779
gene-b0162	1922
gene-b0163	472
gene-b0164	407
gene-b0166	1022
gene-b0167	2270
gene-b0168	2321
gene-b4414	5109
gene-b0169	145144
gene-b0170	90925
gene-b0171	14544
gene-b0172	8031
gene-b0173	2251
gene-b0174	1277
gene-b0175	1461
gene-b0176	3221
gene-b0177	9539
gene-b0178	2650
gene-b0179	4819
gene-b0180	12268
gene-b0181	9472
gene-b0182	5253
gene-b0183	1563
gene-b0184	11696
gene-b0185	7077
gene-b0186	1122
gene-b0187	463
gene-b0188	1939
gene-b0189	436
gene-b4406	384
gene-b0190	623
gene-b0191	727
gene-b0192	693
gene-b0193	251
gene-b0194	15172
gene-b0195	614
gene-b0196	546
gene-b0197	933
gene-b0198	214
gene-b0199	473
gene-b0200	341
gene-b0201	84428
