Geneid	1714__ROC_MOXI_library-read-1.fastq.gz
gene-b0001	325
gene-b0002	2914
gene-b0003	3243
gene-b0004	2687
gene-b0005	204
gene-b0006	1601
gene-b0007	134
gene-b0008	83299
gene-b0009	5024
gene-b0010	896
gene-b0011	95
gene-b0012	59
gene-b0013	38
gene-b0014	138334
gene-b0015	12268
gene-b0016	749
gene-b4412	391
gene-b0018	428
gene-b4413	103
gene-b0019	3185
gene-b0020	1274
gene-b0021	123
gene-b0022	189
gene-b0023	37404
gene-b0024	11397
gene-b0025	7108
gene-b0026	56782
gene-b0027	6508
gene-b0028	3213
gene-b0029	3335
gene-b0030	4999
gene-b0031	1606
gene-b0032	1905
gene-b0033	4368
gene-b0034	94
gene-b0035	49
gene-b0036	69
gene-b0037	342
gene-b0038	485
gene-b0039	435
gene-b0040	49
gene-b0041	64
gene-b0042	73
gene-b0043	20
gene-b0044	9
gene-b0045	100
gene-b0046	604
gene-b0047	618
gene-b0048	2735
gene-b0049	1835
gene-b0050	4346
gene-b0051	6187
gene-b0052	3963
gene-b0053	36968
gene-b0054	33618
gene-b0055	2512
gene-b0056	1408
gene-b0057	675
gene-b0058	1640
gene-b0059	10016
gene-b0060	4574
gene-b0061	185
gene-b0062	558
gene-b0063	540
gene-b0064	6231
gene-b0065	2129
gene-b0066	496
gene-b0067	333
gene-b0068	507
gene-b0069	920
gene-b4577	184
gene-b4662	110
gene-b0070	1016
gene-b0071	450
gene-b0072	579
gene-b0073	371
gene-b0074	320
gene-b0075	30
gene-b0076	88
gene-b4726	5
gene-b0077	915
gene-b0078	106
gene-b0080	4814
gene-b0081	4911
gene-b0082	16841
gene-b0083	6194
gene-b0084	3802
gene-b0085	7445
gene-b0086	7369
gene-b0087	3315
gene-b0088	5349
gene-b0089	2232
gene-b0090	3390
gene-b0091	4411
gene-b0092	4907
gene-b0093	6956
gene-b0094	13190
gene-b0095	35764
gene-b0096	34102
gene-b0097	4719
gene-b0098	36013
gene-b0099	1042
gene-b0101	2911
gene-b0102	3058
gene-b0103	2145
gene-b4727	35
gene-b0104	10341
gene-b0106	788
gene-b0107	325
gene-b0108	23
gene-b0109	1078
gene-b0110	554
gene-b0111	1472
gene-b0112	944
gene-b0113	4155
gene-b0114	395089
gene-b0115	122809
gene-b0116	173935
gene-b0117	264
gene-b0118	114761
gene-b0119	1258
gene-b0120	6328
gene-b0121	4656
gene-b0122	2176
gene-b0123	1210
gene-b0124	617
gene-b0125	4520
gene-b0126	5021
gene-b0127	3010
gene-b0128	2135
gene-b0129	760
gene-b0130	953
gene-b0131	1287
gene-b0132	1507
gene-b0133	9576
gene-b0134	1208
gene-b0135	118
gene-b0136	60
gene-b0137	130
gene-b0138	51
gene-b0139	86
gene-b0140	61
gene-b0141	25
gene-b0142	1314
gene-b0143	11141
gene-b0144	4018
gene-b0145	24133
gene-b0146	10842
gene-b0147	719
gene-b0148	6951
gene-b0149	5059
gene-b0150	11272
gene-b0151	2104
gene-b0152	755
gene-b0153	2971
gene-b0154	5547
gene-b0155	2017
gene-b4728	2513
gene-b0156	13145
gene-b0157	929
gene-b0158	1117
gene-b0159	4143
gene-b0160	1446
gene-b0161	17340
gene-b0162	3353
gene-b0163	1599
gene-b0164	410
gene-b0166	2827
gene-b0167	4509
gene-b0168	5618
gene-b4414	7862
gene-b0169	212438
gene-b0170	91235
gene-b0171	70976
gene-b0172	33417
gene-b0173	3395
gene-b0174	5069
gene-b0175	5151
gene-b0176	13379
gene-b0177	75653
gene-b0178	18169
gene-b0179	32958
gene-b0180	33719
gene-b0181	17649
gene-b0182	12823
gene-b0183	1959
gene-b0184	23139
gene-b0185	14374
gene-b0186	796
gene-b0187	502
gene-b0188	2971
gene-b0189	2616
gene-b4406	1396
gene-b0190	576
gene-b0191	569
gene-b0192	885
gene-b0193	228
gene-b0194	48880
gene-b0195	2603
gene-b0196	2026
gene-b0197	2049
gene-b0198	298
gene-b0199	328
gene-b0200	1001
gene-b0201	8240
gene-b0202	39
gene-b0203	434
gene-b0204	10907
gene-b0205	456
gene-b0206	554
gene-b0207	1367
gene-b0208	1031
gene-b0209	1625
gene-b0210	840
gene-b0211	23809
gene-b0212	1273
gene-b0213	1019
gene-b0214	521
gene-b0215	4895
gene-b0216	163
gene-b0217	373
gene-b4586	91
gene-b0219	387
gene-b0220	585
gene-b0221	5596
gene-b0222	3766
gene-b0223	5660
gene-b0224	5422
gene-b0225	2442
gene-b0226	1020
gene-b0227	72
gene-b0228	558
gene-b0231	4122
gene-b0232	1273
gene-b0233	1736
gene-b0234	193
gene-b0237	11051
gene-b0238	13426
gene-b0239	5249
gene-b4710	1698
gene-b4709	11
gene-b0241	50
gene-b0242	4747
gene-b0243	3956
gene-b0244	268
gene-b0245	134
gene-b0246	149
gene-b4504	74
gene-b0247	127
gene-b0248	217
gene-b0249	521
gene-b0250	754
gene-b0251	94
gene-b0252	157
gene-b0253	561
gene-b0254	177
gene-b0256	766
gene-b4690	47
gene-b0258	356
gene-b0259	72
gene-b0260	142
gene-b0261	1025
gene-b0262	221
gene-b0264	4
gene-b0265	182
gene-b0266	522
gene-b0267	26
gene-b0268	1016
gene-b0269	1230
gene-b0270	132
gene-b0271	299
gene-b0272	229
gene-b0273	211
gene-b4688	70
gene-b0274	69
gene-b0275	3
gene-b0276	384
gene-b0277	637
gene-b0278	361
gene-b0279	103
gene-b4729	509
gene-b0280	5245
gene-b0281	3203
gene-b0282	57
gene-b0283	104
gene-b0284	146
gene-b0285	60
gene-b0286	33
gene-b0287	607
gene-b0288	879
gene-b0289	189
gene-b0290	499
gene-b0291	196
gene-b0292	27
gene-b0293	106
gene-b0294	30
gene-b0295	291
gene-b4506	459
gene-b0296	548
gene-b4671	16
gene-b0298	9
gene-b0299	46
gene-b0301	36
gene-b0303	58
gene-b0304	162
gene-b0305	107
gene-b0306	4197
gene-b0307	10845
gene-b0308	5867
gene-b0310	272
gene-b0311	4720
gene-b0312	5318
gene-b0313	1292
gene-b0314	3459
gene-b4730	22
gene-b0315	2036
gene-b0316	555
gene-b0317	31
gene-b0318	35
gene-b0319	96
gene-b0320	64
gene-b0321	46
gene-b0322	56
gene-b0323	63
gene-b0324	2068
gene-b0325	1132
gene-b0326	21
gene-b0327	91
gene-b0328	143
gene-b0329	270
gene-b0330	193
gene-b0331	22805
gene-b0333	10252
gene-b0334	5435
gene-b0335	3549
gene-b0336	716
gene-b0337	1767
gene-b0338	564
gene-b0339	118
gene-b0340	202
gene-b0341	157
gene-b0342	107
gene-b0343	652
gene-b0344	2009
gene-b0345	1399
gene-b0346	3471
gene-b0347	69
gene-b0348	33
gene-b0349	77
gene-b0350	57
gene-b0351	320
gene-b0352	144
gene-b0353	181
gene-b0354	1776
gene-b0355	2902
gene-b0356	3382
gene-b0357	696
gene-b0358	38
gene-b0360	11
gene-b0361	14
gene-b0363	65
gene-b4731	4
gene-b0364	16
gene-b0365	39
gene-b0366	58
gene-b0367	81
gene-b0368	305
gene-b0369	8579
gene-b0372	127
gene-b0373	69
gene-b0375	274
gene-b0376	1169
gene-b0377	903
gene-b0378	864
gene-b0379	114
gene-b0380	12551
gene-b0381	11809
gene-b0382	809
gene-b0383	682
gene-b0384	223
gene-b0385	653
gene-b0386	1496
gene-b0387	437
gene-b0388	902
gene-b0389	929
gene-b0390	876
gene-b0391	2091
gene-b4732	338
gene-b0393	9631
