Geneid	1714__ROC_MOXI_N=3_library-read-1.fastq.gz
gene-b0001	269
gene-b0002	2015
gene-b0003	2462
gene-b0004	2084
gene-b0005	204
gene-b0006	1045
gene-b0007	86
gene-b0008	70025
gene-b0009	3073
gene-b0010	803
gene-b0011	68
gene-b0012	51
gene-b0013	24
gene-b0014	122881
gene-b0015	9451
gene-b0016	519
gene-b4412	279
gene-b0018	304
gene-b4413	82
gene-b0019	2327
gene-b0020	1014
gene-b0021	63
gene-b0022	158
gene-b0023	25051
gene-b0024	8025
gene-b0025	5149
gene-b0026	38792
gene-b0027	3490
gene-b0028	1886
gene-b0029	2126
gene-b0030	3216
gene-b0031	1048
gene-b0032	943
gene-b0033	2725
gene-b0034	48
gene-b0035	25
gene-b0036	42
gene-b0037	248
gene-b0038	302
gene-b0039	163
gene-b0040	28
gene-b0041	39
gene-b0042	27
gene-b0043	47
gene-b0044	15
gene-b0045	90
gene-b0046	331
gene-b0047	323
gene-b0048	1979
gene-b0049	1669
gene-b0050	3448
gene-b0051	5247
gene-b0052	3353
gene-b0053	24020
gene-b0054	20768
gene-b0055	1157
gene-b0056	677
gene-b0057	293
gene-b0058	1443
gene-b0059	9175
gene-b0060	4561
gene-b0061	88
gene-b0062	472
gene-b0063	446
gene-b0064	2872
gene-b0065	1620
gene-b0066	349
gene-b0067	195
gene-b0068	343
gene-b0069	429
gene-b4577	71
gene-b4662	40
gene-b0070	621
gene-b0071	330
gene-b0072	468
gene-b0073	280
gene-b0074	268
gene-b0075	25
gene-b0076	72
gene-b4726	1
gene-b0077	939
gene-b0078	127
gene-b0080	3931
gene-b0081	3509
gene-b0082	9714
gene-b0083	4036
gene-b0084	2765
gene-b0085	5866
gene-b0086	5501
gene-b0087	2620
gene-b0088	4508
gene-b0089	1895
gene-b0090	2568
gene-b0091	4284
gene-b0092	3979
gene-b0093	4972
gene-b0094	9994
gene-b0095	25191
gene-b0096	26605
gene-b0097	3629
gene-b0098	27645
gene-b0099	806
gene-b0101	2060
gene-b0102	2232
gene-b0103	1543
gene-b4727	35
gene-b0104	3933
gene-b0106	447
gene-b0107	243
gene-b0108	6
gene-b0109	902
gene-b0110	360
gene-b0111	1208
gene-b0112	751
gene-b0113	2098
gene-b0114	328234
gene-b0115	134362
gene-b0116	143893
gene-b0117	247
gene-b0118	75877
gene-b0119	913
gene-b0120	5370
gene-b0121	3501
gene-b0122	1951
gene-b0123	649
gene-b0124	517
gene-b0125	3546
gene-b0126	3893
gene-b0127	2241
gene-b0128	1872
gene-b0129	735
gene-b0130	765
gene-b0131	794
gene-b0132	1013
gene-b0133	6645
gene-b0134	1021
gene-b0135	52
gene-b0136	41
gene-b0137	49
gene-b0138	24
gene-b0139	73
gene-b0140	44
gene-b0141	13
gene-b0142	909
gene-b0143	8036
gene-b0144	2832
gene-b0145	13270
gene-b0146	8380
gene-b0147	555
gene-b0148	5213
gene-b0149	4625
gene-b0150	11197
gene-b0151	2465
gene-b0152	1159
gene-b0153	3069
gene-b0154	3894
gene-b0155	1538
gene-b4728	1314
gene-b0156	6730
gene-b0157	662
gene-b0158	927
gene-b0159	3016
gene-b0160	878
gene-b0161	11632
gene-b0162	1993
gene-b0163	1018
gene-b0164	282
gene-b0166	2069
gene-b0167	4560
gene-b0168	5143
gene-b4414	4844
gene-b0169	145958
gene-b0170	88416
gene-b0171	50432
gene-b0172	21074
gene-b0173	2725
gene-b0174	3908
gene-b0175	3913
gene-b0176	9644
gene-b0177	48967
gene-b0178	10662
gene-b0179	19886
gene-b0180	23089
gene-b0181	11816
gene-b0182	9131
gene-b0183	1896
gene-b0184	18129
gene-b0185	12854
gene-b0186	598
gene-b0187	315
gene-b0188	2100
gene-b0189	1339
gene-b4406	758
gene-b0190	391
gene-b0191	450
gene-b0192	857
gene-b0193	264
gene-b0194	31788
gene-b0195	1606
gene-b0196	1151
gene-b0197	1071
gene-b0198	136
gene-b0199	187
gene-b0200	550
gene-b0201	7589
gene-b0202	55
gene-b0203	234
