Geneid	1714__ROC_-_library-read-1.fastq.gz
gene-b0001	267
gene-b0002	2228
gene-b0003	3135
gene-b0004	2317
gene-b0005	204
gene-b0006	955
gene-b0007	84
gene-b0008	45764
gene-b0009	2517
gene-b0010	512
gene-b0011	43
gene-b0012	27
gene-b0013	19
gene-b0014	165047
gene-b0015	11043
gene-b0016	627
gene-b4412	277
gene-b0018	284
gene-b4413	59
gene-b0019	1360
gene-b0020	755
gene-b0021	80
gene-b0022	95
gene-b0023	19364
gene-b0024	6009
gene-b0025	4246
gene-b0026	42233
gene-b0027	4514
gene-b0028	2264
gene-b0029	2446
gene-b0030	3743
gene-b0031	945
gene-b0032	1790
gene-b0033	5905
gene-b0034	80
gene-b0035	51
gene-b0036	65
gene-b0037	181
gene-b0038	288
gene-b0039	315
gene-b0040	33
gene-b0041	21
gene-b0042	27
gene-b0043	31
gene-b0044	7
gene-b0045	87
gene-b0046	479
gene-b0047	458
gene-b0048	1537
gene-b0049	1199
gene-b0050	3076
gene-b0051	3913
gene-b0052	2959
gene-b0053	30973
gene-b0054	23130
gene-b0055	1526
gene-b0056	989
gene-b0057	497
gene-b0058	343
gene-b0059	1849
gene-b0060	1005
gene-b0061	233
gene-b0062	719
gene-b0063	639
gene-b0064	4263
gene-b0065	1338
gene-b0066	345
gene-b0067	199
gene-b0068	342
gene-b0069	470
gene-b4577	84
gene-b4662	45
gene-b0070	675
gene-b0071	372
gene-b0072	456
gene-b0073	223
gene-b0074	199
gene-b0075	10
gene-b0076	118
gene-b4726	2
gene-b0077	1004
gene-b0078	107
gene-b0080	3816
gene-b0081	3204
gene-b0082	13307
gene-b0083	4649
gene-b0084	2713
gene-b0085	6795
gene-b0086	6155
gene-b0087	3013
gene-b0088	4865
gene-b0089	1831
gene-b0090	3201
gene-b0091	4295
gene-b0092	5154
gene-b0093	7846
gene-b0094	14271
gene-b0095	39180
gene-b0096	23474
gene-b0097	2403
gene-b0098	25520
gene-b0099	892
