Geneid	1714__ROC_-_N=2_library-read-1.fastq.gz
gene-b0001	425
gene-b0002	2024
gene-b0003	2729
gene-b0004	2098
gene-b0005	174
gene-b0006	1240
gene-b0007	145
gene-b0008	61795
gene-b0009	3156
gene-b0010	840
gene-b0011	46
gene-b0012	33
gene-b0013	25
gene-b0014	174666
gene-b0015	12306
gene-b0016	606
gene-b4412	328
gene-b0018	352
gene-b4413	107
gene-b0019	1864
gene-b0020	972
gene-b0021	68
gene-b0022	121
gene-b0023	28581
gene-b0024	8793
gene-b0025	5780
gene-b0026	47312
gene-b0027	5014
gene-b0028	2221
gene-b0029	3350
gene-b0030	3749
gene-b0031	1235
gene-b0032	1858
gene-b0033	6804
gene-b0034	70
gene-b0035	33
gene-b0036	22
gene-b0037	179
gene-b0038	220
gene-b0039	289
gene-b0040	33
gene-b0041	58
gene-b0042	36
gene-b0043	27
gene-b0044	11
gene-b0045	77
gene-b0046	420
gene-b0047	413
gene-b0048	2573
gene-b0049	1814
gene-b0050	3647
gene-b0051	5462
gene-b0052	3851
gene-b0053	27839
gene-b0054	24353
gene-b0055	1269
gene-b0056	773
gene-b0057	368
gene-b0058	676
gene-b0059	3269
gene-b0060	1628
gene-b0061	85
gene-b0062	487
gene-b0063	504
gene-b0064	2928
gene-b0065	1854
gene-b0066	487
gene-b0067	194
gene-b0068	254
gene-b0069	556
gene-b4577	96
gene-b4662	54
gene-b0070	649
gene-b0071	237
gene-b0072	344
gene-b0073	191
gene-b0074	214
gene-b0075	15
gene-b0076	66
gene-b4726	3
gene-b0077	1004
gene-b0078	151
gene-b0080	5133
gene-b0081	3723
gene-b0082	10880
gene-b0083	4526
gene-b0084	3010
gene-b0085	7178
gene-b0086	7332
gene-b0087	3521
gene-b0088	6611
gene-b0089	2696
gene-b0090	3826
gene-b0091	6908
gene-b0092	6189
gene-b0093	7700
gene-b0094	15539
gene-b0095	43128
gene-b0096	27324
gene-b0097	3193
gene-b0098	24721
gene-b0099	665
gene-b0101	2142
gene-b0102	2531
gene-b0103	1391
gene-b4727	11
gene-b0104	5190
gene-b0106	666
gene-b0107	268
gene-b0108	11
gene-b0109	1149
gene-b0110	343
gene-b0111	966
gene-b0112	872
gene-b0113	2697
gene-b0114	562508
gene-b0115	235723
gene-b0116	289702
gene-b0117	267
gene-b0118	101627
gene-b0119	910
gene-b0120	3656
gene-b0121	2578
gene-b0122	2156
gene-b0123	939
gene-b0124	685
gene-b0125	3912
gene-b0126	5332
gene-b0127	1521
gene-b0128	1351
gene-b0129	661
gene-b0130	907
gene-b0131	1066
gene-b0132	1109
gene-b0133	7446
gene-b0134	1124
gene-b0135	49
gene-b0136	21
gene-b0137	49
gene-b0138	12
gene-b0139	30
gene-b0140	18
gene-b0141	5
gene-b0142	916
gene-b0143	6638
gene-b0144	2118
gene-b0145	8573
gene-b0146	8627
gene-b0147	636
gene-b0148	5306
gene-b0149	3739
gene-b0150	8225
gene-b0151	1831
gene-b0152	836
gene-b0153	2846
gene-b0154	4068
gene-b0155	1733
gene-b4728	1519
gene-b0156	6874
gene-b0157	719
gene-b0158	1110
gene-b0159	3538
gene-b0160	901
gene-b0161	18321
gene-b0162	2942
gene-b0163	1184
gene-b0164	346
gene-b0166	2908
gene-b0167	5472
gene-b0168	7675
gene-b4414	6801
gene-b0169	189516
gene-b0170	119477
gene-b0171	74155
gene-b0172	29538
gene-b0173	3052
gene-b0174	3611
gene-b0175	3779
gene-b0176	12123
gene-b0177	59189
gene-b0178	14553
gene-b0179	22836
gene-b0180	21767
gene-b0181	11460
gene-b0182	7816
gene-b0183	1741
gene-b0184	19307
gene-b0185	14200
gene-b0186	716
gene-b0187	438
gene-b0188	2871
gene-b0189	1331
gene-b4406	656
gene-b0190	504
gene-b0191	457
gene-b0192	789
gene-b0193	245
gene-b0194	33837
gene-b0195	1387
gene-b0196	1160
gene-b0197	1443
gene-b0198	178
gene-b0199	197
gene-b0200	892
gene-b0201	7862
gene-b0202	35
gene-b0203	180
gene-b0204	12517
gene-b0205	870
gene-b0206	1109
gene-b0207	1137
gene-b0208	791
gene-b0209	2000
gene-b0210	700
gene-b0211	10605
gene-b0212	716
gene-b0213	809
gene-b0214	390
gene-b0215	2868
gene-b0216	178
gene-b0217	47
gene-b4586	35
gene-b0219	244
gene-b0220	312
gene-b0221	3116
gene-b0222	2737
gene-b0223	4039
gene-b0224	2263
gene-b0225	2118
gene-b0226	852
gene-b0227	64
gene-b0228	352
gene-b0231	579
gene-b0232	226
gene-b0233	285
gene-b0234	54
gene-b0237	9921
gene-b0238	6767
gene-b0239	4116
gene-b4710	1397
gene-b4709	12
gene-b0241	26
gene-b0242	5179
gene-b0243	3616
gene-b0244	207
gene-b0245	37
gene-b0246	54
gene-b4504	33
gene-b0247	89
gene-b0248	134
gene-b0249	264
gene-b0250	415
gene-b0251	76
gene-b0252	60
gene-b0253	514
gene-b0254	68
gene-b0256	592
gene-b4690	14
gene-b0258	205
gene-b0259	56
gene-b0260	130
gene-b0261	1085
gene-b0262	208
gene-b0264	7
gene-b0265	123
gene-b0266	331
gene-b0267	22
gene-b0268	1113
gene-b0269	1566
gene-b0270	180
gene-b0271	307
gene-b0272	193
gene-b0273	93
gene-b4688	34
gene-b0274	50
gene-b0275	0
gene-b0276	321
gene-b0277	287
gene-b0278	127
gene-b0279	30
gene-b4729	332
gene-b0280	3266
gene-b0281	1932
gene-b0282	74
gene-b0283	121
gene-b0284	187
gene-b0285	54
gene-b0286	23
gene-b0287	468
gene-b0288	183
gene-b0289	122
gene-b0290	327
gene-b0291	136
gene-b0292	25
gene-b0293	67
gene-b0294	18
gene-b0295	229
gene-b4506	365
gene-b0296	385
gene-b4671	50
gene-b0298	22
gene-b0299	46
gene-b0301	11
