Geneid	1714__30min_LEVO_library-read-1.fastq.gz
gene-b0001	474
gene-b0002	357
gene-b0003	936
gene-b0004	551
gene-b0005	8
gene-b0006	42
gene-b0007	52
gene-b0008	7287
gene-b0009	91
gene-b0010	348
gene-b0011	224
gene-b0012	184
gene-b0013	0
gene-b0014	129541
gene-b0015	4855
gene-b0016	67
gene-b4412	561
gene-b0018	608
gene-b4413	249
gene-b0019	5365
gene-b0020	200
gene-b0021	0
gene-b0022	0
gene-b0023	114
gene-b0024	252
gene-b0025	545
gene-b0026	4656
gene-b0027	1247
gene-b0028	203
gene-b0029	271
gene-b0030	42
gene-b0031	327
gene-b0032	3
gene-b0033	89
gene-b0034	178
gene-b0035	36
gene-b0036	0
gene-b0037	197
gene-b0038	87
gene-b0039	208
gene-b0040	0
gene-b0041	2
gene-b0042	0
gene-b0043	3
gene-b0044	14
gene-b0045	16
gene-b0046	55
gene-b0047	155
gene-b0048	1674
gene-b0049	224
gene-b0050	1116
gene-b0051	1441
gene-b0052	127
gene-b0053	1964
gene-b0054	3366
gene-b0055	64
gene-b0056	592
gene-b0057	363
gene-b0058	674
gene-b0059	1740
gene-b0060	346
gene-b0061	332
gene-b0062	1393
gene-b0063	2032
gene-b0064	1188
gene-b0065	3077
gene-b0066	884
gene-b0067	6
gene-b0068	55
gene-b0069	136
gene-b4577	92
gene-b4662	55
gene-b0070	365
gene-b0071	443
gene-b0072	159
gene-b0073	108
gene-b0074	206
gene-b0075	0
gene-b0076	209
gene-b4726	0
gene-b0077	47
gene-b0078	195
gene-b0080	1590
gene-b0081	1957
gene-b0082	7299
gene-b0083	2789
gene-b0084	267
gene-b0085	146
gene-b0086	77
gene-b0087	63
gene-b0088	51
gene-b0089	188
gene-b0090	294
gene-b0091	229
gene-b0092	1037
gene-b0093	2213
gene-b0094	3461
gene-b0095	8841
gene-b0096	155750
gene-b0097	776
gene-b0098	2430
gene-b0099	1
gene-b0101	48
gene-b0102	239
gene-b0103	233
gene-b4727	0
gene-b0104	138
gene-b0106	14
gene-b0107	24
gene-b0108	0
gene-b0109	45
gene-b0110	131
gene-b0111	454
gene-b0112	795
gene-b0113	678
gene-b0114	5887
gene-b0115	3531
gene-b0116	3517
gene-b0117	59
gene-b0118	6834
gene-b0119	11234
gene-b0120	551
gene-b0121	244
gene-b0122	82
gene-b0123	40
gene-b0124	2100
gene-b0125	20
gene-b0126	79
gene-b0127	130
gene-b0128	280
gene-b0129	169
gene-b0130	100
gene-b0131	60
gene-b0132	244
gene-b0133	563
gene-b0134	353
gene-b0135	12
gene-b0136	15
gene-b0137	63
gene-b0138	0
gene-b0139	101
gene-b0140	0
gene-b0141	28
gene-b0142	3
gene-b0143	137
gene-b0144	447
gene-b0145	12950
gene-b0146	18949
gene-b0147	37
gene-b0148	1515
gene-b0149	1028
gene-b0150	3189
gene-b0151	319
gene-b0152	2
gene-b0153	613
gene-b0154	3358
gene-b0155	1553
gene-b4728	3218
gene-b0156	13052
gene-b0157	164
gene-b0158	66
gene-b0159	1410
gene-b0160	64
gene-b0161	1400
gene-b0162	60
