Geneid	1714__30min_LEVO_N=3_library-read-1.fastq.gz
gene-b0001	1650
gene-b0002	970
gene-b0003	1344
gene-b0004	1403
gene-b0005	225
gene-b0006	212
gene-b0007	105
gene-b0008	22032
gene-b0009	1077
gene-b0010	1088
gene-b0011	295
gene-b0012	229
gene-b0013	39
gene-b0014	880787
gene-b0015	44663
gene-b0016	790
gene-b4412	1131
gene-b0018	1244
gene-b4413	542
gene-b0019	18623
gene-b0020	1733
gene-b0021	31
gene-b0022	1
gene-b0023	1784
gene-b0024	787
gene-b0025	2241
gene-b0026	27407
gene-b0027	3484
gene-b0028	1059
gene-b0029	1371
gene-b0030	487
gene-b0031	957
gene-b0032	104
gene-b0033	613
gene-b0034	194
gene-b0035	147
gene-b0036	267
gene-b0037	716
gene-b0038	745
gene-b0039	789
gene-b0040	38
gene-b0041	18
gene-b0042	17
gene-b0043	18
gene-b0044	6
gene-b0045	111
gene-b0046	731
gene-b0047	623
gene-b0048	1806
gene-b0049	794
gene-b0050	4231
gene-b0051	5501
gene-b0052	431
gene-b0053	9574
gene-b0054	18577
gene-b0055	688
gene-b0056	2959
gene-b0057	2298
gene-b0058	2746
gene-b0059	11656
gene-b0060	2576
gene-b0061	685
gene-b0062	3131
gene-b0063	3189
gene-b0064	5156
gene-b0065	5441
gene-b0066	1610
gene-b0067	100
gene-b0068	195
gene-b0069	710
gene-b4577	113
gene-b4662	75
gene-b0070	1037
gene-b0071	1467
gene-b0072	1002
gene-b0073	771
gene-b0074	828
gene-b0075	65
gene-b0076	296
gene-b4726	0
gene-b0077	725
gene-b0078	126
gene-b0080	2388
gene-b0081	1549
gene-b0082	8428
gene-b0083	3354
gene-b0084	544
gene-b0085	698
gene-b0086	642
gene-b0087	397
gene-b0088	520
gene-b0089	504
gene-b0090	679
gene-b0091	922
gene-b0092	2560
gene-b0093	5840
gene-b0094	9640
gene-b0095	26492
gene-b0096	212720
gene-b0097	3133
gene-b0098	14903
gene-b0099	239
gene-b0101	583
gene-b0102	1133
gene-b0103	1351
gene-b4727	19
gene-b0104	717
gene-b0106	135
gene-b0107	152
gene-b0108	0
gene-b0109	400
gene-b0110	284
gene-b0111	913
gene-b0112	2861
gene-b0113	879
gene-b0114	48131
gene-b0115	17631
gene-b0116	24251
gene-b0117	277
gene-b0118	23018
gene-b0119	9939
gene-b0120	1921
gene-b0121	857
gene-b0122	760
gene-b0123	570
gene-b0124	15145
gene-b0125	640
gene-b0126	961
gene-b0127	840
gene-b0128	1584
gene-b0129	383
gene-b0130	515
gene-b0131	804
gene-b0132	939
gene-b0133	3320
gene-b0134	896
gene-b0135	129
gene-b0136	43
gene-b0137	402
gene-b0138	60
gene-b0139	265
gene-b0140	19
gene-b0141	0
gene-b0142	55
gene-b0143	901
gene-b0144	1411
gene-b0145	21846
gene-b0146	44763
gene-b0147	122
gene-b0148	5561
gene-b0149	3505
gene-b0150	11633
gene-b0151	863
gene-b0152	92
gene-b0153	2582
gene-b0154	6990
gene-b0155	7022
gene-b4728	12356
gene-b0156	74948
gene-b0157	628
gene-b0158	416
gene-b0159	3654
gene-b0160	350
gene-b0161	6765
gene-b0162	526
gene-b0163	2810
gene-b0164	90
gene-b0166	1199
gene-b0167	3329
gene-b0168	2707
gene-b4414	4013
gene-b0169	65684
gene-b0170	13091
gene-b0171	8161
gene-b0172	12006
gene-b0173	1398
gene-b0174	497
gene-b0175	1467
gene-b0176	3028
gene-b0177	8313
gene-b0178	10294
gene-b0179	13632
gene-b0180	7696
gene-b0181	4805
gene-b0182	1642
gene-b0183	109
gene-b0184	4316
gene-b0185	3215
gene-b0186	3284
gene-b0187	968
gene-b0188	849
gene-b0189	7472
gene-b4406	6641
gene-b0190	195
gene-b0191	516
gene-b0192	1190
gene-b0193	129
gene-b0194	8441
gene-b0195	423
gene-b0196	325
gene-b0197	516
gene-b0198	92
gene-b0199	49
gene-b0200	362
gene-b0201	125091
gene-b0202	0
gene-b0203	111
gene-b0204	211741
gene-b0205	219
gene-b0206	276
gene-b0207	1290
gene-b0208	1310
gene-b0209	5107
gene-b0210	788
gene-b0211	1601
gene-b0212	142
gene-b0213	458
gene-b0214	126
gene-b0215	4270
gene-b0216	140
gene-b0217	78
gene-b4586	5
gene-b0219	1973
gene-b0220	314
gene-b0221	21078
gene-b0222	1691
gene-b0223	1394
gene-b0224	1429
gene-b0225	9749
gene-b0226	8646
gene-b0227	181
gene-b0228	414
gene-b0231	2068
gene-b0232	289
gene-b0233	462
gene-b0234	68
gene-b0237	1942
gene-b0238	861
gene-b0239	2842
gene-b4710	1489
gene-b4709	1
gene-b0241	40
gene-b0242	3017
gene-b0243	3445
gene-b0244	103
gene-b0245	20
gene-b0246	33
gene-b4504	24
gene-b0247	44
gene-b0248	57
gene-b0249	284
gene-b0250	7362
gene-b0251	75
gene-b0252	121
gene-b0253	1135
gene-b0254	187
gene-b0256	730
gene-b4690	77
gene-b0258	316
gene-b0259	22
gene-b0260	248
gene-b0261	596
gene-b0262	156
gene-b0264	0
gene-b0265	38
gene-b0266	131
gene-b0267	124
gene-b0268	850
gene-b0269	1176
gene-b0270	232
gene-b0271	346
gene-b0272	140
gene-b0273	87
gene-b4688	65
gene-b0274	73
gene-b0275	0
gene-b0276	905
gene-b0277	1081
gene-b0278	54
gene-b0279	44
gene-b4729	154
gene-b0280	1334
gene-b0281	1065
gene-b0282	179
gene-b0283	973
gene-b0284	850
gene-b0285	687
gene-b0286	157
gene-b0287	234
gene-b0288	373
gene-b0289	232
gene-b0290	481
gene-b0291	208
gene-b0292	11
gene-b0293	68
gene-b0294	13
gene-b0295	9240
gene-b4506	11225
gene-b0296	17479
gene-b4671	114
gene-b0298	0
gene-b0299	48
gene-b0301	19
gene-b0303	29
gene-b0304	237
gene-b0305	62
gene-b0306	463
gene-b0307	1221
gene-b0308	789
gene-b0310	64
gene-b0311	581
gene-b0312	1491
gene-b0313	553
gene-b0314	2154
gene-b4730	5
gene-b0315	279
gene-b0316	242
gene-b0317	96
gene-b0318	4
gene-b0319	164
gene-b0320	71
gene-b0321	129
gene-b0322	149
gene-b0323	120
gene-b0324	762
gene-b0325	4817
gene-b0326	74
gene-b0327	161
gene-b0328	620
gene-b0329	37689
gene-b0330	1774
gene-b0331	39607
gene-b0333	14876
gene-b0334	5650
gene-b0335	4126
gene-b0336	59
gene-b0337	317
gene-b0338	229
gene-b0339	77
gene-b0340	51
gene-b0341	114
gene-b0342	89
gene-b0343	266
gene-b0344	901
gene-b0345	1200
gene-b0346	5148
gene-b0347	99
gene-b0348	24
gene-b0349	36
gene-b0350	16
gene-b0351	365
gene-b0352	311
gene-b0353	775
gene-b0354	899
