Geneid	1714__30min_MMC_library-read-1.fastq.gz
gene-b0001	678
gene-b0002	961
gene-b0003	1586
gene-b0004	1024
gene-b0005	131
gene-b0006	155
gene-b0007	168
gene-b0008	11606
gene-b0009	601
gene-b0010	520
gene-b0011	334
gene-b0012	286
gene-b0013	6
gene-b0014	881657
gene-b0015	36926
gene-b0016	503
gene-b4412	814
gene-b0018	888
gene-b4413	307
gene-b0019	14751
gene-b0020	1282
gene-b0021	30
gene-b0022	26
gene-b0023	821
gene-b0024	687
gene-b0025	2084
gene-b0026	23804
gene-b0027	2609
gene-b0028	806
gene-b0029	1154
gene-b0030	408
gene-b0031	742
gene-b0032	82
gene-b0033	466
gene-b0034	15
gene-b0035	66
gene-b0036	53
gene-b0037	178
gene-b0038	487
gene-b0039	421
gene-b0040	34
gene-b0041	8
gene-b0042	42
gene-b0043	19
gene-b0044	47
gene-b0045	130
gene-b0046	234
gene-b0047	566
gene-b0048	2027
gene-b0049	1059
gene-b0050	4727
gene-b0051	5277
gene-b0052	197
gene-b0053	7685
gene-b0054	17038
gene-b0055	206
gene-b0056	1177
gene-b0057	703
gene-b0058	2425
gene-b0059	14603
gene-b0060	6677
gene-b0061	217
gene-b0062	1865
gene-b0063	2256
gene-b0064	2014
gene-b0065	2772
gene-b0066	558
gene-b0067	6
gene-b0068	182
gene-b0069	296
gene-b4577	25
gene-b4662	10
gene-b0070	960
gene-b0071	1757
gene-b0072	1019
gene-b0073	1253
gene-b0074	951
gene-b0075	6
gene-b0076	80
gene-b4726	0
gene-b0077	883
gene-b0078	264
gene-b0080	2119
gene-b0081	2988
gene-b0082	5725
gene-b0083	1516
gene-b0084	402
gene-b0085	406
gene-b0086	197
gene-b0087	206
gene-b0088	420
gene-b0089	392
gene-b0090	461
gene-b0091	722
gene-b0092	2191
gene-b0093	4529
gene-b0094	6304
gene-b0095	13915
gene-b0096	162185
gene-b0097	2409
gene-b0098	9821
gene-b0099	206
gene-b0101	410
gene-b0102	1629
gene-b0103	1644
gene-b4727	0
gene-b0104	637
gene-b0106	196
gene-b0107	95
gene-b0108	0
gene-b0109	395
gene-b0110	164
gene-b0111	487
gene-b0112	2784
gene-b0113	635
gene-b0114	14589
gene-b0115	6186
gene-b0116	6377
gene-b0117	309
gene-b0118	17489
gene-b0119	9140
gene-b0120	1539
gene-b0121	703
gene-b0122	572
gene-b0123	1140
gene-b0124	20749
gene-b0125	683
gene-b0126	1053
gene-b0127	965
gene-b0128	849
gene-b0129	182
gene-b0130	293
gene-b0131	1225
gene-b0132	616
gene-b0133	2217
gene-b0134	1476
gene-b0135	42
gene-b0136	23
gene-b0137	189
gene-b0138	36
gene-b0139	170
gene-b0140	1
gene-b0141	0
gene-b0142	103
gene-b0143	902
gene-b0144	922
gene-b0145	20958
gene-b0146	39236
gene-b0147	95
gene-b0148	2680
gene-b0149	2515
gene-b0150	9074
gene-b0151	724
gene-b0152	103
gene-b0153	803
gene-b0154	4583
gene-b0155	6032
gene-b4728	3269
gene-b0156	15332
gene-b0157	465
gene-b0158	248
gene-b0159	3238
gene-b0160	141
gene-b0161	4555
gene-b0162	583
gene-b0163	1783
gene-b0164	36
gene-b0166	846
gene-b0167	1991
gene-b0168	1860
gene-b4414	4406
gene-b0169	67288
gene-b0170	11746
gene-b0171	1855
gene-b0172	13088
gene-b0173	948
gene-b0174	372
gene-b0175	1746
gene-b0176	2285
gene-b0177	5009
gene-b0178	7762
gene-b0179	9340
gene-b0180	5090
gene-b0181	4311
gene-b0182	1148
gene-b0183	60
gene-b0184	3523
gene-b0185	2198
gene-b0186	2354
gene-b0187	463
gene-b0188	702
gene-b0189	6010
gene-b4406	6674
gene-b0190	275
gene-b0191	645
gene-b0192	895
gene-b0193	94
gene-b0194	6550
gene-b0195	246
gene-b0196	331
gene-b0197	895
gene-b0198	70
gene-b0199	106
gene-b0200	332
gene-b0201	73588
gene-b0202	0
gene-b0203	17
gene-b0204	153770
gene-b0205	105
gene-b0206	188
gene-b0207	600
gene-b0208	438
gene-b0209	5388
gene-b0210	585
gene-b0211	680
gene-b0212	150
gene-b0213	342
gene-b0214	332
gene-b0215	3428
gene-b0216	48
gene-b0217	30
gene-b4586	1
gene-b0219	2387
gene-b0220	532
gene-b0221	20636
gene-b0222	1264
gene-b0223	1156
gene-b0224	824
gene-b0225	5928
gene-b0226	4615
gene-b0227	104
gene-b0228	169
gene-b0231	2810
gene-b0232	242
gene-b0233	199
gene-b0234	17
gene-b0237	2060
gene-b0238	573
gene-b0239	2283
gene-b4710	643
gene-b4709	1
gene-b0241	4
gene-b0242	3857
gene-b0243	3184
gene-b0244	51
gene-b0245	28
gene-b0246	73
gene-b4504	38
gene-b0247	75
gene-b0248	91
gene-b0249	221
gene-b0250	5009
gene-b0251	108
gene-b0252	129
gene-b0253	1109
gene-b0254	64
gene-b0256	646
gene-b4690	41
gene-b0258	350
gene-b0259	0
gene-b0260	179
gene-b0261	842
gene-b0262	111
gene-b0264	6
gene-b0265	17
gene-b0266	131
gene-b0267	90
gene-b0268	1054
gene-b0269	722
gene-b0270	223
gene-b0271	399
gene-b0272	102
gene-b0273	190
gene-b4688	65
gene-b0274	59
gene-b0275	0
gene-b0276	368
gene-b0277	883
gene-b0278	97
gene-b0279	1
gene-b4729	34
gene-b0280	742
gene-b0281	821
gene-b0282	128
gene-b0283	1251
gene-b0284	1654
gene-b0285	825
gene-b0286	321
gene-b0287	53
gene-b0288	381
gene-b0289	113
gene-b0290	332
gene-b0291	191
gene-b0292	39
gene-b0293	119
gene-b0294	5
gene-b0295	6858
gene-b4506	11523
gene-b0296	15182
gene-b4671	49
gene-b0298	0
gene-b0299	4
gene-b0301	20
gene-b0303	6
gene-b0304	331
gene-b0305	86
gene-b0306	40
gene-b0307	427
gene-b0308	421
gene-b0310	52
gene-b0311	187
gene-b0312	1457
gene-b0313	485
gene-b0314	2127
gene-b4730	0
gene-b0315	75
gene-b0316	22
gene-b0317	70
gene-b0318	1
gene-b0319	112
gene-b0320	123
gene-b0321	189
gene-b0322	130
gene-b0323	26
gene-b0324	992
gene-b0325	7825
gene-b0326	27
gene-b0327	45
gene-b0328	136
gene-b0329	33677
gene-b0330	1587
gene-b0331	30321
gene-b0333	12235
gene-b0334	4503
gene-b0335	2103
gene-b0336	26
gene-b0337	362
gene-b0338	92
gene-b0339	89
gene-b0340	64
gene-b0341	117
gene-b0342	13
gene-b0343	48
gene-b0344	372
gene-b0345	918
gene-b0346	4408
gene-b0347	132
gene-b0348	106
gene-b0349	58
gene-b0350	98
gene-b0351	191
gene-b0352	485
gene-b0353	896
gene-b0354	778
gene-b0355	215
gene-b0356	859
gene-b0357	154
gene-b0358	882
gene-b0360	3
gene-b0361	7
gene-b0363	426
gene-b4731	2
gene-b0364	3
gene-b0365	177
gene-b0366	198
gene-b0367	226
gene-b0368	377
gene-b0369	1998
gene-b0372	20
gene-b0373	21
gene-b0375	30
gene-b0376	482
gene-b0377	709
gene-b0378	556
gene-b0379	74
gene-b0380	1211
gene-b0381	1875
gene-b0382	528
gene-b0383	226
gene-b0384	4429
gene-b0385	11861
gene-b0386	325
gene-b0387	135
gene-b0388	300
gene-b0389	1953
gene-b0390	473
gene-b0391	1125
gene-b4732	50
gene-b0393	770
gene-b0394	1170
gene-b0396	1214
gene-b0397	398
gene-b0398	327
gene-b0399	1241
gene-b0400	323
gene-b0401	19901
gene-b0402	1431
gene-b0403	589
gene-b0404	871
gene-b0405	174
gene-b0406	307
gene-b0407	1025
gene-b0408	2065
gene-b0409	3816
gene-b0410	262
gene-b0411	1408
gene-b0412	282
gene-b0413	1446
gene-b0414	2246
gene-b0415	1298
gene-b0416	3777
gene-b0417	530
gene-b0418	874
gene-b0419	8732
gene-b0420	707
gene-b0421	627
gene-b0422	384
gene-b0423	1174
gene-b0424	1826
gene-b0425	2388
gene-b0426	11344
gene-b0427	183
gene-b0428	1580
gene-b0429	795
gene-b0430	1220
gene-b0431	3016
gene-b0432	1335
gene-b0433	120
gene-b0434	172
gene-b0435	12491
gene-b0436	921
gene-b0437	13264
gene-b0438	115737
gene-b0439	50325
gene-b0440	348
gene-b0441	2078
gene-b0442	123
gene-b0443	291
gene-b0444	426
gene-b0445	1286
gene-b0446	1731
gene-b0447	1185
gene-b0448	528
gene-b0449	290
gene-b0450	36
gene-b0451	179
gene-b0452	796
gene-b0453	7244
gene-b0454	856
gene-b0455	29
gene-b0456	467
gene-b0457	1071
gene-b0458	1052
gene-b0459	647
gene-b0460	2506
gene-b0461	2971
gene-b0462	3837
gene-b0463	2101
gene-b0464	1545
gene-b0465	2927
gene-b0466	377
gene-b0467	788
gene-b0468	668
gene-b0469	129
gene-b0470	1361
gene-b0471	1759
gene-b0472	863
gene-b0473	104807
gene-b0474	747
gene-b0475	656
gene-b0476	801
gene-b0477	339
gene-b0478	4656
gene-b0479	157
gene-b0480	1723
gene-b0481	100
gene-b4585	38
gene-b0482	77
gene-b0483	1890
gene-b0484	10323
gene-b0485	4127
gene-b0486	2367
gene-b0487	1532
gene-b0488	3510
gene-b0489	8369
gene-b0490	56
gene-b0491	344
gene-b0492	13567
gene-b0493	190
gene-b0494	1989
gene-b0495	951
gene-b0496	359
gene-b0497	1093
gene-b0498	91
gene-b0502	83
gene-b0503	64
gene-b0504	38
gene-b0505	119
gene-b0506	12780
gene-b0507	389
gene-b0508	314
gene-b0509	48
gene-b0511	173
gene-b0512	143
gene-b0513	267
gene-b0514	104
gene-b0515	83
gene-b0516	57
gene-b0517	3
gene-b0518	67
gene-b4572	18
gene-b0520	36
gene-b0521	165
gene-b0522	62
gene-b0523	1
gene-b0524	2170
gene-b0525	8370
gene-b0526	748
gene-b0527	12
gene-b0528	266
gene-b0529	825
gene-b0530	214
gene-b0531	46
gene-b0532	51
gene-b0533	19
gene-b0534	65
gene-b0535	58
gene-b0536	218
gene-b0537	873
gene-b0540	20
gene-b0541	37
gene-b0543	335
gene-b4733	106
gene-b0544	20
gene-b0545	577
gene-b0546	608
gene-b4588	22
gene-b0547	28
gene-b0548	0
gene-b0549	0
gene-b0550	6
gene-b4509	0
gene-b0551	32
gene-b0552	70
gene-b0554	115
gene-b0555	300
gene-b0556	27
gene-b4510	15
gene-b0557	16
gene-b0558	6
gene-b0559	9
gene-b4589	39
gene-b0560	94
gene-b0561	69
gene-b0563	13
gene-b0564	533
gene-b0565	3959
gene-b0566	81
gene-b0567	549
gene-b0568	811
gene-b0569	1504
gene-b0570	313
gene-b0571	302
gene-b0572	18
gene-b0573	0
gene-b0574	73
gene-b0575	209
gene-b0576	233
gene-b0577	510
gene-b0578	889
gene-b0579	531
gene-b0580	1266
gene-b0581	6225
gene-b4700	56
gene-b4415	15
gene-b0582	79
gene-b0583	116
gene-b0584	1056
gene-b0585	1490
gene-b4511	322
gene-b0586	3211
gene-b0587	2
gene-b0588	44
gene-b0589	158
gene-b0590	353
gene-b0591	340
gene-b0592	1114
gene-b0593	1027
gene-b0594	834
gene-b0595	621
gene-b0596	401
gene-b0597	200
gene-b0598	34088
gene-b4512	1152
gene-b0599	2064
gene-b0600	110
gene-b0601	141
gene-b0602	113
gene-b0603	57
gene-b0604	478
gene-b0605	6781
gene-b0606	3471
gene-b0607	18325
gene-b0608	988
gene-b4734	152
gene-b0610	250
gene-b0611	3540
gene-b0612	152
gene-b0613	42
gene-b0614	8
gene-b0615	68
gene-b0616	8
gene-b0617	13
gene-b0618	58
gene-b0619	457
gene-b0620	195
gene-b0621	184
gene-b0622	178
gene-b0623	26252
gene-b0624	978
gene-b0627	841
gene-b0628	1945
gene-b0629	219
gene-b0630	436
gene-b0631	22744
gene-b0632	570
gene-b0633	3537
gene-b0634	1368
gene-b0635	488
gene-b0636	17
gene-b0637	47
gene-b0638	34
gene-b0639	201
gene-b0640	1377
gene-b0641	10419
gene-b0642	37863
gene-b0643	11200
gene-b0644	1355
gene-b0645	1
gene-b0646	72
gene-b0647	0
gene-b0648	97
gene-b0649	124
gene-b0650	163
gene-b0651	203
gene-b0652	238
gene-b0653	180
gene-b0654	196
gene-b0655	4733
gene-b0656	30
gene-b0657	2378
gene-b0658	8780
gene-b0659	4605
gene-b0660	12871
gene-b0661	3658
gene-b0662	11897
gene-b0664	167
gene-b0665	111
gene-b0666	647
gene-b0668	608
gene-b0670	572
gene-b0672	629
gene-b0673	405
gene-b0674	1159
gene-b0675	1161
gene-b0676	2191
gene-b0677	4330
gene-b0678	5136
gene-b0679	5548
gene-b0680	4965
gene-b0681	154
gene-b0682	17
gene-b0683	5664
gene-b4637	1474
gene-b0684	1939
gene-b0685	19
gene-b0686	209
gene-b0687	1831
gene-b0688	9140
gene-b0689	80
gene-b0692	701
gene-b0693	142
gene-b4590	1
gene-b0694	2429
gene-b0695	10357
gene-b0696	861
gene-b0697	210
gene-b0698	65
gene-b4513	0
gene-b0699	855
gene-b0700	269
gene-b0702	8
gene-b0704	25
gene-b4514	22
gene-b0706	4
gene-b0707	333
gene-b0708	372
gene-b0709	223
gene-b0710	2282
gene-b0711	2089
gene-b0712	1904
gene-b0713	649
gene-b0714	137
gene-b0715	48
gene-b0716	495
gene-b0717	86
gene-b0718	97
gene-b0719	31
gene-b0720	40639
gene-b4735	2307
gene-b0721	3076
gene-b0722	1967
gene-b0723	6500
gene-b0724	1811
gene-b0726	7319
gene-b0727	5092
gene-b0728	2628
gene-b0729	4809
gene-b0730	209
gene-b0731	75
gene-b0732	569
gene-b0733	19970
gene-b0734	22080
gene-b4515	3498
gene-b0735	1881
gene-b0736	364
gene-b0737	978
gene-b0738	980
gene-b0739	2742
gene-b0740	8648
gene-b0741	8519
gene-b0742	8949
gene-b0743	658
gene-b0744	335
gene-b0745	399
gene-b0746	185
gene-b0747	228
gene-b0748	373
gene-b0749	97
gene-b0750	524
gene-b0751	3297
gene-b0752	2513
gene-b0753	4382
gene-b0754	704
gene-b0755	57131
gene-b0756	2629
gene-b0757	1724
gene-b0758	1639
gene-b0759	1773
gene-b0760	330
gene-b0761	171
gene-b0762	84
gene-b0763	187
gene-b0764	170
gene-b0765	599
gene-b0766	304
gene-b0767	1490
gene-b0768	205
gene-b0769	3
gene-b0770	24
gene-b0771	72
gene-b0772	621
