Geneid	1714__30min_MMC_N=2_library-read-1.fastq.gz
gene-b0001	2723
gene-b0002	1192
gene-b0003	2596
gene-b0004	1667
gene-b0005	39
gene-b0006	201
gene-b0007	161
gene-b0008	15937
gene-b0009	570
gene-b0010	881
gene-b0011	373
gene-b0012	275
gene-b0013	2
gene-b0014	913236
gene-b0015	45487
gene-b0016	459
gene-b4412	858
gene-b0018	982
gene-b4413	386
gene-b0019	28763
gene-b0020	1266
gene-b0021	43
gene-b0022	6
gene-b0023	1694
gene-b0024	825
gene-b0025	3266
gene-b0026	24853
gene-b0027	3902
gene-b0028	820
gene-b0029	2045
gene-b0030	174
gene-b0031	1338
gene-b0032	185
gene-b0033	642
gene-b0034	189
gene-b0035	58
gene-b0036	82
gene-b0037	384
gene-b0038	433
gene-b0039	510
gene-b0040	36
gene-b0041	70
gene-b0042	77
gene-b0043	27
gene-b0044	25
gene-b0045	78
gene-b0046	444
gene-b0047	910
gene-b0048	4474
gene-b0049	1469
gene-b0050	5149
gene-b0051	7533
gene-b0052	365
gene-b0053	9810
gene-b0054	17263
gene-b0055	518
gene-b0056	1430
gene-b0057	1170
gene-b0058	3799
gene-b0059	13658
gene-b0060	8577
gene-b0061	221
gene-b0062	1674
gene-b0063	2051
gene-b0064	2238
gene-b0065	4718
gene-b0066	858
gene-b0067	26
gene-b0068	105
gene-b0069	324
gene-b4577	66
gene-b4662	33
gene-b0070	1149
gene-b0071	2312
gene-b0072	1074
gene-b0073	1115
gene-b0074	1538
gene-b0075	28
gene-b0076	204
gene-b4726	0
gene-b0077	1277
gene-b0078	280
gene-b0080	3175
gene-b0081	7599
gene-b0082	14843
gene-b0083	5358
gene-b0084	562
gene-b0085	445
gene-b0086	385
gene-b0087	533
gene-b0088	558
gene-b0089	725
gene-b0090	914
gene-b0091	883
gene-b0092	2387
gene-b0093	6405
gene-b0094	7541
gene-b0095	14424
gene-b0096	401591
gene-b0097	2075
gene-b0098	9775
gene-b0099	189
gene-b0101	537
gene-b0102	1930
gene-b0103	2768
gene-b4727	6
gene-b0104	780
gene-b0106	237
gene-b0107	184
gene-b0108	8
gene-b0109	581
gene-b0110	385
gene-b0111	915
gene-b0112	2380
gene-b0113	741
gene-b0114	14864
gene-b0115	7863
gene-b0116	7294
gene-b0117	452
gene-b0118	21902
gene-b0119	15847
gene-b0120	1477
gene-b0121	646
gene-b0122	1228
gene-b0123	1036
gene-b0124	20422
gene-b0125	809
gene-b0126	901
gene-b0127	844
gene-b0128	1280
gene-b0129	582
gene-b0130	479
gene-b0131	1606
gene-b0132	795
gene-b0133	1874
gene-b0134	1230
