Geneid	1714__30min_MOXI_library-read-1.fastq.gz
gene-b0001	782
gene-b0002	523
gene-b0003	1562
gene-b0004	620
gene-b0005	122
gene-b0006	14
gene-b0007	56
gene-b0008	12962
gene-b0009	418
gene-b0010	536
gene-b0011	289
gene-b0012	239
gene-b0013	1
gene-b0014	332186
gene-b0015	14944
gene-b0016	331
gene-b4412	930
gene-b0018	1112
gene-b4413	477
gene-b0019	10558
gene-b0020	504
gene-b0021	1
gene-b0022	2
gene-b0023	480
gene-b0024	345
gene-b0025	1231
gene-b0026	13331
gene-b0027	2131
gene-b0028	513
gene-b0029	681
gene-b0030	161
gene-b0031	769
gene-b0032	4
gene-b0033	74
gene-b0034	100
gene-b0035	119
gene-b0036	43
gene-b0037	348
gene-b0038	363
gene-b0039	591
gene-b0040	1
gene-b0041	0
gene-b0042	2
gene-b0043	25
gene-b0044	0
gene-b0045	30
gene-b0046	166
gene-b0047	169
gene-b0048	2167
gene-b0049	588
gene-b0050	2406
gene-b0051	3684
gene-b0052	286
gene-b0053	3140
gene-b0054	6084
gene-b0055	301
gene-b0056	735
gene-b0057	587
gene-b0058	1910
gene-b0059	4134
gene-b0060	1566
gene-b0061	303
gene-b0062	1328
gene-b0063	2467
gene-b0064	1959
gene-b0065	3243
gene-b0066	449
gene-b0067	20
gene-b0068	32
gene-b0069	188
gene-b4577	1
gene-b4662	1
gene-b0070	743
gene-b0071	723
gene-b0072	526
gene-b0073	392
gene-b0074	372
gene-b0075	10
gene-b0076	199
gene-b4726	0
gene-b0077	312
gene-b0078	184
gene-b0080	2809
gene-b0081	3173
gene-b0082	9854
gene-b0083	3448
gene-b0084	462
gene-b0085	220
gene-b0086	181
gene-b0087	150
gene-b0088	289
gene-b0089	217
gene-b0090	266
gene-b0091	604
gene-b0092	2017
gene-b0093	5032
gene-b0094	6914
gene-b0095	16012
gene-b0096	265484
gene-b0097	1792
gene-b0098	6200
gene-b0099	71
gene-b0101	199
gene-b0102	434
gene-b0103	852
gene-b4727	0
gene-b0104	454
gene-b0106	40
gene-b0107	137
gene-b0108	0
gene-b0109	427
gene-b0110	128
gene-b0111	795
gene-b0112	2050
gene-b0113	730
gene-b0114	11337
gene-b0115	5888
gene-b0116	6668
gene-b0117	50
gene-b0118	13212
gene-b0119	15006
gene-b0120	887
gene-b0121	305
gene-b0122	246
gene-b0123	290
gene-b0124	5365
gene-b0125	191
gene-b0126	315
gene-b0127	401
gene-b0128	462
gene-b0129	418
gene-b0130	244
gene-b0131	681
gene-b0132	566
gene-b0133	1659
gene-b0134	593
gene-b0135	22
gene-b0136	36
gene-b0137	92
gene-b0138	0
gene-b0139	73
gene-b0140	6
gene-b0141	0
gene-b0142	2
gene-b0143	257
gene-b0144	838
gene-b0145	20552
gene-b0146	32770
gene-b0147	56
gene-b0148	2356
gene-b0149	2509
gene-b0150	7292
gene-b0151	406
gene-b0152	107
gene-b0153	1148
gene-b0154	5471
gene-b0155	3633
gene-b4728	5535
gene-b0156	24593
gene-b0157	385
gene-b0158	201
gene-b0159	3648
gene-b0160	242
gene-b0161	2446
gene-b0162	223
gene-b0163	1576
gene-b0164	63
gene-b0166	709
gene-b0167	1003
gene-b0168	1855
gene-b4414	1145
gene-b0169	24066
gene-b0170	4088
gene-b0171	1317
gene-b0172	10323
gene-b0173	617
gene-b0174	180
gene-b0175	743
gene-b0176	1322
gene-b0177	3287
gene-b0178	5877
gene-b0179	5927
gene-b0180	5530
gene-b0181	4530
gene-b0182	814
gene-b0183	76
gene-b0184	1838
gene-b0185	1573
gene-b0186	1207
gene-b0187	314
gene-b0188	546
gene-b0189	4878
gene-b4406	5490
gene-b0190	201
gene-b0191	117
gene-b0192	495
gene-b0193	130
gene-b0194	5716
gene-b0195	166
gene-b0196	177
gene-b0197	414
gene-b0198	109
gene-b0199	92
gene-b0200	305
gene-b0201	74046
gene-b0202	0
gene-b0203	2
gene-b0204	127951
gene-b0205	98
gene-b0206	168
gene-b0207	500
gene-b0208	602
gene-b0209	5110
gene-b0210	465
gene-b0211	1005
gene-b0212	105
gene-b0213	489
gene-b0214	302
gene-b0215	1706
gene-b0216	161
gene-b0217	3
gene-b4586	3
gene-b0219	1474
gene-b0220	125
gene-b0221	17640
gene-b0222	513
gene-b0223	527
gene-b0224	603
gene-b0225	3730
gene-b0226	3290
gene-b0227	119
gene-b0228	127
gene-b0231	1143
gene-b0232	215
gene-b0233	387
gene-b0234	0
gene-b0237	1381
gene-b0238	330
gene-b0239	1252
gene-b4710	387
gene-b4709	0
gene-b0241	0
gene-b0242	2256
gene-b0243	1553
gene-b0244	29
gene-b0245	22
gene-b0246	13
gene-b4504	16
gene-b0247	20
gene-b0248	79
gene-b0249	179
gene-b0250	3886
gene-b0251	46
gene-b0252	105
gene-b0253	630
gene-b0254	42
gene-b0256	295
gene-b4690	2
gene-b0258	57
gene-b0259	0
gene-b0260	106
gene-b0261	480
gene-b0262	78
gene-b0264	17
gene-b0265	69
gene-b0266	126
gene-b0267	55
gene-b0268	520
gene-b0269	941
gene-b0270	159
gene-b0271	133
gene-b0272	67
gene-b0273	128
gene-b4688	17
gene-b0274	31
gene-b0275	0
gene-b0276	706
gene-b0277	659
gene-b0278	10
gene-b0279	8
gene-b4729	1
gene-b0280	355
gene-b0281	531
gene-b0282	131
gene-b0283	591
gene-b0284	544
gene-b0285	125
gene-b0286	96
gene-b0287	182
gene-b0288	291
gene-b0289	66
gene-b0290	167
gene-b0291	59
gene-b0292	0
gene-b0293	120
gene-b0294	11
gene-b0295	4781
gene-b4506	10457
gene-b0296	12591
gene-b4671	89
gene-b0298	1
gene-b0299	2
gene-b0301	14
gene-b0303	0
gene-b0304	29
gene-b0305	42
gene-b0306	86
gene-b0307	165
gene-b0308	166
gene-b0310	1
gene-b0311	137
gene-b0312	596
gene-b0313	245
gene-b0314	2108
gene-b4730	0
gene-b0315	100
gene-b0316	56
gene-b0317	111
gene-b0318	1
gene-b0319	89
gene-b0320	67
gene-b0321	64
gene-b0322	132
gene-b0323	76
gene-b0324	300
gene-b0325	1685
gene-b0326	1
gene-b0327	129
gene-b0328	353
gene-b0329	37585
gene-b0330	773
gene-b0331	13971
gene-b0333	4331
gene-b0334	1912
gene-b0335	1562
gene-b0336	80
gene-b0337	339
gene-b0338	153
gene-b0339	19
gene-b0340	25
gene-b0341	36
gene-b0342	2
gene-b0343	128
gene-b0344	267
gene-b0345	828
gene-b0346	5708
gene-b0347	21
gene-b0348	30
gene-b0349	28
gene-b0350	24
gene-b0351	190
gene-b0352	249
gene-b0353	782
gene-b0354	552
gene-b0355	79
gene-b0356	428
gene-b0357	55
gene-b0358	854
gene-b0360	0
gene-b0361	10
gene-b0363	323
gene-b4731	0
gene-b0364	0
gene-b0365	14
gene-b0366	39
gene-b0367	107
gene-b0368	178
gene-b0369	1656
gene-b0372	1
gene-b0373	0
gene-b0375	14
gene-b0376	250
gene-b0377	429
gene-b0378	484
gene-b0379	128
gene-b0380	1710
gene-b0381	1922
gene-b0382	382
gene-b0383	213
gene-b0384	2089
gene-b0385	18370
gene-b0386	352
gene-b0387	145
gene-b0388	186
gene-b0389	627
gene-b0390	213
gene-b0391	757
gene-b4732	22
gene-b0393	268
gene-b0394	1064
gene-b0396	673
gene-b0397	151
gene-b0398	183
gene-b0399	556
gene-b0400	322
gene-b0401	17817
gene-b0402	1014
gene-b0403	267
gene-b0404	365
gene-b0405	72
gene-b0406	159
gene-b0407	1189
gene-b0408	2147
gene-b0409	5132
gene-b0410	126
gene-b0411	1124
gene-b0412	245
gene-b0413	939
gene-b0414	1541
gene-b0415	763
gene-b0416	3620
gene-b0417	319
gene-b0418	712
gene-b0419	8007
gene-b0420	383
gene-b0421	482
gene-b0422	340
gene-b0423	746
gene-b0424	1053
gene-b0425	1282
gene-b0426	10892
gene-b0427	118
gene-b0428	1268
gene-b0429	587
gene-b0430	1505
gene-b0431	2495
gene-b0432	704
gene-b0433	19
gene-b0434	88
gene-b0435	13335
gene-b0436	501
gene-b0437	7148
gene-b0438	102239
gene-b0439	10802
gene-b0440	90
gene-b0441	1978
gene-b0442	260
gene-b0443	36
gene-b0444	324
gene-b0445	1427
gene-b0446	1956
gene-b0447	623
gene-b0448	520
gene-b0449	301
gene-b0450	0
gene-b0451	33
gene-b0452	236
gene-b0453	2067
gene-b0454	637
gene-b0455	42
gene-b0456	190
gene-b0457	470
gene-b0458	1312
gene-b0459	196
gene-b0460	1247
gene-b0461	1634
gene-b0462	2763
gene-b0463	949
gene-b0464	508
gene-b0465	2596
gene-b0466	89
gene-b0467	378
gene-b0468	312
gene-b0469	50
gene-b0470	165
gene-b0471	921
gene-b0472	523
gene-b0473	25437
gene-b0474	330
gene-b0475	898
gene-b0476	531
gene-b0477	15
gene-b0478	3497
gene-b0479	82
gene-b0480	1220
gene-b0481	127
gene-b4585	64
gene-b0482	180
gene-b0483	2051
gene-b0484	5642
gene-b0485	726
gene-b0486	922
gene-b0487	880
gene-b0488	2220
gene-b0489	7072
gene-b0490	25
gene-b0491	196
gene-b0492	3954
gene-b0493	128
gene-b0494	1914
gene-b0495	590
gene-b0496	340
gene-b0497	576
gene-b0498	40
gene-b0502	49
gene-b0503	97
gene-b0504	10
gene-b0505	236
gene-b0506	11003
gene-b0507	168
gene-b0508	38
gene-b0509	22
gene-b0511	116
gene-b0512	84
gene-b0513	41
gene-b0514	180
gene-b0515	21
gene-b0516	95
gene-b0517	2
gene-b0518	2
gene-b4572	53
gene-b0520	84
gene-b0521	26
gene-b0522	103
gene-b0523	2
gene-b0524	743
gene-b0525	3341
gene-b0526	311
gene-b0527	52
gene-b0528	573
gene-b0529	1392
gene-b0530	53
gene-b0531	1
gene-b0532	47
gene-b0533	2
gene-b0534	0
gene-b0535	6
gene-b0536	400
gene-b0537	704
gene-b0540	13
gene-b0541	0
gene-b0543	502
gene-b4733	192
gene-b0544	4
gene-b0545	592
gene-b0546	468
gene-b4588	30
gene-b0547	29
gene-b0548	0
gene-b0549	0
gene-b0550	0
gene-b4509	0
gene-b0551	40
gene-b0552	98
gene-b0554	0
gene-b0555	110
gene-b0556	40
gene-b4510	30
gene-b0557	16
gene-b0558	3
gene-b0559	13
gene-b4589	6
gene-b0560	19
gene-b0561	36
gene-b0563	4
gene-b0564	540
gene-b0565	2087
gene-b0566	100
gene-b0567	443
gene-b0568	577
gene-b0569	758
gene-b0570	51
gene-b0571	42
gene-b0572	5
gene-b0573	2
gene-b0574	54
gene-b0575	191
gene-b0576	203
gene-b0577	371
gene-b0578	680
gene-b0579	260
gene-b0580	937
gene-b0581	4014
gene-b4700	1
gene-b4415	14
gene-b0582	24
gene-b0583	81
gene-b0584	710
gene-b0585	1705
gene-b4511	294
gene-b0586	2766
gene-b0587	2
gene-b0588	94
gene-b0589	24
gene-b0590	143
gene-b0591	370
gene-b0592	554
