Geneid	1714__30min_MOXI_N=3_library-read-1.fastq.gz
gene-b0001	1707
gene-b0002	736
gene-b0003	1526
gene-b0004	918
gene-b0005	123
gene-b0006	187
gene-b0007	253
gene-b0008	19727
gene-b0009	621
gene-b0010	934
gene-b0011	235
gene-b0012	214
gene-b0013	4
gene-b0014	871814
gene-b0015	34936
gene-b0016	389
gene-b4412	535
gene-b0018	565
gene-b4413	132
gene-b0019	20383
gene-b0020	2199
gene-b0021	26
gene-b0022	8
gene-b0023	2728
gene-b0024	781
gene-b0025	2373
gene-b0026	13770
gene-b0027	1822
gene-b0028	611
gene-b0029	1107
gene-b0030	623
gene-b0031	587
gene-b0032	89
gene-b0033	483
gene-b0034	52
gene-b0035	71
gene-b0036	86
gene-b0037	322
gene-b0038	417
gene-b0039	457
gene-b0040	44
gene-b0041	29
gene-b0042	59
gene-b0043	27
gene-b0044	0
gene-b0045	40
gene-b0046	474
gene-b0047	523
gene-b0048	1671
gene-b0049	1292
gene-b0050	2633
gene-b0051	3133
gene-b0052	436
gene-b0053	8610
gene-b0054	16244
gene-b0055	317
gene-b0056	1014
gene-b0057	833
gene-b0058	2496
gene-b0059	17164
gene-b0060	14766
gene-b0061	148
gene-b0062	1405
gene-b0063	1466
gene-b0064	1570
gene-b0065	2998
gene-b0066	327
gene-b0067	94
gene-b0068	487
gene-b0069	404
gene-b4577	36
gene-b4662	21
gene-b0070	633
gene-b0071	1539
gene-b0072	1568
gene-b0073	1767
gene-b0074	1697
gene-b0075	37
gene-b0076	205
gene-b4726	0
gene-b0077	1223
gene-b0078	259
gene-b0080	1462
gene-b0081	5472
gene-b0082	6463
gene-b0083	1923
gene-b0084	624
gene-b0085	811
gene-b0086	623
gene-b0087	492
gene-b0088	668
gene-b0089	674
gene-b0090	686
gene-b0091	850
gene-b0092	1428
gene-b0093	3676
gene-b0094	4997
gene-b0095	10900
gene-b0096	192039
gene-b0097	3279
gene-b0098	15102
gene-b0099	197
gene-b0101	501
gene-b0102	1694
gene-b0103	2040
gene-b4727	2
gene-b0104	1142
gene-b0106	139
gene-b0107	158
gene-b0108	8
gene-b0109	574
gene-b0110	337
gene-b0111	751
gene-b0112	1549
gene-b0113	817
gene-b0114	21856
gene-b0115	9274
gene-b0116	11131
gene-b0117	295
gene-b0118	20351
gene-b0119	6206
gene-b0120	1453
gene-b0121	1499
gene-b0122	754
gene-b0123	914
gene-b0124	19343
gene-b0125	1254
gene-b0126	2309
gene-b0127	695
gene-b0128	644
gene-b0129	498
gene-b0130	508
gene-b0131	1836
gene-b0132	444
gene-b0133	2820
gene-b0134	2225
gene-b0135	106
gene-b0136	60
gene-b0137	186
gene-b0138	28
gene-b0139	224
gene-b0140	22
gene-b0141	24
gene-b0142	252
gene-b0143	3529
gene-b0144	1347
gene-b0145	20541
gene-b0146	27381
gene-b0147	187
gene-b0148	4843
gene-b0149	3975
gene-b0150	10288
gene-b0151	1172
gene-b0152	162
gene-b0153	442
gene-b0154	2974
gene-b0155	5305
gene-b4728	2419
gene-b0156	11352
gene-b0157	321
gene-b0158	435
gene-b0159	3691
gene-b0160	495
gene-b0161	5684
gene-b0162	443
