Geneid	1714__30min_-_library-read-1.fastq.gz
gene-b0001	2007
gene-b0002	1422
gene-b0003	3684
gene-b0004	2195
gene-b0005	88
gene-b0006	284
gene-b0007	208
gene-b0008	11426
gene-b0009	530
gene-b0010	634
gene-b0011	455
gene-b0012	347
gene-b0013	31
gene-b0014	615443
gene-b0015	31519
gene-b0016	429
gene-b4412	1167
gene-b0018	1260
gene-b4413	413
gene-b0019	17986
gene-b0020	1442
gene-b0021	68
gene-b0022	18
gene-b0023	1134
gene-b0024	866
gene-b0025	2764
gene-b0026	28279
gene-b0027	3101
gene-b0028	1013
gene-b0029	1371
gene-b0030	403
gene-b0031	1087
gene-b0032	21
gene-b0033	526
gene-b0034	100
gene-b0035	89
gene-b0036	20
gene-b0037	331
gene-b0038	511
gene-b0039	415
gene-b0040	16
gene-b0041	2
gene-b0042	22
gene-b0043	29
gene-b0044	31
gene-b0045	52
gene-b0046	453
gene-b0047	616
gene-b0048	4887
gene-b0049	1738
gene-b0050	7456
gene-b0051	8000
gene-b0052	277
gene-b0053	10435
gene-b0054	23920
gene-b0055	296
gene-b0056	1467
gene-b0057	1075
gene-b0058	2910
gene-b0059	11625
gene-b0060	4854
gene-b0061	452
gene-b0062	3049
gene-b0063	3374
gene-b0064	3012
gene-b0065	3201
gene-b0066	614
gene-b0067	36
gene-b0068	76
gene-b0069	314
gene-b4577	92
gene-b4662	48
gene-b0070	1057
gene-b0071	1866
gene-b0072	1672
gene-b0073	1392
gene-b0074	1451
gene-b0075	35
gene-b0076	75
gene-b4726	0
gene-b0077	1384
gene-b0078	219
gene-b0080	3853
gene-b0081	5720
gene-b0082	11287
gene-b0083	3559
gene-b0084	828
gene-b0085	642
gene-b0086	473
gene-b0087	516
gene-b0088	710
gene-b0089	575
gene-b0090	882
gene-b0091	1483
gene-b0092	3311
gene-b0093	8053
gene-b0094	10072
gene-b0095	22550
gene-b0096	217495
gene-b0097	1978
gene-b0098	10660
gene-b0099	234
gene-b0101	810
gene-b0102	2224
gene-b0103	3400
gene-b4727	3
gene-b0104	471
gene-b0106	133
gene-b0107	99
gene-b0108	0
gene-b0109	428
gene-b0110	322
gene-b0111	1255
gene-b0112	2586
gene-b0113	977
gene-b0114	21860
gene-b0115	10454
gene-b0116	6854
gene-b0117	344
gene-b0118	22259
gene-b0119	10690
gene-b0120	1702
gene-b0121	663
gene-b0122	642
gene-b0123	1112
gene-b0124	22673
gene-b0125	667
gene-b0126	963
gene-b0127	1037
gene-b0128	1036
gene-b0129	443
gene-b0130	371
gene-b0131	838
gene-b0132	774
gene-b0133	1681
gene-b0134	752
gene-b0135	147
gene-b0136	18
gene-b0137	192
gene-b0138	1
gene-b0139	158
gene-b0140	38
gene-b0141	18
gene-b0142	52
gene-b0143	595
gene-b0144	1127
gene-b0145	26219
gene-b0146	55668
gene-b0147	167
gene-b0148	3734
gene-b0149	4551
gene-b0150	11574
gene-b0151	705
gene-b0152	99
gene-b0153	1637
gene-b0154	6791
gene-b0155	6822
gene-b4728	3723
gene-b0156	18670
gene-b0157	176
gene-b0158	153
gene-b0159	2915
gene-b0160	496
gene-b0161	5461
gene-b0162	968
gene-b0163	2241
gene-b0164	99
gene-b0166	1070
gene-b0167	2234
gene-b0168	2450
gene-b4414	2930
gene-b0169	53295
gene-b0170	10221
gene-b0171	2660
gene-b0172	19807
gene-b0173	1725
gene-b0174	555
gene-b0175	2774
gene-b0176	3246
gene-b0177	7236
gene-b0178	12387
gene-b0179	15403
gene-b0180	7840
gene-b0181	5135
gene-b0182	1184
gene-b0183	64
gene-b0184	5344
gene-b0185	3726
gene-b0186	4766
gene-b0187	938
gene-b0188	968
gene-b0189	7345
gene-b4406	7580
gene-b0190	291
gene-b0191	927
gene-b0192	1899
gene-b0193	117
gene-b0194	9195
gene-b0195	290
gene-b0196	208
gene-b0197	852
gene-b0198	76
gene-b0199	84
gene-b0200	216
gene-b0201	94982
gene-b0202	0
gene-b0203	2
gene-b0204	212972
gene-b0205	133
gene-b0206	235
gene-b0207	657
gene-b0208	779
gene-b0209	9041
gene-b0210	1035
gene-b0211	788
gene-b0212	299
gene-b0213	541
gene-b0214	288
gene-b0215	8119
gene-b0216	207
gene-b0217	29
gene-b4586	18
gene-b0219	2826
gene-b0220	446
gene-b0221	71127
gene-b0222	1038
gene-b0223	935
gene-b0224	752
gene-b0225	8377
gene-b0226	7395
gene-b0227	408
gene-b0228	215
gene-b0231	2605
gene-b0232	338
gene-b0233	296
gene-b0234	33
gene-b0237	3197
gene-b0238	461
gene-b0239	2217
gene-b4710	759
gene-b4709	4
gene-b0241	32
gene-b0242	4081
gene-b0243	4713
gene-b0244	213
gene-b0245	53
gene-b0246	66
gene-b4504	13
gene-b0247	16
gene-b0248	176
gene-b0249	238
gene-b0250	7699
gene-b0251	89
gene-b0252	87
gene-b0253	1057
gene-b0254	120
gene-b0256	756
gene-b4690	32
gene-b0258	191
gene-b0259	0
gene-b0260	330
gene-b0261	875
gene-b0262	162
gene-b0264	0
gene-b0265	25
gene-b0266	220
gene-b0267	78
gene-b0268	2042
gene-b0269	2131
gene-b0270	297
gene-b0271	671
gene-b0272	141
gene-b0273	338
gene-b4688	18
gene-b0274	27
gene-b0275	3
gene-b0276	680
gene-b0277	1093
