Geneid	1714__30min_-_N=3_library-read-1.fastq.gz
gene-b0001	4481
gene-b0002	1237
gene-b0003	2717
gene-b0004	1630
gene-b0005	264
gene-b0006	392
gene-b0007	121
gene-b0008	11451
gene-b0009	616
gene-b0010	905
gene-b0011	590
gene-b0012	485
gene-b0013	18
gene-b0014	1197696
gene-b0015	65264
gene-b0016	1138
gene-b4412	1278
gene-b0018	1379
gene-b4413	430
gene-b0019	24141
gene-b0020	2547
gene-b0021	22
gene-b0022	26
gene-b0023	1478
gene-b0024	994
gene-b0025	3055
gene-b0026	38924
gene-b0027	3833
gene-b0028	1567
gene-b0029	1262
gene-b0030	330
gene-b0031	1396
gene-b0032	74
gene-b0033	535
gene-b0034	74
gene-b0035	164
gene-b0036	69
gene-b0037	343
gene-b0038	417
gene-b0039	437
gene-b0040	50
gene-b0041	29
gene-b0042	18
gene-b0043	55
gene-b0044	33
gene-b0045	98
gene-b0046	1266
gene-b0047	1039
gene-b0048	3705
gene-b0049	1737
gene-b0050	10884
gene-b0051	10620
gene-b0052	517
gene-b0053	20998
gene-b0054	38118
gene-b0055	432
gene-b0056	2708
gene-b0057	2533
gene-b0058	3958
gene-b0059	20979
gene-b0060	7565
gene-b0061	308
gene-b0062	2393
gene-b0063	2101
gene-b0064	3255
gene-b0065	4198
gene-b0066	670
gene-b0067	74
gene-b0068	68
gene-b0069	527
gene-b4577	147
gene-b4662	86
gene-b0070	1310
gene-b0071	3164
gene-b0072	2398
gene-b0073	1823
gene-b0074	2126
gene-b0075	213
gene-b0076	104
gene-b4726	2
gene-b0077	1421
gene-b0078	121
gene-b0080	2050
gene-b0081	4006
gene-b0082	10029
gene-b0083	3588
gene-b0084	1003
gene-b0085	630
gene-b0086	629
gene-b0087	290
gene-b0088	719
gene-b0089	578
gene-b0090	1083
gene-b0091	1600
gene-b0092	3459
gene-b0093	8489
gene-b0094	9899
gene-b0095	20514
gene-b0096	151169
gene-b0097	2698
gene-b0098	12679
gene-b0099	331
gene-b0101	1356
gene-b0102	2965
gene-b0103	3747
gene-b4727	63
gene-b0104	590
gene-b0106	245
gene-b0107	117
gene-b0108	4
gene-b0109	303
gene-b0110	252
gene-b0111	1081
gene-b0112	3169
gene-b0113	778
gene-b0114	22670
gene-b0115	7962
gene-b0116	8323
gene-b0117	357
gene-b0118	18822
gene-b0119	7162
gene-b0120	2751
gene-b0121	1214
gene-b0122	1042
gene-b0123	2050
gene-b0124	35545
gene-b0125	1078
gene-b0126	1369
gene-b0127	1255
gene-b0128	1013
gene-b0129	262
gene-b0130	563
gene-b0131	604
gene-b0132	864
gene-b0133	2535
gene-b0134	651
gene-b0135	137
gene-b0136	86
gene-b0137	297
gene-b0138	31
gene-b0139	155
gene-b0140	13
gene-b0141	0
gene-b0142	82
gene-b0143	1118
gene-b0144	1648
gene-b0145	25267
gene-b0146	57321
gene-b0147	179
gene-b0148	4657
gene-b0149	3908
gene-b0150	13188
gene-b0151	812
gene-b0152	58
gene-b0153	2430
gene-b0154	5120
gene-b0155	10774
gene-b4728	5548
gene-b0156	30505
gene-b0157	398
gene-b0158	326
gene-b0159	2505
gene-b0160	763
gene-b0161	5548
gene-b0162	752
gene-b0163	2871
gene-b0164	20
gene-b0166	1174
gene-b0167	3054
gene-b0168	2816
gene-b4414	7045
gene-b0169	116072
gene-b0170	14100
gene-b0171	5277
gene-b0172	27217
gene-b0173	2058
gene-b0174	972
gene-b0175	3191
gene-b0176	4562
gene-b0177	9207
gene-b0178	14745
gene-b0179	24499
gene-b0180	9943
gene-b0181	4373
gene-b0182	1668
gene-b0183	61
gene-b0184	9785
gene-b0185	4022
gene-b0186	8633
gene-b0187	1585
gene-b0188	1416
gene-b0189	10903
gene-b4406	9088
gene-b0190	319
gene-b0191	959
gene-b0192	2052
gene-b0193	169
gene-b0194	8179
gene-b0195	385
gene-b0196	267
gene-b0197	1509
gene-b0198	102
gene-b0199	195
gene-b0200	300
gene-b0201	78426
gene-b0202	8
gene-b0203	30
gene-b0204	126127
gene-b0205	125
gene-b0206	285
gene-b0207	1137
gene-b0208	1675
gene-b0209	9762
gene-b0210	1002
gene-b0211	1133
gene-b0212	572
gene-b0213	962
gene-b0214	560
gene-b0215	11323
gene-b0216	497
gene-b0217	20
gene-b4586	18
gene-b0219	2751
gene-b0220	535
gene-b0221	41957
gene-b0222	2112
gene-b0223	1443
gene-b0224	1476
gene-b0225	14126
gene-b0226	11334
gene-b0227	246
gene-b0228	335
gene-b0231	3072
gene-b0232	524
gene-b0233	586
gene-b0234	21
gene-b0237	1943
gene-b0238	654
gene-b0239	2472
gene-b4710	1351
gene-b4709	9
gene-b0241	44
gene-b0242	5280
gene-b0243	4935
gene-b0244	253
gene-b0245	63
gene-b0246	39
gene-b4504	16
gene-b0247	26
gene-b0248	59
gene-b0249	267
gene-b0250	14502
gene-b0251	157
gene-b0252	157
gene-b0253	1554
gene-b0254	244
gene-b0256	1008
gene-b4690	83
gene-b0258	353
gene-b0259	27
gene-b0260	250
gene-b0261	718
gene-b0262	102
gene-b0264	1
gene-b0265	25
gene-b0266	398
gene-b0267	122
gene-b0268	1455
gene-b0269	1348
gene-b0270	347
gene-b0271	660
gene-b0272	283
gene-b0273	137
gene-b4688	78
gene-b0274	80
gene-b0275	0
gene-b0276	740
gene-b0277	1035
gene-b0278	71
gene-b0279	56
gene-b4729	33
gene-b0280	890
gene-b0281	1287
gene-b0282	288
gene-b0283	2129
gene-b0284	3470
gene-b0285	1984
gene-b0286	600
gene-b0287	430
gene-b0288	298
gene-b0289	297
gene-b0290	679
gene-b0291	318
gene-b0292	63
gene-b0293	93
gene-b0294	22
gene-b0295	13851
gene-b4506	17759
gene-b0296	23293
gene-b4671	44
gene-b0298	3
gene-b0299	36
gene-b0301	38
gene-b0303	18
gene-b0304	789
gene-b0305	66
gene-b0306	95
gene-b0307	531
gene-b0308	681
gene-b0310	25
gene-b0311	284
gene-b0312	955
gene-b0313	381
gene-b0314	3743
gene-b4730	7
gene-b0315	226
gene-b0316	140
gene-b0317	262
gene-b0318	50
gene-b0319	108
gene-b0320	179
gene-b0321	226
gene-b0322	359
gene-b0323	146
gene-b0324	1613
gene-b0325	10762
gene-b0326	31
gene-b0327	268
gene-b0328	409
gene-b0329	29298
gene-b0330	3656
gene-b0331	35640
gene-b0333	13501
gene-b0334	6046
gene-b0335	3654
gene-b0336	60
gene-b0337	580
gene-b0338	182
gene-b0339	162
gene-b0340	109
gene-b0341	137
gene-b0342	64
gene-b0343	304
gene-b0344	452
gene-b0345	1163
gene-b0346	6007
gene-b0347	157
gene-b0348	70
gene-b0349	32
gene-b0350	80
gene-b0351	384
gene-b0352	486
gene-b0353	1398
gene-b0354	1064
gene-b0355	503
gene-b0356	612
gene-b0357	104
gene-b0358	1420
gene-b0360	12
gene-b0361	28
gene-b0363	907
gene-b4731	2
gene-b0364	2
gene-b0365	114
gene-b0366	147
gene-b0367	317
gene-b0368	406
gene-b0369	1444
gene-b0372	71
gene-b0373	48
gene-b0375	89
gene-b0376	642
gene-b0377	1313
gene-b0378	1151
gene-b0379	188
gene-b0380	2115
gene-b0381	2381
gene-b0382	2832
gene-b0383	1011
gene-b0384	11358
gene-b0385	10894
gene-b0386	730
gene-b0387	155
gene-b0388	449
gene-b0389	5295
gene-b0390	908
gene-b0391	2344
gene-b4732	164
gene-b0393	1268
gene-b0394	2307
gene-b0396	1606
gene-b0397	443
gene-b0398	950
gene-b0399	1689
gene-b0400	1078
gene-b0401	19680
gene-b0402	2212
gene-b0403	1149
gene-b0404	1571
gene-b0405	216
gene-b0406	490
gene-b0407	911
gene-b0408	2476
gene-b0409	4411
gene-b0410	250
gene-b0411	2230
gene-b0412	657
gene-b0413	893
gene-b0414	1523
gene-b0415	1123
gene-b0416	4289
gene-b0417	486
gene-b0418	1380
gene-b0419	12865
gene-b0420	1290
gene-b0421	1077
gene-b0422	915
gene-b0423	3395
gene-b0424	3324
gene-b0425	4080
gene-b0426	19594
gene-b0427	415
gene-b0428	1888
gene-b0429	1120
gene-b0430	2752
gene-b0431	3928
gene-b0432	1130
gene-b0433	73
gene-b0434	212
gene-b0435	47097
gene-b0436	942
gene-b0437	24717
gene-b0438	154833
gene-b0439	60772
gene-b0440	482
gene-b0441	1642
gene-b0442	287
gene-b0443	461
gene-b0444	359
gene-b0445	1617
gene-b0446	3108
gene-b0447	1052
