	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	width	start	end	strand	threshold_OE
1	gene-b1580	10377.2825249819	-3.10401049099563	0.351637968874872	-8.82729046845386	1.07242026447841e-18	3.81781614154314e-15	rspB	1020	1652896	1653915	-	TRUE
2	gene-b1581	8203.1680629621	-3.1303452544582	0.367111615836406	-8.52695779545467	1.50246654059219e-17	2.6743904422541e-14	rspA	1215	1653927	1655141	-	TRUE
3	gene-b4237	3239.49320569401	2.28431943052789	0.290998496536448	7.84993550728459	4.16251266010156e-15	4.93951502332052e-12	nrdG	465	4461141	4461605	-	TRUE
4	gene-b4238	63338.4577080761	2.22432492377959	0.296794356954967	7.49449870476171	6.6552225211633e-14	5.92314804383534e-11	nrdD	2139	4461763	4463901	-	TRUE
5	gene-b4534	136.378975686091	-2.98622633237137	0.440087837560195	-6.78552342851991	1.15666377966373e-11	8.23544611120576e-09	ynfP	111	1652728	1652838	-	TRUE
6	gene-b3599	15335.9433398347	-1.61878906147654	0.282202366963282	-5.73627031869354	9.67841472397705e-09	5.74252606955972e-06	mtlA	1914	3772281	3774194	+	TRUE
7	gene-b2670	3224.0439365554	1.97529205527869	0.364804245001312	5.41466302090752	6.14042370310159e-08	3.12284405472024e-05	alaE	450	2799164	2799613	+	TRUE
8	gene-b1848	1978.78103504508	1.58632492688688	0.294472120358537	5.38701227455908	7.1638543514703e-08	3.18791518640429e-05	yebG	291	1930457	1930747	-	TRUE
9	gene-b1164	2495.05880880127	-1.63316158318902	0.309904940979913	-5.26987913785754	1.36513617508672e-07	4.85988478330871e-05	ycgZ	237	1215789	1216025	+	TRUE
10	gene-b2674	10218.2914157519	1.52955442322312	0.289856436108805	5.27693793436748	1.31360351762331e-07	4.85988478330871e-05	nrdI	411	2800965	2801375	+	TRUE
11	gene-b1167	635.596937141407	-1.8253580855883	0.352500541490355	-5.17831285555129	2.23901524688079e-07	7.24626752626874e-05	ymgC	249	1216748	1216996	+	TRUE
12	gene-b4305	4080.55445549261	-1.49797937547377	0.290813082715078	-5.15100407962528	2.59095552177049e-07	7.68650138125245e-05	sgcX	1122	4531771	4532892	-	TRUE
13	gene-b2673	6186.08892669062	1.72143999652337	0.347186935794474	4.95825107181574	7.11306020019868e-07	0.000180874959376481	nrdH	246	2800723	2800968	+	TRUE
14	gene-b3123	7541.22459437781	1.35373044630676	0.27233940714447	4.97074757010334	6.66952380265922e-07	0.000180874959376481	rnpB	377	3270216	3270592	-	TRUE
15	gene-b2616	12943.8992802699	1.3390888318871	0.271870028895131	4.9254742691907	8.41559848701233e-07	0.000199730204091759	recN	1662	2751795	2753456	+	TRUE
16	gene-b3927	80509.045577152	-1.31307596847741	0.271275631884623	-4.84037567014453	1.29593913275249e-06	0.000288346457037429	glpF	846	4118486	4119331	-	TRUE
17	gene-b0528	495.812684787086	1.52591821191973	0.319517316374531	4.77569800984147	1.79084975194935e-06	0.000375025006878805	ybcJ	213	556661	556873	-	TRUE
18	gene-b3935	688.708219436544	1.58102269168395	0.332637661678775	4.75298763136066	2.00432613896729e-06	0.000396411169706864	priA	2199	4125853	4128051	-	TRUE
19	gene-b0759	1737.51712388561	1.51942456230174	0.320425523106298	4.74189617472416	2.1172713035783e-06	0.000396709781091512	galE	1017	791039	792055	-	TRUE
20	gene-b1165	3529.3390176678	-1.49919226368321	0.317368749901964	-4.72381815836095	2.31457393447392e-06	0.000411994160336358	ymgA	273	1216068	1216340	+	TRUE
21	gene-b3600	11774.9376418461	-1.28401025305081	0.275120891729908	-4.66707651671671	3.05515578187084e-06	0.000517921646831437	mtlD	1149	3774424	3775572	+	TRUE
