	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	width	start	end	strand	threshold_OE
1	gene-b3162	98747.1972528209	5.93781208536303	0.220148015461839	26.9719082995428	3.1573689404899e-160	1.39524133480249e-156	deaD	1890	3305971	3307860	-	TRUE
2	gene-b3707	92364.247894381	-7.08382508197772	0.270666349321151	-26.1717982296078	5.56729519648444e-151	1.23009387366324e-147	tnaC	75	3888435	3888509	+	TRUE
3	gene-b3604	15240.4154104244	-5.66350213151317	0.231040481003579	-24.513029521547	1.07279847649265e-132	1.58023215587367e-129	lldR	777	3779054	3779830	+	TRUE
4	gene-b4311	26516.8955381022	-5.58896665474513	0.241961081410588	-23.0986182660555	4.78041981294354e-118	5.28116878834937e-115	nanC	717	4540026	4540742	-	TRUE
5	gene-b1505	2299.91948130066	5.94012317573464	0.257750071869998	23.0460582712492	1.61106399965119e-117	1.42385836289172e-114	ydeT	1149	1588853	1590001	-	TRUE
6	gene-b4430	2623.8451071748	6.61423754197123	0.294822923863161	22.4346107667027	1.80885108922349e-111	1.3322188272131e-108	rydB	68	1764713	1764780	-	TRUE
7	gene-b4280	131463.772085169	-5.62701194824103	0.260811608146198	-21.5750057608126	3.0844212360548e-103	1.94715106316088e-100	yjhC	1119	4506528	4507646	+	TRUE
8	gene-b0963	64469.7297961514	-4.71459167941175	0.223386198544148	-21.1051162074366	7.13790791767174e-99	3.94280188602393e-96	mgsA	459	1026557	1027015	-	TRUE
9	gene-b2278	59505.6966352369	-4.71418962483696	0.22512981856552	-20.9398721807479	2.32081017388542e-97	1.13951779537774e-94	nuoL	1842	2393205	2395046	-	TRUE
10	gene-b4685	6208.97876536589	5.7322989564888	0.275898273741051	20.7768569145487	7.01003682670603e-96	3.0977352737214e-93	yrbN	81	3307853	3307933	-	TRUE
11	gene-b0727	83581.9521256607	-4.93317948551537	0.246286510190379	-20.0302464057086	3.00169108054669e-89	1.2058611713578e-86	sucB	1218	761522	762739	+	TRUE
12	gene-b3609	64464.5560985948	-4.96257137661227	0.250420037978921	-19.8169899528167	2.12441467336056e-87	7.82315703465027e-85	secB	468	3783661	3784128	-	TRUE
13	gene-b3603	25664.8041658277	-5.53231799863879	0.280845811957209	-19.6987733592471	2.20907461227852e-86	7.50915439358368e-84	lldP	1656	3777399	3779054	+	TRUE
14	gene-b1824	96484.5318610942	-4.38837877004426	0.223910145739081	-19.5988384338688	1.58193789662774e-85	4.99327397514141e-83	yobF	144	1907448	1907591	-	TRUE
15	gene-b1823	241607.069207938	-4.75255636273235	0.242909353093332	-19.5651435492741	3.06539178659545e-85	9.03064420331019e-83	cspC	210	1907226	1907435	-	TRUE
16	gene-b4618	16931.4563954374	6.79007867098291	0.3487187883746	19.4715022457835	1.91570221818882e-84	5.29093006386025e-82	tisB	90	3853553	3853642	+	TRUE
17	gene-b1685	12695.2094421468	6.1721124787046	0.318483490763778	19.3796936346773	1.1452669734685e-83	2.97702044456312e-81	ydiH	189	1764934	1765122	-	TRUE
18	gene-b1976	13876.4700376196	-4.32679416519052	0.223931393426046	-19.3219632986362	3.51041840147476e-83	8.61807717562054e-81	mtfA	798	2043651	2044448	+	TRUE
19	gene-b3608	35115.1106691011	-4.54198785174372	0.238229142739614	-19.0656264784034	4.87405014216681e-81	1.13360145148606e-78	gpsA	1020	3782642	3783661	-	TRUE
20	gene-b1779	446699.473207965	-4.76049684313923	0.256434807072639	-18.5641602147666	6.26591602909965e-77	1.38445414662957e-74	gapA	996	1862771	1863766	+	TRUE
21	gene-b1502	803.038612565148	6.63562280532972	0.359522784716819	18.4567518038011	4.60198427480293e-76	9.68388976683531e-74	ydeQ	915	1586820	1587734	-	TRUE
22	gene-b2277	30528.1598591226	-4.54254600510074	0.246159338195774	-18.453681417879	4.87108945022855e-76	9.78424740025452e-74	nuoM	1530	2391512	2393041	-	TRUE
23	gene-b4310	47422.590849932	-5.37629176124301	0.29156925609	-18.4391586182306	6.37251375742249e-76	1.22435383887174e-73	nanM	1107	4538900	4540006	-	TRUE
24	gene-b3893	50173.7944658182	-4.44341112453189	0.241863054692343	-18.3715992927653	2.21779439371397e-75	4.08351392742585e-73	fdoH	903	4083098	4084000	-	TRUE
25	gene-b0728	36991.2873638334	-4.58708919628557	0.24991027028138	-18.3549447212428	3.01393719364932e-75	5.32743538349455e-73	sucC	1167	763014	764180	+	TRUE
26	gene-b3221	6114.38349232589	-5.00699010553728	0.273699558635834	-18.2937456329597	9.28129096574489e-75	1.57746249144718e-72	yhcH	465	3369014	3369478	-	TRUE
27	gene-b0508	1251.72889785204	5.8456839819428	0.320284056855832	18.2515609404001	2.01080837387895e-74	3.29102303858188e-72	hyi	777	535710	536486	+	TRUE
28	gene-b4014	107542.238622305	-3.97284779098546	0.218177442363838	-18.2092509103679	4.35869599646062e-74	6.87895628869981e-72	aceB	1602	4216719	4218320	+	TRUE
29	gene-b0278	2409.46120233594	4.61012586965342	0.254808534638218	18.0925096414018	3.6507692645557e-73	5.5630170276109e-71	yagL	699	293220	293918	-	TRUE
30	gene-b4279	72895.9951102385	-5.62016024892261	0.310910442373341	-18.0764602372986	4.88449172412032e-73	7.19485630962923e-71	yjhB	1218	4505299	4506516	+	TRUE
31	gene-b2616	31301.7101602504	4.39473083480873	0.244371051535638	17.9838438603593	2.6077117970669e-72	3.71725110685117e-70	recN	1662	2751795	2753456	+	TRUE
32	gene-b0019	26586.1844092151	4.42484982847992	0.246639119856464	17.9405839230007	5.68545444870379e-72	7.85125725275689e-70	nhaA	1167	17489	18655	+	TRUE
33	gene-b2281	12472.8955128386	-4.57859465637039	0.255988671317311	-17.8859268764085	1.51807651907132e-71	2.03284246599277e-69	nuoI	543	2395908	2396450	-	TRUE
34	gene-b3709	152708.832255933	-6.13542983853889	0.343189646402202	-17.8776658994789	1.76054659202735e-71	2.28819276181437e-69	tnaB	1248	3890236	3891483	+	TRUE
35	gene-b3116	60886.5401141947	-4.5274867564531	0.254861090205834	-17.7645271500509	1.33056684021289e-70	1.67993567625735e-68	tdcC	1332	3263686	3265017	-	TRUE
36	gene-b0578	10581.3350351702	-4.14726841966133	0.234267227062393	-17.7031523857017	3.96479639679804e-70	4.86678757706959e-68	nfsB	654	604771	605424	-	TRUE
37	gene-b4142	45181.6912711511	-3.98816862704488	0.225642533778076	-17.6747200993911	6.56655038340144e-70	7.84259084979756e-68	groS	294	4371929	4372222	+	TRUE
38	gene-b4058	60811.6004961189	3.98328114281507	0.226497977436368	17.5863872512245	3.13221073536242e-69	3.64243137883329e-67	uvrA	2823	4272290	4275112	-	TRUE
39	gene-b3115	26747.8455529029	-4.42060118658552	0.251913172529924	-17.5481144641629	6.14876630564095e-69	6.9670252063147e-67	tdcD	1209	3262452	3263660	-	TRUE
40	gene-b1722	1576.61675537041	4.52175777669962	0.258620832893173	17.4841203862621	1.8931160180831e-68	2.09141992097731e-66	ydiY	759	1805325	1806083	-	TRUE
41	gene-b2282	27943.0313496635	-4.55673911809548	0.260957776278542	-17.4615954468883	2.80970656480572e-68	3.02831544143329e-66	nuoH	978	2396465	2397442	-	TRUE
42	gene-b0720	89898.5059440428	-4.18502776928185	0.240580843031709	-17.3955154389839	8.92205280154043e-68	9.38727412619218e-66	gltA	1284	753185	754468	-	TRUE
43	gene-b3001	13807.420866331	-3.83135104869531	0.220410925141867	-17.382763790993	1.11450425110408e-67	1.1453475082858e-65	gpr	1041	3147897	3148937	+	TRUE
44	gene-b3605	14227.9472065758	-4.35278488890235	0.250531609490776	-17.3741944090396	1.29410896938343e-67	1.29969716720577e-65	lldD	1191	3779827	3781017	+	TRUE
45	gene-b3225	131816.697054093	-5.91858443082508	0.340948459824164	-17.3591763220677	1.68117998278173e-67	1.65091874309166e-65	nanA	894	3372683	3373576	-	TRUE
46	gene-b4015	83151.2632648711	-3.82458259179696	0.220368925251398	-17.3553625468467	1.79662683946721e-67	1.72593347904469e-65	aceA	1305	4218350	4219654	+	TRUE
47	gene-b1514	5262.33447121241	-3.96669873560923	0.229185969253759	-17.3077730217299	4.11006915690139e-67	3.86433949028664e-65	lsrC	1029	1603019	1604047	+	TRUE
48	gene-b0598	27162.9111864195	-3.79378674372705	0.219359074129566	-17.2948703343187	5.14185681282874e-67	4.73372192831046e-65	cstA	2106	629894	631999	+	TRUE
49	gene-b2463	41389.0270093878	-4.26649544604955	0.247418907260046	-17.2440153959831	1.24109119800222e-66	1.11926163346364e-64	maeB	2280	2576098	2578377	-	TRUE
50	gene-b0729	40941.6966669971	-4.6967142671128	0.272989840331276	-17.204721836583	2.44749216622253e-66	2.16309357650747e-64	sucD	870	764180	765049	+	TRUE
51	gene-b0841	7634.89663525518	3.84632012549072	0.223880112818621	17.1802670503693	3.73189301629728e-66	3.23357553706229e-64	ybjG	597	882792	883388	-	TRUE
52	gene-b3222	21293.7976048863	-5.09153118161589	0.297083109570961	-17.1384067878141	7.67242838583019e-66	6.52008866095838e-64	nanK	876	3369475	3370350	-	TRUE
53	gene-b4062	7518.9798986703	4.56534425307102	0.266712467280914	17.1171010474834	1.10650140401236e-65	9.22571642326532e-64	soxS	324	4278301	4278624	-	TRUE
54	gene-b0139	1209.78318430749	5.20577105424118	0.304752839035685	17.0819444068628	2.02264709785578e-65	1.65519954174531e-63	htrE	2598	152829	155426	-	TRUE
55	gene-b3927	102610.689187008	-5.58319130115758	0.32847317689362	-16.9974040314584	8.58378833023822e-65	6.89668375114958e-63	glpF	846	4118486	4119331	-	TRUE
56	gene-b1301	1034.41759297478	4.66053651067425	0.27457505329346	16.9736341840683	1.28714080970924e-64	1.01569200680449e-62	puuB	1281	1364232	1365512	+	TRUE
57	gene-b4000	15268.4462645579	-4.52281725880549	0.266815182440613	-16.9511240606114	1.88809158138324e-64	1.46376784177764e-62	hupA	273	4201522	4201794	+	TRUE
58	gene-b1014	65834.4501691513	-4.19905377811403	0.248145257189485	-16.9217571420581	3.11011502188672e-64	2.36958591064093e-62	putA	3963	1074920	1078882	-	TRUE
59	gene-b0726	168476.99609371	-4.70751691689978	0.278805214363766	-16.884608588266	5.84023544963734e-64	4.37423736473685e-62	sucA	2802	758706	761507	+	TRUE
60	gene-b2276	34568.9795519483	-4.30603603294208	0.255172656636975	-16.8749900153609	6.87365913095699e-64	5.06244994994982e-62	nuoN	1458	2390048	2391505	-	TRUE
61	gene-b1512	10022.5868041329	-4.18477738479217	0.248978129725468	-16.8078111495434	2.13925782706757e-63	1.54973448160845e-61	lsrR	954	1600288	1601241	-	TRUE
62	gene-b3236	160483.644785915	-4.92860265563492	0.29446738814249	-16.7373463211825	7.00418402699184e-63	4.99217567988338e-61	mdh	939	3383330	3384268	-	TRUE
63	gene-b1819	38848.1464411497	-3.89455900472987	0.232710524986157	-16.7356375693	7.20811577236724e-63	5.05597834890331e-61	manZ	852	1903895	1904746	+	TRUE
64	gene-b1660	4398.98175432124	4.13314042014754	0.247102884257147	16.7263948883996	8.41819618656962e-63	5.8125013981955e-61	ydhC	1212	1739911	1741122	+	TRUE
65	gene-b2014	5449.63398205778	3.99005417872051	0.238863234008086	16.7043462979549	1.21856096626113e-62	8.28433986139684e-61	plaP	1359	2085704	2087062	-	TRUE
66	gene-b2279	4370.92331058889	-4.47694670033315	0.268056479757179	-16.7015052364659	1.27799642858497e-62	8.55676699684394e-61	nuoK	303	2395043	2395345	-	TRUE
67	gene-b2904	13902.1801632532	-4.20358522255107	0.251963215238698	-16.6833290270915	1.73287112252777e-62	1.14291902842541e-60	gcvH	390	3049160	3049549	-	TRUE
68	gene-b3528	56941.7476169271	-4.86507317508061	0.292307915502507	-16.6436586799816	3.36419953466558e-62	2.18623496230694e-60	dctA	1287	3682161	3683447	-	TRUE
69	gene-b3610	16606.6629947664	-3.75816517264256	0.225949974215311	-16.6327311419003	4.03762511515444e-62	2.58583556287935e-60	grxC	252	3784191	3784442	-	TRUE
70	gene-b1945	18167.9936353852	-4.58299623412109	0.275590240524902	-16.6297479380696	4.24375781222257e-62	2.67902368174451e-60	fliM	1005	2020087	2021091	+	TRUE
71	gene-b2091	39282.5601082294	-4.57671411322483	0.275479972453372	-16.613600155632	5.55565823601246e-62	3.45781038661113e-60	gatD	1041	2171833	2172873	-	TRUE
72	gene-b1504	852.886473591073	6.77188504567674	0.408322094859782	16.5846647314106	8.99663491505728e-62	5.52168467911641e-60	ydeS	531	1588309	1588839	-	TRUE
73	gene-b1818	26266.1127368196	-3.96710712267741	0.240605838233862	-16.4879919448235	4.47578860671234e-61	2.70938491137833e-59	manY	801	1903082	1903882	+	TRUE
74	gene-b4060	979.417795699845	4.53343335196018	0.276343218609471	16.4050826894611	1.75887108559361e-60	1.05033126043759e-58	yjcB	282	4276001	4276282	-	TRUE
75	gene-b3224	60528.8685525317	-5.4292921666865	0.33218151557	-16.3443536506546	4.77204350080555e-60	2.81168803067463e-58	nanT	1491	3371084	3372574	-	TRUE
76	gene-b2374	762.199898641515	4.67334847699315	0.287832077536048	16.236371279389	2.78944062291223e-59	1.6219129095591e-57	frc	1251	2492004	2493254	-	TRUE
77	gene-b2175	43570.5849393197	-4.0658637443403	0.250774356908083	-16.2132356532393	4.06586851968776e-59	2.33338610240263e-57	mepS	567	2269979	2270545	+	TRUE
78	gene-b1847	15231.9194949164	4.30817944354417	0.2657722090612	16.2100449056061	4.28255579305996e-59	2.42623257045282e-57	yebF	357	1930034	1930390	-	TRUE
79	gene-b0320	1043.03955227879	4.50991981599172	0.278443429552298	16.1968979596434	5.30357670298125e-59	2.96664625955369e-57	yahF	1548	336778	338325	+	TRUE
80	gene-b3925	9924.89339318944	-3.89518822946808	0.241635824912432	-16.1200775211196	1.84377835212706e-58	1.01845706725619e-56	glpX	1011	4115810	4116820	-	TRUE
81	gene-b1858	14587.4736998541	3.82069817444529	0.238641487440892	16.0102009730878	1.08458923735516e-57	5.9170368393487e-56	znuC	756	1942662	1943417	+	TRUE
