	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	width	start	end	strand	threshold_OE
1	gene-b0996	1116.68306996577	3.34904251512933	0.233914815381026	14.3173595467822	1.70478281706117e-46	4.90295538186793e-43	torC	1173	1058084	1059256	+	TRUE
2	gene-b0997	3031.46462681567	3.08050297908594	0.21976131312785	14.0174944135586	1.21840867366918e-44	1.75207167273629e-41	torA	2547	1059256	1061802	+	TRUE
3	gene-b2670	2757.55553206132	1.81085283493137	0.21760386433627	8.32178619830483	8.6647502270119e-17	8.30660721762874e-14	alaE	450	2799164	2799613	+	TRUE
4	gene-b4062	6722.61529901339	1.59311896702771	0.212387512280135	7.50100111783605	6.33322504516678e-14	4.55358880747491e-11	soxS	324	4278301	4278624	-	TRUE
5	gene-b4237	2515.99963977225	1.6216526261503	0.241954829088607	6.70229493769035	2.05171387803715e-11	1.18014582264697e-08	nrdG	465	4461141	4461605	-	TRUE
6	gene-b4238	47915.0857776363	1.4798325583352	0.252841645670442	5.85280385440946	4.83354057396668e-09	2.31687711512136e-06	nrdD	2139	4461763	4463901	-	TRUE
7	gene-b2616	12766.6359742156	1.00432151377709	0.188408068065627	5.33056532073384	9.79075090073442e-08	4.02259994150174e-05	recN	1662	2751795	2753456	+	TRUE
8	gene-b0998	1130.71067673113	1.18558955844911	0.225942157438794	5.24731449804923	1.5433231619447e-07	5.54824676719119e-05	torD	600	1061799	1062398	+	TRUE
9	gene-b0759	1475.51046311397	1.05979604976813	0.205926439357375	5.14647877696224	2.65421477282581e-07	8.48169076294114e-05	galE	1017	791039	792055	-	TRUE
10	gene-b1111	1899.29603505229	1.07130966415012	0.209266888326341	5.11934626981916	3.06596572466077e-07	8.81771742412437e-05	comR	633	1168200	1168832	-	TRUE
11	gene-b2675	9111.67836361922	1.24862670356225	0.249704400002195	5.00041930999722	5.72057657152396e-07	0.000149567074724572	nrdE	2145	2801348	2803492	+	TRUE
12	gene-b3927	100206.6017616	-0.945972092713562	0.190726590499695	-4.95983328929206	7.05537016755861e-07	0.000169093705015821	glpF	846	4118486	4119331	-	TRUE
13	gene-b3926	116311.090286109	-0.939127849251266	0.200016012771179	-4.69526332537005	2.66263496497029e-06	0.00058905678148112	glpK	1509	4116955	4118463	-	TRUE
14	gene-b3846	8522.82458358436	-0.900387758797563	0.19463769332076	-4.62596809197558	3.72852701499875e-06	0.000765945978224029	fadB	2190	4030023	4032212	-	TRUE
15	gene-b1626	608.859607376154	1.01130463627959	0.22384018667806	4.51797620118189	6.24334994752773e-06	0.00119705829660598	ydgK	441	1705250	1705690	+	TRUE
16	gene-b3081	2503.93795261848	-0.951929198954702	0.215678159948527	-4.41365597324219	1.01639429989206e-05	0.00182696875405597	fadH	2019	3231665	3233683	+	TRUE
17	gene-b4539	3950.62350169807	0.82016230635456	0.189132258880812	4.33644853187849	1.44803313231572e-05	0.00244973134620001	yoeB	255	2089211	2089465	-	TRUE
18	gene-b3453	8194.93456772018	-0.873071437645978	0.2025082240847	-4.31128879625557	1.62305756899201e-05	0.00245679661495844	ugpB	1317	3591009	3592325	-	TRUE
19	gene-b4565	1555.63596547678	-0.903837852254476	0.209275991318522	-4.31887980345924	1.56823157395483e-05	0.00245679661495844	sgcB	279	4531496	4531774	-	TRUE
20	gene-b2621	2102193.48356334	0.761290855392357	0.181159862545906	4.20231526284938	2.64198836286786e-05	0.00379917926580399	ssrA	363	2755593	2755955	+	TRUE
21	gene-b3491	5873.655325244	0.830761367482442	0.19867612160313	4.18148573053962	2.89610429541966e-05	0.0039662837874414	yhiM	1053	3634841	3635893	+	TRUE
22	gene-b2607	17128.9206958594	0.796159206971009	0.19119791147257	4.16405807385208	3.12640538365535e-05	0.00408706449245127	trmD	768	2744572	2745339	-	TRUE
