	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	width	start	end	strand	threshold_OE
1	gene-b2616	24851.1951126011	3.98259195169279	0.257938766396028	15.4400674522034	8.80081815723453e-54	3.51152644473658e-50	recN	1662	2751795	2753456	+	TRUE
2	gene-b1183	1941.69903195926	3.42877612438866	0.255560950677724	13.4166668080388	4.82951184032443e-41	9.63487612144724e-38	umuD	420	1230767	1231186	+	TRUE
3	gene-b0958	22314.456196313	3.5587605324029	0.270087434476605	13.1763276558916	1.20095970426045e-39	1.5972764066664e-36	sulA	510	1020410	1020919	-	TRUE
4	gene-b1848	4045.42777096179	3.14183954322857	0.256126479208486	12.2667502123868	1.36627807285057e-34	1.36286237766844e-31	yebG	291	1930457	1930747	-	TRUE
5	gene-b2009	7982.99184462946	2.82743008263989	0.247868577231994	11.4069726554872	3.85928189042653e-30	3.07970694856037e-27	sbmC	474	2080789	2081262	-	TRUE
6	gene-b1847	5520.51836432376	2.8368594572073	0.249848398318668	11.3543231667591	7.05843836472446e-30	4.69386151254177e-27	yebF	357	1930034	1930390	-	TRUE
7	gene-b1184	6398.281196831	3.1580574349582	0.280771147480628	11.2477990110294	2.37443302162305e-29	1.35342682232514e-26	umuC	1269	1231186	1232454	+	TRUE
8	gene-b2008	3938.7297472986	2.87300900782208	0.266874717416325	10.7653847304696	5.01516410213997e-27	2.50131309594231e-24	yeeA	1059	2079533	2080591	-	TRUE
9	gene-b0231	2016.89693531694	2.30836405406846	0.269503573438985	8.56524470014518	1.07846565470638e-17	4.78119773586494e-15	dinB	1056	250898	251953	+	TRUE
10	gene-b3645	8617.32004757767	2.18568489327273	0.256602256686932	8.51779295121077	1.62622599408577e-17	6.48864171640223e-15	dinD	825	3817760	3818584	+	TRUE
11	gene-b2699	31275.3325428958	2.48122175364018	0.297599687726548	8.33744743684028	7.59113753500471e-17	2.75351261496989e-14	recA	1062	2822708	2823769	-	TRUE
12	gene-b2533	3272.51412771175	2.1957446522874	0.272604806427965	8.05468062379018	7.96866021401474e-16	2.6495795211599e-13	suhB	804	2663442	2664245	+	TRUE
13	gene-b0333	13517.7908383681	-2.34991539436658	0.298816590045503	-7.86407272102511	3.718414994345e-15	1.14126737134127e-12	prpC	1170	350012	351181	+	TRUE
14	gene-b1061	1193.37800070049	2.04265654659043	0.262024368083131	7.79567397312591	6.4065603476454e-15	1.82586969907894e-12	dinI	246	1121242	1121487	-	TRUE
15	gene-b4034	4913.06459420523	-2.47852956138513	0.320665759031754	-7.72932404404207	1.0811913733807e-14	2.87596905319267e-12	malE	1191	4246470	4247660	-	TRUE
16	gene-b2698	1407.13901973464	2.15673808276651	0.280467280609052	7.68980281080566	1.47361967203882e-14	3.6748390571468e-12	recX	501	2822139	2822639	-	TRUE
17	gene-b4033	1579.10545544808	-2.37984858560724	0.311090322263474	-7.65002449543144	2.00941031973515e-14	4.71620422102545e-12	malF	1545	4244772	4246316	-	TRUE
18	gene-b4036	2613.74812111167	-2.3647210107069	0.315355183957208	-7.49859565025504	6.45051741126181e-14	1.4298646928297e-11	lamB	1341	4249212	4250552	+	TRUE
19	gene-b1518	2637.25496409135	-1.92489603550168	0.258984583806098	-7.43247342066836	1.06585524618434e-13	2.23829601698712e-11	lsrG	291	1606999	1607289	+	TRUE
20	gene-b3417	2876.62083085671	-2.1137328138966	0.286938911385984	-7.36649067108662	1.75178196214916e-13	3.49480501448756e-11	malP	2394	3550080	3552473	-	TRUE
21	gene-b0334	8926.46821379344	-2.49257690288439	0.341936474361357	-7.28959058123249	3.10898349682672e-13	5.90706864397078e-11	prpD	1452	351215	352666	+	TRUE
22	gene-b1517	12649.9822888016	-1.77745998895456	0.246690616591185	-7.20521928849917	5.79505114728683e-13	1.0510115489852e-10	lsrF	876	1606100	1606975	+	TRUE
23	gene-b4035	1154.24676646326	-2.46586206715555	0.344055634441796	-7.16704457160313	7.66340881337813e-13	1.32943483327734e-10	malK	1116	4248025	4249140	+	TRUE
24	gene-b3162	6769.41515294876	1.90156003516986	0.267960874680968	7.09640927032292	1.2803993678933e-12	2.12866394912262e-10	deaD	1890	3305971	3307860	-	TRUE
25	gene-b4037	1554.37886773939	-2.33436321078853	0.352610853750948	-6.62022506101672	3.58652395210711e-11	5.72409222756295e-09	malM	921	4250795	4251715	+	TRUE
26	gene-b0232	608.531008001116	1.77971206902794	0.272680504984459	6.52673013470241	6.72210013493304e-11	1.03158382839934e-08	yafN	294	252005	252298	+	TRUE
27	gene-b4685	446.592859614265	1.77221938448966	0.273799197789933	6.47269750530591	9.62685600538248e-11	1.42263538746208e-08	yrbN	81	3307853	3307933	-	TRUE
28	gene-b4471	15736.5090189036	-2.15274445914025	0.336407370266956	-6.39921907011711	1.56173636950965e-10	2.22547432655125e-08	tdcG	1365	3258285	3259649	-	TRUE
29	gene-b3114	55588.1787880976	-1.54759873619373	0.245410286595815	-6.30616897792302	2.86026756593667e-10	3.9353336510646e-08	tdcE	2295	3260124	3262418	-	TRUE
30	gene-b1742	227.130019305352	1.81155233653453	0.288442618560445	6.2804600290193	3.37572664618503e-10	4.48971643942609e-08	ves	576	1824362	1824937	-	TRUE
31	gene-b4618	546.345323856559	1.80115546975348	0.287669470019345	6.26119785889116	3.82031429171836e-10	4.91711420127622e-08	tisB	90	3853553	3853642	+	TRUE
32	gene-b3880	524.216030499085	-1.68163289010425	0.26993551609695	-6.22975781186302	4.67156791274034e-10	5.82486124119811e-08	yihS	1242	4071756	4072997	-	TRUE
33	gene-b3502	741.259052189245	-1.63977767757301	0.269425128727369	-6.0862091272574	1.15615408449753e-09	1.39789539307428e-07	arsB	1290	3648935	3650224	+	TRUE
34	gene-b1519	3375.82200466882	-1.63532295958556	0.273834947618728	-5.9719293457842	2.34464076620963e-09	2.75150489916954e-07	tam	759	1607346	1608104	+	TRUE
35	gene-b0233	896.754414854708	1.74985894891793	0.294973101148489	5.93226616971102	2.98781734542044e-09	3.4061117737793e-07	yafO	399	252301	252699	+	TRUE
36	gene-b3661	633.100994055742	-1.60637220333627	0.272472021944538	-5.89554917188248	3.73437278427425e-09	4.13892983590396e-07	nlpA	819	3839175	3839993	-	TRUE
37	gene-b3544	7804.40857926111	-1.62030629704127	0.277260040176794	-5.84399503083128	5.09635487742782e-09	5.36126778025303e-07	dppA	1608	3706098	3707705	-	TRUE
38	gene-b3708	1595022.00377704	-1.4985831396225	0.256445052604366	-5.84368122684924	5.1059693145267e-09	5.36126778025303e-07	tnaA	1416	3888730	3890145	+	TRUE
39	gene-b2365	4346.46642734332	1.73600369624921	0.298500420821458	5.81574957741036	6.03627766068551e-09	6.1755763759321e-07	dsdX	1338	2477847	2479184	+	TRUE
40	gene-b0059	4968.60063354499	1.66997060318512	0.289276160952653	5.7729285319797	7.79054909191933e-09	7.77107271918953e-07	rapA	2907	60358	63264	-	TRUE
