	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	width	start	end	strand	threshold_OE
1	gene-b2670	5537.53199737267	3.79808412551456	0.233842545528458	16.2420577356071	2.54250531232859e-59	9.70474277715822e-56	alaE	450	2799164	2799613	+	TRUE
2	gene-b2616	16309.0642122449	2.21129033570474	0.212533385420806	10.4044375490773	2.36649449306248e-25	4.51645474000975e-22	recN	1662	2751795	2753456	+	TRUE
3	gene-b0759	2090.89439309067	2.36419530223149	0.235795597284372	10.0264607543976	1.16622171435823e-23	1.48382276123512e-20	galE	1017	791039	792055	-	TRUE
4	gene-b2289	12165.5461819506	1.9180190705865	0.209318329488028	9.16316824846528	5.03955508686878e-20	4.80899544164453e-17	lrhA	939	2405703	2406641	-	TRUE
5	gene-b0758	2165.90267344498	2.05640770683378	0.235322993613575	8.7386603206766	2.35890968007096e-18	1.50887311794546e-15	galT	1047	789983	791029	-	TRUE
6	gene-b3600	8740.720042975	-1.82752635871674	0.209145942710257	-8.73804356438571	2.37182046310526e-18	1.50887311794546e-15	mtlD	1149	3774424	3775572	+	TRUE
7	gene-b2659	10752.9336377832	-2.36366633545628	0.27457029168781	-8.60860190272806	7.3956998835241e-18	3.52867330692644e-15	csiD	978	2788985	2789962	+	TRUE
8	gene-b2660	2641.7804459234	-2.40648387488802	0.279268491120411	-8.61709770849309	6.86725309591066e-18	3.52867330692644e-15	lhgO	1269	2789982	2791250	+	TRUE
9	gene-b0871	10090.4546485496	-1.93258046800858	0.229055898437114	-8.4371565246514	3.25150900425989e-17	1.37900109658444e-14	poxB	1719	909331	911049	-	TRUE
10	gene-b3748	7303.56963258827	1.81258085024209	0.216589298501349	8.36874611434601	5.82345680521702e-17	2.22281346255134e-14	rbsD	420	3934592	3935011	+	TRUE
11	gene-b3403	16828.0967739162	1.69799716223756	0.206646435579306	8.21691967479354	2.08796817645479e-16	7.24524957229814e-14	pck	1623	3532818	3534440	+	TRUE
12	gene-b3588	7962.59734887726	-1.78103372412318	0.218362570616674	-8.15631414804012	3.45403341602287e-16	1.09867046241328e-13	aldB	1539	3754973	3756511	-	TRUE
13	gene-b2661	2891.04392398538	-1.91923270217895	0.235798056734248	-8.13930669641601	3.97547763017058e-16	1.16726139341239e-13	gabD	1449	2791273	2792721	+	TRUE
14	gene-b3032	5396.61856790463	1.70469651542323	0.213810016593736	7.97294973631827	1.54931199443048e-15	4.22408848767224e-13	cpdA	828	3176006	3176833	-	TRUE
15	gene-b1612	13269.95281742	1.65416596591736	0.207714620753421	7.96364723829928	1.67041033420858e-15	4.25063749711611e-13	fumA	1647	1686731	1688377	-	TRUE
16	gene-b3749	4064.30678286074	1.6985405294728	0.216998113053042	7.82744377623972	4.97889177104057e-15	1.18777686812887e-12	rbsA	1506	3935019	3936524	+	TRUE
17	gene-b3361	8741.94811405199	-1.63434309161399	0.209352663493579	-7.8066505786974	5.87277950959172e-15	1.31861172871245e-12	fic	603	3490861	3491463	-	TRUE
18	gene-b1111	1893.14776578308	1.86675497737389	0.240236596800563	7.77048543908408	7.81859009939389e-15	1.65797546718814e-12	comR	633	1168200	1168832	-	TRUE
19	gene-b2579	3347.46202936054	1.75361670606161	0.226468242354136	7.74332280691002	9.68517303369203e-15	1.94570028787381e-12	grcA	384	2716066	2716449	-	TRUE
20	gene-b2980	5804.87776326316	1.63772388695421	0.215590833970169	7.59644488030886	3.04376857861878e-14	5.80903233229393e-12	glcC	765	3128272	3129036	+	TRUE
21	gene-b3362	3645.17310902715	-1.72042759973361	0.227362947654546	-7.56687761784134	3.82301748279384e-14	6.9487893961067e-12	yhfG	168	3491453	3491620	-	TRUE
22	gene-b1848	1843.26543842702	1.90985643859061	0.253054145919475	7.54722445526876	4.4463192952881e-14	7.71436397732486e-12	yebG	291	1930457	1930747	-	TRUE
23	gene-b3728	5862.31856722151	1.72071022061513	0.22829403702358	7.53725433677183	4.79969659343051e-14	7.9654095204888e-12	pstS	1041	3910485	3911525	-	TRUE
24	gene-b0156	27270.4286109941	1.52310962947651	0.202390135087328	7.52561200089777	5.24739505978303e-14	8.34554455966325e-12	erpA	345	176610	176954	+	TRUE
