	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	width	start	end	strand	threshold_OE
1	gene-b2616	28414.8448448219	4.2461179274272	0.258474783406589	16.4275906201183	1.21386966825775e-60	5.25969727256083e-57	recN	1662	2751795	2753456	+	TRUE
2	gene-b0958	25297.1937471199	3.87273674493952	0.253454382351249	15.2798176500752	1.04231968197961e-52	2.25818559100883e-49	sulA	510	1020410	1020919	-	TRUE
3	gene-b1183	2197.40667434525	3.65158089150502	0.257693177690587	14.1702660669173	1.39969193210611e-45	2.02162171393859e-42	umuD	420	1230767	1231186	+	TRUE
4	gene-b1848	4786.87349989021	3.39660460683884	0.271160260378266	12.526188764167	5.36809548855065e-36	5.81498943797249e-33	yebG	291	1930457	1930747	-	TRUE
5	gene-b1847	6692.05537342947	3.1276096210615	0.253629921373396	12.33139057145	6.13782626039355e-35	5.31904023725705e-32	yebF	357	1930034	1930390	-	TRUE
6	gene-b1184	6926.41356108993	3.37385534360517	0.276436313550833	12.2048196210834	2.92957008353943e-34	2.11563786199606e-31	umuC	1269	1231186	1232454	+	TRUE
7	gene-b3547	4304.4415032185	4.44712814409508	0.369359392643356	12.0401111564235	2.18660818102927e-33	1.35351046405712e-30	yhjX	1209	3710799	3712007	-	TRUE
8	gene-b2009	8252.33172424049	2.88438647427096	0.25068377103786	11.5060758114866	1.22946615785647e-30	6.65909607749013e-28	sbmC	474	2080789	2081262	-	TRUE
9	gene-b2008	4309.33699814274	3.01982952121933	0.275952488934684	10.9432951044486	7.15511607120124e-28	3.444790881835e-25	yeeA	1059	2079533	2080591	-	TRUE
10	gene-b3162	10485.6446883796	2.56414688393036	0.273304878041696	9.38200189584309	6.47318181854958e-21	2.80482968197753e-18	deaD	1890	3305971	3307860	-	TRUE
11	gene-b2698	1956.77814381716	2.65751984488115	0.290214492284126	9.15708868969708	5.33162509366965e-20	2.10017559371551e-17	recX	501	2822139	2822639	-	TRUE
12	gene-b4036	2744.99409078914	-2.67127776303999	0.293379217747666	-9.10520446386066	8.61040977422575e-20	3.10907546264335e-17	lamB	1341	4249212	4250552	+	TRUE
13	gene-b2533	3539.31569096966	2.3733410312256	0.262024739909481	9.05769826179581	1.33232219286531e-19	4.44073235514262e-17	suhB	804	2663442	2664245	+	TRUE
14	gene-b2699	37464.4061448062	2.78057584065156	0.307811298070997	9.03337810560228	1.66452357041564e-19	5.15170045043641e-17	recA	1062	2822708	2823769	-	TRUE
15	gene-b4685	679.579625219233	2.44096514837427	0.27142828184362	8.99303908861129	2.40486677807564e-19	6.94685849960118e-17	yrbN	81	3307853	3307933	-	TRUE
16	gene-b0231	2286.57624300813	2.48837568002278	0.279796019719707	8.89353494919468	5.91950333624491e-19	1.60307549724682e-16	dinB	1056	250898	251953	+	TRUE
17	gene-b3544	7612.54248864328	-2.36317239337554	0.267219963890538	-8.84354731199489	9.27267132155979e-19	2.36344028448933e-16	dppA	1608	3706098	3707705	-	TRUE
18	gene-b3645	8914.22255803217	2.23808140303977	0.255337383255434	8.76519283821767	1.86457226983476e-18	4.48843980288557e-16	dinD	825	3817760	3818584	+	TRUE
19	gene-b4034	5184.92007388701	-2.68317772871533	0.31124246566545	-8.6208600197874	6.64531051830583e-18	1.5154805513589e-15	malE	1191	4246470	4247660	-	TRUE
20	gene-b4033	1644.33643334086	-2.67226138814294	0.316069606141507	-8.45466105003006	2.79899223611543e-17	6.06401667954407e-15	malF	1545	4244772	4246316	-	TRUE
21	gene-b0059	7500.7774847819	2.33131905716104	0.278878624759648	8.35961902483664	6.29211157814773e-17	1.29827235562448e-14	rapA	2907	60358	63264	-	TRUE
22	gene-b0344	2815.67583331325	-2.10708556242712	0.25376392292335	-8.30332987508066	1.0123329349225e-16	1.99383573046327e-14	lacZ	3075	363231	366305	-	TRUE
23	gene-b3604	14549.9899544992	-2.41888601650261	0.294539552082715	-8.21243191075172	2.16752975736957e-16	4.0834375820358e-14	lldR	777	3779054	3779830	+	TRUE
24	gene-b0296	868.263415653093	2.28096211863097	0.279826394546581	8.15134727489502	3.59891986244648e-16	6.23764790559223e-14	ykgM	264	312514	312777	-	TRUE
25	gene-b1061	1348.92609193442	2.20568583759218	0.270532252520648	8.15313448596607	3.54610886231928e-16	6.23764790559223e-14	dinI	246	1121242	1121487	-	TRUE
26	gene-b4035	1227.87232083083	-2.67341800399974	0.331561843697158	-8.06310513353759	7.4380502097808e-16	1.23957967534539e-13	malK	1116	4248025	4249140	+	TRUE
27	gene-b4032	662.949905920455	-2.48069947077756	0.318446637431248	-7.79000051873099	6.70089198472268e-15	1.07536907295568e-12	malG	891	4243867	4244757	-	TRUE
28	gene-b0058	1372.46253288203	2.15856588441118	0.278340159003634	7.75513634876882	8.82486082365222e-15	1.36564721246018e-12	rluA	660	59687	60346	-	TRUE
29	gene-b4037	1617.69336742846	-2.74505986948137	0.357758787798554	-7.67293484633298	1.6810488944761e-14	2.51171891716032e-12	malM	921	4250795	4251715	+	TRUE
30	gene-b3603	24460.8728818083	-2.36533204098377	0.312358010869409	-7.57250321322051	3.66100158225951e-14	5.28770661864349e-12	lldP	1656	3777399	3779054	+	TRUE
31	gene-b4618	636.228985570015	2.06950492375699	0.27546300878688	7.51282334739223	5.78655890607362e-14	8.08811604516678e-12	tisB	90	3853553	3853642	+	TRUE
32	gene-b1172	380.72919478786	2.11643005569957	0.285412316242649	7.41534241956206	1.21310966297577e-13	1.59284974838607e-11	ymgG	345	1222644	1222988	-	TRUE
33	gene-b3417	3065.72782474355	-2.13683362672832	0.288157965649666	-7.41549386604922	1.21172413835555e-13	1.59284974838607e-11	malP	2394	3550080	3552473	-	TRUE
34	gene-b1742	285.814080283783	2.16808724388236	0.293625340886471	7.38385603005783	1.53769720149519e-13	1.95965940414078e-11	ves	576	1824362	1824937	-	TRUE
35	gene-b0232	728.778381322623	2.05032304939459	0.278943208554497	7.35032431877267	1.97726504988768e-13	2.44785413176095e-11	yafN	294	252005	252298	+	TRUE
