,pos,MOXI_strength_rep1,MOXI_strength_rep2,MOXI_strength_rep3,LEVO_strength_rep1,LEVO_strength_rep2,LEVO_strength_rep3,GEMI_strength_rep1,GEMI_strength_rep2,GEMI_strength_rep3,CIP_strength_rep1,CIP_strength_rep2,CIP_strength_rep3,NOR_strength_rep1,NOR_strength_rep2,NOR_strength_rep3
0,740,0.210826984,0.17210908,0.201541294,0.178478176,0.199229148,0.090262396,0.091933674,0.090646177,0.0668753,,,,,,
1,849,0.060726688,0.069146207,0.046097536,,,,,,,,,,,,
2,1101,0.154408085,0.076358831,0.09036007,0.070206169,0.088558403,0.072069749,,,,,,,,,
3,1359,0.551118613,0.245096565,0.266388577,0.185444024,0.257234714,0.100883529,,,,0.153751181,0.090366881,0.177222386,,,
4,1519,0.064527161,0.056002504,0.075930019,,,,,,,,,,,,
5,1553,0.286899451,0.160719327,0.206997652,0.068047757,0.147215438,0.119303736,0.169468848,0.190926643,0.158332844,0.174726785,0.171400527,0.264464845,,,
6,1823,0.097562071,0.080721877,0.137383644,,,,0.130518658,0.165121206,0.178962023,,,,,,
7,3193,1.33973465,1.338821784,1.129679688,0.687868768,1.107554509,0.662204715,0.465031033,0.579145937,0.627671141,0.720953996,0.86631909,1.130215383,0.241455756,0.182887627,0.157136134
8,3532,0.106998781,0.142410129,0.205526146,,,,0.086666472,0.121573968,0.094355901,,,,,,
9,3987,0.667310466,0.62405234,0.55237687,0.899796627,0.889278725,0.523085184,0.163825755,0.250172682,0.188570173,0.184985524,0.297374169,0.309514477,0.102925884,0.14381043,0.041967137
10,4585,0.208107545,0.228973215,0.218463515,0.259601471,0.20867117,0.120375249,,,,,,,,,
11,5246,0.152783527,0.090808802,0.110813344,0.131300295,0.072564737,0.090096649,,,,,,,,,
12,5432,0.11638479,0.110157203,0.128539221,,,,,,,,,,,,
13,5496,0.065900062,0.076227243,0.096952487,0.06665108,0.080870102,0.060524722,,,,,,,,,
14,5651,0.114437428,0.158189578,0.148459345,,,,0.04067033,0.084234717,0.056364723,,,,,,
15,6596,0.089874992,0.062374243,0.119821834,0.218656027,0.252251962,0.230869658,,,,,,,,,
16,7008,0.040936405,0.106850689,0.083288505,,,,0.072415948,0.062421096,0.12325622,,,,,,
17,7355,0.142309099,0.119771199,0.127579741,0.070897214,0.142813215,0.059962741,0.071196117,0.113081488,0.048824164,,,,,,
18,7700,0.13528099,0.06853386,0.098520707,0.115362047,0.173925292,0.09081096,,,,,,,,,
19,8158,0.130729858,0.079417704,0.105944315,,,,0.072132355,0.109371749,0.076380867,,,,,,
20,8327,0.057744918,0.095558629,0.151443592,0.453078931,0.275674906,0.369492437,,,,,,,,,
21,8531,0.088609055,0.057253041,0.066332961,,,,,,,,,,,,
22,8774,0.315570149,0.20715325,0.214633154,0.061713742,0.062128078,0.06950941,0.201245423,0.165933693,0.142694408,,,,,,
23,8954,0.317256426,0.246493886,0.232471242,0.260400081,0.324174443,0.158003691,0.080139334,0.082442391,0.08741596,0.097103146,0.152841956,0.114045075,,,
24,9760,0.321632617,0.231109635,0.231735111,,,,0.077224539,0.117231693,0.132039858,,,,,,
25,10128,0.12516538,0.091033209,0.11653424,0.112302267,0.056902594,0.061059442,,,,,,,,,
26,10217,0.10458866,0.47663225,0.313152077,0.662773053,0.200807196,0.082153798,,,,,,,,,
27,10226,0.151860995,0.219832998,0.183823208,,,,,,,,,,,,
28,10715,0.491123099,0.523396746,0.437560265,0.194511284,0.264354443,0.215481635,0.193718645,0.175576117,0.265469425,0.38519552,0.47316066,0.62169409,,,
29,10726,0.197858851,0.168388739,0.185140499,0.09919237,0.0570343,0.132157427,0.104914283,0.049157125,0.132930631,,,,,,
30,10761,0.414959982,0.474568435,0.481569325,0.591741403,0.947913003,0.61056417,0.1185607,0.167683192,0.267754306,0.11558469,0.126942259,0.243126518,,,
31,10804,1.280469694,0.747616351,0.932095444,1.213091369,1.409815691,0.937194763,0.573086356,0.510355141,0.711161851,0.693417575,0.696754514,1.057834811,,,
32,11265,0.052071879,0.076254165,0.055088506,,,,,,,,,,,,
33,11581,0.299523723,0.421228336,0.421580338,0.312163796,0.131665997,0.094611005,0.083218468,0.111301992,0.085651192,0.095973475,0.135327132,0.083375379,,,
34,12677,0.939444167,0.859816132,0.774813304,1.281549929,1.395744804,0.74666319,0.292502405,0.365930827,0.36556104,0.443578569,0.679311634,0.619084266,0.336952471,0.346059056,0.126649803
35,13491,0.098974793,0.07367492,0.043168766,0.061857676,0.080366479,0.101337715,0.058946684,0.084841601,0.096636476,0.067988872,0.084225846,0.088664,,,
36,13762,0.104356364,0.10258336,0.074576424,,,,,,,,,,,,
37,14365,0.353916298,0.235037406,0.271787329,0.25335817,0.129007881,0.148552764,0.096604937,0.189279577,0.169035628,,,,,,
38,14845,0.244854903,0.209482595,0.246195782,0.105636555,0.082928303,0.099633636,,,,,,,,,
39,14879,0.132430109,0.105872765,0.118125899,,,,,,,,,,,,
40,15215,0.873390671,0.74533413,0.836186276,0.400615346,0.519210504,0.739164485,0.380586684,0.483618898,1.008748129,,,,,,
41,15226,1.140208293,0.759439474,0.960924729,1.285939376,1.059414997,1.02139926,0.589919875,0.591968137,0.740581702,0.733451762,0.635923857,1.015767642,0.135140323,0.096300791,0.078212067
42,16849,0.341243312,0.2222474,0.209763848,0.425918537,0.252643466,0.15540467,0.118710266,0.129969136,0.086651874,0.128377696,0.062897201,0.066231405,,,
43,17910,0.093190376,0.125442657,0.104203355,,,,,,,,,,,,
44,18095,0.110989787,0.080181553,0.166395257,,,,,,,,,,,,
45,18187,0.054190282,0.053906638,0.05456841,,,,,,,,,,,,
46,18264,0.090386219,0.062373069,0.049103173,,,,,,,,,,,,
47,18716,0.16943065,0.197615215,0.089098421,0.174560378,0.16652472,0.169110681,0.124269074,0.138242176,0.146237239,0.108948447,0.123863859,0.152105407,,,
48,19079,0.163177476,0.055213698,0.106227125,0.071064101,0.101568611,0.096573303,0.089216868,0.074569003,0.090069208,,,,,,
49,20095,15.30499436,7.633260934,9.429642352,7.844572534,3.328682275,4.405779636,6.43839733,6.503238482,7.599018147,4.866813027,4.949588969,4.371265564,0.567553024,1.16468735,0.292428874
50,20104,4.426729049,2.858686298,3.13154962,7.424423854,2.006021253,1.549995419,,,,,,,,,
51,20182,0.125882465,0.177249657,0.287218334,,,,,,,,,,,,
52,20216,1.012595073,0.934487527,1.187606453,,,,,,,,,,,,
53,21046,0.124775674,0.077400854,0.155346668,,,,,,,,,,,,
54,21184,0.090779048,0.078127042,0.09885518,0.08948231,0.067567264,0.11177563,0.064802679,0.070062713,0.042678138,,,,,,
55,21540,0.256243068,0.181889446,0.090788316,0.057202852,0.081234561,0.073746127,0.085443604,0.07440617,0.050197396,0.16505331,0.073993589,0.151624981,,,
56,21586,0.240676812,0.191159605,0.247627857,,,,0.068986561,0.040017352,0.119638292,0.117175651,0.101853942,0.149532267,,,
57,21617,0.121003792,0.131135766,0.091371606,,,,,,,,,,,,
58,21891,0.101062706,0.058203471,0.120031495,,,,0.065448061,0.070477207,0.094452768,,,,,,
59,21906,0.107166891,0.078029807,0.083970726,0.12183613,0.066175977,0.075385584,,,,,,,,,
60,22592,0.051891172,0.064909577,0.040246942,,,,,,,,,,,,
61,23092,0.098741208,0.054884919,0.091277418,,,,,,,,,,,,
62,23141,0.497721514,0.285984256,0.444432267,,,,0.421736977,0.342330364,0.442179397,0.272150301,0.143736102,0.279969051,,,
63,23368,0.38612077,0.141654135,0.309061607,0.191109855,0.235675708,0.251318822,0.380191991,0.248639866,0.303777487,,,,,,
64,23471,0.309977061,0.243045826,0.298412027,,,,,,,,,,,,
65,23737,0.192660165,0.098434783,0.120627844,0.188232477,0.143338555,0.086975811,0.061749935,0.058087512,0.062872964,0.213939256,0.20007906,0.244411282,,,
66,24526,0.177171799,0.099685542,0.175473264,,,,,,,,,,,,
67,24663,1.400461108,1.22635862,0.878595346,2.890817246,1.492056367,1.445507816,0.312065921,0.30772313,0.440643599,0.375003287,0.444654418,0.501489101,,,
